t,T+R,N_0,N_1
231,0.999288,2.13481e-21,1.49961e-28
232,0.999275,2.13534e-21,1.82305e-28
233,0.999274,2.1357e-21,1.69156e-28
234,0.999308,2.13509e-21,1.40968e-28
235,0.999388,2.13441e-21,9.56761e-29
236,0.999495,2.13313e-21,3.40851e-29
237,0.999573,2.13276e-21,1.01072e-29
238,0.999551,2.13245e-21,4.54748e-31
239,0.999367,2.1328e-21,1.60455e-29
240,0.999007,2.13363e-21,2.95253e-29
241,0.998534,2.13497e-21,3.64702e-29
242,0.998093,2.13566e-21,5.37992e-29
243,0.997895,2.13634e-21,5.55467e-29
244,0.998151,2.13606e-21,3.43558e-29
245,0.999003,2.13547e-21,3.68895e-29
246,1.00044,2.1348e-21,1.15137e-29
247,1.00227,2.13388e-21,3.90388e-30
248,1.00407,2.13347e-21,-1.27533e-30
249,1.00529,2.13325e-21,4.97222e-31
250,1.00535,2.13357e-21,1.69643e-29
251,1.00374,2.13416e-21,5.34012e-29
252,1.00022,2.13475e-21,1.11908e-28
253,0.99494,2.13514e-21,1.9239e-28
254,0.988432,2.13553e-21,1.2665e-28
255,0.981646,2.13525e-21,1.29268e-28
256,0.975822,2.13475e-21,9.41585e-29
257,0.972315,2.13415e-21,7.76617e-29
258,0.972387,2.13413e-21,6.66059e-29
259,0.976992,2.134e-21,5.63192e-29
260,0.986593,2.13375e-21,7.65294e-29
261,1.00105,2.13415e-21,9.44773e-29
262,1.01959,2.13474e-21,6.86934e-29
263,1.04086,2.13535e-21,7.47526e-29
264,1.06307,2.13626e-21,7.15041e-29
265,1.08416,2.13657e-21,6.44235e-29
266,1.10206,2.13626e-21,5.13789e-29
267,1.11488,2.13541e-21,5.38075e-29
268,1.12111,2.13474e-21,4.92199e-29
269,1.11976,2.13429e-21,6.12735e-29
270,1.11039,2.13362e-21,6.07292e-29
271,1.09317,2.13337e-21,7.17461e-29
272,1.0688,2.13378e-21,9.40937e-29
273,1.03837,2.13475e-21,1.16522e-28
274,1.00327,2.13574e-21,1.23659e-28
275,0.964992,2.13688e-21,1.08212e-28
276,0.925011,2.1375e-21,7.06294e-29
277,0.884645,2.13784e-21,5.71202e-29
278,0.84495,2.13767e-21,3.48307e-29
279,0.806671,2.13712e-21,7.58156e-29
280,0.770206,2.13642e-21,9.59593e-29
281,0.735629,2.13598e-21,1.18773e-28
282,0.702724,2.13577e-21,1.20006e-28
283,0.671053,2.13608e-21,9.52431e-29
284,0.640035,2.13605e-21,8.44959e-29
285,0.609026,2.13673e-21,1.01582e-28
286,0.577402,2.13718e-21,1.26311e-28
287,0.54463,2.13727e-21,2.08473e-28
288,0.510324,2.13656e-21,3.49163e-28
289,0.47429,2.13551e-21,4.74183e-28
290,0.436546,2.13404e-21,3.78414e-28
291,0.397326,2.13258e-21,3.52206e-28
292,0.357073,2.13141e-21,1.85018e-28
293,0.31641,2.13055e-21,1.72672e-28
294,0.276104,2.12988e-21,5.50898e-28
295,0.237019,2.1304e-21,1.72689e-27
296,0.200068,2.13107e-21,4.1233e-27
297,0.166154,2.1327e-21,8.1022e-27
298,0.136126,2.13461e-21,1.44306e-26
299,0.110723,2.13753e-21,2.50868e-26
300,0.0905341,2.1417e-21,4.38621e-26
301,0.0759633,2.14769e-21,7.56388e-26
302,0.0672021,2.15656e-21,1.31606e-25
303,0.0642145,2.16963e-21,2.2907e-25
304,0.0667318,2.18868e-21,3.90268e-25
305,0.0742594,2.21631e-21,6.62796e-25
306,0.0860947,2.25495e-21,1.11844e-24
307,0.101356,2.3077e-21,1.87307e-24
308,0.11902,2.37959e-21,3.12997e-24
309,0.137971,2.47532e-21,5.20694e-24
310,0.157052,2.60303e-21,8.63135e-24
311,0.175125,2.77347e-21,1.4259e-23
312,0.19113,3.00069e-21,2.34465e-23
313,0.204145,3.3048e-21,3.83618e-23
314,0.213443,3.71408e-21,6.24308e-23
315,0.21854,4.26789e-21,1.01139e-22
316,0.219235,5.02335e-21,1.6307e-22
317,0.215637,6.06116e-21,2.61719e-22
318,0.208179,7.49992e-21,4.18016e-22
319,0.19761,9.5107e-21,6.64328e-22
320,0.184977,1.23454e-20,1.0507e-21
321,0.171581,1.63745e-20,1.65335e-21
322,0.158924,2.21418e-20,2.58933e-21
323,0.148629,3.0449e-20,4.03617e-21
324,0.142358,4.24769e-20,6.26076e-21
325,0.14172,5.99568e-20,9.66542e-21
326,0.148168,8.54298e-20,1.48501e-20
327,0.162904,1.22605e-19,2.27045e-20
328,0.186798,1.7688e-19,3.45443e-20
329,0.22031,2.56082e-19,5.23009e-20
330,0.263441,3.71509e-19,7.88e-20
331,0.315714,5.39398e-19,1.18148e-19
332,0.376176,7.82994e-19,1.76285e-19
333,0.443435,1.13539e-18,2.61756e-19
334,0.515739,1.64348e-18,3.8678e-19
335,0.591068,2.37337e-18,5.68757e-19
336,0.667262,3.41783e-18,8.32309e-19
337,0.742158,4.90626e-18,1.21211e-18
338,0.813739,7.01832e-18,1.7567e-18
339,0.880268,1.00021e-17,2.53374e-18
340,0.940412,1.41983e-17,3.63694e-18
341,0.993335,2.00723e-17,5.19551e-18
342,1.03874,2.82568e-17,7.38661e-18
343,1.0769,3.9607e-17,1.04519e-17
344,1.10857,5.52728e-17,1.47195e-17
345,1.13493,7.67932e-17,2.06321e-17
346,1.15742,1.06217e-16,2.87849e-17
347,1.17761,1.46256e-16,3.99735e-17
348,1.19697,2.00489e-16,5.52562e-17
349,1.21669,2.73607e-16,7.60347e-17
350,1.23755,3.71736e-16,1.04156e-16
351,1.25977,5.02844e-16,1.42046e-16
352,1.28293,6.7724e-16,1.9287e-16
353,1.30603,9.08219e-16,2.60751e-16
354,1.32749,1.21285e-15,3.51031e-16
355,1.34533,1.61299e-15,4.70605e-16
356,1.3574,2.13648e-15,6.28345e-16
