t,Norm_0,AvgX_0
565,1,24.4577
566,1,24.5322
567,1,24.606
568,1,24.6791
569,1,24.7516
570,1,24.8233
571,1,24.8945
572,1,24.9651
573,1,25.035
574,1,25.1044
575,1,25.1732
576,1,25.2415
577,1,25.3092
578,1,25.3764
579,1,25.4432
580,1,25.5094
581,1,25.5752
582,1,25.6406
583,1,25.7055
584,1,25.7699
585,1,25.834
586,1,25.8976
587,1,25.9608
588,1,26.0237
589,1,26.0862
590,1,26.1483
591,1,26.21
592,1,26.2714
593,1,26.3325
594,1,26.3932
595,1,26.4537
596,1,26.5137
597,1,26.5735
598,1,26.633
599,1,26.6922
600,1,26.7512
601,1,26.8098
602,1,26.8682
603,1,26.9263
604,1,26.9842
605,1,27.0419
606,1,27.0992
607,1,27.1564
608,1,27.2134
609,1,27.2701
610,1,27.3266
611,1,27.3829
612,1,27.439
613,1,27.4949
614,1,27.5506
615,1,27.6061
616,1,27.6615
617,1,27.7167
618,1,27.7717
619,1,27.8265
620,1,27.8812
621,1,27.9357
622,1,27.9901
623,1,28.0443
624,1,28.0984
625,1,28.1523
626,1,28.2061
627,1,28.2598
628,1,28.3133
629,1,28.3668
630,1,28.42
631,1,28.4732
632,1,28.5263
633,1,28.5792
634,1,28.632
635,1,28.6848
636,1,28.7374
637,1,28.7899
638,1,28.8423
639,1,28.8946
640,1,28.9469
641,1,28.999
642,1,29.0511
643,1,29.103
644,1,29.1549
645,1,29.2067
646,1,29.2584
647,1,29.3101
648,1,29.3616
649,1,29.4131
650,1,29.4646
651,1,29.5159
652,1,29.5672
653,1,29.6184
654,1,29.6696
655,1,29.7207
656,1,29.7717
657,1,29.8227
658,1,29.8736
659,1,29.9245
660,1,29.9753
661,1,30.026
662,1,30.0767
663,1,30.1274
664,1,30.178
665,1,30.2286
666,1,30.2791
667,1,30.3296
668,1,30.38
669,1,30.4304
670,1,30.4807
671,1,30.531
672,1,30.5813
673,1,30.6315
674,1,30.6817
675,1,30.7318
676,1,30.7819
677,1,30.832
678,1,30.8821
679,1,30.9321
680,1,30.9821
681,1,31.032
682,1,31.082
683,1,31.1318
684,1,31.1817
685,1,31.2315
686,1,31.2814
687,1,31.3311
688,1,31.3809
