t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
60,1,-172.149,1.97421e-25,-8.05168e-24,1.83939e-27,-8.94298e-26,2.02723e-29,-1.14092e-27
61,1,-171.686,2.09003e-25,-8.71802e-24,1.9004e-27,-9.08925e-26,2.08328e-29,-1.1476e-27
62,1,-171.223,2.29334e-25,-1.02492e-23,2.04106e-27,-1.00149e-25,2.23046e-29,-1.24258e-27
63,1,-170.759,2.62153e-25,-1.29968e-23,2.33393e-27,-1.2415e-25,2.58685e-29,-1.53857e-27
64,1,-170.296,3.10999e-25,-1.72788e-23,2.88337e-27,-1.7274e-25,3.36062e-29,-2.23213e-27
65,1,-169.832,3.78252e-25,-2.32856e-23,3.81597e-27,-2.57606e-25,4.86585e-29,-3.61595e-27
66,1,-169.369,4.64218e-25,-3.09937e-23,5.25558e-27,-3.89764e-25,7.50104e-29,-6.05448e-27
67,1,-168.905,5.66584e-25,-4.01224e-23,7.28681e-27,-5.76064e-25,1.16751e-28,-9.91051e-27
68,1,-168.442,6.80521e-25,-5.01547e-23,9.9196e-27,-8.15922e-25,1.76903e-28,-1.54336e-26
69,1,-167.979,7.99456e-25,-6.04222e-23,1.30695e-26,-1.09973e-24,2.56196e-28,-2.26477e-26
70,1,-167.515,9.16264e-25,-7.02273e-23,1.65641e-26,-1.40983e-24,3.52312e-28,-3.12884e-26
71,1,-167.052,1.02453e-24,-7.89654e-23,2.01755e-26,-1.72383e-24,4.5999e-28,-4.08227e-26
72,1,-166.588,1.11952e-24,-8.62131e-23,2.36665e-26,-2.01922e-24,5.72025e-28,-5.05519e-26
73,1,-166.125,1.19864e-24,-9.1764e-23,2.68358e-26,-2.27758e-24,6.80786e-28,-5.97591e-26
74,1,-165.662,1.26136e-24,-9.56146e-23,2.95487e-26,-2.48725e-24,7.79736e-28,-6.78504e-26
75,1,-165.198,1.30881e-24,-9.79159e-23,3.17458e-26,-2.64396e-24,8.64457e-28,-7.44451e-26
76,1,-164.735,1.34317e-24,-9.89115e-23,3.34352e-26,-2.74976e-24,9.3299e-28,-7.93993e-26
77,1,-164.271,1.36713e-24,-9.88874e-23,3.46724e-26,-2.81101e-24,9.85559e-28,-8.27728e-26
78,1,-163.808,1.38376e-24,-9.8166e-23,3.55376e-26,-2.83613e-24,1.02392e-27,-8.47632e-26
79,1,-163.345,1.39775e-24,-9.72647e-23,3.6117e-26,-2.83381e-24,1.05064e-27,-8.56344e-26
80,1,-162.881,1.42237e-24,-9.77288e-23,3.64894e-26,-2.81183e-24,1.06845e-27,-8.56587e-26
81,1,-162.418,1.51061e-24,-1.05828e-22,3.67196e-26,-2.77647e-24,1.07984e-27,-8.50785e-26
82,1,-161.954,1.88676e-24,-1.48104e-22,3.68568e-26,-2.73242e-24,1.08684e-27,-8.40892e-26
83,1,-161.491,3.47958e-24,-3.34103e-22,3.69365e-26,-2.68308e-24,1.09098e-27,-8.28361e-26
84,1,-161.028,9.99874e-24,-1.09974e-21,3.69866e-26,-2.63109e-24,1.09336e-27,-8.14205e-26
85,1,-160.564,3.57143e-23,-4.11554e-21,3.70481e-26,-2.58071e-24,1.09469e-27,-7.99099e-26
86,1,-160.101,1.33519e-22,-1.55502e-20,3.72787e-26,-2.54894e-24,1.09549e-27,-7.83524e-26
87,1,-159.637,4.92477e-22,-5.73719e-20,3.84769e-26,-2.62229e-24,1.09642e-27,-7.68141e-26
88,1,-159.174,1.76487e-21,-2.05097e-19,4.46748e-26,-3.23696e-24,1.10004e-27,-7.55594e-26
89,1,-158.711,6.12473e-21,-7.09512e-19,7.53636e-26,-6.49621e-24,1.12024e-27,-7.60379e-26
90,1,-158.247,2.05779e-20,-2.37592e-18,2.20413e-25,-2.2073e-23,1.23289e-27,-8.61588e-26
91,1,-157.784,6.69711e-20,-7.70683e-18,8.75307e-25,-9.24249e-23,1.83436e-27,-1.4716e-25
92,1,-157.32,2.11285e-19,-2.42341e-17,3.70294e-24,-3.95622e-22,4.89574e-27,-4.63714e-25
93,1,-156.857,6.46661e-19,-7.3931e-17,1.53924e-23,-1.64616e-21,1.97496e-26,-2.00297e-24
94,1,-156.394,1.92155e-18,-2.18984e-16,6.1718e-23,-6.59038e-21,8.84983e-26,-9.1193e-24
