t,T+R,N_0,N_1,N_2,N_3
139,1,1.16568e-23,1.52851e-29,6.44554e-31,7.6119e-29
140,1,1.16592e-23,1.72491e-29,6.79282e-31,7.82282e-29
141,1,1.16606e-23,1.91388e-29,7.11777e-31,7.9389e-29
142,1,1.16627e-23,2.09086e-29,7.41353e-31,7.95866e-29
143,1,1.16637e-23,2.25587e-29,7.67813e-31,7.88529e-29
144,1,1.16658e-23,2.41225e-29,7.91373e-31,7.72748e-29
145,1,1.16678e-23,2.56122e-29,8.12622e-31,7.49941e-29
146,0.999999,1.16692e-23,2.70989e-29,8.33422e-31,7.22052e-29
147,0.999997,1.16699e-23,2.85741e-29,8.5502e-31,6.91161e-29
148,0.999996,1.167e-23,3.00371e-29,8.80835e-31,6.59345e-29
149,0.999994,1.167e-23,3.14505e-29,9.12722e-31,6.28338e-29
150,0.999994,1.16697e-23,3.26934e-29,9.54851e-31,5.99327e-29
151,0.999994,1.1669e-23,3.37472e-29,1.00949e-30,5.73086e-29
152,0.999997,1.16682e-23,3.45387e-29,1.07605e-30,5.50038e-29
153,1,1.16668e-23,3.49488e-29,1.15467e-30,5.30529e-29
154,1.00001,1.16655e-23,3.49571e-29,1.23942e-30,5.14368e-29
155,1.00002,1.16633e-23,3.45777e-29,1.32629e-30,5.01391e-29
156,1.00004,1.16603e-23,3.38277e-29,1.40981e-30,4.91078e-29
157,1.00005,1.16582e-23,3.27808e-29,1.48072e-30,4.82703e-29
158,1.00007,1.16551e-23,3.14882e-29,1.53302e-30,4.75329e-29
159,1.00007,1.16507e-23,2.99942e-29,1.56742e-30,4.67866e-29
160,1.00007,1.1646e-23,2.84686e-29,1.58761e-30,4.59287e-29
161,1.00006,1.16404e-23,2.69104e-29,1.58244e-30,4.48737e-29
162,1.00003,1.16346e-23,2.52734e-29,1.5681e-30,4.36163e-29
163,0.999972,1.1628e-23,2.3795e-29,1.55245e-30,4.21152e-29
164,0.999895,1.16216e-23,2.25163e-29,1.54541e-30,4.03895e-29
165,0.999798,1.16144e-23,2.1423e-29,1.55139e-30,3.85153e-29
166,0.999683,1.16079e-23,2.06388e-29,1.57959e-30,3.65825e-29
167,0.999557,1.16013e-23,2.01257e-29,1.64275e-30,3.46739e-29
168,0.999432,1.15948e-23,2.0079e-29,1.74865e-30,3.29469e-29
169,0.99932,1.15898e-23,2.05367e-29,1.89039e-30,3.15058e-29
170,0.999239,1.15839e-23,2.15081e-29,2.06595e-30,3.04827e-29
171,0.999206,1.1579e-23,2.284e-29,2.29549e-30,3.00412e-29
172,0.99924,1.1574e-23,2.42748e-29,2.551e-30,3.02621e-29
173,0.99936,1.15689e-23,2.59796e-29,2.81775e-30,3.13602e-29
174,0.99958,1.15632e-23,2.76193e-29,3.07732e-30,3.34154e-29
175,0.999914,1.15582e-23,2.90074e-29,3.32086e-30,3.65576e-29
176,1.00037,1.15553e-23,2.97742e-29,3.50172e-30,4.08076e-29
177,1.00095,1.1555e-23,3.03982e-29,3.59965e-30,4.61329e-29
178,1.00164,1.15527e-23,3.04986e-29,3.64334e-30,5.24947e-29
179,1.00245,1.15527e-23,3.02486e-29,3.58468e-30,5.97478e-29
180,1.00334,1.15521e-23,2.91872e-29,3.46053e-30,6.77186e-29
181,1.0043,1.15521e-23,2.7609e-29,3.27417e-30,7.61436e-29
182,1.00528,1.15526e-23,2.5741e-29,3.08051e-30,8.48875e-29
183,1.00627,1.15529e-23,2.3746e-29,2.83239e-30,9.416e-29
184,1.00721,1.15532e-23,2.16766e-29,2.60712e-30,1.0356e-28
185,1.00807,1.15543e-23,1.96939e-29,2.46967e-30,1.13415e-28
186,1.00881,1.15555e-23,1.76604e-29,2.41863e-30,1.23598e-28
187,1.00938,1.15557e-23,1.62214e-29,2.46654e-30,1.34021e-28
188,1.00975,1.15574e-23,1.48313e-29,2.60674e-30,1.4474e-28
189,1.00989,1.15583e-23,1.38061e-29,2.80401e-30,1.55612e-28
190,1.00976,1.15596e-23,1.30516e-29,3.06913e-30,1.6674e-28
191,1.00935,1.15594e-23,1.27384e-29,3.39719e-30,1.77956e-28
192,1.00865,1.15606e-23,1.26844e-29,3.69651e-30,1.89016e-28
193,1.00764,1.15604e-23,1.31227e-29,4.04098e-30,1.99533e-28
194,1.00633,1.15593e-23,1.42936e-29,4.29855e-30,2.09379e-28
195,1.00474,1.15563e-23,1.56369e-29,4.4968e-30,2.18976e-28
196,1.00286,1.15553e-23,1.71571e-29,4.63954e-30,2.27659e-28
197,1.00074,1.15535e-23,1.92146e-29,4.78725e-30,2.3538e-28
198,0.998391,1.15505e-23,2.12706e-29,4.94249e-30,2.42441e-28
199,0.995855,1.15475e-23,2.31657e-29,4.96113e-30,2.48965e-28
200,0.99317,1.15437e-23,2.48396e-29,4.95722e-30,2.54696e-28
201,0.990376,1.15387e-23,2.62894e-29,4.77894e-30,2.60204e-28
202,0.987518,1.15334e-23,2.79761e-29,4.70116e-30,2.64171e-28
203,0.984641,1.15288e-23,2.88e-29,4.54079e-30,2.67623e-28
204,0.98179,1.15235e-23,2.98066e-29,4.38104e-30,2.69909e-28
205,0.97901,1.15175e-23,3.00322e-29,4.19468e-30,2.7148e-28
206,0.976344,1.15121e-23,3.01176e-29,3.96091e-30,2.71597e-28
207,0.973833,1.15068e-23,2.91659e-29,3.80106e-30,2.70728e-28
208,0.971517,1.15025e-23,2.85856e-29,3.5936e-30,2.68371e-28
209,0.96943,1.14973e-23,2.74512e-29,3.39019e-30,2.64976e-28
210,0.967604,1.14935e-23,2.64943e-29,3.20018e-30,2.60415e-28
211,0.966066,1.14896e-23,2.47009e-29,2.94353e-30,2.55145e-28
212,0.964841,1.14867e-23,2.25271e-29,2.62707e-30,2.49551e-28
213,0.963947,1.14848e-23,2.07934e-29,2.37348e-30,2.43892e-28
214,0.963397,1.14811e-23,1.92318e-29,2.07704e-30,2.38438e-28
215,0.963203,1.148e-23,1.8064e-29,1.81323e-30,2.33637e-28
216,0.963369,1.14776e-23,1.76651e-29,1.53049e-30,2.29572e-28
217,0.963895,1.14765e-23,1.71641e-29,1.38007e-30,2.25242e-28
218,0.964778,1.14758e-23,1.71308e-29,1.21402e-30,2.21931e-28
219,0.966009,1.14757e-23,1.76518e-29,1.089e-30,2.19304e-28
220,0.967576,1.14775e-23,1.84943e-29,9.83911e-31,2.17123e-28
221,0.969462,1.14794e-23,1.9208e-29,9.06398e-31,2.1553e-28
222,0.971646,1.14825e-23,2.02237e-29,9.25149e-31,2.14661e-28
223,0.974105,1.14856e-23,2.15814e-29,9.04415e-31,2.13811e-28
224,0.976812,1.14907e-23,2.29024e-29,8.65644e-31,2.12434e-28
225,0.979734,1.1494e-23,2.43262e-29,8.1387e-31,2.1262e-28
226,0.982841,1.14988e-23,2.5071e-29,7.54638e-31,2.12411e-28
227,0.986096,1.15038e-23,2.6141e-29,6.61807e-31,2.13878e-28
228,0.989462,1.15089e-23,2.77468e-29,6.36651e-31,2.1558e-28
229,0.992899,1.15153e-23,2.92222e-29,5.95374e-31,2.18171e-28
230,0.996369,1.15198e-23,3.15636e-29,5.52509e-31,2.21605e-28
231,0.999829,1.15233e-23,3.31793e-29,5.48182e-31,2.24833e-28
232,1.00324,1.1526e-23,3.59948e-29,5.5284e-31,2.28119e-28
233,1.00656,1.15286e-23,3.78558e-29,6.57635e-31,2.32708e-28
234,1.00975,1.15287e-23,4.0994e-29,8.82037e-31,2.37726e-28
235,1.01278,1.15309e-23,4.3094e-29,1.24369e-30,2.43107e-28
236,1.0156,1.15322e-23,4.51897e-29,1.84366e-30,2.47852e-28
237,1.01818,1.15332e-23,4.69752e-29,2.73942e-30,2.54948e-28
238,1.0205,1.15334e-23,4.79185e-29,3.69859e-30,2.6058e-28
239,1.02252,1.15334e-23,4.8679e-29,4.85822e-30,2.65283e-28
240,1.02423,1.15325e-23,4.75793e-29,6.08982e-30,2.70622e-28
241,1.0256,1.15313e-23,4.70672e-29,7.62803e-30,2.75961e-28
242,1.02662,1.15309e-23,4.52864e-29,9.39864e-30,2.79437e-28
243,1.02729,1.15299e-23,4.44322e-29,1.12766e-29,2.81629e-28
244,1.0276,1.15292e-23,4.3502e-29,1.30364e-29,2.83696e-28
245,1.02756,1.15277e-23,4.28075e-29,1.4996e-29,2.82203e-28
246,1.02717,1.15261e-23,4.16945e-29,1.71417e-29,2.79607e-28
247,1.02644,1.15241e-23,4.00909e-29,1.93505e-29,2.76341e-28
248,1.02541,1.15219e-23,3.78681e-29,2.20111e-29,2.70346e-28
249,1.02408,1.15197e-23,3.68992e-29,2.46973e-29,2.60774e-28
250,1.02249,1.15173e-23,3.55281e-29,2.79317e-29,2.49909e-28
251,1.02069,1.15173e-23,3.35305e-29,3.13436e-29,2.39467e-28
252,1.01869,1.15163e-23,3.24454e-29,3.59267e-29,2.28525e-28
253,1.01654,1.15173e-23,3.07168e-29,4.10547e-29,2.16092e-28
254,1.01427,1.15181e-23,2.92936e-29,4.72132e-29,2.02682e-28
255,1.01192,1.1518e-23,2.84446e-29,5.37897e-29,1.88505e-28
256,1.00956,1.15182e-23,2.8439e-29,6.2412e-29,1.74248e-28
257,1.00722,1.15191e-23,2.78331e-29,7.27154e-29,1.5827e-28
258,1.00495,1.15195e-23,2.67996e-29,8.52329e-29,1.41845e-28
259,1.00278,1.15198e-23,2.50844e-29,1.00337e-28,1.26427e-28
260,1.00072,1.15214e-23,2.42879e-29,1.19192e-28,1.11826e-28
261,0.998783,1.15215e-23,2.3063e-29,1.41833e-28,9.7723e-29
262,0.996998,1.15218e-23,2.29411e-29,1.6751e-28,8.439e-29
263,0.995424,1.15214e-23,2.2737e-29,1.96953e-28,7.39384e-29
264,0.994124,1.1522e-23,2.35241e-29,2.30373e-28,6.57877e-29
265,0.993131,1.1522e-23,2.61646e-29,2.68899e-28,6.23533e-29
266,0.99242,1.15226e-23,3.05895e-29,3.12452e-28,6.51532e-29
267,0.99191,1.15244e-23,3.65924e-29,3.58094e-28,7.43442e-29
268,0.991502,1.15278e-23,4.6156e-29,4.08487e-28,9.44251e-29
269,0.991144,1.15319e-23,6.05527e-29,4.59181e-28,1.2557e-28
270,0.990882,1.15377e-23,7.74089e-29,5.10329e-28,1.70681e-28
271,0.99085,1.15425e-23,1.01703e-28,5.63789e-28,2.34088e-28
272,0.991203,1.15473e-23,1.32182e-28,6.15532e-28,3.16095e-28
273,0.991999,1.15502e-23,1.70055e-28,6.68368e-28,4.26527e-28
274,0.993121,1.15519e-23,2.14043e-28,7.25126e-28,5.61009e-28
275,0.994267,1.15537e-23,2.6147e-28,7.79807e-28,7.25012e-28
276,0.995068,1.15598e-23,3.08988e-28,8.28733e-28,9.20032e-28
277,0.995269,1.1571e-23,3.6475e-28,8.73027e-28,1.14954e-27
278,0.994899,1.1585e-23,4.41287e-28,9.11243e-28,1.40844e-27
279,0.994331,1.15999e-23,5.52718e-28,9.5912e-28,1.70411e-27
280,0.994157,1.16074e-23,7.08467e-28,1.04399e-27,2.04264e-27
281,0.994921,1.16005e-23,8.688e-28,1.18176e-27,2.44278e-27
282,0.996808,1.15756e-23,9.79996e-28,1.36376e-27,2.891e-27
283,0.999443,1.15343e-23,9.69807e-28,1.54371e-27,3.37359e-27
284,1.00193,1.14955e-23,8.37153e-28,1.67882e-27,3.84155e-27
285,1.00315,1.14886e-23,7.10255e-28,1.76537e-27,4.2502e-27
286,1.00224,1.1537e-23,8.34548e-28,1.94133e-27,4.60826e-27
287,0.999069,1.16509e-23,1.42929e-27,2.44397e-27,4.99717e-27
288,0.994447,1.18033e-23,2.46991e-27,3.47646e-27,5.60001e-27
289,0.990007,1.19266e-23,3.49607e-27,4.94928e-27,6.53599e-27
290,0.987679,1.19233e-23,3.74994e-27,6.33943e-27,7.72626e-27
291,0.988959,1.17059e-23,2.71393e-27,6.81317e-27,8.75974e-27
292,0.994206,1.12493e-23,9.76731e-28,5.84808e-27,9.05491e-27
293,1.00228,1.06437e-23,7.22144e-28,4.20757e-27,8.27395e-27
294,1.0107,1.01178e-23,5.29412e-27,4.36794e-27,6.91384e-27
295,1.01631,1.00102e-23,1.73659e-26,9.77151e-27,6.62989e-27
296,1.01633,1.0663e-23,3.66543e-26,2.24356e-26,9.62719e-27
297,1.00943,1.22617e-23,5.88989e-26,3.98914e-26,1.70901e-26
298,0.996411,1.46632e-23,7.91507e-26,5.39077e-26,2.71495e-26
299,0.980318,1.7284e-23,9.979e-26,5.38155e-26,3.44145e-26
300,0.965774,1.91419e-23,1.41269e-25,3.55897e-26,3.21933e-26
301,0.957748,1.90928e-23,2.49045e-25,1.29674e-26,1.83723e-26
302,0.960049,1.63027e-23,4.90956e-25,2.35254e-26,2.23665e-27
303,0.974002,1.08531e-23,9.41735e-25,1.20119e-25,6.98856e-27
304,0.997719,4.34376e-24,1.66693e-24,3.45277e-25,6.24836e-26
305,1.02622,2.81325e-25,2.72776e-24,6.98415e-25,1.87057e-25
306,1.05247,4.05183e-24,4.23732e-24,1.12281e-24,3.6654e-25
307,1.06903,2.23494e-23,6.48915e-24,1.54085e-24,5.47187e-25
