t,T+R,N_0
385,1.10879,2.56869e-12
386,1.10577,3.15365e-12
387,1.09709,3.86384e-12
388,1.08308,4.72428e-12
389,1.06433,5.7646e-12
390,1.0418,7.01989e-12
391,1.01684,8.53158e-12
392,0.991186,1.03485e-11
393,0.966831,1.25282e-11
394,0.945863,1.51382e-11
395,0.930226,1.82577e-11
396,0.921463,2.19794e-11
397,0.920481,2.64113e-11
398,0.927382,3.16795e-11
399,0.941391,3.79304e-11
400,0.960908,4.53339e-11
401,0.983686,5.40865e-11
402,1.0071,6.44151e-11
403,1.02848,7.65814e-11
404,1.04548,9.0886e-11
405,1.05635,1.07674e-10
406,1.06016,1.27342e-10
407,1.05691,1.50341e-10
408,1.04746,1.77189e-10
409,1.0334,2.08473e-10
410,1.01676,2.44864e-10
411,0.999721,2.87123e-10
412,0.984355,3.36112e-10
413,0.972327,3.92807e-10
414,0.96475,4.5831e-10
415,0.962093,5.33864e-10
416,0.964202,6.20867e-10
417,0.970385,7.20887e-10
418,0.97955,8.35681e-10
419,0.990377,9.67213e-10
420,1.00148,1.11767e-09
421,1.01155,1.2895e-09
422,1.01949,1.4854e-09
423,1.02452,1.70839e-09
424,1.02619,1.96177e-09
425,1.02447,2.24924e-09
426,1.0197,2.57483e-09
427,1.0126,2.94301e-09
428,1.00416,3.35868e-09
429,0.995551,3.8272e-09
430,0.987962,4.35445e-09
431,0.982451,4.94684e-09
432,0.97978,5.61137e-09
433,0.980292,6.35561e-09
434,0.983835,7.1878e-09
435,0.98978,8.11683e-09
436,0.997109,9.15231e-09
437,1.00458,1.03046e-08
438,1.01094,1.15847e-08
439,1.01516,1.30046e-08
440,1.01659,1.4577e-08
441,1.01511,1.63154e-08
442,1.01111,1.82342e-08
443,1.00543,2.03487e-08
444,0.999157,2.2675e-08
445,0.993464,2.52303e-08
446,0.989341,2.80325e-08
447,0.987434,3.11004e-08
448,0.987941,3.44536e-08
449,0.990599,3.81125e-08
450,0.994768,4.20984e-08
451,0.99957,4.64331e-08
452,1.00408,5.11392e-08
453,1.00749,5.62396e-08
454,1.00926,6.17579e-08
455,1.0092,6.7718e-08
456,1.00746,7.41438e-08
457,1.00449,8.10596e-08
458,1.00092,8.84895e-08
459,0.997446,9.64571e-08
460,0.9947,1.04986e-07
461,0.993133,1.14099e-07
462,0.99296,1.23817e-07
463,0.994126,1.34162e-07
464,0.996339,1.45153e-07
465,0.999128,1.56806e-07
466,1.00193,1.69138e-07
467,1.00422,1.82162e-07
468,1.00556,1.95887e-07
469,1.00572,2.10321e-07
470,1.00473,2.2547e-07
471,1.00281,2.41333e-07
472,1.00041,2.57906e-07
473,0.998023,2.75183e-07
474,0.996165,2.93152e-07
475,0.995208,3.11794e-07
476,0.995327,3.31088e-07
477,0.996455,3.51006e-07
478,0.998306,3.71514e-07
479,1.00044,3.92571e-07
480,1.00237,4.14133e-07
481,1.00367,4.36145e-07
482,1.00408,4.58551e-07
483,1.00355,4.81283e-07
484,1.00225,5.04272e-07
485,1.00053,5.27438e-07
486,0.998785,5.50697e-07
487,0.99743,5.7396e-07
488,0.996746,5.9713e-07
489,0.996846,6.20106e-07
490,0.997657,6.42782e-07
491,0.998945,6.65047e-07
492,1.00039,6.86786e-07
493,1.00164,7.07883e-07
494,1.00244,7.28217e-07
495,1.00264,7.47668e-07
496,1.00222,7.66114e-07
497,1.00133,7.83434e-07
498,1.0002,7.99509e-07
499,0.999091,8.14223e-07
500,0.998256,8.27463e-07
501,0.997868,8.39121e-07
502,0.997988,8.49097e-07
503,0.998563,8.57295e-07
504,0.999438,8.63631e-07
505,1.0004,8.68027e-07
506,1.00122,8.70419e-07
507,1.00172,8.70754e-07
508,1.00179,8.6899e-07
509,1.00143,8.65102e-07
510,1.00075,8.59077e-07
511,0.999927,8.50918e-07
512,0.999159,8.40642e-07
513,0.998631,8.28285e-07
514,0.998462,8.13895e-07
515,0.998676,7.97538e-07
