t,T+R,N_0,N_1,N_2
340,1.05846,1.14488e-16,2.45676e-17,6.87348e-18
341,0.897646,1.66553e-16,3.58998e-17,1.01012e-17
342,0.749974,2.41642e-16,5.23146e-17,1.48034e-17
343,0.635142,3.4965e-16,7.60265e-17,2.16346e-17
344,0.568237,5.04594e-16,1.10186e-16,3.15321e-17
345,0.557895,7.26282e-16,1.59266e-16,4.58333e-17
346,0.605428,1.04262e-15,2.29591e-16,6.6442e-17
347,0.705005,1.49282e-15,3.30093e-16,9.60609e-17
348,0.844762,2.13185e-15,4.73339e-16,1.38516e-16
349,1.00861,3.0365e-15,6.76973e-16,1.9921e-16
350,1.17847,4.31388e-15,9.65699e-16,2.85748e-16
351,1.33655,6.1129e-15,1.37401e-15,4.08817e-16
352,1.46741,8.64008e-15,1.94997e-15,5.83385e-16
353,1.55958,1.21812e-14,2.76033e-15,8.30365e-16
354,1.60648,1.71305e-14,3.8976e-15,1.17891e-15
355,1.60675,2.40309e-14,5.48967e-15,1.66954e-15
356,1.56385,3.36276e-14,7.71285e-15,2.35845e-15
357,1.48518,4.69417e-14,1.08096e-14,3.32336e-15
358,1.38083,6.53678e-14,1.51127e-14,4.6715e-15
359,1.26214,9.08073e-14,2.10774e-14,6.55044e-15
360,1.14034,1.25845e-13,2.93251e-14,9.16276e-15
361,1.02529,1.73988e-13,4.07024e-14,1.27859e-14
362,0.924592,2.39981e-13,5.63591e-14,1.77989e-14
363,0.843087,3.30228e-13,7.78539e-14,2.47183e-14
364,0.7827,4.53355e-13,1.07294e-13,3.42465e-14
365,0.74268,6.20953e-13,1.47521e-13,4.73358e-14
366,0.720125,8.48557e-13,2.02361e-13,6.52754e-14
367,0.710697,1.15694e-12,2.76949e-13,8.98049e-14
368,0.709429,1.57383e-12,3.78163e-13,1.23268e-13
369,0.711516,2.13612e-12,5.15193e-13,1.68812e-13
370,0.712997,2.89283e-12,7.00295e-13,2.30659e-13
371,0.711268,3.90891e-12,9.4977e-13,3.14451e-13
372,0.705382,5.27025e-12,1.28525e-12,4.27722e-13
373,0.696113,7.09014e-12,1.73539e-12,5.80496e-13
374,0.685818,9.51773e-12,2.33804e-12,7.86094e-13
375,0.678111,1.27489e-11,3.14309e-12,1.06217e-12
376,0.677408,1.70405e-11,4.2162e-12,1.43206e-12
377,0.688402,2.27281e-11,5.64351e-12,1.92656e-12
378,0.715516,3.02501e-11,7.53784e-12,2.58623e-12
379,0.762404,4.01768e-11,1.00466e-11,3.46432e-12
380,0.831533,5.32496e-11,1.33622e-11,4.63064e-12
381,0.923888,7.04297e-11,1.77346e-11,6.17652e-12
382,1.03881,9.29608e-11,2.34887e-11,8.22111e-12
383,1.17398,1.22449e-10,3.10453e-11,1.09196e-11
384,1.32556,1.60962e-10,4.09484e-11,1.44737e-11
385,1.48838,2.11161e-10,5.39001e-11,1.91448e-11
386,1.65634,2.7646e-10,7.08041e-11,2.52714e-11
387,1.82275,3.6123e-10,9.28214e-11,3.32905e-11
388,1.98076,4.71056e-10,1.21441e-10,4.37651e-11
389,2.12378,6.13062e-10,1.58567e-10,5.74192e-11
390,2.24585,7.96317e-10,2.06633e-10,7.51819e-11
391,2.34197,1.03234e-09,2.68738e-10,9.8243e-11
392,2.40836,1.33572e-09,3.48823e-10,1.28123e-10
393,2.44259,1.72494e-09,4.51892e-10,1.66761e-10
394,2.44367,2.22333e-09,5.84281e-10,2.16625e-10
395,2.41207,2.86027e-09,7.53999e-10,2.8085e-10
396,2.34958,3.67274e-09,9.71152e-10,3.6341e-10
397,2.25917,4.70714e-09,1.24846e-09,4.69332e-10
398,2.14482,6.02161e-09,1.60192e-09,6.04962e-10
399,2.01122,7.68888e-09,2.05158e-09,7.78299e-10
400,1.86353,9.79967e-09,2.62253e-09,9.99399e-10
401,1.70713,1.2467e-08,3.34613e-09,1.28089e-09
402,1.54734,1.58315e-08,4.26148e-09,1.63857e-09
403,1.38923,2.00675e-08,5.41723e-09,2.09221e-09
404,1.23737,2.53911e-08,6.8738e-09,2.66647e-09
405,1.09571,3.20694e-08,8.70612e-09,3.39207e-09
406,0.967449,4.0432e-08,1.10069e-08,4.30716e-09
407,0.854985,5.08849e-08,1.38905e-08,5.4591e-09
408,0.759867,6.39271e-08,1.74982e-08,6.90649e-09
409,0.682824,8.01714e-08,2.20035e-08,8.72177e-09
410,0.623802,1.00368e-07,2.76196e-08,1.09943e-08
411,0.582053,1.25434e-07,3.46078e-08,1.38339e-08
412,0.556226,1.5649e-07,4.32878e-08,1.73759e-08
413,0.544485,1.94899e-07,5.405e-08,2.17858e-08
414,0.544631,2.42321e-07,6.73702e-08,2.72664e-08
415,0.554231,3.00768e-07,8.38274e-08,3.40655e-08
416,0.570732,3.7268e-07,1.04125e-07,4.24851e-08
417,0.591583,4.61008e-07,1.29114e-07,5.28927e-08
418,0.614332,5.69314e-07,1.59826e-07,6.57351e-08
419,0.636711,7.0189e-07,1.97507e-07,8.15535e-08
420,0.656711,8.63901e-07,2.43657e-07,1.01003e-07
421,0.672629,1.06155e-06,3.00082e-07,1.24876e-07
422,0.683105,1.30227e-06,3.68952e-07,1.54126e-07
423,0.687141,1.59495e-06,4.52867e-07,1.89901e-07
424,0.684101,1.95022e-06,5.54938e-07,2.33581e-07
425,0.673697,2.38075e-06,6.78885e-07,2.8682e-07
426,0.655973,2.90162e-06,8.29138e-07,3.51597e-07
427,0.631261,3.53073e-06,1.01097e-06,4.30275e-07
428,0.600152,4.28935e-06,1.23066e-06,5.25674e-07
429,0.56344,5.20262e-06,1.49562e-06,6.41147e-07
430,0.522083,6.30027e-06,1.81466e-06,7.80677e-07
431,0.477148,7.61739e-06,2.19818e-06,9.48989e-07
432,0.429766,9.19527e-06,2.65842e-06,1.15167e-06
433,0.38109,1.10825e-05,3.20981e-06,1.39532e-06
434,0.332247,1.3336e-05,3.86933e-06,1.68772e-06
435,0.28431,1.60226e-05,4.65684e-06,2.03804e-06
436,0.238261,1.92204e-05,5.59565e-06,2.45702e-06
437,0.194973,2.30205e-05,6.71296e-06,2.95727e-06
438,0.155184,2.7529e-05,8.04051e-06,3.55354e-06
439,0.11949,3.28696e-05,9.61528e-06,4.26307e-06
440,0.0883389,3.91857e-05,1.14802e-05,5.10593e-06
441,0.0620244,4.66435e-05,1.36852e-05,6.10548e-06
442,0.0406935,5.54353e-05,1.62878e-05,7.28886e-06
443,0.0243532,6.57834e-05,1.93549e-05,8.68749e-06
444,0.012881,7.79439e-05,2.29633e-05,1.03378e-05
445,0.00604008,9.22114e-05,2.72016e-05,1.22816e-05
446,0.00349443,0.000108925,3.21717e-05,1.45675e-05
447,0.00482697,0.000128472,3.79903e-05,1.7251e-05
448,0.00955763,0.000151297,4.47913e-05,2.03959e-05
449,0.0171618,0.000177908,5.27274e-05,2.40755e-05
450,0.0270884,0.000208884,6.19728e-05,2.83732e-05
451,0.0387768,0.000244884,7.27262e-05,3.33846e-05
452,0.0516731,0.000286655,8.52128e-05,3.92181e-05
453,0.0652442,0.000335048,9.96884e-05,4.59972e-05
454,0.0789899,0.000391023,0.000116442,5.38619e-05
455,0.0924542,0.000455665,0.000135801,6.29705e-05
456,0.105233,0.000530198,0.000158133,7.35018e-05
457,0.11698,0.000616,0.000183853,8.56574e-05
458,0.127413,0.000714618,0.000213426,9.96638e-05
