t,T+R,N_0,N_1
287,1.00332,3.92064e-23,1.17983e-29
288,0.993056,3.92844e-23,7.08695e-29
289,0.981607,3.94326e-23,1.87195e-28
290,0.972095,3.96513e-23,3.61995e-28
291,0.967681,3.98796e-23,6.34206e-28
292,0.970689,4.00204e-23,9.95852e-28
293,0.981858,3.99529e-23,1.53871e-27
294,0.999936,3.95528e-23,2.36866e-27
295,1.02173,3.87651e-23,3.76271e-27
296,1.04268,3.76325e-23,6.24855e-27
297,1.05773,3.6379e-23,1.0796e-26
298,1.06251,3.5401e-23,1.8837e-26
299,1.05434,3.52575e-23,3.31172e-26
300,1.03296,3.65716e-23,5.80781e-26
301,1.00084,3.9844e-23,1.01074e-25
302,0.962858,4.52765e-23,1.73813e-25
303,0.925549,5.25196e-23,2.95911e-25
304,0.895955,6.05214e-23,4.99259e-25
305,0.880369,6.75257e-23,8.36539e-25
306,0.883169,7.12441e-23,1.39504e-24
307,0.90598,6.94041e-23,2.31804e-24
308,0.947283,6.05451e-23,3.84016e-24
309,1.00257,4.51781e-23,6.34237e-24
310,1.06497,2.71591e-23,1.04409e-23
311,1.12625,1.52091e-23,1.71308e-23
312,1.17801,2.43975e-23,2.80053e-23
313,1.21291,7.76002e-23,4.56215e-23
314,1.22566,2.06895e-22,7.40458e-23
315,1.21372,4.55288e-22,1.19729e-22
316,1.1776,8.79429e-22,1.92871e-22
317,1.12072,1.55462e-21,3.09542e-22
318,1.04888,2.58418e-21,4.94961e-22
319,0.969478,4.11635e-21,7.88562e-22
320,0.89058,6.37337e-21,1.25179e-21
321,0.819932,9.69875e-21,1.98007e-21
322,0.764126,1.46338e-20,3.12106e-21
323,0.727947,2.20338e-20,4.90247e-21
324,0.713998,3.32468e-20,7.67417e-21
325,0.722606,5.03786e-20,1.19721e-20
326,0.751991,7.66895e-20,1.86141e-20
327,0.798661,1.17176e-19,2.88445e-20
328,0.85795,1.79427e-19,4.45494e-20
329,0.924622,2.74888e-19,6.85787e-20
330,0.993471,4.20702e-19,1.05225e-19
331,1.05984,6.42417e-19,1.60932e-19
332,1.12004,9.77943e-19,2.4534e-19
333,1.17155,1.48333e-18,3.72829e-19
334,1.21316,2.24119e-18,5.64778e-19
