E,T,R0,R,N_R0,E/V0
4665.59,2.41485,0.253036,0.253036,0.094845,46.6559
4665.79,2.52666,0.211573,0.211573,0.0772663,46.6579
4665.99,2.51002,0.267092,0.267092,0.0961761,46.6599
4666.18,2.58662,0.272685,0.272685,0.0953677,46.6618
4666.38,2.61277,0.315117,0.315117,0.107626,46.6638
4666.57,2.60033,0.327821,0.327821,0.111955,46.6657
4666.77,2.64495,0.322786,0.322786,0.108765,46.6677
4666.97,2.58904,0.320874,0.320874,0.110269,46.6697
4667.16,2.5984,0.320706,0.320706,0.109864,46.6716
4667.36,2.72204,0.355764,0.355764,0.11559,46.6736
4667.56,2.65646,0.343198,0.343198,0.114412,46.6756
4667.75,2.78299,0.391516,0.391516,0.123331,46.6775
4667.95,2.75423,0.358004,0.358004,0.115031,46.6795
4668.14,2.68934,0.383528,0.383528,0.124811,46.6814
4668.34,2.70303,0.345053,0.345053,0.113203,46.6834
4668.54,2.76213,0.355498,0.355498,0.114029,46.6854
4668.73,2.65541,0.389895,0.389895,0.128032,46.6873
4668.93,2.65493,0.342642,0.342642,0.114307,46.6893
4669.13,2.61376,0.366095,0.366095,0.122857,46.6913
4669.32,2.56855,0.312927,0.312927,0.108599,46.6932
4669.52,2.5163,0.318937,0.318937,0.11249,46.6952
4669.71,2.66216,0.258804,0.258804,0.0886022,46.6971
4669.91,2.64996,0.268659,0.268659,0.0920501,46.6991
4670.11,2.68231,0.230343,0.230343,0.0790835,46.7011
4670.3,2.66645,0.248918,0.248918,0.0853814,46.703
4670.5,2.6308,0.218424,0.218424,0.0766609,46.705
4670.7,2.50595,0.177302,0.177302,0.0660773,46.707
4670.89,2.49704,0.139508,0.139508,0.0529131,46.7089
4671.09,2.46855,0.139787,0.139787,0.0535922,46.7109
4671.28,2.49225,0.112511,0.112511,0.0431943,46.7128
4671.48,2.51265,0.112608,0.112608,0.042894,46.7148
4671.68,2.57169,0.101762,0.101762,0.0380638,46.7168
4671.87,2.52034,0.0736912,0.0736912,0.028408,46.7187
4672.07,2.45823,0.0448822,0.0448822,0.0179306,46.7207
4672.27,2.46767,0.0326888,0.0326888,0.0130736,46.7227
4672.46,2.54791,0.0394743,0.0394743,0.0152564,46.7246
4672.66,2.58041,0.0377031,0.0377031,0.0144009,46.7266
4672.86,2.48214,0.0433289,0.0433289,0.0171568,46.7286
4673.05,2.45157,0.0343524,0.0343524,0.0138188,46.7305
4673.25,2.46642,0.0481815,0.0481815,0.0191607,46.7325
4673.44,2.38024,0.0514951,0.0514951,0.0211763,46.7344
4673.64,2.44228,0.0618898,0.0618898,0.0247147,46.7364
4673.84,2.57242,0.0832644,0.0832644,0.0313533,46.7384
4674.03,2.46882,0.0754158,0.0754158,0.0296418,46.7403
4674.23,2.52144,0.125473,0.125473,0.0474036,46.7423
4674.43,2.62259,0.146291,0.146291,0.0528341,46.7443
4674.62,2.61422,0.141021,0.141021,0.0511827,46.7462
4674.82,2.63542,0.156103,0.156103,0.0559205,46.7482
4675.02,2.68861,0.221153,0.221153,0.0760038,46.7502
4675.21,2.56398,0.181557,0.181557,0.0661278,46.7521
4675.41,2.77298,0.187719,0.187719,0.0634037,46.7541
4675.6,2.90933,0.244231,0.244231,0.0774462,46.756
4675.8,2.97526,0.279222,0.279222,0.0857963,46.758
4676,2.86107,0.268461,0.268461,0.0857834,46.76
4676.19,2.95977,0.276743,0.276743,0.0855068,46.7619
4676.39,2.87757,0.2993,0.2993,0.0942121,46.7639
4676.59,2.83187,0.306015,0.306015,0.0975226,46.7659
4676.78,2.93894,0.307642,0.307642,0.0947589,46.7678
4676.98,2.89259,0.367529,0.367529,0.112735,46.7698
4677.18,2.96642,0.459518,0.459518,0.134129,46.7718
4677.37,3.04032,0.415536,0.415536,0.120241,46.7737
4677.57,2.91094,0.426313,0.426313,0.127744,46.7757
4677.76,2.96425,0.338513,0.338513,0.102494,46.7776
4677.96,2.98354,0.356921,0.356921,0.106848,46.7796
4678.16,2.8184,0.365866,0.365866,0.114898,46.7816
4678.35,3.05646,0.384196,0.384196,0.111664,46.7835
4678.55,3.00924,0.404747,0.404747,0.118555,46.7855
4678.75,2.98327,0.39122,0.39122,0.115935,46.7875
4678.94,2.88708,0.344277,0.344277,0.106543,46.7894
4679.14,2.89813,0.300348,0.300348,0.0939034,46.7914
4679.34,3.00841,0.259831,0.259831,0.0795018,46.7934
4679.53,2.92575,0.260978,0.260978,0.0818952,46.7953
4679.73,2.95649,0.230368,0.230368,0.072287,46.7973
4679.93,2.84573,0.270021,0.270021,0.0866632,46.7993
4680.12,3.00266,0.204513,0.204513,0.0637673,46.8012
4680.32,2.8881,0.195109,0.195109,0.0632812,46.8032
4680.52,2.80808,0.157517,0.157517,0.0531149,46.8052
4680.71,2.76756,0.16434,0.16434,0.0560523,46.8071
4680.91,2.73667,0.114486,0.114486,0.0401541,46.8091
4681.1,2.77846,0.121764,0.121764,0.0419844,46.811
4681.3,2.84699,0.101655,0.101655,0.0344751,46.813
4681.5,2.7699,0.0759518,0.0759518,0.0266885,46.815
4681.69,2.82602,0.0649326,0.0649326,0.0224606,46.8169
4681.89,2.65753,0.0642024,0.0642024,0.0235888,46.8189
4682.09,2.76129,0.0525705,0.0525705,0.0186827,46.8209
4682.28,2.72989,0.0435562,0.0435562,0.0157047,46.8228
4682.48,2.72201,0.048394,0.048394,0.0174682,46.8248
4682.68,2.81465,0.0287405,0.0287405,0.0101078,46.8268
4682.87,2.78591,0.0360971,0.0360971,0.0127913,46.8287
4683.07,2.8636,0.0525561,0.0525561,0.0180224,46.8307
4683.27,2.78482,0.0650747,0.0650747,0.0228341,46.8327
4683.46,2.81877,0.0587284,0.0587284,0.0204095,46.8346
4683.66,2.79041,0.0881159,0.0881159,0.0306114,46.8366
4683.86,2.88646,0.0679207,0.0679207,0.0229898,46.8386
4684.05,2.96191,0.0921261,0.0921261,0.0301653,46.8405
4684.25,2.95897,0.111556,0.111556,0.0363312,46.8425
4684.45,3.03516,0.140014,0.140014,0.0440964,46.8445
4684.64,2.92898,0.189245,0.189245,0.0606899,46.8464
4684.84,2.7815,0.197144,0.197144,0.0661858,46.8484
4685.04,2.90425,0.211465,0.211465,0.0678703,46.8504
4685.23,2.91746,0.197784,0.197784,0.0634891,46.8523
4685.43,3.08334,0.249755,0.249755,0.0749317,46.8543
4685.63,3.05829,0.304991,0.304991,0.0906826,46.8563
4685.82,3.10346,0.345619,0.345619,0.100206,46.8582
4686.02,3.20091,0.377099,0.377099,0.105393,46.8602
4686.22,3.15726,0.419335,0.419335,0.117244,46.8622
4686.41,3.20788,0.370124,0.370124,0.103444,46.8641
4686.61,3.2697,0.342752,0.342752,0.0948807,46.8661
4686.81,3.30259,0.382561,0.382561,0.103812,46.8681
4687,3.27948,0.426684,0.426684,0.115128,46.87
4687.2,3.22422,0.436784,0.436784,0.119307,46.872
4687.4,3.09958,0.456791,0.456791,0.128443,46.874
4687.59,3.28048,0.41316,0.41316,0.111857,46.8759
4687.79,3.34754,0.411903,0.411903,0.109565,46.8779
4687.99,3.34057,0.402098,0.402098,0.107436,46.8799
4688.18,3.36864,0.434146,0.434146,0.114165,46.8818
4688.38,3.30561,0.419354,0.419354,0.112579,46.8838
4688.58,3.22982,0.426556,0.426556,0.116661,46.8858
4688.77,3.24286,0.372052,0.372052,0.102922,46.8877
4688.97,3.22517,0.334307,0.334307,0.0939204,46.8897
4689.17,3.12513,0.284957,0.284957,0.083563,46.8917
4689.36,3.25157,0.31023,0.31023,0.0870993,46.8936
4689.56,3.14417,0.32635,0.32635,0.0940349,46.8956
4689.76,3.12656,0.275779,0.275779,0.0810558,46.8976
4689.95,3.27067,0.215183,0.215183,0.0617303,46.8995
4690.15,3.08119,0.195006,0.195006,0.0595222,46.9015
4690.35,3.12417,0.162645,0.162645,0.0494842,46.9035
4690.54,3.19717,0.154487,0.154487,0.0460926,46.9054
4690.74,3.17954,0.125753,0.125753,0.038046,46.9074
4690.94,3.00738,0.143907,0.143907,0.0456661,46.9094
4691.13,3.08078,0.115698,0.115698,0.0361953,46.9113
4691.33,2.9764,0.0769352,0.0769352,0.0251971,46.9133
4691.53,3.18939,0.0616745,0.0616745,0.0189705,46.9153
4691.72,3.08542,0.0422479,0.0422479,0.0135078,46.9172
4691.92,2.97136,0.0459021,0.0459021,0.0152131,46.9192
4692.12,3.11903,0.0322537,0.0322537,0.0102351,46.9212
4692.31,3.10367,0.0406203,0.0406203,0.0129188,46.9231
4692.51,3.13861,0.0125944,0.0125944,0.00399669,46.9251
4692.71,3.05731,0.0175587,0.0175587,0.00571039,46.9271
4692.9,3.11828,0.0347609,0.0347609,0.0110246,46.929
4693.1,3.13441,0.0360611,0.0360611,0.011374,46.931
