t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
70,0.216723,7.03312,0.168244,5.45986,0.252746,8.20214,0.0717331,2.32789,0.290553,9.42906
71,0.209153,6.88391,0.167484,5.51245,0.256108,8.42938,0.073073,2.40508,0.294182,9.68251
72,0.20177,6.73398,0.167275,5.58273,0.259362,8.6561,0.0742476,2.47798,0.297345,9.92375
73,0.194571,6.58343,0.167652,5.67263,0.262493,8.88162,0.0752331,2.54556,0.300051,10.1524
74,0.18755,6.43236,0.168647,5.78404,0.265483,9.10519,0.0760097,2.60688,0.302311,10.3683
75,0.180705,6.28089,0.170288,5.91881,0.268313,9.32595,0.0765623,2.66113,0.304132,10.5709
76,0.174032,6.12918,0.172599,6.0787,0.270964,9.54299,0.0768807,2.70763,0.305524,10.7601
77,0.16753,5.97738,0.175602,6.2654,0.273414,9.75528,0.07696,2.74589,0.306493,10.9355
78,0.161197,5.82569,0.179314,6.48045,0.275641,9.96174,0.0768008,2.7756,0.307047,11.0967
79,0.155032,5.67432,0.183747,6.7253,0.277623,10.1613,0.0764088,2.79663,0.307189,11.2434
80,0.149037,5.52353,0.188908,7.0012,0.279337,10.3526,0.0757951,2.80908,0.306924,11.3751
81,0.143212,5.37362,0.194799,7.30926,0.280761,10.5347,0.0749751,2.81322,0.306252,11.4912
82,0.137561,5.22492,0.201419,7.65039,0.281875,10.7063,0.0739687,2.80951,0.305176,11.5914
83,0.132087,5.07781,0.208759,8.02528,0.282659,10.8662,0.0727991,2.7986,0.303696,11.6749
84,0.126795,4.93273,0.216805,8.4344,0.283096,11.0133,0.0714924,2.78128,0.301811,11.7414
85,0.12169,4.79014,0.22554,8.878,0.283172,11.1466,0.0700767,2.75845,0.299521,11.7901
86,0.11678,4.65058,0.234939,9.35606,0.282874,11.265,0.0685811,2.73114,0.296826,11.8206
87,0.112072,4.51464,0.244972,9.86831,0.282193,11.3677,0.0670354,2.70042,0.293728,11.8324
88,0.107574,4.38294,0.255605,10.4142,0.281124,11.4539,0.0654685,2.66741,0.290228,11.8249
89,0.103298,4.2562,0.266799,10.993,0.279663,11.523,0.0639085,2.63324,0.286332,11.7978
90,0.0992522,4.13514,0.278509,11.6035,0.277813,11.5745,0.0623814,2.599,0.282044,11.7508
91,0.0954494,4.02058,0.290687,12.2445,0.275579,11.6081,0.0609109,2.56573,0.277374,11.6837
92,0.0919015,3.91337,0.303279,12.9143,0.272968,11.6236,0.0595179,2.5344,0.272333,11.5966
93,0.0886214,3.81442,0.31623,13.6111,0.269992,11.6209,0.0582197,2.50588,0.266937,11.4894
94,0.0856223,3.72467,0.329479,14.3327,0.266666,11.6003,0.0570307,2.4809,0.261201,11.3626
95,0.0829184,3.64513,0.342964,15.0769,0.263008,11.5619,0.0559614,2.46009,0.255148,11.2164
96,0.0805237,3.57683,0.35662,15.8409,0.259036,11.5063,0.0550189,2.44392,0.248802,11.0517
97,0.0784528,3.52086,0.37038,16.6222,0.254772,11.4339,0.0542071,2.43275,0.242188,10.8691
98,0.0767203,3.47833,0.384175,17.4176,0.250241,11.3454,0.0535268,2.42679,0.235338,10.6697
99,0.075341,3.45037,0.397935,18.2241,0.245465,11.2415,0.0529757,2.42611,0.228282,10.4546
100,0.0743294,3.43815,0.411592,19.0384,0.240471,11.1231,0.0525495,2.43071,0.221057,10.2251
101,0.0737,3.44284,0.425076,19.8571,0.235284,10.9911,0.0522417,2.44043,0.213698,9.98277
102,0.0734667,3.46564,0.438316,20.6767,0.229928,10.8464,0.0520442,2.45508,0.206244,9.72914
103,0.0736432,3.50773,0.451246,21.4935,0.224429,10.6899,0.0519478,2.47435,0.198734,9.46598
104,0.0742425,3.57031,0.463797,22.3039,0.21881,10.5226,0.0519427,2.49791,0.191207,9.19512
