t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
133,0.418718,25.6821,0.272948,16.7413,0.0843489,5.17355,0.095107,5.8334,0.0268252,1.64533,0.102053,6.25941
134,0.432481,26.723,0.271205,16.7578,0.0804291,4.96972,0.0930803,5.75143,0.0258619,1.59801,0.0969427,5.99009
135,0.44642,27.7873,0.2689,16.7376,0.0769858,4.79197,0.0910473,5.66722,0.0248941,1.54953,0.0917533,5.71116
136,0.460516,28.8741,0.266058,16.6817,0.0739959,4.6395,0.0889973,5.58008,0.0239204,1.4998,0.0865128,5.4243
137,0.474751,29.9824,0.262706,16.5909,0.0714318,4.5112,0.0869197,5.48932,0.0229413,1.44883,0.08125,5.13126
138,0.489107,31.1112,0.258875,16.4666,0.0692622,4.40565,0.0848043,5.39426,0.0219585,1.39674,0.0759934,4.83381
139,0.503564,32.2596,0.254596,16.31,0.0674526,4.32118,0.0826411,5.2942,0.0209753,1.34373,0.0707711,4.53377
140,0.518104,33.4263,0.249903,16.1229,0.0659663,4.25592,0.0804209,5.18848,0.0199959,1.29007,0.0656104,4.23296
141,0.532707,34.6103,0.244829,15.9067,0.0647646,4.20779,0.0781353,5.07649,0.0190258,1.23611,0.0605376,3.93316
142,0.547356,35.8104,0.239411,15.6633,0.063808,4.1746,0.0757773,4.95768,0.0180705,1.18225,0.0555779,3.63615
143,0.56203,37.0254,0.233682,15.3945,0.0630562,4.15402,0.0733411,4.83156,0.0171361,1.12889,0.0507552,3.34365
144,0.576711,38.2541,0.227677,15.1022,0.0624694,4.14369,0.0708226,4.69777,0.0162283,1.07645,0.0460917,3.05733
145,0.591381,39.4953,0.22143,14.7882,0.0620084,4.14122,0.0682198,4.55605,0.0153523,1.0253,0.0416084,2.77881
146,0.606022,40.7478,0.214974,14.4545,0.0616352,4.14424,0.0655323,4.40627,0.0145123,0.975782,0.0373243,2.50962
147,0.620615,42.0102,0.208341,14.1028,0.0613138,4.15041,0.0627624,4.24846,0.0137115,0.928146,0.033257,2.25121
148,0.635143,43.2813,0.20156,13.7351,0.0610103,4.1575,0.0599142,4.0828,0.0129514,0.882563,0.029422,2.00494
149,0.649587,44.5597,0.194659,13.353,0.0606935,4.16339,0.0569944,3.90965,0.0122324,0.839108,0.0258329,1.77206
150,0.663932,45.8443,0.187666,12.9583,0.0603349,4.1661,0.0540119,3.72951,0.0115533,0.797749,0.0225014,1.55371
151,0.67816,47.1336,0.180605,12.5525,0.0599093,4.16382,0.0509778,3.54307,0.0109113,0.758356,0.0194365,1.35088
