t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
143,0.795258,52.39,0.0104294,0.687067,0.194313,12.8009
144,0.798259,52.9497,0.0105413,0.69922,0.1912,12.6826
145,0.800898,53.4879,0.0113638,0.758929,0.187738,12.5381
146,0.803188,54.0049,0.0128546,0.864321,0.183958,12.369
147,0.805143,54.5011,0.0149666,1.01311,0.17989,12.177
148,0.806779,54.9773,0.0176481,1.20262,0.175572,11.9642
149,0.808113,55.4341,0.0208435,1.4298,0.171044,11.7331
150,0.809161,55.8723,0.0244937,1.69128,0.166346,11.4861
151,0.809941,56.2927,0.0285368,1.98337,0.161522,11.2261
152,0.810473,56.6962,0.0329087,2.30211,0.156618,10.9562
153,0.810775,57.084,0.0375435,2.64331,0.151682,10.6794
154,0.810866,57.4569,0.0423744,3.0026,0.14676,10.3992
155,0.810765,57.8162,0.0473341,3.37543,0.141901,10.119
156,0.810492,58.1629,0.0523557,3.75717,0.137152,9.84235
157,0.810067,58.4982,0.0573729,4.14313,0.13256,9.57272
158,0.809506,58.8232,0.0623212,4.5286,0.128173,9.31373
159,0.808829,59.139,0.0671378,4.9089,0.124033,9.0689
160,0.808053,59.4467,0.0717628,5.27944,0.120184,8.84172
161,0.807194,59.7476,0.0761395,5.63576,0.116667,8.63555
162,0.806267,60.0425,0.0802148,5.97357,0.113518,8.45364
163,0.805288,60.3325,0.0839398,6.2888,0.110772,8.29906
164,0.80427,60.6185,0.0872704,6.57764,0.108459,8.17468
165,0.803224,60.9014,0.0901675,6.8366,0.106608,8.08314
166,0.802162,61.182,0.0925973,7.06252,0.105241,8.02684
167,0.801092,61.4608,0.094532,7.25262,0.104376,8.00785
168,0.800022,61.7386,0.0959496,7.40454,0.104028,8.02798
169,0.798958,62.0158,0.0968343,7.51636,0.104207,8.08866
170,0.797905,62.2927,0.0971766,7.58661,0.104918,8.19101
171,0.796865,62.5696,0.0969735,7.61433,0.106161,8.33576
172,0.795839,62.8465,0.0962284,7.59905,0.107932,8.52327
173,0.794828,63.1235,0.0949512,7.54082,0.110221,8.75351
174,0.793828,63.4004,0.093158,7.44022,0.113014,9.02605
175,0.792836,63.6769,0.0908713,7.29836,0.116293,9.34008
176,0.791847,63.9526,0.0881192,7.11684,0.120034,9.69441
177,0.790853,64.2269,0.0849358,6.89782,0.124211,10.0874
178,0.789847,64.4992,0.0813607,6.64394,0.128792,10.5172
179,0.78882,64.7686,0.0774383,6.35832,0.133742,10.9813
180,0.787759,65.0342,0.0732177,6.04456,0.139024,11.4772
181,0.786653,65.295,0.0687523,5.70669,0.144595,12.0019
182,0.785489,65.5499,0.0640992,5.34914,0.150412,12.552
183,0.784253,65.7975,0.0593185,4.97672,0.156429,13.1241
184,0.78293,66.0365,0.0544731,4.59455,0.162597,13.7143
185,0.781505,66.2656,0.0496279,4.20806,0.168867,14.3186
186,0.779962,66.4832,0.0448492,3.8229,0.175189,14.9329
187,0.778284,66.6877,0.0402041,3.44491,0.181512,15.5529
188,0.776456,66.8776,0.0357602,3.08009,0.187784,16.1742
189,0.77446,67.0512,0.0315841,2.73449,0.193956,16.7923
190,0.772281,67.2069,0.0277419,2.41421,0.199977,17.4028
191,0.769901,67.3431,0.0242977,2.12531,0.205801,18.0014
192,0.767306,67.458,0.0213133,1.87377,0.211381,18.5836
193,0.76448,67.55,0.0188479,1.66541,0.216672,19.1453
194,0.761409,67.6176,0.0169568,1.50587,0.221635,19.6825
195,0.758078,67.6593,0.0156917,1.4005,0.22623,20.1912
196,0.754477,67.6734,0.0150996,1.35437,0.230424,20.6681
197,0.750592,67.6587,0.0152225,1.37216,0.234186,21.1096
198,0.746414,67.6138,0.0160969,1.45814,0.237489,21.513
199,0.741933,67.5376,0.0177538,1.61611,0.240313,21.8755
200,0.737143,67.4289,0.0202177,1.84938,0.242639,22.195
201,0.732037,67.2867,0.0235068,2.16068,0.244456,22.4697
202,0.726611,67.1103,0.0276327,2.55218,0.245757,22.6983
203,0.720862,66.899,0.0326,3.02542,0.246538,22.8798
204,0.714789,66.6523,0.0384065,3.58131,0.246805,23.0139
205,0.708393,66.3697,0.0450428,4.22009,0.246565,23.1008
206,0.701676,66.0512,0.0524927,4.94131,0.245831,23.1409
207,0.694643,65.6966,0.0607326,5.74385,0.244624,23.1356
208,0.6873,65.3063,0.0697326,6.62589,0.242967,23.0864
209,0.679655,64.8804,0.0794557,7.5849,0.240889,22.9955
210,0.671718,64.4196,0.0898586,8.6177,0.238424,22.8655
211,0.663499,63.9246,0.100892,9.7204,0.235609,22.6997
212,0.655012,63.3962,0.1125,10.8885,0.232487,22.5016
213,0.646272,62.8356,0.124624,12.1169,0.229104,22.2753
214,0.637295,62.2439,0.137196,13.3998,0.22551,22.0253
215,0.628098,61.6227,0.150147,14.7309,0.221756,21.7565
216,0.6187,60.9734,0.163403,16.1034,0.217898,21.474
217,0.609122,60.2978,0.176886,17.5102,0.213992,21.1834
218,0.599384,59.5978,0.190517,18.9434,0.210099,20.8905
219,0.58951,58.8755,0.204212,20.3951,0.206278,20.6014
220,0.579521,58.1329,0.217889,21.8569,0.202589,20.3221
221,0.569443,57.3723,0.231463,23.3203,0.199094,20.0591
222,0.559299,56.5961,0.244848,24.7764,0.195853,19.8186
223,0.549115,55.8068,0.25796,26.2166,0.192925,19.6071
224,0.538915,55.0068,0.270715,27.6318,0.190369,19.4309
225,0.528726,54.1988,0.283033,29.0133,0.188241,19.2963
226,0.518572,53.3854,0.294834,30.3523,0.186594,19.2093
227,0.508479,52.5693,0.306042,31.6403,0.185479,19.1758
228,0.498472,51.7532,0.316585,32.869,0.184943,19.2014
229,0.488576,50.9398,0.326395,34.0305,0.185029,19.2914
230,0.478815,50.1317,0.335408,35.117,0.185776,19.4507
231,0.469213,49.3316,0.343567,36.1216,0.18722,19.6837
232,0.459793,48.5422,0.35082,37.0375,0.189387,19.9944
233,0.450576,47.7661,0.35712,37.8588,0.192304,20.3864
234,0.441583,47.0057,0.36243,38.58,0.195987,20.8625
235,0.432835,46.2635,0.366715,39.1962,0.20045,21.425
236,0.424351,45.5419,0.369951,39.7036,0.205697,22.0757
237,0.416148,44.843,0.372121,40.0988,0.211731,22.8155
238,0.408243,44.1691,0.373214,40.3792,0.218543,23.6449
239,0.400651,43.5223,0.373227,40.5433,0.226122,24.5634
240,0.393385,42.9043,0.372166,40.5901,0.234449,25.57
241,0.386459,42.3171,0.370043,40.5196,0.243498,26.6629
242,0.379883,41.7623,0.366878,40.3326,0.253239,27.8397
243,0.373667,41.2414,0.362699,40.0309,0.263634,29.0971
244,0.367819,40.7558,0.35754,39.6169,0.27464,30.4312
245,0.362347,40.3068,0.351444,39.0939,0.286209,31.8374
246,0.357256,39.8955,0.344457,38.4662,0.298288,33.3105
247,0.352549,39.5229,0.336634,37.7387,0.310817,34.8444
248,0.348232,39.1899,0.328034,36.9169,0.323734,36.4329
249,0.344305,38.8971,0.318724,36.0072,0.336971,38.0686
250,0.340769,38.6452,0.308773,35.0167,0.350459,39.7441
251,0.337624,38.4347,0.298253,33.9528,0.364123,41.4513
252,0.334869,38.2659,0.287244,32.8238,0.377887,43.1817
253,0.332502,38.1392,0.275825,31.6382,0.391673,44.9264
254,0.33052,38.0547,0.26408,30.405,0.405401,46.6762
255,0.328919,38.0124,0.252091,29.1336,0.41899,48.4217
256,0.327696,38.0126,0.239945,27.8335,0.432358,50.1533
257,0.326846,38.0549,0.227727,26.5144,0.445426,51.8613
258,0.326365,38.1395,0.215523,25.1863,0.458113,53.5359
259,0.326245,38.2662,0.203415,23.8591,0.47034,55.1674
260,0.326483,38.4347,0.191487,22.5425,0.48203,56.7461
261,0.327073,38.6449,0.179818,21.2462,0.493109,58.2625
262,0.328009,38.8966,0.168486,19.9796,0.503505,59.7075
263,0.329286,39.1895,0.157563,18.7521,0.513151,61.0719
264,0.330899,39.5235,0.147118,17.5722,0.521983,62.3473
265,0.332841,39.8985,0.137216,16.4485,0.529942,63.5255
266,0.335109,40.3141,0.127917,15.3886,0.536974,64.5988
267,0.337698,40.7704,0.119273,14.3999,0.543029,65.56
268,0.340605,41.2673,0.111332,13.4889,0.548063,66.4027
269,0.343825,41.8047,0.104135,12.6615,0.55204,67.121
270,0.347355,42.3826,0.0977162,11.9229,0.554929,67.7097
271,0.351194,43.0012,0.0921032,11.2774,0.556703,68.1644
272,0.355338,43.6606,0.0873163,10.7286,0.557346,68.4813
273,0.359787,44.3609,0.0833685,10.2791,0.556844,68.6576
274,0.36454,45.1026,0.0802657,9.93085,0.555194,68.6913
275,0.369596,45.8858,0.0780063,9.68459,0.552398,68.581
276,0.374955,46.711,0.0765817,9.54038,0.548464,68.3264
277,0.380617,47.5787,0.0759761,9.49731,0.543406,67.928
278,0.386585,48.4893,0.0761668,9.5536,0.537248,67.387
279,0.392858,49.4434,0.0771247,9.70657,0.530017,66.7056
280,0.399438,50.4415,0.0788139,9.95269,0.521748,65.8868
