t,Norm_0,AvgX_0,Norm_1,AvgX_1
252,0.320925,36.6725,0.679075,77.5989
253,0.338734,38.8541,0.661266,75.8496
254,0.356877,41.0894,0.643123,74.0465
255,0.375321,43.375,0.624679,72.1927
256,0.394035,45.7077,0.605965,70.2916
257,0.412984,48.084,0.587016,68.3466
258,0.432137,50.5003,0.567863,66.3614
259,0.45146,52.953,0.54854,64.3397
260,0.470919,55.4381,0.529081,62.2851
261,0.490481,57.952,0.509519,60.2015
262,0.51011,60.4907,0.48989,58.093
263,0.529773,63.0501,0.470227,55.9634
264,0.549435,65.6262,0.450565,53.8169
265,0.569062,68.2149,0.430938,51.6575
266,0.588621,70.8119,0.411379,49.4896
267,0.608075,73.4131,0.391925,47.3172
268,0.627393,76.0142,0.372607,45.1447
269,0.646539,78.6108,0.353461,42.9764
270,0.66548,81.1987,0.33452,40.8165
271,0.684184,83.7735,0.315816,38.6694
272,0.702618,86.331,0.297382,36.5395
273,0.720749,88.8667,0.279251,34.431
274,0.738546,91.3763,0.261454,32.3483
275,0.755977,93.8556,0.244023,30.2957
276,0.773013,96.3003,0.226987,28.2775
277,0.789624,98.7061,0.210376,26.2979
278,0.80578,101.069,0.19422,24.361
279,0.821453,103.384,0.178547,22.4711
280,0.836616,105.649,0.163384,20.6323
281,0.851243,107.858,0.148757,18.8484
282,0.865307,110.007,0.134693,17.1236
283,0.878785,112.094,0.121215,15.4616
284,0.891653,114.113,0.108347,13.8663
285,0.903888,116.063,0.0961124,12.3412
286,0.915469,117.937,0.0845315,10.89
287,0.926375,119.735,0.0736249,9.51608
288,0.936588,121.451,0.0634116,8.22284
289,0.94609,123.083,0.0539095,7.01347
290,0.954865,124.629,0.0451352,5.89103
291,0.962896,126.083,0.037104,4.85847
292,0.97017,127.445,0.0298299,3.91857
293,0.976674,128.712,0.0233256,3.07398
294,0.982397,129.88,0.0176025,2.32718
295,0.987329,130.948,0.0126706,1.68048
296,0.991462,131.913,0.00853847,1.13604
297,0.994787,132.774,0.00521336,0.695827
298,0.997299,133.529,0.00270107,0.361647
299,0.998994,134.175,0.00100599,0.135115
300,0.999869,134.713,0.000131081,0.0176606
301,0.999922,135.139,7.78673e-05,0.0105237
302,0.999154,135.454,0.000846443,0.114751
303,0.997565,135.657,0.00243547,0.331194
304,0.995158,135.746,0.00484216,0.660502
305,0.991938,135.722,0.00806233,1.10313
306,0.98791,135.583,0.0120903,1.65931
307,0.983081,135.331,0.0169192,2.3291
308,0.97746,134.966,0.0225403,3.11232
309,0.971056,134.486,0.0289441,4.00861
310,0.963881,133.894,0.0361192,5.01739
311,0.955947,133.191,0.0440532,6.13786
312,0.947268,132.376,0.0527321,7.36903
313,0.937859,131.451,0.0621409,8.7097
314,0.927737,130.418,0.072263,10.1585
315,0.916919,129.278,0.0830809,11.7137
316,0.905424,128.033,0.0945756,13.3736
317,0.893273,126.685,0.106727,15.1362
318,0.880486,125.237,0.119514,16.9992
319,0.867086,123.69,0.132914,18.9602
320,0.853096,122.047,0.146904,21.0166
321,0.838541,120.312,0.161459,23.1657
322,0.823446,118.486,0.176554,25.4045
323,0.807837,116.574,0.192163,27.7298
324,0.791742,114.578,0.208258,30.1383
325,0.775189,112.502,0.224811,32.6265
326,0.758206,110.349,0.241794,35.1907
327,0.740824,108.125,0.259176,37.8272
328,0.723073,105.831,0.276927,40.532
329,0.704983,103.473,0.295017,43.3009
330,0.686587,101.055,0.313413,46.1297
331,0.667916,98.5813,0.332084,49.014
332,0.649003,96.056,0.350997,51.9494
333,0.629882,93.484,0.370118,54.9311
334,0.610585,90.87,0.389415,57.9545
335,0.591146,88.2189,0.408854,61.0148
336,0.571599,85.5355,0.428401,64.1069
337,0.551979,82.825,0.448021,67.226
338,0.532319,80.0923,0.467681,70.3668
339,0.512655,77.3426,0.487345,73.5243
340,0.493019,74.5812,0.506981,76.6933
341,0.473447,71.8132,0.526553,79.8684
342,0.453973,69.044,0.546027,83.0444
343,0.43463,66.2789,0.56537,86.216
344,0.415453,63.5233,0.584547,89.3779
345,0.396475,60.7825,0.603525,92.5246
346,0.37773,58.0618,0.62227,95.6508
347,0.359249,55.3667,0.640751,98.7511
348,0.341065,52.7023,0.658935,101.82
349,0.323211,50.0742,0.676789,104.853
350,0.305716,47.4874,0.694284,107.844
351,0.288613,44.9472,0.711387,110.788
352,0.271929,42.4588,0.728071,113.68
353,0.255696,40.0272,0.744304,116.515
354,0.239941,37.6575,0.760059,119.288
355,0.224691,35.3545,0.775309,121.993
356,0.209973,33.1232,0.790027,124.627
357,0.195814,30.9682,0.804186,127.183
358,0.182237,28.8942,0.817763,129.659
359,0.169266,26.9056,0.830734,132.049
360,0.156924,25.0067,0.843076,134.348
361,0.145233,23.2018,0.854767,136.554
362,0.134213,21.495,0.865787,138.661
363,0.123884,19.8902,0.876116,140.665
364,0.114262,18.3911,0.885738,142.564
365,0.105366,17.0012,0.894634,144.353
366,0.0972101,15.724,0.90279,146.029
367,0.0898092,14.5627,0.910191,147.589
368,0.0831762,13.5202,0.916824,149.029
369,0.0773225,12.5995,0.922677,150.348
370,0.0722585,11.803,0.927742,151.542
371,0.0679929,11.1333,0.932007,152.608
372,0.0645333,10.5924,0.935467,153.546
373,0.0618855,10.1823,0.938114,154.352
374,0.0600544,9.90481,0.939946,155.026
375,0.0590431,9.76137,0.940957,155.565
376,0.0588532,9.75325,0.941147,155.968
377,0.0594853,9.88149,0.940515,156.235
378,0.0609381,10.1469,0.939062,156.364
379,0.0632092,10.5499,0.936791,156.355
380,0.0662945,11.091,0.933705,156.208
381,0.0701887,11.7701,0.929811,155.922
382,0.074885,12.5871,0.925115,155.499
383,0.0803752,13.5415,0.919625,154.937
384,0.0866496,14.6326,0.91335,154.238
385,0.0936974,15.8595,0.906303,153.403
386,0.101506,17.221,0.898494,152.434
387,0.110062,18.7156,0.889938,151.33
388,0.119351,20.3418,0.880649,150.095
389,0.129356,22.0975,0.870644,148.73
390,0.140059,23.9806,0.859941,147.237
391,0.151443,25.9887,0.848557,145.619
392,0.163487,28.1192,0.836513,143.878
393,0.176169,30.3691,0.823831,142.017
394,0.189469,32.7355,0.810531,140.039
395,0.203363,35.2149,0.796637,137.948
396,0.217826,37.8039,0.782174,135.747
397,0.232833,40.4987,0.767167,133.44
398,0.248358,43.2953,0.751642,131.031
399,0.264374,46.1896,0.735626,128.523
400,0.280853,49.1772,0.719147,125.922
401,0.297767,52.2537,0.702233,123.232
402,0.315084,55.4142,0.684916,120.457
403,0.332777,58.654,0.667223,117.602
404,0.350812,61.968,0.649188,114.673
405,0.36916,65.3509,0.63084,111.675
406,0.387787,68.7974,0.612213,108.613
407,0.406662,72.3021,0.593338,105.492
408,0.425751,75.8593,0.574249,102.318
409,0.445021,79.4632,0.554979,99.0974
410,0.464439,83.1082,0.535561,95.8351
411,0.48397,86.7882,0.51603,92.5375
412,0.50358,90.4972,0.49642,89.2104
413,0.523236,94.2291,0.476764,85.8601
414,0.542902,97.9777,0.457098,82.4926
415,0.562545,101.737,0.437455,79.1142
416,0.58213,105.5,0.41787,75.7312
417,0.601623,109.262,0.398377,72.3499
418,0.620989,113.014,0.379011,68.9765
419,0.640196,116.753,0.359804,65.6175
420,0.659209,120.47,0.340791,62.2791
421,0.677996,124.16,0.322004,58.9678
422,0.696523,127.816,0.303477,55.6897
423,0.714758,131.432,0.285242,52.4512
424,0.73267,135.002,0.26733,49.2584
425,0.750226,138.52,0.249774,46.1176
426,0.767397,141.979,0.232603,43.0348
427,0.784152,145.374,0.215848,40.016
428,0.800462,148.698,0.199538,37.0672
429,0.816299,151.946,0.183701,34.1942
430,0.831635,155.113,0.168365,31.4027
431,0.846442,158.192,0.153558,28.6984
432,0.860697,161.177,0.139303,26.0865
433,0.874372,164.065,0.125628,23.5725
434,0.887445,166.849,0.112555,21.1616
435,0.899893,169.525,0.100107,18.8586
436,0.911693,172.088,0.0883068,16.6684
437,0.922826,174.532,0.0771739,14.5958
438,0.933272,176.855,0.0667281,12.645
439,0.943012,179.051,0.0569878,10.8203
440,0.95203,181.116,0.0479698,9.12587
441,0.96031,183.047,0.03969,7.5654
442,0.967837,184.84,0.0321628,6.14252
443,0.974599,186.491,0.0254013,4.86058
444,0.980583,187.998,0.0194174,3.72272
445,0.985779,189.358,0.0142215,2.7318
446,0.990177,190.568,0.00982264,1.89045
447,0.993771,191.625,0.0062286,1.20104
448,0.996554,192.528,0.0034456,0.665667
449,0.998521,193.275,0.0014785,0.28618
450,0.999669,193.863,0.000330753,0.0641421
451,0.999996,194.293,4.35145e-06,0.000845459
452,0.9995,194.562,0.000499868,0.0973041
453,0.998184,194.671,0.00181644,0.354251
454,0.996048,194.618,0.00395176,0.772134
455,0.993098,194.404,0.00690211,1.35112
456,0.989338,194.028,0.0106623,2.09108
457,0.984774,193.491,0.0152258,2.99161
458,0.979415,192.794,0.0205847,4.05201
459,0.97327,191.938,0.0267295,5.2713
460,0.96635,190.923,0.0336496,6.64819
461,0.958667,189.752,0.0413328,8.18114
462,0.950234,188.427,0.0497658,9.8683
463,0.941066,186.949,0.0589337,11.7076
464,0.931179,185.321,0.0688207,13.6965
465,0.920591,183.545,0.0794093,15.8324
466,0.909319,181.625,0.0906812,18.1124
467,0.897383,179.564,0.102617,20.5333
468,0.884805,177.364,0.115195,23.0915
469,0.871606,175.031,0.128394,25.7833
470,0.85781,172.568,0.14219,28.6048
471,0.84344,169.979,0.15656,31.5517
472,0.828521,167.268,0.171479,34.6195
473,0.81308,164.441,0.18692,37.8036
474,0.797144,161.502,0.202856,41.099
475,0.780739,158.457,0.219261,44.5006
476,0.763896,155.31,0.236104,48.0029
477,0.746644,152.068,0.253356,51.6006
478,0.729012,148.735,0.270988,55.2878
479,0.711031,145.319,0.288969,59.0587
480,0.692733,141.824,0.307267,62.9071
481,0.67415,138.258,0.32585,66.8268
482,0.655314,134.626,0.344686,70.8114
483,0.636258,130.936,0.363742,74.8544
484,0.617016,127.193,0.382984,78.9491
485,0.59762,123.405,0.40238,83.0889
486,0.578106,119.578,0.421894,87.2667
487,0.558506,115.72,0.441494,91.4756
488,0.538856,111.837,0.461144,95.7087
489,0.519189,107.937,0.480811,99.9587
490,0.49954,104.027,0.50046,104.219
491,0.479943,100.113,0.520057,108.481
492,0.460432,96.2041,0.539568,112.739
493,0.441042,92.3062,0.558958,116.985
494,0.421807,88.427,0.578193,121.212
495,0.402759,84.5737,0.597241,125.412
496,0.383932,80.7535,0.616068,129.579
497,0.36536,76.9736,0.63464,133.705
498,0.347074,73.2412,0.652926,137.783
499,0.329107,69.5633,0.670893,141.807
500,0.311489,65.9469,0.688511,145.768
501,0.294252,62.399,0.705748,149.661
502,0.277426,58.9262,0.722574,153.477
503,0.26104,55.5354,0.73896,157.212
504,0.245122,52.2332,0.754878,160.857
505,0.229702,49.0258,0.770298,164.407
506,0.214804,45.9198,0.785196,167.855
507,0.200456,42.921,0.799544,171.196
508,0.186683,40.0357,0.813317,174.422
509,0.173508,37.2694,0.826492,177.529
510,0.160955,34.6278,0.839045,180.511
511,0.149046,32.1162,0.850954,183.363
512,0.1378,29.7399,0.8622,186.079
513,0.127239,27.5037,0.872761,188.654
514,0.11738,25.4124,0.88262,191.084
515,0.108241,23.4704,0.891759,193.364
516,0.0998377,21.6819,0.900162,195.49
517,0.0921844,20.0509,0.907816,197.458
518,0.0852949,18.5811,0.914705,199.264
519,0.079181,17.2758,0.920819,200.906
520,0.0738534,16.1382,0.926147,202.379
521,0.0693216,15.1712,0.930678,203.681
522,0.0655933,14.3772,0.934407,204.81
523,0.0626752,13.7585,0.937325,205.763
524,0.0605722,13.3171,0.939428,206.538
525,0.0592881,13.0546,0.940712,207.134
526,0.0588251,12.9722,0.941175,207.549
527,0.0591841,13.071,0.940816,207.783
528,0.0603643,13.3517,0.939636,207.834
529,0.0623638,13.8147,0.937636,207.702
530,0.065179,14.4598,0.934821,207.388
531,0.0688051,15.287,0.931195,206.892
532,0.0732356,16.2956,0.926764,206.213
533,0.0784629,17.4845,0.921537,205.354
534,0.0844778,18.8527,0.915522,204.315
535,0.0912699,20.3984,0.90873,203.097
