t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
59,0.31161,8.5299,0.215672,5.90374,0.147214,4.02978,0.100582,2.75328,0.0989081,2.70748,0.0264252,0.723353,0.0995891,2.72612
60,0.301422,8.39027,0.212121,5.90453,0.146121,4.06738,0.102928,2.86506,0.103231,2.8735,0.0275743,0.767548,0.106603,2.96735
61,0.291484,8.24829,0.208553,5.90154,0.144718,4.09516,0.105382,2.98205,0.107496,3.04188,0.0287282,0.812937,0.113639,3.21571
62,0.281792,8.10417,0.204993,5.89549,0.143008,4.11283,0.107972,3.10521,0.111693,3.21223,0.0298839,0.859445,0.120658,3.47006
63,0.272341,7.95814,0.201468,5.88715,0.140999,4.12015,0.110724,3.23548,0.11581,3.38411,0.0310387,0.906989,0.12762,3.72922
64,0.263126,7.81036,0.198003,5.87733,0.138698,4.11698,0.113661,3.3738,0.119837,3.55712,0.0321896,0.955483,0.134484,3.9919
65,0.254142,7.66102,0.194625,5.8669,0.136119,4.10325,0.116804,3.52101,0.123764,3.73084,0.033334,1.00484,0.141213,4.2568
66,0.245382,7.51023,0.191358,5.85676,0.133273,4.07899,0.120167,3.67787,0.127584,3.90486,0.0344697,1.05499,0.147766,4.52258
67,0.23684,7.35811,0.188229,5.84785,0.130179,4.04437,0.123761,3.84499,0.131287,4.07879,0.0355947,1.10585,0.15411,4.78785
68,0.22851,7.20475,0.185262,5.84119,0.126856,3.99967,0.127591,4.02285,0.134866,4.25222,0.0367078,1.15737,0.160208,5.05126
69,0.220383,7.05022,0.182484,5.83778,0.123326,3.94529,0.131655,4.21173,0.138314,4.42475,0.0378078,1.2095,0.166031,5.31144
70,0.212454,6.89456,0.179918,5.83871,0.119616,3.88179,0.135946,4.41172,0.141624,4.596,0.0388941,1.26219,0.171548,5.56709
71,0.204713,6.7378,0.17759,5.84506,0.115755,3.80987,0.140449,4.62266,0.144791,4.76556,0.0399665,1.31543,0.176736,5.81696
72,0.197155,6.57994,0.175523,5.85799,0.111773,3.73036,0.145146,4.84417,0.147809,4.93306,0.0410245,1.36917,0.181571,6.05985
73,0.18977,6.42098,0.173741,5.87864,0.107704,3.64425,0.150008,5.07563,0.150672,5.0981,0.0420678,1.42339,0.186037,6.29468
74,0.182551,6.2609,0.172268,5.90821,0.103585,3.55264,0.155005,5.31616,0.153376,5.26029,0.0430956,1.47804,0.19012,6.52049
75,0.17549,6.09965,0.171125,5.94791,0.0994532,3.45677,0.160099,5.56466,0.155915,5.41924,0.0441068,1.53305,0.193811,6.73643
76,0.168581,5.93719,0.170335,5.99898,0.0953467,3.35798,0.165248,5.81979,0.158284,5.57455,0.0450994,1.58834,0.197106,6.9418
77,0.161815,5.77346,0.16992,6.06265,0.091305,3.25771,0.170407,6.08002,0.160479,5.7258,0.0460709,1.64379,0.200004,7.13604
78,0.155184,5.6084,0.169899,6.14019,0.087367,3.15746,0.175528,6.34361,0.162494,5.87257,0.0470176,1.69923,0.20251,7.31877
79,0.148684,5.44196,0.170293,6.23288,0.0835711,3.05878,0.180561,6.60868,0.164324,6.01442,0.0479349,1.75446,0.204632,7.48973
80,0.142306,5.27406,0.17112,6.34198,0.079954,2.96322,0.185455,6.87326,0.165965,6.1509,0.0488173,1.80924,0.206383,7.64885
81,0.136044,5.10466,0.172399,6.46877,0.0765505,2.87233,0.190162,7.13526,0.167409,6.28154,0.0496584,1.86328,0.207776,7.79619
82,0.129894,4.9337,0.174147,6.61452,0.0733924,2.78762,0.194631,7.39256,0.168653,6.40588,0.0504509,1.91625,0.208832,7.93195
83,0.12385,4.76115,0.176378,6.78049,0.070508,2.71053,0.198816,7.64305,0.169691,6.52341,0.0511872,1.96778,0.209569,8.05642
