t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
151,0.85104,59.1491,0.087407,6.07497,0.0177924,1.23661,0.043761,3.04148
152,0.861237,60.2474,0.0784256,5.48622,0.0194196,1.35849,0.0409182,2.86242
153,0.870962,61.3216,0.0697859,4.91339,0.0211234,1.48723,0.0381284,2.6845
154,0.880198,62.3697,0.0615217,4.35935,0.0228773,1.62106,0.0354032,2.50863
155,0.888925,63.3898,0.0536669,3.82702,0.0246531,1.75803,0.0327556,2.33582
156,0.897125,64.3799,0.0462547,3.31935,0.0264212,1.89605,0.0301992,2.16717
157,0.904782,65.3379,0.0393177,2.83929,0.0281521,2.03298,0.0277483,2.00382
158,0.911879,66.2621,0.032887,2.38975,0.0298168,2.16665,0.0254171,1.84694
159,0.918401,67.1505,0.0269918,1.97355,0.0313873,2.29494,0.0232194,1.69772
160,0.924335,68.0014,0.021659,1.59341,0.0328379,2.41582,0.0211682,1.5573
161,0.929666,68.8128,0.016913,1.25188,0.0341456,2.52742,0.0192755,1.42675
162,0.934383,69.5832,0.0127746,0.951317,0.0352908,2.62809,0.0175515,1.30706
163,0.938476,70.3109,0.00926129,0.693859,0.036258,2.71646,0.0160047,1.19908
164,0.941936,70.9945,0.00638669,0.48137,0.0370363,2.79146,0.0146415,1.10354
165,0.944754,71.6324,0.00416002,0.315417,0.03762,2.8524,0.0134656,1.02098
166,0.946926,72.2233,0.00258603,0.19724,0.0380086,2.89897,0.0124789,0.951778
167,0.948448,72.7662,0.00166479,0.127725,0.0382072,2.93131,0.01168,0.896108
168,0.949316,73.2598,0.00139152,0.107385,0.0382265,2.94999,0.0110656,0.853948
169,0.949531,73.7034,0.00175655,0.136345,0.0380829,2.95602,0.0106296,0.825082
170,0.949093,74.096,0.00274528,0.214325,0.037798,2.9509,0.0103637,0.8091
171,0.948006,74.4371,0.00433831,0.340643,0.0373985,2.93652,0.0102575,0.805416
172,0.946274,74.7261,0.00651156,0.514211,0.0369159,2.91521,0.0102988,0.813287
173,0.943904,74.9628,0.00923648,0.733541,0.0363855,2.88965,0.0104741,0.831834
174,0.940905,75.1469,0.0124803,0.996762,0.0358459,2.86289,0.0107689,0.860078
175,0.937287,75.2785,0.0162065,1.30163,0.0353385,2.83822,0.0111681,0.896973
176,0.933062,75.3577,0.020375,1.64556,0.0349062,2.81916,0.0116567,0.941443
177,0.928244,75.3847,0.0249428,2.02566,0.0345928,2.80935,0.0122202,0.992431
178,0.922849,75.3601,0.0298644,2.43874,0.0344418,2.81252,0.0128451,1.04894
179,0.916892,75.2844,0.0350923,2.88137,0.0344956,2.83238,0.0135196,1.11007
180,0.910394,75.1585,0.0405776,3.34993,0.0347946,2.87251,0.014234,1.1751
181,0.903372,74.9832,0.0462705,3.84062,0.0353759,2.93633,0.0149811,1.24349
182,0.895849,74.7596,0.052121,4.34956,0.0362727,3.02699,0.015757,1.31494
183,0.887846,74.4888,0.0580794,4.87277,0.0375131,3.14728,0.0165611,1.38944
184,0.879387,74.1722,0.0640969,5.40628,0.0391198,3.29958,0.0173966,1.46732
185,0.870494,73.8112,0.0701261,5.94615,0.0411091,3.48574,0.0182709,1.54923
186,0.861193,73.4072,0.0761215,6.48852,0.0434905,3.70708,0.0191954,1.6362
187,0.851508,72.9619,0.0820402,7.02965,0.0462659,3.96432,0.0201861,1.72965
188,0.841465,72.4769,0.0878421,7.566,0.0494301,4.2575,0.0212629,1.83141
189,0.83109,71.9541,0.0934904,8.09421,0.0529697,4.58601,0.02245,1.94367
190,0.820408,71.3952,0.098952,8.61119,0.0568641,4.94854,0.0237755,2.06904
191,0.809446,70.8021,0.104198,9.11414,0.0610849,5.34308,0.0252711,2.21045
192,0.79823,70.1766,0.109202,9.60056,0.0655967,5.76695,0.0269714,2.3712
193,0.786783,69.5208,0.113945,10.0683,0.0703573,6.21683,0.0289139,2.55485
194,0.775133,68.8365,0.11841,10.5156,0.0753187,6.68875,0.0311377,2.76521
195,0.763303,68.1256,0.122586,10.9409,0.0804275,7.17824,0.0336835,3.00629
196,0.751318,67.3901,0.126464,11.3433,0.085626,7.6803,0.0365923,3.28218
197,0.739199,66.6318,0.130043,11.7221,0.0908531,8.18954,0.0399049,3.59705
198,0.726971,65.8527,0.133322,12.077,0.0960453,8.70026,0.0436608,3.95501
199,0.714655,65.0545,0.136309,12.4081,0.101138,9.20652,0.0478977,4.36009
200,0.702271,64.239,0.139012,12.7159,0.106067,9.70227,0.0526503,4.81609
201,0.689839,63.408,0.141444,13.0011,0.110768,10.1815,0.0579495,5.32655
202,0.677377,62.563,0.143622,13.265,0.11518,10.6381,0.0638216,5.89462
203,0.664902,61.7057,0.145565,13.509,0.119245,11.0665,0.0702878,6.52301
204,0.652432,60.8377,0.147294,13.7348,0.122911,11.4611,0.0773629,7.2139
205,0.639981,59.9602,0.148835,13.9445,0.126129,11.8171,0.0850553,7.96888
206,0.627563,59.0746,0.150214,14.1402,0.128857,12.1298,0.0933658,8.78884
207,0.61519,58.1823,0.151459,14.3244,0.131063,12.3954,0.102288,9.67398
208,0.602875,57.2843,0.1526,14.4998,0.132718,12.6107,0.111807,10.6237
