t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6,Norm_7,AvgX_7
54,0.366466,9.18468,0.231932,5.81288,0.147726,3.70242,0.0930929,2.33317,0.0574488,1.43983,0.0485322,1.21636,0.0133157,0.333731,0.0414867,1.03977
55,0.355019,9.06191,0.228659,5.83656,0.148584,3.79263,0.0948977,2.42227,0.0601289,1.5348,0.0521882,1.33211,0.0142585,0.363951,0.0462637,1.18089
56,0.343842,8.93553,0.225185,5.85197,0.149262,3.87892,0.0964318,2.50601,0.0628419,1.63309,0.0559187,1.45318,0.0152249,0.395655,0.0512936,1.33298
57,0.332934,8.80594,0.221524,5.85921,0.14978,3.96161,0.0976817,2.58363,0.0655994,1.73507,0.0597109,1.57932,0.016214,0.428853,0.0565554,1.49586
58,0.322297,8.67353,0.217688,5.85834,0.150163,4.04111,0.0986356,2.65444,0.0684144,1.84114,0.063552,1.71029,0.0172249,0.46355,0.0620252,1.6692
59,0.311931,8.53869,0.213689,5.84945,0.150434,4.11794,0.0992839,2.71776,0.0712999,1.95174,0.0674291,1.84578,0.0182565,0.499747,0.0676759,1.85254
60,0.301836,8.4018,0.209537,5.83259,0.150623,4.19269,0.0996195,2.77297,0.0742691,2.06733,0.0713294,1.9855,0.0193078,0.537445,0.0734781,2.04531
61,0.292011,8.2632,0.205241,5.80781,0.150758,4.26608,0.0996385,2.81953,0.077334,2.18836,0.0752401,2.12911,0.0203777,0.576638,0.0794,2.24683
62,0.282456,8.12327,0.200808,5.77513,0.150869,4.3389,0.0993399,2.85696,0.0805053,2.31529,0.079149,2.27628,0.0214649,0.617318,0.0854083,2.45629
63,0.273169,7.98233,0.196247,5.73457,0.150987,4.41202,0.0987262,2.8849,0.0837913,2.44848,0.0830436,2.42664,0.0225682,0.659471,0.0914686,2.67283
64,0.264149,7.84074,0.191561,5.6861,0.151144,4.48642,0.0978036,2.9031,0.0871978,2.58829,0.0869118,2.5798,0.0236862,0.703077,0.097546,2.89546
65,0.255395,7.69881,0.186756,5.6297,0.151374,4.56313,0.0965822,2.91144,0.0907273,2.73494,0.0907418,2.73538,0.0248173,0.748109,0.103605,3.12315
66,0.246906,7.55688,0.181836,5.56532,0.15171,4.64327,0.0950758,2.90992,0.094379,2.88859,0.0945216,2.89295,0.0259597,0.79453,0.109612,3.35483
67,0.238679,7.41525,0.176803,5.49288,0.152183,4.72801,0.0933021,2.89869,0.0981479,3.04924,0.0982394,3.05209,0.0271113,0.842289,0.115533,3.58937
68,0.230714,7.27425,0.171659,5.4123,0.152828,4.81857,0.0912827,2.87808,0.102026,3.2168,0.101884,3.21232,0.0282696,0.89132,0.121337,3.82566
69,0.223008,7.13417,0.166407,5.32349,0.153677,4.91623,0.0890423,2.84853,0.105999,3.391,0.105442,3.37317,0.0294316,0.941537,0.126992,4.06258
70,0.215559,6.99533,0.161049,5.22636,0.15476,5.02228,0.086609,2.81064,0.110053,3.57146,0.108904,3.53414,0.0305938,0.992832,0.132473,4.29902
71,0.208366,6.85802,0.155584,5.12079,0.156108,5.13802,0.0840134,2.76516,0.114168,3.75765,0.112255,3.6947,0.0317522,1.04507,0.137753,4.53392
72,0.201427,6.72253,0.150016,5.00671,0.157749,5.26479,0.0812883,2.71296,0.118321,3.94891,0.115486,3.85428,0.032902,1.09809,0.142812,4.76627
73,0.19474,6.58916,0.144346,4.88403,0.15971,5.40389,0.0784681,2.65502,0.122488,4.14445,0.118582,4.01231,0.0340379,1.1517,0.147629,4.99512
74,0.188303,6.45819,0.138576,4.75272,0.162015,5.5566,0.0755878,2.59241,0.126641,4.34338,0.121533,4.16818,0.035154,1.20567,0.152189,5.21958
75,0.182115,6.32992,0.132711,4.61275,0.164688,5.72416,0.0726827,2.52629,0.130755,4.54473,0.124326,4.32128,0.0362439,1.25976,0.156479,5.43884
76,0.176174,6.20462,0.126755,4.46415,0.167745,5.90777,0.0697877,2.45783,0.1348,4.74747,0.126949,4.47095,0.0373008,1.31368,0.160488,5.65216
