x,AbsPsi
-935.5,3.54305e-13
-935.4,3.51442e-13
-935.3,3.52832e-13
-935.2,3.51375e-13
-935.1,3.52041e-13
-935,3.51957e-13
-934.9,3.52612e-13
-934.8,3.51773e-13
-934.7,3.51844e-13
-934.6,3.51969e-13
-934.5,3.51903e-13
-934.4,3.51299e-13
-934.3,3.52367e-13
-934.2,3.52243e-13
-934.1,3.52689e-13
-934,3.5324e-13
-933.9,3.53307e-13
-933.8,3.52354e-13
-933.7,3.52884e-13
-933.6,3.51511e-13
-933.5,3.53329e-13
-933.4,3.53716e-13
-933.3,3.54333e-13
-933.2,3.52841e-13
-933.1,3.53735e-13
-933,3.55222e-13
-932.9,3.5535e-13
-932.8,3.55101e-13
-932.7,3.5526e-13
-932.6,3.54724e-13
-932.5,3.55232e-13
-932.4,3.55631e-13
-932.3,3.53171e-13
-932.2,3.53352e-13
-932.1,3.53049e-13
-932,3.53258e-13
-931.9,3.53172e-13
-931.8,3.53889e-13
-931.7,3.51737e-13
-931.6,3.51962e-13
-931.5,3.52621e-13
-931.4,3.53489e-13
-931.3,3.5234e-13
-931.2,3.54469e-13
-931.1,3.52826e-13
-931,3.55187e-13
-930.9,3.54794e-13
-930.8,3.53452e-13
-930.7,3.52185e-13
-930.6,3.53847e-13
-930.5,3.5182e-13
-930.4,3.54632e-13
-930.3,3.53409e-13
-930.2,3.53622e-13
-930.1,3.51865e-13
-930,3.53111e-13
-929.9,3.51424e-13
-929.8,3.5204e-13
-929.7,3.52843e-13
-929.6,3.51633e-13
-929.5,3.51021e-13
-929.4,3.50155e-13
-929.3,3.49519e-13
-929.2,3.48792e-13
-929.1,3.48359e-13
-929,3.47689e-13
-928.9,3.47012e-13
-928.8,3.4767e-13
-928.7,3.47131e-13
-928.6,3.46444e-13
-928.5,3.46917e-13
-928.4,3.46042e-13
-928.3,3.47586e-13
-928.2,3.47584e-13
-928.1,3.4663e-13
-928,3.46025e-13
-927.9,3.46616e-13
-927.8,3.46037e-13
-927.7,3.45255e-13
-927.6,3.45217e-13
-927.5,3.43829e-13
-927.4,3.44387e-13
-927.3,3.43706e-13
-927.2,3.42796e-13
-927.1,3.41802e-13
-927,3.41603e-13
-926.9,3.42181e-13
-926.8,3.41285e-13
-926.7,3.4201e-13
-926.6,3.39214e-13
-926.5,3.40895e-13
-926.4,3.37651e-13
-926.3,3.38839e-13
-926.2,3.3688e-13
-926.1,3.36391e-13
-926,3.3566e-13
-925.9,3.34635e-13
-925.8,3.34302e-13
-925.7,3.34857e-13
-925.6,3.34563e-13
-925.5,3.35625e-13
-925.4,3.35285e-13
-925.3,3.34454e-13
-925.2,3.33277e-13
-925.1,3.33911e-13
-925,3.33351e-13
-924.9,3.34683e-13
-924.8,3.32308e-13
-924.7,3.32594e-13
-924.6,3.33054e-13
-924.5,3.32001e-13
-924.4,3.32037e-13
-924.3,3.31964e-13
-924.2,3.3247e-13
-924.1,3.31063e-13
-924,3.30559e-13
-923.9,3.31281e-13
-923.8,3.28957e-13
-923.7,3.31109e-13
-923.6,3.26915e-13
-923.5,3.28599e-13
-923.4,3.26926e-13
-923.3,3.27202e-13
-923.2,3.25424e-13
-923.1,3.24636e-13
-923,3.24808e-13
-922.9,3.22411e-13
-922.8,3.23461e-13
-922.7,3.2284e-13
-922.6,3.22002e-13
-922.5,3.20185e-13
-922.4,3.21169e-13
-922.3,3.20903e-13
-922.2,3.21442e-13
-922.1,3.18797e-13
-922,3.19362e-13
-921.9,3.17412e-13
-921.8,3.16253e-13
-921.7,3.16815e-13
-921.6,3.15783e-13
-921.5,3.13841e-13
-921.4,3.14039e-13
-921.3,3.13783e-13
-921.2,3.12837e-13
-921.1,3.12556e-13
-921,3.11097e-13
-920.9,3.10045e-13
-920.8,3.08484e-13
-920.7,3.10204e-13
-920.6,3.08837e-13
-920.5,3.09532e-13
-920.4,3.07341e-13
-920.3,3.08415e-13
-920.2,3.06535e-13
-920.1,3.07664e-13
-920,3.04487e-13
-919.9,3.04909e-13
-919.8,3.05089e-13
-919.7,3.05942e-13
-919.6,3.04296e-13
-919.5,3.05006e-13
-919.4,3.01374e-13
-919.3,3.03555e-13
-919.2,3.00918e-13
-919.1,3.02036e-13
-919,2.99716e-13
-918.9,3.01136e-13
-918.8,2.99694e-13
-918.7,2.99948e-13
-918.6,2.99402e-13
-918.5,2.98209e-13
-918.4,2.98606e-13
-918.3,2.97128e-13
-918.2,2.95647e-13
-918.1,2.9652e-13
-918,2.95006e-13
-917.9,2.93255e-13
-917.8,2.92204e-13
-917.7,2.90736e-13
-917.6,2.90289e-13
-917.5,2.90009e-13
-917.4,2.89591e-13
-917.3,2.89442e-13
-917.2,2.8828e-13
-917.1,2.88455e-13
-917,2.87956e-13
-916.9,2.86871e-13
-916.8,2.85496e-13
-916.7,2.84578e-13
-916.6,2.83602e-13
-916.5,2.82355e-13
-916.4,2.83083e-13
-916.3,2.84563e-13
-916.2,2.83591e-13
-916.1,2.83007e-13
-916,2.82244e-13
-915.9,2.81737e-13
-915.8,2.8122e-13
-915.7,2.79484e-13
-915.6,2.80028e-13
-915.5,2.78176e-13
-915.4,2.79139e-13
-915.3,2.76247e-13
-915.2,2.78303e-13
-915.1,2.75205e-13
-915,2.7654e-13
-914.9,2.74272e-13
-914.8,2.74884e-13
-914.7,2.7378e-13
-914.6,2.7367e-13
-914.5,2.72737e-13
-914.4,2.72927e-13
-914.3,2.7201e-13
-914.2,2.71407e-13
-914.1,2.71934e-13
-914,2.71933e-13
-913.9,2.70426e-13
-913.8,2.68967e-13
-913.7,2.686e-13
-913.6,2.68601e-13
-913.5,2.69119e-13
-913.4,2.67739e-13
-913.3,2.69574e-13
-913.2,2.6728e-13
-913.1,2.68483e-13
-913,2.66508e-13
-912.9,2.6644e-13
-912.8,2.66229e-13
-912.7,2.66118e-13
-912.6,2.67445e-13
-912.5,2.65917e-13
-912.4,2.66668e-13
-912.3,2.66451e-13
-912.2,2.66147e-13
-912.1,2.65487e-13
-912,2.6602e-13
-911.9,2.643e-13
-911.8,2.65107e-13
-911.7,2.63426e-13
-911.6,2.64667e-13
-911.5,2.63938e-13
-911.4,2.65215e-13
-911.3,2.65197e-13
-911.2,2.64932e-13
-911.1,2.64082e-13
-911,2.64734e-13
-910.9,2.64173e-13
-910.8,2.64088e-13
-910.7,2.65503e-13
-910.6,2.64066e-13
-910.5,2.63688e-13
-910.4,2.64234e-13
-910.3,2.64636e-13
-910.2,2.62483e-13
-910.1,2.63925e-13
-910,2.62713e-13
-909.9,2.63518e-13
-909.8,2.65646e-13
-909.7,2.65869e-13
-909.6,2.66666e-13
-909.5,2.64854e-13
-909.4,2.65724e-13
-909.3,2.62918e-13
-909.2,2.66425e-13
-909.1,2.64023e-13
-909,2.66137e-13
-908.9,2.6337e-13
-908.8,2.64027e-13
-908.7,2.62898e-13
-908.6,2.64116e-13
-908.5,2.65546e-13
-908.4,2.6652e-13
-908.3,2.66157e-13
-908.2,2.66492e-13
-908.1,2.66111e-13
-908,2.66667e-13
-907.9,2.65841e-13
-907.8,2.67939e-13
-907.7,2.69011e-13
-907.6,2.70811e-13
-907.5,2.68743e-13
-907.4,2.69939e-13
-907.3,2.69542e-13
-907.2,2.72385e-13
-907.1,2.71363e-13
-907,2.71274e-13
-906.9,2.71155e-13
-906.8,2.7359e-13
-906.7,2.73021e-13
-906.6,2.74333e-13
-906.5,2.73751e-13
-906.4,2.74463e-13
-906.3,2.73928e-13
-906.2,2.75578e-13
-906.1,2.75214e-13
-906,2.75805e-13
-905.9,2.76144e-13
-905.8,2.7521e-13
-905.7,2.76794e-13
-905.6,2.76893e-13
-905.5,2.77774e-13
-905.4,2.76851e-13
-905.3,2.78275e-13
-905.2,2.75976e-13
-905.1,2.79321e-13
-905,2.78825e-13
-904.9,2.81514e-13
-904.8,2.80247e-13
-904.7,2.82574e-13
-904.6,2.82344e-13
-904.5,2.84113e-13
-904.4,2.82683e-13
-904.3,2.84972e-13
-904.2,2.8454e-13
-904.1,2.87707e-13
-904,2.85456e-13
-903.9,2.88059e-13
-903.8,2.86888e-13
-903.7,2.88181e-13
-903.6,2.89425e-13
-903.5,2.90163e-13
-903.4,2.90615e-13
-903.3,2.92302e-13
-903.2,2.92455e-13
-903.1,2.91756e-13
