x,x_g,x_ex,k,init,g,ex,E,T
-378.51,1.87911e-28,5.91094e-29,-15.2171,1.03255e-28,2.6494e-29,1.27531e-29,166.842,0
-378.315,3.03591e-28,8.20519e-29,-15.2092,9.89254e-29,5.14908e-30,1.09495e-29,166.67,0
-378.12,1.93173e-28,6.81398e-29,-15.2014,9.34385e-29,2.1595e-29,3.96977e-30,166.498,0
-377.924,1.65891e-28,4.58996e-29,-15.1935,8.81707e-29,1.46574e-29,9.31918e-31,166.326,0
-377.729,2.65075e-28,7.35747e-29,-15.1857,8.34775e-29,2.56901e-29,4.82428e-30,166.154,0
-377.534,2.03516e-28,9.38965e-29,-15.1778,7.90153e-29,1.41965e-29,9.64575e-31,165.982,0
-377.338,1.51445e-28,5.56516e-29,-15.17,7.46141e-29,1.95578e-29,4.13113e-30,165.811,0
-377.143,2.56094e-28,5.99441e-29,-15.1621,6.99118e-29,5.63806e-29,1.58275e-30,165.639,0
-376.947,2.32586e-28,9.1908e-29,-15.1543,6.62879e-29,1.60435e-29,3.27138e-30,165.467,0
-376.752,1.82916e-28,8.06037e-29,-15.1464,6.16156e-29,3.56734e-31,4.49893e-30,165.296,0
-376.557,1.84762e-28,5.0181e-29,-15.1385,5.74159e-29,2.43324e-30,2.94118e-30,165.125,0
-376.361,1.98953e-28,7.02225e-29,-15.1307,5.35483e-29,2.17659e-29,9.87706e-31,164.953,0
-376.166,1.78583e-28,8.48149e-29,-15.1228,5.05099e-29,7.27641e-30,7.70197e-30,164.782,0
-375.971,2.05902e-28,6.40064e-29,-15.115,4.60639e-29,1.95006e-29,5.74476e-30,164.611,0
-375.775,1.41926e-28,5.13934e-29,-15.1071,4.29231e-29,2.45057e-29,1.28028e-30,164.44,0
-375.58,1.51397e-28,7.19167e-29,-15.0993,3.96084e-29,3.38614e-29,2.15577e-30,164.269,0
-375.385,1.90884e-28,7.13105e-29,-15.0914,3.65937e-29,1.29967e-29,4.91961e-30,164.098,0
-375.189,1.55494e-28,5.14833e-29,-15.0836,3.3945e-29,6.74656e-30,8.73464e-31,163.927,0
-374.994,8.47133e-29,4.34207e-29,-15.0757,3.08994e-29,5.25117e-30,1.35034e-30,163.757,0
-374.799,1.58166e-28,6.66697e-29,-15.0679,2.81358e-29,3.07243e-29,8.33762e-31,163.586,0
-374.603,1.51472e-28,4.77791e-29,-15.06,2.55061e-29,3.8919e-29,8.96187e-31,163.416,0
-374.408,6.35498e-29,3.36564e-29,-15.0522,2.28494e-29,7.32366e-30,4.60076e-30,163.245,0
-374.212,1.11114e-28,4.48062e-29,-15.0443,2.04382e-29,1.01585e-30,1.03978e-29,163.075,0
-374.017,1.69189e-28,5.14349e-29,-15.0364,1.85207e-29,1.2478e-30,1.45887e-30,162.905,0
-373.822,9.02844e-29,3.1915e-29,-15.0286,1.64129e-29,2.40895e-29,2.47389e-30,162.735,0
-373.626,8.36851e-29,2.67994e-29,-15.0207,1.43018e-29,1.26775e-29,1.51122e-30,162.565,0
-373.431,1.21935e-28,3.53731e-29,-15.0129,1.27013e-29,3.38305e-29,6.19169e-30,162.395,0
-373.236,8.17207e-29,3.6255e-29,-15.005,1.0983e-29,2.07715e-29,8.17995e-31,162.225,0
-373.04,5.11421e-29,1.70126e-29,-14.9972,9.42261e-30,2.56365e-30,3.19264e-32,162.055,0
-372.845,6.05184e-29,2.05981e-29,-14.9893,7.80967e-30,3.12153e-30,3.16427e-30,161.885,0
-372.65,7.89552e-29,3.41054e-29,-14.9815,6.697e-30,8.94012e-30,2.44634e-30,161.716,0
-372.454,6.2522e-29,2.29158e-29,-14.9736,5.62451e-30,6.97903e-30,2.07462e-30,161.546,0
-372.259,4.32946e-29,6.29069e-30,-14.9658,4.54299e-30,5.23903e-30,5.36549e-30,161.377,0
-372.063,2.96247e-29,1.71965e-29,-14.9579,3.60661e-30,1.54055e-29,6.65121e-31,161.207,0
-371.868,7.75896e-29,1.90653e-29,-14.9501,2.82986e-30,1.10255e-29,1.67648e-30,161.038,0
-371.673,5.58259e-29,8.20563e-30,-14.9422,2.28019e-30,1.10266e-29,3.58901e-30,160.869,0
-371.477,2.29861e-29,6.11626e-30,-14.9343,1.78781e-30,2.36768e-30,3.70099e-31,160.7,0
-371.282,4.10226e-29,2.15837e-29,-14.9265,1.27425e-30,4.21699e-31,8.46504e-31,160.531,0
-371.087,6.80488e-29,1.40283e-29,-14.9186,1.03114e-30,3.88882e-31,2.081e-30,160.362,0
-370.891,1.91381e-29,1.35873e-30,-14.9108,9.68302e-31,3.32646e-30,1.28307e-30,160.193,0
-370.696,1.80874e-29,8.85625e-30,-14.9029,9.686e-31,1.65671e-30,9.94576e-30,160.025,0
-370.501,5.57929e-29,1.64498e-29,-14.8951,1.16474e-30,5.41652e-30,1.27764e-29,159.856,0
-370.305,5.53694e-29,5.36846e-30,-14.8872,1.41096e-30,8.36224e-30,1.85705e-30,159.687,0
-370.11,6.15428e-30,6.37779e-31,-14.8794,1.83954e-30,9.60529e-31,3.4781e-30,159.519,0
-369.915,3.79299e-29,1.18657e-29,-14.8715,2.46607e-30,6.54779e-30,1.0454e-29,159.351,0
-369.719,7.32242e-29,1.512e-29,-14.8637,3.1911e-30,2.8999e-29,8.20287e-31,159.182,0
-369.524,2.49932e-29,2.59765e-30,-14.8558,4.12985e-30,3.19787e-30,1.77829e-30,159.014,0
-369.328,1.38649e-29,1.93352e-30,-14.848,4.98714e-30,2.81739e-30,1.23536e-29,158.846,0
-369.133,5.11565e-29,1.7196e-29,-14.8401,6.32672e-30,2.41768e-29,1.64903e-29,158.678,0
-368.938,4.08e-29,1.21662e-29,-14.8322,7.57429e-30,1.69472e-30,4.2443e-31,158.51,0
-368.742,1.47396e-29,2.90823e-31,-14.8244,9.18717e-30,8.24716e-30,1.28243e-30,158.342,0
-368.547,3.50517e-29,6.15666e-30,-14.8165,1.0796e-29,1.58021e-29,5.99895e-30,158.175,0
-368.352,4.81576e-29,1.73535e-29,-14.8087,1.25616e-29,4.43143e-30,6.40167e-30,158.007,0
-368.156,4.42829e-29,9.71487e-30,-14.8008,1.47496e-29,5.94924e-29,1.5044e-29,157.839,0
-367.961,1.10102e-29,1.15222e-31,-14.793,1.67458e-29,3.60926e-29,3.60499e-29,157.672,0
-367.766,3.48555e-29,9.4929e-30,-14.7851,1.90832e-29,6.82663e-29,3.71365e-29,157.505,0
-367.57,6.01347e-29,1.76736e-29,-14.7773,2.14585e-29,9.03204e-29,4.66596e-29,157.337,0
-367.375,2.63883e-29,4.64106e-30,-14.7694,2.45094e-29,1.03448e-28,2.2294e-29,157.17,0
-367.179,1.38901e-29,3.12241e-30,-14.7616,2.70895e-29,9.99435e-29,5.22738e-29,157.003,0
-366.984,5.95839e-29,2.24921e-29,-14.7537,3.02691e-29,8.76865e-29,7.95249e-29,156.836,0
-366.789,6.8801e-29,2.14998e-29,-14.7459,3.32944e-29,1.39973e-28,1.0932e-28,156.669,0
-366.593,1.65617e-29,7.19101e-31,-14.738,3.67278e-29,2.61259e-28,1.02131e-28,156.502,0
-366.398,1.96362e-29,1.14987e-29,-14.7301,4.07303e-29,1.52125e-28,1.38406e-28,156.335,0
-366.203,8.0879e-29,2.35271e-29,-14.7223,4.41578e-29,1.59798e-28,1.82094e-28,156.169,0
-366.007,6.51939e-29,1.52257e-29,-14.7144,4.85739e-29,3.73319e-28,2.82758e-28,156.002,0
-365.812,4.82902e-30,1.24728e-30,-14.7066,5.27095e-29,6.62545e-28,3.04217e-28,155.836,0
-365.617,5.1137e-29,2.23602e-29,-14.6987,5.68744e-29,8.06774e-28,4.32609e-28,155.669,0
-365.421,1.17383e-28,2.80748e-29,-14.6909,6.24833e-29,8.67825e-28,6.12564e-28,155.503,0
-365.226,3.54359e-29,6.25223e-30,-14.683,6.68968e-29,1.02076e-27,7.39391e-28,155.337,0
-365.031,1.05184e-29,6.17243e-30,-14.6752,7.25185e-29,1.6904e-27,9.79959e-28,155.171,0
-364.835,8.11337e-29,3.43656e-29,-14.6673,7.76376e-29,1.83036e-27,1.08701e-27,155.004,0
-364.64,7.4171e-29,2.8507e-29,-14.6595,8.30501e-29,2.03963e-27,1.44577e-27,154.839,0
-364.444,6.28183e-30,2.21011e-30,-14.6516,8.74523e-29,2.77691e-27,1.98978e-27,154.673,0
-364.249,2.94399e-29,1.95829e-29,-14.6437,9.46545e-29,4.52446e-27,2.48202e-27,154.507,0
-364.054,8.91161e-29,4.54667e-29,-14.6359,1.00195e-28,5.64806e-27,3.36504e-27,154.341,0
-363.858,4.00828e-29,1.35475e-29,-14.628,1.07417e-28,7.02562e-27,4.26158e-27,154.176,0
-363.663,1.52521e-30,3.48833e-30,-14.6202,1.13845e-28,9.22947e-27,5.58612e-27,154.01,0
-363.468,3.43012e-29,3.88565e-29,-14.6123,1.21708e-28,1.17278e-26,7.63097e-27,153.845,0
-363.272,8.00373e-29,3.48976e-29,-14.6045,1.28901e-28,1.61629e-26,9.80888e-27,153.679,0
-363.077,3.09045e-29,3.15493e-30,-14.5966,1.36095e-28,2.05928e-26,1.22199e-26,153.514,0
-362.882,2.11551e-30,1.72878e-29,-14.5888,1.43367e-28,2.47931e-26,1.55356e-26,153.349,0
-362.686,5.92073e-29,5.17989e-29,-14.5809,1.51799e-28,3.11296e-26,1.99299e-26,153.184,0
-362.491,7.90018e-29,2.76723e-29,-14.5731,1.59826e-28,4.2596e-26,2.6629e-26,153.019,0
-362.295,2.45693e-29,7.46825e-31,-14.5652,1.67553e-28,5.5134e-26,3.29799e-26,152.854,0
-362.1,1.1991e-29,2.21307e-29,-14.5574,1.75193e-28,7.08001e-26,4.25089e-26,152.689,0
-361.905,5.73037e-29,3.51349e-29,-14.5495,1.85721e-28,8.88266e-26,5.74565e-26,152.524,0
-361.709,5.22411e-29,8.76637e-30,-14.5416,1.93805e-28,1.18343e-25,7.1881e-26,152.36,0
-361.514,1.86055e-29,5.64728e-30,-14.5338,2.03666e-28,1.56145e-25,9.27917e-26,152.195,0
-361.319,2.97636e-29,2.93304e-29,-14.5259,2.12712e-28,1.96287e-25,1.18859e-25,152.031,0
-361.123,4.6958e-29,2.36843e-29,-14.5181,2.24247e-28,2.50097e-25,1.52855e-25,151.867,0
-360.928,3.61388e-29,8.84225e-31,-14.5102,2.32656e-28,3.21893e-25,1.95611e-25,151.702,0
-360.733,1.06905e-29,2.00639e-29,-14.5024,2.42418e-28,4.13489e-25,2.49635e-25,151.538,0
-360.537,2.40431e-29,3.4617e-29,-14.4945,2.51961e-28,5.2376e-25,3.16188e-25,151.374,0
-360.342,3.81537e-29,2.46899e-29,-14.4867,2.63941e-28,6.66515e-25,4.06337e-25,151.21,0
-360.147,2.86518e-29,3.11473e-30,-14.4788,2.72349e-28,8.61821e-25,5.18138e-25,151.046,0
-359.951,2.58308e-30,5.70953e-30,-14.471,2.84511e-28,1.11893e-24,6.61033e-25,150.882,0
-359.756,2.24821e-29,1.59249e-29,-14.4631,2.93849e-28,1.43532e-24,8.42236e-25,150.718,0
-359.56,3.92565e-29,7.8553e-30,-14.4553,3.04718e-28,1.82344e-24,1.072e-24,150.555,0
-359.365,3.55967e-29,1.95862e-31,-14.4474,3.1877e-28,2.31446e-24,1.36988e-24,150.391,0
-359.17,1.49461e-29,1.01151e-29,-14.4395,3.28447e-28,2.99074e-24,1.73537e-24,150.228,0
-358.974,4.17596e-29,1.57012e-29,-14.4317,3.39436e-28,3.81091e-24,2.20402e-24,150.064,0
-358.779,6.7596e-29,4.10104e-30,-14.4238,3.50442e-28,4.84295e-24,2.81766e-24,149.901,0
-358.584,3.58659e-29,7.48028e-30,-14.416,3.64567e-28,6.16662e-24,3.57978e-24,149.738,0
-358.388,2.78253e-29,4.74923e-29,-14.4081,3.76618e-28,7.88386e-24,4.55042e-24,149.575,0
-358.193,6.72023e-29,6.67238e-29,-14.4003,3.86254e-28,1.0061e-23,5.80212e-24,149.412,0
-357.998,4.20048e-29,2.30639e-29,-14.3924,3.99068e-28,1.27746e-23,7.35697e-24,149.249,0
-357.802,1.44926e-29,3.107e-30,-14.3846,4.11619e-28,1.6226e-23,9.35927e-24,149.086,0
-357.607,4.13505e-29,2.34971e-29,-14.3767,4.22155e-28,2.06108e-23,1.18687e-23,148.923,0
-357.411,4.18835e-29,4.68465e-29,-14.3689,4.32227e-28,2.62377e-23,1.50341e-23,148.761,0
-357.216,4.77556e-30,3.15222e-29,-14.361,4.4672e-28,3.32258e-23,1.8997e-23,148.598,0
-357.021,9.18895e-30,2.33232e-29,-14.3532,4.61126e-28,4.20677e-23,2.39895e-23,148.436,0
-356.825,4.14402e-29,1.54634e-29,-14.3453,4.71188e-28,5.32024e-23,3.02942e-23,148.273,0
-356.63,2.40452e-29,5.46097e-30,-14.3374,4.82982e-28,6.74811e-23,3.81098e-23,148.111,0
-356.435,5.49145e-30,5.82374e-29,-14.3296,4.95051e-28,8.54878e-23,4.79382e-23,147.949,0
-356.239,3.60096e-29,1.49775e-28,-14.3217,5.05728e-28,1.07877e-22,6.03322e-23,147.786,0
-356.044,6.42408e-29,1.76889e-28,-14.3139,5.1438e-28,1.36274e-22,7.58213e-23,147.624,0
-355.849,2.11898e-29,9.85908e-29,-14.306,5.29285e-28,1.72168e-22,9.52811e-23,147.462,0
-355.653,1.49988e-29,9.28032e-29,-14.2982,5.39452e-28,2.17359e-22,1.1969e-22,147.301,0
-355.458,7.66824e-29,1.51269e-28,-14.2903,5.51686e-28,2.73857e-22,1.50364e-22,147.139,0
-355.263,5.72954e-29,2.00865e-28,-14.2825,5.61795e-28,3.44671e-22,1.88869e-22,146.977,0
-355.067,7.84086e-30,1.98324e-28,-14.2746,5.73445e-28,4.34063e-22,2.37305e-22,146.816,0
-354.872,4.834e-29,1.37082e-28,-14.2668,5.86786e-28,5.46446e-22,2.98114e-22,146.654,0
-354.676,8.34244e-29,1.24906e-28,-14.2589,5.96066e-28,6.86913e-22,3.74529e-22,146.493,0
-354.481,2.32071e-29,2.21242e-28,-14.251,6.05654e-28,8.62492e-22,4.69978e-22,146.331,0
-354.286,9.26469e-31,4.15595e-28,-14.2432,6.13527e-28,1.083e-21,5.89581e-22,146.17,0
-354.09,3.81785e-29,6.01043e-28,-14.2353,6.24527e-28,1.35931e-21,7.38688e-22,146.009,0
-353.895,4.80906e-29,6.46508e-28,-14.2275,6.32496e-28,1.70367e-21,9.24159e-22,145.848,0
-353.7,1.31361e-29,6.80283e-28,-14.2196,6.43356e-28,2.13345e-21,1.15463e-21,145.687,0
-353.504,2.70444e-30,7.95504e-28,-14.2118,6.5408e-28,2.67042e-21,1.44043e-21,145.526,0
-353.309,4.94055e-29,1.10051e-27,-14.2039,6.58841e-28,3.34079e-21,1.79451e-21,145.365,0
-353.114,8.38895e-29,1.32991e-27,-14.1961,6.67196e-28,4.17667e-21,2.23277e-21,145.204,0
-352.918,3.38527e-29,1.41402e-27,-14.1882,6.75784e-28,5.21622e-21,2.77463e-21,145.044,0
-352.723,1.11049e-29,1.4103e-27,-14.1804,6.83205e-28,6.5113e-21,3.44403e-21,144.883,0
-352.527,7.83674e-29,1.69042e-27,-14.1725,6.93051e-28,8.12238e-21,4.27261e-21,144.723,0
-352.332,7.3724e-29,2.3696e-27,-14.1647,7.01391e-28,1.0126e-20,5.29743e-21,144.562,0
