E,T
3.82077,2.32318e+13
3.84165,2.32891e+13
3.86258,2.35476e+13
3.88358,2.35002e+13
3.90463,2.35255e+13
3.92573,2.37714e+13
3.9469,2.3738e+13
3.96812,2.4149e+13
3.98939,2.41203e+13
4.01073,2.43171e+13
4.03212,2.44965e+13
4.05356,2.47579e+13
4.07507,2.51072e+13
4.09663,2.52723e+13
4.11825,2.57929e+13
4.13992,2.6156e+13
4.16165,2.64699e+13
4.18344,2.69245e+13
4.20529,2.74578e+13
4.22719,2.80789e+13
4.24915,2.8788e+13
4.27117,2.9505e+13
4.29324,3.04745e+13
4.31537,3.13011e+13
4.33756,3.20895e+13
4.3598,3.33449e+13
4.3821,3.46473e+13
4.40446,3.60399e+13
4.42687,3.77132e+13
4.44934,3.93939e+13
4.47187,4.16642e+13
4.49446,4.37763e+13
4.5171,4.60313e+13
4.5398,4.90476e+13
4.56255,5.24847e+13
4.58537,5.6142e+13
4.60824,6.01433e+13
4.63116,6.51529e+13
4.65415,7.05783e+13
4.67719,7.74813e+13
4.70028,8.45664e+13
4.72344,9.33491e+13
4.74665,1.03854e+14
4.76992,1.15924e+14
4.79324,1.31531e+14
4.81662,1.51377e+14
4.84006,1.75089e+14
4.86356,2.06107e+14
4.88711,2.40339e+14
4.91072,2.93962e+14
4.93439,3.56542e+14
4.95811,4.57681e+14
4.98189,5.76989e+14
5.00572,8.12505e+14
5.02962,1.11506e+15
5.05357,1.73765e+15
5.07758,2.78268e+15
5.10164,5.15181e+15
5.12576,1.08241e+16
5.14994,1.67424e+16
5.17418,1.04555e+16
5.19847,5.43733e+15
5.22282,2.92663e+15
5.24722,1.759e+15
5.27168,1.23665e+15
5.2962,8.80898e+14
5.32078,6.55404e+14
5.34541,5.18145e+14
5.3701,4.15854e+14
5.39485,3.45152e+14
5.41965,2.92698e+14
5.44451,2.47264e+14
5.46943,2.18158e+14
5.49441,1.92256e+14
5.51944,1.69385e+14
5.54453,1.52067e+14
5.56967,1.36806e+14
5.59487,1.24489e+14
5.62013,1.13295e+14
5.64545,1.04541e+14
5.67082,9.81475e+13
5.69625,9.08922e+13
5.72174,8.48738e+13
5.74728,7.95036e+13
5.77288,7.53186e+13
5.79854,7.06428e+13
5.82425,6.69734e+13
5.85002,6.35471e+13
5.87585,6.08885e+13
5.90174,5.85843e+13
5.92768,5.59115e+13
5.95368,5.38602e+13
5.97973,5.14392e+13
6.00584,4.97266e+13
6.03201,4.77864e+13
6.05824,4.64289e+13
6.08452,4.51569e+13
6.11086,4.3545e+13
6.13726,4.21673e+13
6.16371,4.12178e+13
6.19022,4.00124e+13
6.21679,3.907e+13
6.24342,3.79545e+13
6.2701,3.6896e+13
6.29683,3.62851e+13
6.32363,3.53731e+13
6.35048,3.46722e+13
6.37739,3.3947e+13
6.40436,3.34403e+13
6.43138,3.27022e+13
6.45846,3.20386e+13
6.48559,3.15307e+13
6.51279,3.1139e+13
6.54004,3.06969e+13
6.56735,2.99361e+13
6.59471,2.95579e+13
6.62213,2.91353e+13
6.64961,2.8749e+13
6.67714,2.83341e+13
6.70473,2.80787e+13
6.73238,2.78252e+13
6.76009,2.75627e+13
6.78785,2.73563e+13
6.81567,2.69633e+13
6.84354,2.6688e+13
6.87148,2.6614e+13
6.89947,2.63571e+13
6.92751,2.62769e+13
6.95562,2.61203e+13
6.98378,2.61012e+13
7.01199,2.5941e+13
7.04027,2.59635e+13
