x,AbsPsi
-896.4,1.61026e-17
-896.3,2.10952e-17
-896.2,8.70825e-18
-896.1,1.34953e-17
-896,1.14157e-17
-895.9,9.43662e-18
-895.8,1.28911e-18
-895.7,9.89349e-18
-895.6,1.41596e-17
-895.5,8.34504e-18
-895.4,8.13813e-18
-895.3,2.50433e-17
-895.2,8.54588e-18
-895.1,1.91409e-17
-895,2.22324e-17
-894.9,6.7611e-18
-894.8,3.53361e-18
-894.7,1.27259e-17
-894.6,7.52748e-18
-894.5,1.35974e-17
-894.4,1.61482e-17
-894.3,1.26139e-17
-894.2,9.82669e-18
-894.1,1.77779e-17
-894,1.40257e-17
-893.9,1.12195e-17
-893.8,2.14208e-17
-893.7,1.93245e-18
-893.6,1.94654e-17
-893.5,1.93927e-17
-893.4,1.03093e-17
-893.3,1.32534e-17
-893.2,2.49195e-17
-893.1,2.2097e-17
-893,1.98831e-17
-892.9,2.21571e-17
-892.8,1.01627e-17
-892.7,3.27832e-17
-892.6,2.78943e-17
-892.5,7.99827e-18
-892.4,2.08154e-17
-892.3,2.85657e-17
-892.2,1.6269e-17
-892.1,1.65563e-17
-892,1.77346e-17
-891.9,2.16522e-17
-891.8,2.92637e-17
-891.7,2.84606e-17
-891.6,1.23181e-17
-891.5,1.04554e-17
-891.4,2.43331e-17
-891.3,4.86227e-18
-891.2,1.48334e-17
-891.1,1.83779e-17
-891,2.41566e-17
-890.9,2.37394e-17
-890.8,2.79257e-17
