x,x_g,x_ex,k,init,g,ex,E,T
-384.762,5.35988e-29,6.59509e-29,-15.4684,3.10466e-28,8.483e-29,1.1963e-29,172.399,0
-384.567,2.68543e-29,9.40085e-30,-15.4606,3.03335e-28,2.88854e-29,4.45393e-30,172.224,0
-384.371,1.58817e-29,2.20961e-29,-15.4527,2.97548e-28,3.48069e-29,8.16008e-30,172.049,0
-384.176,4.79794e-29,6.07765e-29,-15.4449,2.91174e-28,4.08279e-29,6.65119e-30,171.874,0
-383.98,5.25888e-29,2.23065e-29,-15.437,2.85537e-28,1.73499e-29,6.66112e-30,171.7,0
-383.785,1.09941e-29,6.03433e-30,-15.4291,2.77496e-28,6.01906e-29,1.40513e-29,171.525,0
-383.59,4.00707e-29,4.23323e-29,-15.4213,2.70279e-28,4.35438e-29,1.35801e-29,171.35,0
-383.394,5.61443e-29,2.50429e-29,-15.4134,2.63992e-28,5.65238e-29,1.69788e-29,171.176,0
-383.199,2.30077e-29,1.42891e-30,-15.4056,2.58161e-28,2.5919e-29,4.07496e-30,171.001,0
-383.004,4.28309e-29,2.75726e-29,-15.3977,2.50558e-28,1.64275e-29,7.48104e-30,170.827,0
-382.808,8.52675e-29,2.14808e-29,-15.3899,2.4351e-28,6.09753e-29,8.55936e-31,170.653,0
-382.613,3.21411e-29,4.45902e-31,-15.382,2.36856e-28,6.18932e-29,6.40432e-31,170.479,0
-382.418,2.60572e-29,2.56892e-29,-15.3742,2.29741e-28,3.95016e-29,1.11974e-29,170.305,0
-382.222,9.20317e-29,3.21712e-29,-15.3663,2.22572e-28,9.05679e-29,4.25625e-31,170.131,0
-382.027,5.07201e-29,5.22451e-30,-15.3585,2.15334e-28,4.11732e-29,2.53244e-30,169.957,0
-381.832,2.03079e-29,2.12175e-29,-15.3506,2.09793e-28,1.4439e-29,2.33923e-30,169.783,0
-381.636,9.12484e-29,3.42761e-29,-15.3428,2.02293e-28,1.30836e-29,9.35003e-32,169.609,0
-381.441,8.22786e-29,1.2464e-29,-15.3349,1.95603e-28,3.73137e-29,3.64096e-30,169.436,0
-381.245,2.75337e-29,1.66658e-29,-15.327,1.88539e-28,4.96587e-29,5.07648e-30,169.262,0
-381.05,6.86444e-29,5.01858e-29,-15.3192,1.82088e-28,4.22436e-29,4.02163e-30,169.089,0
-380.855,9.51121e-29,3.15116e-29,-15.3113,1.75433e-28,5.41342e-29,1.61929e-30,168.916,0
-380.659,2.79888e-29,2.10489e-29,-15.3035,1.68803e-28,3.4363e-29,1.22081e-29,168.742,0
-380.464,5.13936e-29,5.15033e-29,-15.2956,1.62494e-28,1.34121e-29,7.81128e-30,168.569,0
-380.269,1.01071e-28,6.58116e-29,-15.2878,1.56014e-28,2.95295e-29,1.14223e-30,168.396,0
-380.073,4.87455e-29,3.28798e-29,-15.2799,1.5037e-28,7.23533e-29,5.95801e-30,168.223,0
-379.878,5.68643e-29,5.91078e-29,-15.2721,1.43689e-28,6.10326e-29,1.25339e-30,168.05,0
-379.683,1.01845e-28,9.87073e-29,-15.2642,1.38328e-28,3.4214e-29,1.14778e-30,167.877,0
-379.487,4.85658e-29,7.38602e-29,-15.2564,1.31344e-28,4.0077e-30,1.72491e-30,167.705,0
-379.292,5.18007e-29,5.33233e-29,-15.2485,1.25215e-28,1.22372e-29,3.65544e-30,167.532,0
-379.096,1.10581e-28,1.0818e-28,-15.2407,1.19811e-28,1.66442e-29,1.1154e-30,167.36,0
-378.901,5.95324e-29,1.23004e-28,-15.2328,1.1426e-28,2.55876e-29,2.96851e-30,167.187,0
-378.706,5.01804e-29,9.2575e-29,-15.2249,1.09292e-28,2.70255e-29,2.03318e-31,167.015,0
-378.51,1.18238e-28,9.6879e-29,-15.2171,1.03255e-28,1.05437e-29,1.02076e-30,166.842,0
