t,T+R,N_0,N_1
215,0.188466,1.02475e-07,2.83075e-08
216,0.190075,1.46239e-07,4.05382e-08
217,0.185672,2.07626e-07,5.77575e-08
218,0.176159,2.93294e-07,8.18758e-08
219,0.162737,4.12239e-07,1.15486e-07
220,0.14677,5.76557e-07,1.6209e-07
221,0.129647,8.02428e-07,2.26387e-07
222,0.112674,1.11138e-06,3.14661e-07
223,0.0969861,1.53191e-06,4.35261e-07
224,0.0834846,2.10153e-06,5.99228e-07
225,0.0728032,2.86943e-06,8.2109e-07
226,0.0652991,3.89969e-06,1.11986e-06
227,0.061066,5.27545e-06,1.52032e-06
228,0.0599639,7.10398e-06,2.05456e-06
229,0.0616617,9.52306e-06,2.76397e-06
230,0.0656873,1.27087e-05,3.70168e-06
231,0.0714803,1.68847e-05,4.93549e-06
232,0.0784425,2.23342e-05,6.55159e-06
233,0.0859846,2.94137e-05,8.65891e-06
234,0.0935644,3.85697e-05,1.13945e-05
235,0.100717,5.03589e-05,1.493e-05
236,0.107074,6.54721e-05,1.94793e-05
237,0.112375,8.47618e-05,2.53073e-05
238,0.11647,0.000109276,3.27413e-05
239,0.119309,0.000140294,4.21828e-05
240,0.120937,0.000179375,5.41226e-05
241,0.121471,0.000228406,6.91573e-05
242,0.121086,0.000289657,8.80091e-05
243,0.119993,0.000365855,0.000111547
244,0.118419,0.000460248,0.000140813
245,0.116592,0.000576695,0.00017705
246,0.114725,0.000719752,0.000221729
247,0.113003,0.000894776,0.000276591
248,0.111579,0.00110803,0.000343679
249,0.110563,0.00136679,0.000425379
250,0.110031,0.00167951,0.000524468
251,0.110015,0.00205588,0.000644155
252,0.110519,0.00250702,0.000788135
253,0.111515,0.00304562,0.000960633
254,0.112957,0.00368603,0.00116646
255,0.114787,0.00444442,0.00141107
256,0.116941,0.00533893,0.0017006
257,0.119358,0.00638977,0.0020419
258,0.121985,0.0076193,0.00244263
259,0.124781,0.00905217,0.00291124
260,0.127725,0.0107153,0.00345703
261,0.130811,0.0126381,0.00409015
262,0.134056,0.0148521,0.00482163
263,0.137495,0.0173912,0.00566337
264,0.141179,0.0202916,0.0066281
265,0.145176,0.0235915,0.00772933
266,0.149566,0.0273307,0.00898132
267,0.154436,0.0315509,0.010399
268,0.15988,0.0362946,0.0119977
269,0.165993,0.0416054,0.0137935
270,0.172869,0.047527,0.0158022
271,0.180597,0.0541029,0.0180402
272,0.189262,0.0613757,0.0205232
273,0.198938,0.0693863,0.023267
274,0.20969,0.0781733,0.0262865
275,0.221573,0.0877722,0.0295955
276,0.234631,0.0982146,0.0332069
277,0.248896,0.109527,0.0371319
278,0.264389,0.12173,0.0413798
279,0.28112,0.134839,0.0459578
280,0.299087,0.148861,0.0508707
281,0.318278,0.163794,0.0561205
282,0.338669,0.179629,0.0617062
283,0.360227,0.196347,0.0676235
284,0.382905,0.213919,0.0738648
285,0.40665,0.232306,0.080419
286,0.431393,0.251458,0.087271
287,0.457057,0.271317,0.0944025
288,0.483553,0.291812,0.101791
289,0.510781,0.312864,0.109411
290,0.53863,0.334386,0.117234
291,0.56698,0.356282,0.125227
292,0.595701,0.378448,0.133356
293,0.624655,0.400775,0.141582
294,0.653696,0.42315,0.149868
295,0.682675,0.445457,0.158172
296,0.711438,0.467579,0.166452
297,0.739831,0.489398,0.174667
298,0.767702,0.510801,0.182774
299,0.794902,0.531677,0.190734
300,0.82129,0.551922,0.198507
301,0.846731,0.571441,0.206055
302,0.871105,0.590147,0.213344
303,0.894302,0.607963,0.220342
304,0.916231,0.624826,0.227021
305,0.936815,0.640685,0.233355
306,0.955996,0.655502,0.239325
307,0.973736,0.669255,0.244914
308,0.990013,0.681935,0.25011
309,1.00483,0.693547,0.254905
310,1.01819,0.704111,0.259296
311,1.03015,0.713658,0.263282
312,1.04074,0.72223,0.266869
313,1.05003,0.729883,0.270064
314,1.0581,0.736678,0.272876
315,1.06504,0.742685,0.27532
316,1.07092,0.747978,0.277409
317,1.07586,0.752634,0.279162
318,1.07994,0.756734,0.280596
319,1.08328,0.760354,0.28173
320,1.08596,0.763572,0.282582
321,1.08807,0.766459,0.283173
322,1.08971,0.76908,0.28352
323,1.09096,0.771497,0.283642
324,1.09187,0.77376,0.283555
325,1.09251,0.775913,0.283275
326,1.09293,0.777992,0.282818
327,1.09317,0.78002,0.282196
328,1.09326,0.782017,0.281423
329,1.09322,0.78399,0.280509
330,1.09305,0.785942,0.279465
331,1.09278,0.787867,0.2783
332,1.09238,0.789756,0.277023
333,1.09187,0.791593,0.275643
334,1.09122,0.793362,0.274166
335,1.09043,0.795043,0.272601
336,1.08948,0.796617,0.270954
337,1.08837,0.798065,0.269234
338,1.08708,0.799371,0.267447
339,1.0856,0.80052,0.265602
340,1.08394,0.801501,0.263706
341,1.0821,0.802308,0.261768
342,1.08008,0.802938,0.259796
343,1.07789,0.803393,0.257798
344,1.07554,0.803677,0.255783
345,1.07305,0.803801,0.25376
346,1.07044,0.803776,0.251737
347,1.06774,0.803617,0.249723
348,1.06496,0.803341,0.247725
349,1.06214,0.802966,0.245752
350,1.05929,0.80251,0.24381
351,1.05644,0.801991,0.241907
352,1.05362,0.801425,0.240048
353,1.05084,0.800828,0.238239
354,1.04811,0.800212,0.236484
355,1.04546,0.799588,0.234789
356,1.04289,0.798963,0.233155
357,1.04041,0.798343,0.231586
358,1.03803,0.79773,0.230084
359,1.03574,0.797125,0.22865
360,1.03355,0.796526,0.227285
361,1.03145,0.79593,0.225991
362,1.02943,0.795332,0.224767
363,1.02749,0.794728,0.223612
364,1.02563,0.794113,0.222527
365,1.02384,0.793482,0.221511
366,1.0221,0.79283,0.220562
367,1.02043,0.792154,0.21968
368,1.0188,0.791453,0.218863
369,1.01723,0.790726,0.218111
370,1.01571,0.789973,0.217421
371,1.01423,0.789196,0.216793
372,1.0128,0.788399,0.216225
373,1.01143,0.787584,0.215714
374,1.01011,0.786757,0.21526
375,1.00884,0.785922,0.214861
376,1.00763,0.785084,0.214515
377,1.00648,0.784248,0.21422
378,1.00539,0.783418,0.213973
379,1.00437,0.782599,0.213774
380,1.00341,0.781792,0.213618
381,1.00251,0.781,0.213505
382,1.00168,0.780225,0.213431
383,1.0009,0.779466,0.213394
384,1.00018,0.778725,0.213391
385,0.999512,0.778,0.213421
386,0.998893,0.777291,0.21348
387,0.998317,0.776595,0.213566
388,0.997782,0.775912,0.213676
389,0.997284,0.775242,0.213809
390,0.996819,0.774582,0.213961
391,0.996384,0.773932,0.214131
392,0.995976,0.773293,0.214317
393,0.995595,0.772665,0.214516
394,0.995238,0.772048,0.214726
395,0.994904,0.771443,0.214947
396,0.994594,0.770853,0.215175
397,0.994306,0.770279,0.21541
398,0.994042,0.769722,0.215651
399,0.9938,0.769184,0.215895
400,0.993582,0.768666,0.216142
401,0.993387,0.76817,0.21639
402,0.993214,0.767697,0.216638
403,0.993064,0.767247,0.216885
404,0.992934,0.76682,0.21713
405,0.992825,0.766417,0.217372
406,0.992734,0.766038,0.21761
407,0.992661,0.76568,0.217844
408,0.992603,0.765345,0.218072
409,0.992559,0.76503,0.218294
410,0.992528,0.764736,0.21851
411,0.992507,0.76446,0.218718
412,0.992497,0.764204,0.218919
413,0.992495,0.763965,0.219112
414,0.992502,0.763744,0.219297
415,0.992516,0.76354,0.219473
416,0.992538,0.763354,0.219641
417,0.992567,0.763184,0.2198
418,0.992603,0.763032,0.21995
419,0.992646,0.762897,0.220092
420,0.992697,0.762779,0.220225
421,0.992755,0.762679,0.22035
422,0.99282,0.762595,0.220466
423,0.992892,0.762528,0.220575
424,0.992971,0.762477,0.220675
425,0.993057,0.762441,0.220768
426,0.993148,0.762421,0.220853
427,0.993245,0.762414,0.22093
428,0.993346,0.76242,0.221001
429,0.993451,0.762439,0.221064
430,0.993559,0.762469,0.221121
431,0.99367,0.762509,0.221172
432,0.993784,0.762558,0.221216
433,0.993898,0.762616,0.221255
434,0.994014,0.762682,0.221289
435,0.994132,0.762755,0.221317
436,0.99425,0.762835,0.221341
437,0.994368,0.762922,0.22136
438,0.994488,0.763014,0.221375
439,0.994608,0.763112,0.221386
440,0.994729,0.763216,0.221394
441,0.99485,0.763324,0.221398
442,0.994972,0.763436,0.2214
443,0.995095,0.763552,0.221398
444,0.995217,0.763672,0.221395
445,0.995339,0.763794,0.221389
446,0.99546,0.763918,0.221382
447,0.995581,0.764044,0.221373
448,0.9957,0.764171,0.221362
449,0.995818,0.764299,0.22135
450,0.995934,0.764426,0.221337
451,0.996048,0.764553,0.221323
452,0.996159,0.764678,0.221309
453,0.996267,0.764803,0.221294
454,0.996373,0.764925,0.221278
455,0.996477,0.765045,0.221262
456,0.996577,0.765163,0.221246
457,0.996674,0.765279,0.22123
458,0.996769,0.765392,0.221215
459,0.996861,0.765503,0.221199
460,0.996949,0.765611,0.221184
461,0.997035,0.765716,0.221169
462,0.997118,0.765817,0.221154
463,0.997198,0.765916,0.22114
464,0.997275,0.766011,0.221126
465,0.997349,0.766103,0.221113
466,0.997419,0.766191,0.2211
467,0.997486,0.766275,0.221088
468,0.99755,0.766355,0.221077
469,0.99761,0.766432,0.221066
470,0.997666,0.766504,0.221056
471,0.997719,0.766572,0.221047
472,0.997768,0.766636,0.221038
473,0.997814,0.766696,0.221029
474,0.997856,0.766752,0.221021
475,0.997895,0.766804,0.221014
476,0.997931,0.766852,0.221007
477,0.997964,0.766897,0.221001
478,0.997993,0.766938,0.220996
479,0.99802,0.766975,0.22099
480,0.998044,0.76701,0.220986
481,0.998065,0.767041,0.220981
482,0.998083,0.767068,0.220978
483,0.998099,0.767093,0.220974
484,0.998112,0.767115,0.220971
485,0.998123,0.767133,0.220968
486,0.998131,0.767149,0.220965
487,0.998137,0.767162,0.220963
488,0.998141,0.767173,0.220961
489,0.998142,0.767181,0.220959
490,0.998141,0.767186,0.220957
491,0.998138,0.767189,0.220955
492,0.998134,0.767191,0.220954
493,0.998127,0.76719,0.220952
494,0.998119,0.767187,0.220951
495,0.99811,0.767183,0.220949
496,0.998099,0.767177,0.220948
497,0.998088,0.767169,0.220947
498,0.998075,0.767161,0.220946
499,0.998061,0.767151,0.220944
500,0.998046,0.76714,0.220943
501,0.99803,0.767129,0.220942
502,0.998013,0.767116,0.22094
503,0.997996,0.767103,0.220939
504,0.997978,0.767089,0.220938
505,0.99796,0.767074,0.220936
506,0.997941,0.767058,0.220934
507,0.997922,0.767043,0.220933
508,0.997903,0.767026,0.220931
509,0.997883,0.76701,0.220929
510,0.997863,0.766993,0.220927
511,0.997843,0.766977,0.220926
512,0.997823,0.76696,0.220924
513,0.997804,0.766943,0.220922
514,0.997784,0.766926,0.22092
515,0.997765,0.76691,0.220918
516,0.997746,0.766894,0.220915
517,0.997727,0.766878,0.220913
518,0.997709,0.766862,0.220911
519,0.997691,0.766847,0.220909
520,0.997673,0.766832,0.220907
521,0.997656,0.766817,0.220904
522,0.99764,0.766803,0.220902
523,0.997623,0.766789,0.2209
524,0.997608,0.766775,0.220898
525,0.997593,0.766762,0.220896
526,0.997578,0.76675,0.220893
527,0.997564,0.766737,0.220891
528,0.997551,0.766726,0.220889
529,0.997538,0.766715,0.220887
530,0.997526,0.766704,0.220885
531,0.997514,0.766694,0.220883
532,0.997503,0.766684,0.220881
533,0.997493,0.766675,0.22088
534,0.997483,0.766667,0.220878
535,0.997474,0.766659,0.220876
536,0.997466,0.766651,0.220875
537,0.997458,0.766644,0.220873
538,0.997451,0.766638,0.220872
539,0.997444,0.766632,0.220871
540,0.997438,0.766626,0.220869
541,0.997432,0.766621,0.220868
542,0.997427,0.766616,0.220867
543,0.997422,0.766612,0.220866
544,0.997418,0.766608,0.220866
545,0.997414,0.766604,0.220865
546,0.997411,0.766601,0.220864
547,0.997408,0.766598,0.220864
548,0.997406,0.766595,0.220863
549,0.997404,0.766593,0.220863
550,0.997403,0.766591,0.220863
551,0.997402,0.76659,0.220863
552,0.997401,0.766588,0.220863
553,0.9974,0.766587,0.220863
554,0.9974,0.766586,0.220863
555,0.9974,0.766586,0.220863
556,0.997401,0.766585,0.220863
557,0.997401,0.766585,0.220864
558,0.997402,0.766585,0.220864
559,0.997403,0.766585,0.220864
560,0.997405,0.766586,0.220865
561,0.997406,0.766586,0.220865
562,0.997408,0.766587,0.220866
563,0.997409,0.766587,0.220867
564,0.997411,0.766588,0.220867
565,0.997413,0.766589,0.220868
566,0.997415,0.76659,0.220869
567,0.997418,0.766591,0.22087
568,0.99742,0.766592,0.22087
569,0.997422,0.766593,0.220871
570,0.997425,0.766595,0.220872
571,0.997427,0.766596,0.220873
572,0.99743,0.766597,0.220874
573,0.997432,0.766599,0.220875
574,0.997434,0.7666,0.220876
575,0.997437,0.766601,0.220877
576,0.997439,0.766603,0.220878
577,0.997442,0.766604,0.220878
578,0.997444,0.766605,0.220879
579,0.997446,0.766607,0.22088
580,0.997449,0.766608,0.220881
581,0.997451,0.766609,0.220882
582,0.997453,0.766611,0.220883
583,0.997455,0.766612,0.220883
584,0.997457,0.766613,0.220884
585,0.997459,0.766614,0.220885
586,0.997461,0.766616,0.220886
587,0.997463,0.766617,0.220886
588,0.997465,0.766618,0.220887
589,0.997467,0.766619,0.220888
590,0.997469,0.76662,0.220888
591,0.99747,0.766621,0.220889
592,0.997472,0.766622,0.220889
593,0.997473,0.766623,0.22089
594,0.997475,0.766624,0.22089
595,0.997476,0.766625,0.220891
596,0.997477,0.766626,0.220891
597,0.997478,0.766626,0.220892
598,0.997479,0.766627,0.220892
599,0.997481,0.766628,0.220892
600,0.997481,0.766629,0.220893
601,0.997482,0.766629,0.220893
602,0.997483,0.76663,0.220893
603,0.997484,0.766631,0.220893
604,0.997485,0.766631,0.220893
605,0.997485,0.766632,0.220894
606,0.997486,0.766632,0.220894
607,0.997487,0.766633,0.220894
608,0.997487,0.766633,0.220894
609,0.997487,0.766634,0.220894
610,0.997488,0.766634,0.220894
611,0.997488,0.766635,0.220894
612,0.997488,0.766635,0.220894
613,0.997489,0.766635,0.220894
614,0.997489,0.766636,0.220894
615,0.997489,0.766636,0.220894
616,0.997489,0.766636,0.220894
617,0.997489,0.766636,0.220894
618,0.997489,0.766637,0.220894
619,0.99749,0.766637,0.220894
620,0.99749,0.766637,0.220893
621,0.99749,0.766637,0.220893
622,0.99749,0.766637,0.220893
623,0.997489,0.766638,0.220893
624,0.997489,0.766638,0.220893
625,0.997489,0.766638,0.220893
626,0.997489,0.766638,0.220893
627,0.997489,0.766638,0.220892
628,0.997489,0.766638,0.220892
629,0.997489,0.766638,0.220892
630,0.997489,0.766638,0.220892
631,0.997489,0.766638,0.220892
632,0.997488,0.766638,0.220892
633,0.997488,0.766638,0.220891
634,0.997488,0.766638,0.220891
635,0.997488,0.766638,0.220891
636,0.997488,0.766639,0.220891
637,0.997488,0.766639,0.220891
638,0.997487,0.766639,0.220891
639,0.997487,0.766639,0.22089
640,0.997487,0.766638,0.22089
641,0.997487,0.766638,0.22089
642,0.997487,0.766638,0.22089
643,0.997486,0.766638,0.22089
644,0.997486,0.766638,0.22089
645,0.997486,0.766638,0.22089
646,0.997486,0.766638,0.22089
647,0.997486,0.766638,0.220889
648,0.997486,0.766638,0.220889
649,0.997485,0.766638,0.220889
650,0.997485,0.766638,0.220889
651,0.997485,0.766638,0.220889
652,0.997485,0.766638,0.220889
653,0.997485,0.766638,0.220889
654,0.997485,0.766638,0.220889
655,0.997485,0.766638,0.220889
656,0.997484,0.766638,0.220889
657,0.997484,0.766638,0.220889
658,0.997484,0.766638,0.220889
659,0.997484,0.766638,0.220889
660,0.997484,0.766637,0.220889
661,0.997484,0.766637,0.220889
662,0.997484,0.766637,0.220888
663,0.997484,0.766637,0.220888
664,0.997484,0.766637,0.220888
665,0.997483,0.766637,0.220888
666,0.997483,0.766637,0.220888
667,0.997483,0.766637,0.220888
668,0.997483,0.766637,0.220888
669,0.997483,0.766637,0.220888
670,0.997483,0.766637,0.220888
671,0.997483,0.766637,0.220888
672,0.997483,0.766637,0.220888
673,0.997483,0.766636,0.220888
674,0.997483,0.766636,0.220888
675,0.997483,0.766636,0.220888
676,0.997483,0.766636,0.220888
677,0.997483,0.766636,0.220888
678,0.997483,0.766636,0.220888
679,0.997483,0.766636,0.220888
680,0.997482,0.766636,0.220888
681,0.997482,0.766636,0.220889
682,0.997482,0.766636,0.220889
683,0.997482,0.766636,0.220889
684,0.997482,0.766636,0.220889
685,0.997482,0.766636,0.220889
686,0.997482,0.766636,0.220889
687,0.997482,0.766636,0.220889
688,0.997482,0.766636,0.220889
689,0.997482,0.766636,0.220889
690,0.997482,0.766635,0.220889
691,0.997482,0.766635,0.220889
692,0.997482,0.766635,0.220889
693,0.997482,0.766635,0.220889
694,0.997482,0.766635,0.220889
695,0.997482,0.766635,0.220889
696,0.997482,0.766635,0.220889
697,0.997482,0.766635,0.220889
698,0.997482,0.766635,0.220889
699,0.997482,0.766635,0.220889
700,0.997482,0.766635,0.220889
701,0.997482,0.766635,0.220889
702,0.997482,0.766635,0.220889
703,0.997482,0.766635,0.220889
704,0.997482,0.766635,0.220889
705,0.997482,0.766635,0.220889
706,0.997482,0.766635,0.220889
707,0.997482,0.766635,0.220889
708,0.997482,0.766635,0.220889
709,0.997482,0.766635,0.220889
710,0.997482,0.766635,0.220889
711,0.997482,0.766635,0.220889
712,0.997482,0.766635,0.220889
713,0.997482,0.766635,0.220889
