t,T+R,N_0,N_1
325,0.821771,0.217652,0.17433
326,0.827655,0.218546,0.176736
327,0.833399,0.2194,0.179098
328,0.838989,0.220202,0.181413
329,0.844413,0.220942,0.183678
330,0.84966,0.22161,0.185891
331,0.854725,0.222201,0.18805
332,0.859605,0.222714,0.190155
333,0.864298,0.223148,0.192204
334,0.868809,0.223507,0.194198
335,0.873143,0.223796,0.196137
336,0.87731,0.224022,0.198023
337,0.881319,0.224195,0.199857
338,0.885183,0.224324,0.201641
339,0.888914,0.224419,0.203377
340,0.892524,0.224488,0.205067
341,0.896025,0.224541,0.206713
342,0.899426,0.224584,0.208317
343,0.902737,0.224624,0.209882
344,0.905964,0.224664,0.211407
345,0.909111,0.224706,0.212896
346,0.912183,0.224751,0.214347
347,0.915179,0.224798,0.215763
348,0.918099,0.224846,0.217143
349,0.920942,0.224891,0.218488
350,0.923704,0.224929,0.219797
351,0.926382,0.224958,0.221071
352,0.928975,0.224974,0.22231
353,0.93148,0.224974,0.223513
354,0.933895,0.224956,0.224681
355,0.93622,0.224919,0.225814
356,0.938456,0.224862,0.226912
357,0.940604,0.224787,0.227977
358,0.942669,0.224694,0.229009
359,0.944653,0.224586,0.230008
360,0.946562,0.224466,0.230976
361,0.948399,0.224335,0.231913
362,0.950171,0.224198,0.232822
363,0.951881,0.224057,0.233703
364,0.953535,0.223914,0.234556
365,0.955135,0.223771,0.235384
366,0.956686,0.223629,0.236186
367,0.958188,0.22349,0.236964
368,0.959643,0.223353,0.237718
369,0.961053,0.223217,0.238449
370,0.962417,0.223083,0.239157
371,0.963735,0.222949,0.239843
372,0.965008,0.222814,0.240507
373,0.966235,0.222677,0.24115
374,0.967416,0.222537,0.241771
375,0.968551,0.222394,0.242371
376,0.969642,0.222247,0.242951
377,0.970688,0.222097,0.243512
378,0.971693,0.221943,0.244053
379,0.972658,0.221786,0.244575
380,0.973584,0.221627,0.245079
381,0.974474,0.221467,0.245566
382,0.97533,0.221307,0.246036
383,0.976154,0.221148,0.24649
384,0.976948,0.22099,0.246928
385,0.977714,0.220835,0.247351
386,0.978453,0.220683,0.247759
387,0.979166,0.220533,0.248154
388,0.979854,0.220387,0.248534
389,0.980517,0.220243,0.248901
390,0.981156,0.220101,0.249256
391,0.98177,0.219961,0.249597
392,0.982361,0.219822,0.249927
393,0.982928,0.219685,0.250244
394,0.983472,0.219548,0.25055
395,0.983994,0.219412,0.250844
396,0.984494,0.219276,0.251128
397,0.984973,0.219142,0.2514
398,0.985432,0.219008,0.251663
399,0.985871,0.218875,0.251915
400,0.986293,0.218743,0.252158
401,0.986699,0.218614,0.252392
402,0.987088,0.218487,0.252617
403,0.987462,0.218362,0.252833
404,0.987821,0.21824,0.253041
405,0.988167,0.21812,0.253241
406,0.988499,0.218004,0.253434
407,0.988819,0.21789,0.253619
408,0.989125,0.217778,0.253797
409,0.98942,0.217668,0.253968
410,0.989702,0.217561,0.254132
411,0.989972,0.217455,0.25429
412,0.990231,0.217351,0.254441
413,0.990478,0.217249,0.254586
414,0.990715,0.217148,0.254725
415,0.990941,0.217048,0.254859
416,0.991157,0.21695,0.254987
417,0.991364,0.216854,0.25511
418,0.991562,0.21676,0.255227
419,0.991751,0.216668,0.25534
420,0.991933,0.216577,0.255448
421,0.992107,0.216489,0.255552
422,0.992273,0.216403,0.255651
423,0.992433,0.21632,0.255746
424,0.992586,0.216238,0.255837
425,0.992733,0.216158,0.255924
426,0.992873,0.216081,0.256008
427,0.993007,0.216005,0.256088
428,0.993135,0.21593,0.256164
429,0.993258,0.215858,0.256237
430,0.993374,0.215786,0.256306
431,0.993486,0.215717,0.256373
432,0.993592,0.215648,0.256437
433,0.993693,0.215581,0.256497
434,0.993789,0.215516,0.256555
435,0.993881,0.215452,0.25661
436,0.993969,0.21539,0.256663
437,0.994053,0.215329,0.256713
438,0.994133,0.21527,0.256761
439,0.994209,0.215212,0.256807
440,0.994282,0.215156,0.25685
441,0.994352,0.215102,0.256892
442,0.994418,0.215049,0.256931
443,0.994482,0.214997,0.256969
444,0.994542,0.214947,0.257005
445,0.9946,0.214898,0.257039
446,0.994654,0.21485,0.257071
447,0.994706,0.214804,0.257102
448,0.994756,0.214758,0.257131
449,0.994802,0.214714,0.257158
450,0.994847,0.21467,0.257185
451,0.994889,0.214628,0.257209
452,0.994929,0.214587,0.257233
453,0.994967,0.214547,0.257255
454,0.995003,0.214508,0.257276
455,0.995038,0.21447,0.257296
456,0.995071,0.214434,0.257315
457,0.995102,0.214398,0.257333
458,0.995131,0.214363,0.25735
459,0.99516,0.21433,0.257366
460,0.995186,0.214297,0.257381
461,0.995212,0.214265,0.257395
462,0.995235,0.214235,0.257408
463,0.995258,0.214204,0.25742
464,0.995279,0.214175,0.257432
465,0.995299,0.214147,0.257443
466,0.995318,0.214119,0.257454
467,0.995336,0.214092,0.257463
468,0.995353,0.214066,0.257472
469,0.995369,0.21404,0.257481
470,0.995384,0.214016,0.257489
471,0.995398,0.213992,0.257496
472,0.995412,0.213969,0.257503
473,0.995425,0.213946,0.257509
474,0.995437,0.213924,0.257515
475,0.995448,0.213903,0.25752
476,0.995459,0.213883,0.257525
477,0.995469,0.213863,0.25753
478,0.995478,0.213844,0.257534
479,0.995487,0.213825,0.257538
480,0.995495,0.213807,0.257542
481,0.995502,0.213789,0.257545
482,0.99551,0.213772,0.257548
483,0.995516,0.213755,0.257551
484,0.995522,0.213739,0.257553
485,0.995528,0.213723,0.257555
486,0.995534,0.213708,0.257557
487,0.995539,0.213693,0.257559
488,0.995543,0.213679,0.25756
489,0.995548,0.213665,0.257562
490,0.995552,0.213652,0.257563
491,0.995556,0.213639,0.257564
492,0.995559,0.213626,0.257564
493,0.995562,0.213614,0.257565
494,0.995565,0.213602,0.257565
495,0.995568,0.213591,0.257566
496,0.99557,0.21358,0.257566
497,0.995572,0.213569,0.257566
498,0.995574,0.213559,0.257566
499,0.995576,0.213549,0.257566
500,0.995578,0.213539,0.257565
501,0.995579,0.21353,0.257565
502,0.995581,0.21352,0.257564
503,0.995582,0.213512,0.257564
504,0.995583,0.213503,0.257563
505,0.995584,0.213495,0.257563
506,0.995584,0.213487,0.257562
507,0.995585,0.213479,0.257561
508,0.995586,0.213472,0.25756
509,0.995586,0.213464,0.257559
510,0.995587,0.213457,0.257559
511,0.995587,0.213451,0.257558
512,0.995587,0.213444,0.257557
513,0.995587,0.213438,0.257556
514,0.995587,0.213432,0.257555
