t,Norm_0,AvgX_0,Norm_1,AvgX_1
150,0.999985,-30.4488,1.48364e-05,-2.74093e-05
151,0.999981,-29.9867,1.88328e-05,-3.22657e-05
152,0.999976,-29.5249,2.37612e-05,-3.75551e-05
153,0.99997,-29.0633,2.9803e-05,-4.31886e-05
154,0.999963,-28.602,3.71669e-05,-4.90257e-05
155,0.999954,-28.1411,4.60922e-05,-5.4862e-05
156,0.999943,-27.6806,5.68507e-05,-6.04146e-05
157,0.99993,-27.2205,6.97502e-05,-6.53062e-05
158,0.999915,-26.7609,8.51367e-05,-6.90477e-05
159,0.999897,-26.3019,0.000103398,-7.10183e-05
160,0.999875,-25.8436,0.000124963,-7.0445e-05
161,0.99985,-25.3859,0.000150311,-6.63796e-05
162,0.99982,-24.929,0.000179965,-5.76749e-05
163,0.999785,-24.473,0.000214502,-4.29593e-05
164,0.999745,-24.0178,0.000254547,-2.06107e-05
165,0.999699,-23.5637,0.000300781,1.12711e-05
166,0.999646,-23.1107,0.000353937,5.48916e-05
167,0.999585,-22.6589,0.000414806,0.00011279
168,0.999516,-22.2084,0.00048423,0.000187868
169,0.999437,-21.7592,0.000563107,0.000283417
170,0.999348,-21.3116,0.00065239,0.000403143
171,0.999247,-20.8655,0.000753085,0.000551196
172,0.999134,-20.4211,0.000866245,0.000732196
173,0.999007,-19.9786,0.000992977,0.000951251
174,0.998866,-19.5379,0.00113443,0.00121398
175,0.998708,-19.0993,0.0012918,0.00152654
176,0.998534,-18.6628,0.00146632,0.00189562
177,0.998341,-18.2286,0.00165926,0.00232849
178,0.998128,-17.7966,0.00187192,0.00283298
179,0.997894,-17.3672,0.00210563,0.0034175
180,0.997638,-16.9403,0.00236174,0.00409103
181,0.997358,-16.5161,0.00264161,0.00486315
182,0.997053,-16.0947,0.00294662,0.00574402
183,0.996722,-15.6761,0.00327816,0.00674435
184,0.996362,-15.2605,0.00363761,0.00787543
185,0.995974,-14.8479,0.00402636,0.00914908
186,0.995554,-14.4385,0.00444575,0.0105777
187,0.995103,-14.0323,0.00489716,0.012174
188,0.994618,-13.6294,0.00538189,0.0139515
189,0.994099,-13.2299,0.00590126,0.0159239
190,0.993543,-12.8338,0.00645653,0.0181055
191,0.992951,-12.4413,0.00704893,0.0205107
192,0.99232,-12.0523,0.00767964,0.0231545
193,0.99165,-11.6669,0.0083498,0.0260523
194,0.99094,-11.2852,0.00906049,0.0292193
195,0.990187,-10.9073,0.00981275,0.0326715
196,0.989392,-10.533,0.0106075,0.0364246
197,0.988554,-10.1625,0.0114458,0.0404947
198,0.987672,-9.79587,0.0123283,0.0448979
199,0.986744,-9.43301,0.0132559,0.0496502
200,0.985771,-9.07398,0.0142292,0.0547677
201,0.984751,-8.71878,0.015249,0.0602664
202,0.983684,-8.36741,0.0163157,0.0661622
203,0.98257,-8.01988,0.0174299,0.0724708
204,0.981408,-7.67617,0.018592,0.0792075
205,0.980198,-7.33627,0.0198023,0.0863876
206,0.978939,-7.00016,0.0210612,0.0940258
207,0.977631,-6.66782,0.0223687,0.102137
208,0.976275,-6.33924,0.0237251,0.110734
209,0.97487,-6.01437,0.0251305,0.119831
210,0.973415,-5.69319,0.0265847,0.129441
211,0.971912,-5.37565,0.0280878,0.139577
212,0.97036,-5.06174,0.0296397,0.150249
213,0.96876,-4.75139,0.0312401,0.161469
214,0.967111,-4.44458,0.0328888,0.173248
215,0.965414,-4.14126,0.0345855,0.185594
216,0.96367,-3.84138,0.0363299,0.198516
217,0.961879,-3.5449,0.0381215,0.212022
218,0.96004,-3.25177,0.0399598,0.226119
219,0.958156,-2.96194,0.0418445,0.240812
220,0.956225,-2.67537,0.0437749,0.256107
221,0.95425,-2.39201,0.0457504,0.272006
222,0.95223,-2.11181,0.0477705,0.288513
223,0.950166,-1.83472,0.0498344,0.305629
224,0.948059,-1.56071,0.0519414,0.323353
225,0.945909,-1.28972,0.0540908,0.341686
226,0.943718,-1.02172,0.0562819,0.360624
227,0.941486,-0.756655,0.0585138,0.380163
228,0.939214,-0.494497,0.0607857,0.400298
229,0.936903,-0.235204,0.0630967,0.421023
230,0.934554,0.0212567,0.0654458,0.442329
231,0.932168,0.274919,0.0678322,0.464206
232,0.929745,0.525812,0.0702548,0.486643
233,0.927287,0.773963,0.0727127,0.509626
234,0.924795,1.0194,0.0752047,0.533141
235,0.92227,1.26213,0.0777297,0.55717
236,0.919713,1.50219,0.0802865,0.581695
237,0.917126,1.73959,0.082874,0.606697
238,0.914509,1.97433,0.0854909,0.632151
239,0.911864,2.20643,0.0881357,0.658035
240,0.909193,2.43589,0.0908071,0.684323
241,0.906496,2.66271,0.0935035,0.710985
242,0.903777,2.8869,0.0962235,0.737993
243,0.901035,3.10843,0.0989652,0.765314
244,0.898273,3.32732,0.101727,0.792915
245,0.895493,3.54353,0.104507,0.82076
246,0.892697,3.75706,0.107303,0.848811
247,0.889887,3.96789,0.110113,0.877031
248,0.887065,4.17599,0.112935,0.905378
249,0.884233,4.38134,0.115767,0.93381
250,0.881395,4.58391,0.118605,0.962284
251,0.878552,4.78367,0.121448,0.990755
252,0.875708,4.98058,0.124292,1.01918
253,0.872865,5.17461,0.127135,1.04751
254,0.870027,5.36572,0.129973,1.0757
255,0.867197,5.55386,0.132803,1.1037
256,0.864378,5.739,0.135622,1.13146
257,0.861573,5.92109,0.138427,1.15895
258,0.858787,6.10008,0.141213,1.18611
259,0.856023,6.27594,0.143977,1.2129
260,0.853285,6.4486,0.146715,1.23927
261,0.850576,6.61804,0.149424,1.26519
262,0.847902,6.7842,0.152098,1.29061
263,0.845266,6.94704,0.154734,1.3155
264,0.842671,7.10652,0.157329,1.33983
265,0.840123,7.2626,0.159877,1.36356
266,0.837625,7.41523,0.162375,1.38667
267,0.835182,7.5644,0.164818,1.40913
268,0.832796,7.71006,0.167204,1.43092
269,0.830473,7.85219,0.169527,1.45203
