t,T+R,N_0,N_1,N_2
261,1.64519,0.512356,0.0975589,0.0304171
262,1.42737,0.578248,0.109216,0.0341598
263,1.2766,0.649715,0.121701,0.0381775
264,1.19783,0.726748,0.134981,0.0424591
265,1.19067,0.809246,0.149009,0.0469877
266,1.25001,0.897008,0.163715,0.0517391
267,1.36696,0.989722,0.179013,0.0566825
268,1.52995,1.08695,0.194796,0.0617793
269,1.72588,1.18814,0.210936,0.0669836
270,1.94123,1.29258,0.227284,0.072242
271,2.16304,1.39945,0.243674,0.0774939
272,2.37976,1.50779,0.25992,0.0826723
273,2.58177,1.6165,0.275822,0.0877046
274,2.76179,1.72438,0.291166,0.0925134
275,2.91496,1.8301,0.305728,0.0970182
276,3.03877,1.93227,0.319277,0.101137
277,3.1328,2.02941,0.331584,0.104788
278,3.19832,2.12001,0.34242,0.107891
279,3.23785,2.20256,0.351567,0.110372
280,3.25468,2.27556,0.358821,0.112162
281,3.25236,2.3376,0.363998,0.113203
282,3.23437,2.38733,0.366938,0.113447
283,3.20373,2.42358,0.367516,0.11286
284,3.1628,2.44534,0.365639,0.111425
285,3.11318,2.45184,0.361256,0.109139
286,3.05568,2.44253,0.354361,0.106019
287,2.99041,2.41717,0.344993,0.102101
288,2.91693,2.37583,0.333238,0.0974408
289,2.83444,2.3189,0.319231,0.0921101
290,2.74202,2.24709,0.303157,0.0862001
291,2.63887,2.16146,0.285241,0.0798167
292,2.52447,2.0634,0.265751,0.0730793
293,2.39881,1.95459,0.244993,0.0661173
294,2.26246,1.83698,0.2233,0.059067
295,2.11666,1.71275,0.20103,0.0520675
296,1.96327,1.58427,0.178552,0.0452564
297,1.80479,1.454,0.156244,0.0387659
298,1.64417,1.32447,0.134478,0.0327182
299,1.4847,1.1982,0.113612,0.0272218
300,1.32986,1.07759,0.0939837,0.0223674
301,1.18306,0.964904,0.0758971,0.018225
302,1.04756,0.862148,0.0596169,0.0148415
303,0.926198,0.771044,0.0453608,0.0122391
304,0.821325,0.692956,0.0332935,0.0104142
305,0.734653,0.628853,0.0235222,0.00933836
306,0.667195,0.579275,0.0160937,0.00895883
307,0.619234,0.544318,0.0109937,0.00920125
308,0.590329,0.523634,0.00814745,0.00997261
309,0.579361,0.516446,0.00742224,0.0111651
310,0.584611,0.521581,0.00863223,0.0126609
311,0.603858,0.537517,0.0115444,0.0143365
312,0.634503,0.562445,0.0158865,0.0160687
313,0.6737,0.594342,0.0213558,0.017739
314,0.718489,0.63105,0.0276291,0.0192389
315,0.765928,0.670364,0.0343737,0.0204741
316,0.813214,0.710117,0.0412581,0.0213685
317,0.857794,0.74827,0.0479633,0.0218663
318,0.897453,0.782988,0.0541932,0.0219348
319,0.930385,0.812708,0.0596841,0.0215643
320,0.955241,0.836199,0.0642139,0.0207679
321,0.971158,0.8526,0.0676086,0.0195804
322,0.977763,0.861447,0.069748,0.0180553
323,0.975156,0.862675,0.0705688,0.0162615
324,0.963878,0.856603,0.0700658,0.0142795
325,0.944862,0.84391,0.0682908,0.0121965
326,0.919365,0.825577,0.0653492,0.0101019
327,0.888899,0.802837,0.0613947,0.00808243
328,0.855144,0.777093,0.0566215,0.0062176
329,0.819866,0.749849,0.0512557,0.00457602
330,0.784827,0.722621,0.0455446,0.00321196
331,0.751707,0.696867,0.0397453,0.00216309
332,0.722023,0.673905,0.0341133,0.00144909
333,0.697063,0.654856,0.0288906,0.00107135
334,0.677837,0.640592,0.0242951,0.00101364
335,0.665031,0.631695,0.0205105,0.00124376
336,0.658992,0.628447,0.0176782,0.00171606
337,0.65972,0.630823,0.0158913,0.00237455
338,0.666882,0.638507,0.0151906,0.00315652
339,0.679841,0.650923,0.0155635,0.00399641
340,0.697707,0.667284,0.0169452,0.00482966
341,0.719388,0.686638,0.0192231,0.0055963
342,0.74366,0.70794,0.022243,0.00624424
343,0.769241,0.730108,0.0258175,0.00673178
344,0.79486,0.752091,0.0297365,0.00702958
345,0.81933,0.77293,0.0337786,0.00712165
346,0.84161,0.791803,0.0377225,0.00700561
347,0.860858,0.80807,0.0413593,0.00669208
348,0.876466,0.821298,0.0445033,0.00620332
349,0.888087,0.831275,0.0470015,0.00557127
350,0.89564,0.83801,0.0487415,0.00483506
351,0.899299,0.841716,0.0496569,0.00403826
352,0.89947,0.842784,0.0497296,0.00322596
353,0.896748,0.841748,0.0489903,0.00244196
354,0.891877,0.83924,0.0475151,0.00172617
355,0.885688,0.835943,0.0454205,0.00111235
356,0.879042,0.832545,0.0428551,0.000626441
357,0.872777,0.829689,0.0399907,0.000285378
358,0.867652,0.827937,0.0370113,9.65996e-05
359,0.864304,0.827737,0.0341021,5.81289e-05
360,0.863214,0.829399,0.0314381,0.000159247
361,0.864682,0.833084,0.0291744,0.000381664
362,0.868825,0.8388,0.027437,0.000701092
363,0.875573,0.846417,0.0263164,0.00108909
364,0.884688,0.855676,0.0258629,0.00151505
365,0.89579,0.866222,0.0260849,0.00194822
366,0.908389,0.87763,0.0269496,0.00235954
367,0.921925,0.88944,0.0283864,0.00272335
368,0.935808,0.90119,0.0302924,0.0030187
369,0.949458,0.912445,0.0325401,0.00323035
370,0.962343,0.92283,0.0349856,0.00334927
371,0.97401,0.932045,0.0374788,0.00337278
372,0.984108,0.939883,0.0398724,0.00330432
373,0.992402,0.946236,0.0420312,0.00315276
374,0.998784,0.951095,0.0438402,0.00293153
375,1.00326,0.954543,0.0452106,0.00265744
376,1.00596,0.956739,0.0460848,0.00234946
377,1.0071,0.957903,0.0464383,0.00202737
378,1.00697,0.958295,0.0462796,0.00171056
379,1.00589,0.95819,0.0456491,0.0014168
380,1.00423,0.957859,0.0446139,0.00116134
381,1.00232,0.957548,0.0432631,0.000956138
382,1.0005,0.957464,0.041701,0.000809372
383,0.999021,0.957762,0.0400393,0.000725209
384,0.998097,0.958536,0.0383902,0.000703841
385,0.997862,0.95982,0.0368587,0.000741748
386,0.998375,0.961589,0.0355366,0.000832169
387,0.999625,0.963769,0.0344974,0.000965727
388,1.00153,0.966242,0.0337922,0.00113117
389,1.00397,0.968863,0.033448,0.00131616
390,1.00677,0.971474,0.0334673,0.00150808
391,1.00974,0.973915,0.0338291,0.00169479
392,1.01268,0.976041,0.0344917,0.0018653
393,1.0154,0.977728,0.0353966,0.00201033
394,1.01773,0.978887,0.036473,0.00212274
395,1.01953,0.979464,0.0376435,0.0021978
396,1.02072,0.979446,0.0388289,0.00223327
397,1.02124,0.978859,0.0399537,0.00222939
