t,T+R,N_0
441,1.00001,5.62044e-11
442,1.00001,5.26405e-11
443,1.00001,4.93002e-11
444,0.999999,4.61704e-11
445,0.999993,4.32386e-11
446,0.999989,4.04927e-11
447,0.999988,3.79213e-11
448,0.99999,3.55132e-11
449,0.999994,3.3258e-11
450,1,3.1146e-11
451,1,2.91681e-11
452,1.00001,2.73161e-11
453,1.00001,2.55822e-11
454,1.00001,2.39594e-11
455,1.00001,2.24407e-11
456,1,2.10196e-11
457,0.999997,1.96896e-11
458,0.999993,1.84444e-11
459,0.999992,1.72779e-11
460,0.999992,1.61844e-11
461,0.999995,1.51589e-11
462,0.999998,1.41967e-11
463,1,1.3294e-11
464,1,1.24474e-11
465,1.00001,1.16541e-11
466,1.00001,1.09115e-11
467,1,1.02169e-11
468,1,9.56777e-12
469,0.999999,8.96142e-12
470,0.999996,8.3949e-12
471,0.999995,7.8652e-12
472,0.999995,7.36933e-12
473,0.999996,6.90451e-12
474,0.999998,6.46824e-12
475,1,6.05843e-12
476,1,5.67338e-12
477,1,5.31181e-12
478,1,4.97266e-12
479,1,4.65505e-12
480,1,4.35808e-12
481,1,4.08076e-12
482,0.999998,3.82196e-12
483,0.999997,3.58039e-12
484,0.999996,3.35468e-12
485,0.999997,3.14344e-12
486,0.999998,2.94538e-12
487,1,2.75938e-12
488,1,2.58454e-12
489,1,2.42017e-12
490,1,2.26578e-12
491,1,2.12099e-12
492,1,1.98548e-12
493,1,1.85889e-12
494,0.999999,1.74077e-12
495,0.999998,1.6306e-12
496,0.999998,1.52775e-12
497,0.999998,1.43158e-12
498,0.999998,1.34147e-12
499,0.999999,1.25685e-12
500,1,1.17726e-12
501,1,1.10239e-12
502,1,1.03201e-12
503,1,9.65974e-13
504,1,9.04163e-13
505,1,8.46449e-13
506,1,7.92656e-13
507,0.999999,7.42547e-13
508,0.999998,6.95828e-13
509,0.999998,6.52173e-13
510,0.999999,6.11256e-13
511,0.999999,5.72789e-13
512,1,5.36544e-13
513,1,5.02367e-13
514,1,4.70174e-13
515,1,4.3993e-13
516,1,4.11621e-13
517,1,3.85226e-13
518,1,3.60688e-13
519,1,3.37907e-13
520,0.999999,3.16739e-13
521,0.999999,2.97007e-13
522,0.999999,2.78527e-13
523,0.999999,2.61131e-13
524,1,2.44687e-13
525,1,2.29114e-13
526,1,2.14378e-13
527,1,2.00482e-13
528,1,1.8745e-13
529,1,1.75306e-13
530,1,1.6405e-13
531,1,1.53653e-13
532,0.999999,1.4405e-13
533,0.999999,1.35149e-13
534,0.999999,1.26841e-13
535,0.999999,1.19025e-13
536,1,1.11615e-13
537,1,1.04558e-13
538,1,9.78316e-14
