t,T+R,N_0,N_1,N_2,N_3
114,1.00024,1.36528e-21,1.13631e-29,1.64487e-33,3.21752e-29
115,1.00055,1.36462e-21,1.8888e-29,1.86007e-32,3.19228e-29
116,1.00118,1.36391e-21,3.64869e-29,6.63138e-32,3.3689e-29
117,1.00228,1.36377e-21,6.67962e-29,1.53278e-31,3.83257e-29
118,1.00399,1.3635e-21,1.10474e-28,2.8641e-31,4.60835e-29
119,1.00635,1.36408e-21,1.65267e-28,4.6944e-31,5.65151e-29
120,1.00919,1.36409e-21,2.25812e-28,7.00627e-31,6.85907e-29
121,1.01207,1.36484e-21,2.842e-28,9.69949e-31,8.09714e-29
122,1.01421,1.3652e-21,3.31123e-28,1.2575e-30,9.23215e-29
123,1.01445,1.3654e-21,3.57632e-28,1.53509e-30,1.01545e-28
124,1.01139,1.36564e-21,3.57362e-28,1.77086e-30,1.07878e-28
125,1.00344,1.36565e-21,3.28595e-28,1.93471e-30,1.10839e-28
126,0.989121,1.36536e-21,2.75229e-28,2.00281e-30,1.10121e-28
127,0.967206,1.3653e-21,2.06423e-28,1.96115e-30,1.05513e-28
128,0.936994,1.36463e-21,1.34565e-28,1.80904e-30,9.69356e-29
129,0.898439,1.36465e-21,7.2532e-29,1.56172e-30,8.45991e-29
130,0.852215,1.36509e-21,3.06106e-29,1.25e-30,6.92149e-29
131,0.799674,1.36552e-21,1.40131e-29,9.15314e-31,5.21287e-29
132,0.742689,1.36584e-21,2.17115e-29,6.00984e-31,3.52473e-29
133,0.683427,1.36604e-21,4.70589e-29,3.42587e-31,2.06993e-29
134,0.624073,1.3658e-21,8.01182e-29,1.61293e-31,1.02939e-29
135,0.566567,1.3658e-21,1.10889e-28,5.89914e-32,4.95972e-30
136,0.512377,1.36565e-21,1.32133e-28,1.84624e-32,4.3958e-30
137,0.462368,1.36481e-21,1.40625e-28,1.02842e-32,7.10934e-30
138,0.41676,1.36423e-21,1.37045e-28,8.5443e-33,1.08768e-29
139,0.375203,1.36322e-21,1.24779e-28,1.12824e-32,1.34934e-29
140,0.336931,1.3629e-21,1.07853e-28,5.29378e-32,1.35507e-29
141,0.300976,1.36301e-21,8.95117e-29,1.91646e-31,1.09379e-29
142,0.266412,1.3639e-21,7.08118e-29,4.58971e-31,6.80343e-30
143,0.23257,1.36503e-21,5.14451e-29,7.81639e-31,2.91992e-30
144,0.199197,1.36606e-21,3.10522e-29,9.65081e-31,7.55676e-31
145,0.166533,1.3667e-21,1.20139e-29,1.01649e-30,9.83799e-31
146,0.135289,1.36738e-21,2.18512e-30,2.4652e-30,4.31708e-30
147,0.106528,1.36729e-21,1.98479e-29,1.23315e-29,1.41145e-29
148,0.0814806,1.36677e-21,1.09398e-28,5.34216e-29,4.04351e-29
149,0.0613058,1.36653e-21,3.98455e-28,1.90174e-28,1.05571e-28
150,0.0468625,1.36663e-21,1.27527e-27,5.92921e-28,2.5563e-28
151,0.0385159,1.36771e-21,3.88791e-27,1.698e-27,5.95685e-28
152,0.0360218,1.36973e-21,1.14128e-26,4.60406e-27,1.39344e-27
153,0.0385102,1.37307e-21,3.21699e-26,1.20435e-26,3.34879e-27
154,0.0445745,1.37771e-21,8.70185e-26,3.07298e-26,8.23521e-27
155,0.0524562,1.38418e-21,2.26899e-25,7.69219e-26,2.03627e-26
156,0.0602956,1.3939e-21,5.73432e-25,1.894e-25,4.98882e-26
157,0.0664113,1.40958e-21,1.41219e-24,4.59195e-25,1.20332e-25
158,0.0695608,1.43673e-21,3.40213e-24,1.09655e-24,2.85631e-25
159,0.0691412,1.48606e-21,8.03988e-24,2.57941e-24,6.68437e-25
160,0.0652955,1.57799e-21,1.86693e-23,5.97755e-24,1.54475e-24
161,0.0589063,1.75111e-21,4.26438e-23,1.36492e-23,3.52747e-24
162,0.0514763,2.08175e-21,9.58892e-23,3.07165e-23,7.95751e-24
163,0.0449126,2.71555e-21,2.12392e-22,6.81431e-23,1.77238e-23
164,0.0412504,3.93487e-21,4.63644e-22,1.4906e-22,3.89572e-23
165,0.0423579,6.29102e-21,9.97904e-22,3.21581e-22,8.44821e-23
166,0.0496698,1.08512e-20,2.11843e-21,6.84395e-22,1.80753e-22
167,0.0639922,1.96786e-20,4.43693e-21,1.43713e-21,3.81604e-22
168,0.0854092,3.67433e-20,9.17058e-21,2.97811e-21,7.95133e-22
169,0.113306,6.96371e-20,1.87085e-20,6.09143e-21,1.63553e-21
170,0.146503,1.32761e-19,3.76772e-20,1.23001e-20,3.32166e-21
171,0.183483,2.53195e-19,7.4918e-20,2.45232e-20,6.66197e-21
172,0.222664,4.81403e-19,1.47106e-19,4.82838e-20,1.31967e-20
173,0.26268,9.10437e-19,2.85282e-19,9.3896e-20,2.58229e-20
174,0.302622,1.71008e-18,5.46498e-19,1.80377e-19,4.99211e-20
175,0.342188,3.18671e-18,1.03428e-18,3.42351e-19,9.53594e-20
176,0.381733,5.88696e-18,1.93415e-18,6.42066e-19,1.80014e-19
177,0.42219,1.07749e-17,3.57443e-18,1.19006e-18,3.35874e-19
178,0.464885,1.95315e-17,6.52915e-18,2.18024e-18,6.19493e-19
179,0.511283,3.50531e-17,1.17896e-17,3.94861e-18,1.12966e-18
180,0.56269,6.22733e-17,2.10475e-17,7.07052e-18,2.03692e-18
181,0.619976,1.09497e-16,3.71552e-17,1.25194e-17,3.63225e-18
182,0.683364,1.90547e-16,6.48662e-17,2.19232e-17,6.40639e-18
183,0.752313,3.28161e-16,1.12011e-16,3.79727e-17,1.11776e-17
184,0.825526,5.59325e-16,1.9134e-16,6.50648e-17,1.92948e-17
185,0.901066,9.43524e-16,3.23384e-16,1.10304e-16,3.29571e-17
186,0.97657,1.57538e-15,5.40834e-16,1.85039e-16,5.57106e-17
187,1.0495,2.60374e-15,8.95168e-16,3.07205e-16,9.32113e-17
188,1.11744,4.26031e-15,1.46659e-15,5.04834e-16,1.54384e-16
189,1.17827,6.9019e-15,2.37872e-15,8.21277e-16,2.53167e-16
190,1.23036,1.10724e-14,3.82012e-15,1.32287e-15,4.11096e-16
191,1.27263,1.75922e-14,6.07551e-15,2.11008e-15,6.61119e-16
192,1.30449,2.76871e-14,9.57046e-15,3.33353e-15,1.05314e-15
193,1.32576,4.31704e-14,1.49349e-14,5.2168e-15,1.66199e-15
194,1.33653,6.66994e-14,2.30923e-14,8.08856e-15,2.59885e-15
195,1.33707,1.02132e-13,3.53841e-14,1.24274e-14,4.02733e-15
196,1.32773,1.55022e-13,5.37408e-14,1.89238e-14,6.186e-15
197,1.30894,2.33289e-13,8.09166e-14,2.85649e-14,9.41968e-15
198,1.28125,3.48139e-13,1.20807e-13,4.27498e-14,1.42225e-14
199,1.24549,5.15293e-13,1.78876e-13,6.34445e-14,2.12963e-14
200,1.20279,7.56633e-13,2.62727e-13,9.33884e-14,3.16303e-14
201,1.15475,1.10238e-12,3.82853e-13,1.36369e-13,4.66074e-14
202,1.10346,1.59397e-12,5.53633e-13,1.97579e-13,6.81457e-14
203,1.05139,2.28779e-12,7.94614e-13,2.8409e-13,9.88864e-14
204,1.00129,3.26001e-12,1.13219e-12,4.05451e-13,1.42439e-13
205,0.955951,4.61285e-12,1.60173e-12,5.74473e-13,2.03702e-13
206,0.917936,6.48252e-12,2.25032e-12,8.08217e-13,2.89277e-13
207,0.889319,9.04929e-12,3.14023e-12,1.12924e-12,4.07998e-13
208,0.871473,1.25502e-11,4.35321e-12,1.56719e-12,5.71615e-13
209,0.864921,1.72947e-11,5.99593e-12,2.16072e-12,7.95644e-13
210,0.869299,2.36847e-11,8.20663e-12,2.95993e-12,1.10045e-12
211,0.883408,3.22377e-11,1.11633e-11,4.02932e-12,1.51259e-12
212,0.905355,4.36172e-11,1.50937e-11,5.45137e-12,2.06649e-12
213,0.932744,5.86669e-11,2.02872e-11,7.33086e-12,2.80644e-12
214,0.962907,7.84542e-11,2.71094e-11,9.80004e-12,3.78917e-12
215,0.993131,1.0432e-10,3.60189e-11,1.30247e-11,5.08678e-12
216,1.02087,1.37938e-10,4.75876e-11,1.72114e-11,6.79044e-12
217,1.04395,1.81385e-10,6.25242e-11,2.26155e-11,9.01463e-12
218,1.0607,2.37223e-10,8.1701e-11,2.95514e-11,1.19023e-11
219,1.07007,3.0859e-10,1.06186e-10,3.84026e-11,1.56309e-11
220,1.07174,3.99308e-10,1.37276e-10,4.96346e-11,2.04191e-11
221,1.06611,5.14004e-10,1.76541e-10,6.38087e-11,2.65351e-11
222,1.05427,6.58248e-10,2.25866e-10,8.15971e-11,3.43059e-11
223,1.03789,8.38699e-10,2.875e-10,1.038e-10,4.41275e-11
224,1.01905,1.06328e-09,3.64114e-10,1.31363e-10,5.64766e-11
225,1.00003,1.34134e-09,4.58859e-10,1.65397e-10,7.19245e-11
226,0.983007,1.68389e-09,5.75429e-10,2.07201e-10,9.11505e-11
227,0.969829,2.10375e-09,7.18129e-10,2.58277e-10,1.14959e-10
228,0.961778,2.61584e-09,8.91948e-10,3.20358e-10,1.44296e-10
229,0.959422,3.23733e-09,1.10263e-09,3.95428e-10,1.80269e-10
230,0.96257,3.98792e-09,1.35673e-09,4.85739e-10,2.24163e-10
231,0.970321,4.89003e-09,1.66173e-09,5.93832e-10,2.77465e-10
232,0.981227,5.96905e-09,2.02605e-09,7.22555e-10,3.41883e-10
233,0.993521,7.25348e-09,2.45916e-09,8.75074e-10,4.19365e-10
234,1.00538,8.77515e-09,2.9716e-09,1.05488e-09,5.12123e-10
235,1.01518,1.05694e-08,3.57502e-09,1.26579e-09,6.22648e-10
236,1.02172,1.2675e-08,4.28224e-09,1.51196e-09,7.53732e-10
237,1.02436,1.51344e-08,5.10725e-09,1.79785e-09,9.08476e-10
238,1.02308,1.79936e-08,6.06516e-09,2.1282e-09,1.09031e-09
239,1.01843,2.13022e-08,7.17225e-09,2.50804e-09,1.30299e-09
240,1.01141,2.51129e-08,8.44581e-09,2.94261e-09,1.55062e-09
241,1.00331,2.94817e-08,9.90414e-09,3.4373e-09,1.83762e-09
242,0.995491,3.44669e-08,1.15664e-08,3.99763e-09,2.16872e-09
243,0.989158,4.01292e-08,1.34523e-08,4.62914e-09,2.54899e-09
244,0.985197,4.65307e-08,1.55822e-08,5.3373e-09,2.98374e-09
245,0.98405,5.37342e-08,1.79767e-08,6.12742e-09,3.47852e-09
246,0.985663,6.18023e-08,2.06563e-08,7.00452e-09,4.03906e-09
247,0.989528,7.07964e-08,2.36411e-08,7.97323e-09,4.67125e-09
248,0.994789,8.07753e-08,2.69504e-08,9.03762e-09,5.381e-09
249,1.00041,9.17943e-08,3.06026e-08,1.02011e-08,6.17421e-09
250,1.00537,1.03903e-07,3.46144e-08,1.14662e-08,7.05665e-09
251,1.00883,1.17146e-07,3.90003e-08,1.28345e-08,8.03387e-09
252,1.01029,1.31557e-07,4.37727e-08,1.43065e-08,9.11108e-09
253,1.00966,1.47162e-07,4.89406e-08,1.58814e-08,1.0293e-08
254,1.00723,1.63974e-07,5.45098e-08,1.75571e-08,1.15838e-08
255,1.00361,1.81995e-07,6.04819e-08,1.93298e-08,1.29868e-08
256,0.999588,2.01211e-07,6.68544e-08,2.11945e-08,1.45047e-08
257,0.995974,2.21592e-07,7.36197e-08,2.31441e-08,1.61389e-08
258,0.993426,2.43091e-07,8.0765e-08,2.51703e-08,1.78899e-08
259,0.99235,2.65642e-07,8.82719e-08,2.72628e-08,1.97569e-08
260,0.992829,2.89161e-07,9.61163e-08,2.94099e-08,2.17376e-08
