t,T+R,N_0
417,0.992902,0.985267
418,0.993356,0.985702
419,0.993803,0.986133
420,0.994244,0.98656
421,0.994676,0.986981
422,0.995101,0.987396
423,0.995516,0.987805
424,0.995922,0.988205
425,0.996318,0.988597
426,0.996702,0.98898
427,0.997075,0.989352
428,0.997435,0.989713
429,0.997781,0.990061
430,0.998113,0.990397
431,0.99843,0.99072
432,0.998732,0.991028
433,0.999019,0.991322
434,0.99929,0.991602
435,0.999545,0.991866
436,0.999786,0.992117
437,1.00001,0.992352
438,1.00022,0.992574
439,1.00042,0.992782
440,1.0006,0.992977
441,1.00077,0.993159
442,1.00093,0.993328
443,1.00107,0.993485
444,1.0012,0.99363
445,1.00132,0.993763
446,1.00143,0.993884
447,1.00152,0.993994
448,1.00161,0.994093
449,1.00168,0.994181
450,1.00175,0.994259
451,1.0018,0.994326
452,1.00184,0.994382
453,1.00188,0.994429
454,1.0019,0.994467
455,1.00192,0.994496
456,1.00193,0.994517
457,1.00193,0.994531
458,1.00192,0.994537
459,1.00191,0.994536
460,1.0019,0.99453
461,1.00187,0.994518
462,1.00185,0.9945
463,1.00181,0.994478
464,1.00178,0.994452
465,1.00174,0.994421
466,1.0017,0.994387
467,1.00165,0.994349
468,1.0016,0.994308
469,1.00155,0.994264
470,1.0015,0.994217
471,1.00144,0.994168
472,1.00139,0.994117
473,1.00133,0.994064
474,1.00127,0.99401
475,1.00121,0.993955
476,1.00115,0.993899
477,1.00109,0.993842
478,1.00103,0.993785
479,1.00097,0.993729
480,1.00091,0.993672
481,1.00085,0.993616
482,1.00079,0.993561
483,1.00074,0.993506
484,1.00068,0.993452
485,1.00063,0.993399
486,1.00057,0.993347
487,1.00052,0.993297
488,1.00047,0.993247
489,1.00042,0.993198
490,1.00037,0.993151
491,1.00033,0.993106
492,1.00029,0.993062
493,1.00024,0.993019
494,1.0002,0.992978
495,1.00016,0.992939
496,1.00013,0.992902
497,1.00009,0.992866
498,1.00006,0.992832
499,1.00003,0.992801
500,1,0.99277
501,0.999974,0.992742
502,0.999949,0.992716
503,0.999926,0.992691
504,0.999904,0.992668
505,0.999885,0.992646
506,0.999866,0.992626
507,0.99985,0.992608
508,0.999834,0.992591
509,0.999821,0.992576
510,0.999808,0.992562
511,0.999798,0.992549
512,0.999788,0.992538
513,0.99978,0.992528
514,0.999774,0.99252
515,0.999768,0.992513
516,0.999764,0.992507
517,0.999761,0.992502
518,0.999759,0.992498
519,0.999757,0.992496
520,0.999757,0.992494
521,0.999758,0.992493
522,0.999759,0.992493
523,0.999761,0.992494
524,0.999764,0.992495
525,0.999768,0.992498
526,0.999772,0.9925
527,0.999776,0.992504
528,0.999781,0.992508
529,0.999787,0.992512
530,0.999792,0.992517
531,0.999799,0.992522
532,0.999805,0.992528
533,0.999812,0.992534
534,0.999819,0.99254
535,0.999826,0.992547
536,0.999834,0.992553
537,0.999841,0.99256
538,0.999849,0.992567
539,0.999857,0.992574
540,0.999864,0.992581
541,0.999872,0.992589
542,0.999879,0.992596
543,0.999887,0.992603
544,0.999894,0.99261
545,0.999901,0.992617
546,0.999909,0.992624
547,0.999916,0.992631
548,0.999923,0.992638
549,0.999929,0.992644
550,0.999936,0.992651
551,0.999942,0.992657
552,0.999949,0.992663
553,0.999955,0.992669
554,0.99996,0.992675
555,0.999966,0.992681
556,0.999971,0.992686
557,0.999976,0.992691
558,0.999981,0.992696
559,0.999986,0.992701
560,0.99999,0.992705
561,0.999994,0.99271
562,0.999998,0.992714
563,1,0.992717
564,1.00001,0.992721
565,1.00001,0.992724
566,1.00001,0.992728
567,1.00001,0.99273
568,1.00002,0.992733
569,1.00002,0.992736
570,1.00002,0.992738
571,1.00002,0.99274
572,1.00002,0.992742
573,1.00003,0.992744
574,1.00003,0.992746
575,1.00003,0.992747
576,1.00003,0.992748
577,1.00003,0.992749
578,1.00003,0.99275
579,1.00003,0.992751
580,1.00003,0.992751
581,1.00003,0.992752
582,1.00003,0.992752
583,1.00003,0.992752
584,1.00003,0.992753
585,1.00003,0.992753
586,1.00003,0.992753
587,1.00003,0.992752
588,1.00003,0.992752
589,1.00003,0.992752
590,1.00003,0.992751
591,1.00003,0.992751
592,1.00003,0.99275
593,1.00003,0.99275
594,1.00003,0.992749
595,1.00003,0.992748
596,1.00003,0.992747
597,1.00002,0.992747
598,1.00002,0.992746
599,1.00002,0.992745
600,1.00002,0.992744
601,1.00002,0.992743
602,1.00002,0.992742
603,1.00002,0.992741
604,1.00002,0.99274
605,1.00002,0.99274
606,1.00002,0.992739
607,1.00002,0.992738
608,1.00001,0.992737
609,1.00001,0.992736
610,1.00001,0.992735
611,1.00001,0.992734
612,1.00001,0.992733
613,1.00001,0.992732
614,1.00001,0.992732
615,1.00001,0.992731
616,1.00001,0.99273
617,1.00001,0.992729
618,1.00001,0.992729
619,1.00001,0.992728
620,1,0.992727
621,1,0.992727
622,1,0.992726
623,1,0.992726
624,1,0.992725
625,1,0.992725
626,1,0.992724
627,1,0.992724
628,1,0.992723
629,1,0.992723
630,1,0.992722
631,1,0.992722
632,0.999999,0.992722
633,0.999999,0.992721
634,0.999999,0.992721
635,0.999999,0.992721
636,0.999999,0.992721
637,0.999998,0.992721
638,0.999998,0.99272
639,0.999998,0.99272
640,0.999998,0.99272
641,0.999998,0.99272
642,0.999998,0.99272
643,0.999998,0.99272
644,0.999998,0.99272
645,0.999998,0.99272
646,0.999998,0.99272
647,0.999998,0.99272
648,0.999998,0.99272
649,0.999998,0.99272
650,0.999998,0.99272
651,0.999998,0.99272
652,0.999998,0.99272
653,0.999998,0.99272
654,0.999998,0.99272
655,0.999998,0.99272
656,0.999998,0.99272
657,0.999998,0.99272
658,0.999999,0.99272
659,0.999999,0.99272
660,0.999999,0.99272
661,0.999999,0.99272
662,0.999999,0.992721
663,0.999999,0.992721
664,0.999999,0.992721
665,0.999999,0.992721
666,0.999999,0.992721
667,1,0.992721
668,1,0.992721
669,1,0.992721
670,1,0.992721
671,1,0.992722
672,1,0.992722
673,1,0.992722
674,1,0.992722
675,1,0.992722
676,1,0.992722
677,1,0.992722
678,1,0.992722
679,1,0.992722
680,1,0.992723
681,1,0.992723
682,1,0.992723
683,1,0.992723
684,1,0.992723
685,1,0.992723
686,1,0.992723
687,1,0.992723
688,1,0.992723
689,1,0.992723
690,1,0.992723
691,1,0.992723
692,1,0.992723
693,1,0.992723
694,1,0.992723
695,1,0.992724
696,1,0.992724
697,1,0.992724
698,1,0.992724
699,1,0.992724
700,1,0.992724
701,1,0.992724
702,1,0.992724
703,1,0.992724
704,1,0.992724
705,1,0.992724
706,1,0.992724
707,1,0.992724
708,1,0.992724
709,1,0.992724
710,1,0.992724
711,1,0.992724
712,1,0.992724
713,1,0.992724
714,1,0.992724
715,1,0.992724
716,1,0.992724
717,1,0.992724
718,1,0.992724
719,1,0.992724
720,1,0.992724
721,1,0.992724
722,1,0.992724
723,1,0.992724
724,1,0.992724
725,1,0.992724
726,1,0.992724
727,1,0.992724
728,1,0.992724
729,1,0.992724
730,1,0.992724
731,1,0.992724
732,1,0.992724
733,1,0.992724
734,1,0.992724
735,1,0.992724
736,1,0.992724
737,1,0.992723
738,1,0.992723
739,1,0.992723
740,1,0.992723
741,1,0.992723
742,1,0.992723
743,1,0.992723
744,1,0.992723
745,1,0.992723
746,1,0.992723
747,1,0.992723
748,1,0.992723
749,1,0.992723
750,1,0.992723
751,1,0.992723
752,1,0.992723
753,1,0.992723
754,1,0.992723
755,1,0.992723
756,1,0.992723
757,1,0.992723
758,1,0.992723
759,1,0.992723
760,1,0.992723
761,1,0.992723
762,1,0.992723
763,1,0.992723
764,1,0.992723
765,1,0.992723
766,1,0.992723
767,1,0.992723
768,1,0.992723
769,1,0.992723
770,1,0.992723
771,1,0.992723
772,1,0.992723
773,1,0.992723
774,1,0.992723
775,1,0.992723
776,1,0.992723
777,1,0.992723
778,1,0.992723
779,1,0.992723
780,1,0.992723
781,1,0.992723
782,1,0.992723
783,1,0.992723
784,1,0.992723
785,1,0.992723
786,1,0.992723
787,1,0.992723
788,1,0.992723
789,1,0.992723
790,1,0.992723
791,1,0.992723
792,1,0.992723
793,1,0.992723
794,1,0.992723
795,1,0.992723
796,1,0.992723
797,1,0.992723
798,1,0.992723
799,1,0.992723
800,1,0.992723
