t,Norm_0,AvgX_0
407,1,18.0305
408,1,18.0794
409,1,18.1282
410,1,18.177
411,1,18.2258
412,1,18.2746
413,1,18.3234
414,1,18.3722
415,1,18.421
416,1,18.4698
417,1,18.5186
418,1,18.5674
419,1,18.6162
420,1,18.665
421,1,18.7138
422,1,18.7626
423,1,18.8113
424,1,18.8601
425,1,18.9089
426,1,18.9577
427,1,19.0065
428,1,19.0553
429,1,19.1041
430,1,19.1528
431,1,19.2016
432,1,19.2504
433,1,19.2992
434,1,19.348
435,1,19.3968
436,1,19.4455
437,1,19.4943
438,1,19.5431
439,1,19.5919
440,1,19.6406
441,1,19.6894
442,1,19.7382
443,1,19.787
444,1,19.8358
445,1,19.8845
446,1,19.9333
447,1,19.9821
448,1,20.0309
449,1,20.0796
450,1,20.1284
451,1,20.1772
452,1,20.226
453,1,20.2747
454,1,20.3235
455,1,20.3723
456,1,20.421
457,1,20.4698
458,1,20.5186
459,1,20.5674
460,1,20.6161
461,1,20.6649
462,1,20.7137
463,1,20.7624
464,1,20.8112
465,1,20.86
466,1,20.9088
467,1,20.9575
468,1,21.0063
469,1,21.0551
470,1,21.1038
471,1,21.1526
472,1,21.2014
473,1,21.2501
474,1,21.2989
475,1,21.3477
476,1,21.3965
477,1,21.4452
478,1,21.494
479,1,21.5428
480,1,21.5915
481,1,21.6403
482,1,21.6891
483,1,21.7378
484,1,21.7866
485,1,21.8354
486,1,21.8841
487,1,21.9329
488,1,21.9817
489,1,22.0305
490,1,22.0792
491,1,22.128
492,1,22.1768
493,1,22.2255
494,1,22.2743
495,1,22.3231
496,1,22.3718
497,1,22.4206
498,1,22.4694
499,1,22.5181
500,1,22.5669
501,1,22.6157
502,1,22.6644
503,1,22.7132
504,1,22.762
505,1,22.8107
506,1,22.8595
507,1,22.9083
508,1,22.957
509,1,23.0058
510,1,23.0546
511,1,23.1033
512,1,23.1521
513,1,23.2009
514,1,23.2497
515,1,23.2984
516,1,23.3472
517,1,23.396
518,1,23.4447
519,1,23.4935
520,1,23.5423
521,1,23.591
522,1,23.6398
523,1,23.6886
524,1,23.7373
525,1,23.7861
526,1,23.8349
527,1,23.8836
528,1,23.9324
529,1,23.9812
530,1,24.0299
531,1,24.0787
532,1,24.1275
533,1,24.1762
534,1,24.225
535,1,24.2738
536,1,24.3225
537,1,24.3713
538,1,24.4201
539,1,24.4688
540,1,24.5176
541,1,24.5664
542,1,24.6151
543,1,24.6639
544,1,24.7127
545,1,24.7614
546,1,24.8102
547,1,24.859
548,1,24.9077
549,1,24.9565
550,1,25.0053
551,1,25.054
552,1,25.1028
553,1,25.1516
554,1,25.2003
555,1,25.2491
556,1,25.2979
557,1,25.3466
558,1,25.3954
559,1,25.4442
560,1,25.4929
561,1,25.5417
562,1,25.5905
563,1,25.6392
564,1,25.688
565,1,25.7368
566,1,25.7855
567,1,25.8343
568,1,25.8831
569,1,25.9318
570,1,25.9806
571,1,26.0294
572,1,26.0781
573,1,26.1269
574,1,26.1757
575,1,26.2245
576,1,26.2732
577,1,26.322
578,1,26.3708
579,1,26.4195
580,1,26.4683
581,1,26.5171
582,1,26.5658
583,1,26.6146
584,1,26.6634
585,1,26.7121
586,1,26.7609
587,1,26.8097
588,1,26.8584
589,1,26.9072
590,1,26.956
591,1,27.0047
592,1,27.0535
593,1,27.1023
594,1,27.151
595,1,27.1998
596,1,27.2486
597,1,27.2973
598,1,27.3461
599,1,27.3949
600,1,27.4436
601,1,27.4924
602,1,27.5412
603,1,27.5899
604,1,27.6387
605,1,27.6875
606,1,27.7362
607,1,27.785
608,1,27.8338
609,1,27.8825
610,1,27.9313
611,1,27.9801
612,1,28.0288
613,1,28.0776
614,1,28.1264
615,1,28.1751
616,1,28.2239
617,1,28.2727
618,1,28.3214
619,1,28.3702
620,1,28.419
621,1,28.4677
622,1,28.5165
623,1,28.5653
624,1,28.614
625,1,28.6628
626,1,28.7116
627,1,28.7603
628,1,28.8091
629,1,28.8579
630,1,28.9066
631,1,28.9554
632,1,29.0042
633,1,29.0529
634,1,29.1017
635,1,29.1505
636,1,29.1992
637,1,29.248
638,1,29.2968
639,1,29.3455
640,1,29.3943
641,1,29.4431
642,1,29.4918
643,1,29.5406
644,1,29.5894
645,1,29.6381
646,1,29.6869
647,1,29.7357
648,1,29.7844
649,1,29.8332
650,1,29.882
651,1,29.9307
652,1,29.9795
653,1,30.0283
654,1,30.077
655,1,30.1258
656,1,30.1746
657,1,30.2233
658,1,30.2721
659,1,30.3209
660,1,30.3696
661,1,30.4184
662,1,30.4672
663,1,30.5159
664,1,30.5647
665,1,30.6135
666,1,30.6622
667,1,30.711
668,1,30.7598
669,1,30.8085
670,1,30.8573
671,1,30.9061
672,1,30.9548
673,1,31.0036
674,1,31.0524
675,1,31.1011
676,1,31.1499
677,1,31.1987
678,1,31.2474
679,1,31.2962
680,1,31.345
681,1,31.3937
682,1,31.4425
683,1,31.4913
684,1,31.54
685,1,31.5888
686,1,31.6376
687,1,31.6863
688,1,31.7351
689,1,31.7839
690,1,31.8326
691,1,31.8814
692,1,31.9302
693,1,31.9789
694,1,32.0277
695,1,32.0765
696,1,32.1253
697,1,32.174
698,1,32.2228
699,1,32.2716
700,1,32.3203
701,1,32.3691
702,1,32.4179
703,1,32.4666
704,1,32.5154
705,1,32.5642
706,1,32.6129
707,1,32.6617
708,1,32.7105
709,1,32.7592
710,1,32.808
711,1,32.8568
712,1,32.9055
713,1,32.9543
714,1,33.0031
715,1,33.0518
716,1,33.1006
717,1,33.1494
718,1,33.1981
719,1,33.2469
720,1,33.2957
721,1,33.3444
722,1,33.3932
723,1,33.442
724,1,33.4907
725,1,33.5395
726,1,33.5883
727,1,33.637
728,1,33.6858
729,1,33.7346
730,1,33.7833
731,1,33.8321
732,1,33.8809
733,1,33.9296
734,1,33.9784
735,1,34.0272
736,1,34.0759
737,1,34.1247
738,1,34.1735
739,1,34.2222
740,1,34.271
741,1,34.3198
742,1,34.3685
743,1,34.4173
744,1,34.4661
745,1,34.5148
746,1,34.5636
747,1,34.6124
748,1,34.6611
749,1,34.7099
750,1,34.7587
751,1,34.8074
752,1,34.8562
753,1,34.905
754,1,34.9537
755,1,35.0025
756,1,35.0513
757,1,35.1
758,1,35.1488
759,1,35.1976
760,1,35.2463
761,1,35.2951
762,1,35.3439
763,1,35.3926
764,1,35.4414
765,1,35.4902
766,1,35.5389
767,1,35.5877
768,1,35.6365
769,1,35.6852
770,1,35.734
771,1,35.7828
772,1,35.8315
773,1,35.8803
774,1,35.9291
775,1,35.9778
776,1,36.0266
777,1,36.0754
778,1,36.1241
779,1,36.1729
780,1,36.2217
781,1,36.2704
782,1,36.3192
783,1,36.368
784,1,36.4167
785,1,36.4655
786,1,36.5143
787,1,36.563
788,1,36.6118
789,1,36.6606
790,1,36.7093
791,1,36.7581
792,1,36.8069
793,1,36.8556
794,1,36.9044
795,1,36.9532
796,1,37.0019
797,1,37.0507
798,1,37.0995
799,1,37.1482
800,1,37.197
801,1,37.2458
802,1,37.2945
803,1,37.3433
804,1,37.3921
805,1,37.4408
806,1,37.4896
807,1,37.5384
808,1,37.5871
809,1,37.6359
810,1,37.6847
811,1,37.7334
812,1,37.7822
813,1,37.831
814,1,37.8797
815,1,37.9285
816,1,37.9773
817,1,38.026
818,1,38.0748
819,1,38.1236
820,1,38.1723
821,1,38.2211
822,1,38.2699
823,1,38.3186
824,1,38.3674
825,1,38.4162
826,1,38.4649
827,1,38.5137
828,1,38.5625
829,1,38.6112
830,1,38.66
831,1,38.7088
832,1,38.7576
833,1,38.8063
834,1,38.8551
835,1,38.9039
836,1,38.9526
837,1,39.0014
838,1,39.0502
839,1,39.0989
840,1,39.1477
841,1,39.1965
842,1,39.2452
843,1,39.294
844,1,39.3428
845,1,39.3915
846,1,39.4403
847,1,39.4891
848,1,39.5378
849,1,39.5866
850,1,39.6354
851,1,39.6841
852,1,39.7329
853,1,39.7817
854,1,39.8304
855,1,39.8792
856,1,39.928
857,1,39.9767
858,1,40.0255
859,1,40.0743
860,1,40.123
861,1,40.1718
862,1,40.2206
863,1,40.2693
864,1,40.3181
865,1,40.3669
866,1,40.4156
867,1,40.4644
868,1,40.5132
869,1,40.5619
870,1,40.6107
871,1,40.6595
872,1,40.7082
873,1,40.757
874,1,40.8058
875,1,40.8545
876,1,40.9033
877,1,40.9521
878,1,41.0008
879,1,41.0496
880,1,41.0984
881,1,41.1471
882,1,41.1959
883,1,41.2447
884,1,41.2934
885,1,41.3422
886,1,41.391
887,1,41.4397
888,1,41.4885
889,1,41.5373
890,1,41.586
891,1,41.6348
892,1,41.6836
893,1,41.7323
894,1,41.7811
895,1,41.8299
896,1,41.8786
897,1,41.9274
898,1,41.9762
899,1,42.0249
900,1,42.0737
901,1,42.1225
902,1,42.1712
903,1,42.22
904,1,42.2688
905,1,42.3175
906,1,42.3663
907,1,42.4151
908,1,42.4638
909,1,42.5126
910,1,42.5614
911,1,42.6101
912,1,42.6589
913,1,42.7077
914,1,42.7564
915,1,42.8052
916,1,42.854
917,1,42.9027
918,1,42.9515
919,1,43.0003
920,1,43.049
921,1,43.0978
922,1,43.1466
923,1,43.1953
924,1,43.2441
925,1,43.2929
926,1,43.3416
927,1,43.3904
928,1,43.4392
929,1,43.4879
930,1,43.5367
931,1,43.5855
932,1,43.6342
933,1,43.683
934,1,43.7318
935,1,43.7805
936,1,43.8293
937,1,43.8781
938,1,43.9268
939,1,43.9756
940,1,44.0244
941,1,44.0731
942,1,44.1219
943,1,44.1707
944,1,44.2194
945,1,44.2682
946,1,44.317
947,1,44.3657
948,1,44.4145
949,1,44.4633
950,1,44.512
951,1,44.5608
952,1,44.6096
953,1,44.6583
954,1,44.7071
955,1,44.7559
956,1,44.8046
957,1,44.8534
958,1,44.9022
959,1,44.9509
960,1,44.9997
961,1,45.0485
962,1,45.0972
963,1,45.146
964,1,45.1948
965,1,45.2435
966,1,45.2923
967,1,45.3411
968,1,45.3898
969,1,45.4386
970,1,45.4874
971,1,45.5362
972,1,45.5849
973,1,45.6337
974,1,45.6825
975,1,45.7312
976,1,45.78
977,1,45.8288
978,1,45.8775
979,1,45.9263
980,1,45.9751
981,1,46.0238
982,1,46.0726
983,1,46.1214
984,1,46.1701
985,1,46.2189
986,1,46.2677
987,1,46.3164
988,1,46.3652
989,1,46.414
990,1,46.4627
991,1,46.5115
992,1,46.5603
993,1,46.609
994,1,46.6578
995,1,46.7066
996,1,46.7553
997,1,46.8041
998,1,46.8529
999,1,46.9016
1000,1,46.9504
1001,1,46.9992
1002,1,47.0479
1003,1,47.0967
1004,1,47.1455
1005,1,47.1942
1006,1,47.243
1007,1,47.2918
1008,1,47.3405
1009,1,47.3893
1010,1,47.4381
1011,1,47.4868
1012,1,47.5356
1013,1,47.5844
1014,1,47.6331
1015,1,47.6819
1016,1,47.7307
1017,1,47.7794
1018,1,47.8282
1019,1,47.877
1020,1,47.9257
1021,1,47.9745
1022,1,48.0233
1023,1,48.072
1024,1,48.1208
1025,1,48.1696
1026,1,48.2183
1027,1,48.2671
1028,1,48.3159
1029,1,48.3646
1030,1,48.4134
1031,1,48.4622
1032,1,48.5109
1033,1,48.5597
1034,1,48.6085
1035,1,48.6572
1036,1,48.706
1037,1,48.7548
1038,1,48.8035
1039,1,48.8523
1040,1,48.9011
1041,1,48.9498
1042,1,48.9986
1043,1,49.0474
1044,1,49.0961
1045,1,49.1449
1046,1,49.1937
1047,1,49.2424
1048,1,49.2912
1049,1,49.34
1050,1,49.3887
1051,1,49.4375
1052,1,49.4863
1053,1,49.535
1054,1,49.5838
1055,1,49.6326
1056,1,49.6813
1057,1,49.7301
1058,1,49.7789
1059,1,49.8276
1060,1,49.8764
1061,1,49.9252
1062,1,49.9739
1063,1,50.0227
1064,1,50.0715
1065,1,50.1202
1066,1,50.169
1067,1,50.2178
1068,1,50.2665
1069,1,50.3153
1070,1,50.3641
1071,1,50.4128
1072,1,50.4616
1073,1,50.5104
1074,1,50.5591
1075,1,50.6079
1076,1,50.6567
1077,1,50.7054
1078,1,50.7542
1079,1,50.803
1080,1,50.8517
1081,1,50.9005
1082,1,50.9493
1083,1,50.998
1084,1,51.0468
1085,1,51.0956
1086,1,51.1443
1087,1,51.1931
1088,1,51.2419
1089,1,51.2906
1090,1,51.3394
1091,1,51.3882
1092,1,51.4369
1093,1,51.4857
1094,1,51.5345
1095,1,51.5832
1096,1,51.632
1097,1,51.6808
1098,1,51.7295
1099,1,51.7783
1100,1,51.8271
1101,1,51.8758
1102,1,51.9246
1103,1,51.9734
1104,1,52.0221
1105,1,52.0709
1106,1,52.1197
1107,1,52.1685
1108,1,52.2172
1109,1,52.266
1110,1,52.3148
1111,1,52.3635
1112,1,52.4123
1113,1,52.4611
1114,1,52.5098
1115,1,52.5586
1116,1,52.6074
1117,1,52.6561
1118,1,52.7049
1119,1,52.7537
1120,1,52.8024
1121,1,52.8512
1122,1,52.9
1123,1,52.9487
1124,1,52.9975
1125,1,53.0463
1126,1,53.095
1127,1,53.1438
1128,1,53.1926
1129,1,53.2413
1130,1,53.2901
1131,1,53.3389
1132,1,53.3876
1133,1,53.4364
1134,1,53.4852
1135,1,53.5339
1136,1,53.5827
1137,1,53.6315
1138,1,53.6802
1139,1,53.729
1140,1,53.7778
1141,1,53.8265
1142,1,53.8753
1143,1,53.9241
1144,1,53.9728
1145,1,54.0216
1146,1,54.0704
1147,1,54.1191
1148,1,54.1679
1149,1,54.2167
1150,1,54.2654
1151,1,54.3142
1152,1,54.363
1153,1,54.4117
1154,1,54.4605
1155,1,54.5093
1156,1,54.558
1157,1,54.6068
1158,1,54.6556
1159,1,54.7043
1160,1,54.7531
1161,1,54.8019
1162,1,54.8506
1163,1,54.8994
1164,1,54.9482
1165,1,54.9969
1166,1,55.0457
1167,1,55.0945
1168,1,55.1432
1169,1,55.192
1170,1,55.2408
1171,1,55.2895
1172,1,55.3383
1173,1,55.3871
1174,1,55.4358
1175,1,55.4846
1176,1,55.5334
1177,1,55.5821
1178,1,55.6309
1179,1,55.6797
1180,1,55.7284
1181,1,55.7772
1182,1,55.826
1183,1,55.8747
1184,1,55.9235
1185,1,55.9723
1186,1,56.021
1187,1,56.0698
1188,1,56.1186
1189,1,56.1673
1190,1,56.2161
1191,1,56.2649
1192,1,56.3136
1193,1,56.3624
1194,1,56.4112
1195,1,56.4599
1196,1,56.5087
1197,1,56.5575
1198,1,56.6062
1199,1,56.655
1200,1,56.7038
1201,1,56.7525
1202,1,56.8013
1203,1,56.8501
1204,1,56.8988
1205,1,56.9476
1206,1,56.9964
1207,1,57.0451
1208,1,57.0939
1209,1,57.1427
1210,1,57.1914
1211,1,57.2402
1212,1,57.289
1213,1,57.3377
1214,1,57.3865
1215,1,57.4353
1216,1,57.484
1217,1,57.5328
1218,1,57.5816
1219,1,57.6303
1220,1,57.6791
1221,1,57.7279
1222,1,57.7766
1223,1,57.8254
1224,1,57.8742
1225,1,57.9229
1226,1,57.9717
1227,1,58.0205
1228,1,58.0692
1229,1,58.118
1230,1,58.1668
1231,1,58.2155
1232,1,58.2643
1233,1,58.3131
1234,1,58.3618
1235,1,58.4106
1236,1,58.4594
1237,1,58.5081
1238,1,58.5569
1239,1,58.6057
1240,1,58.6544
1241,1,58.7032
1242,1,58.752
1243,1,58.8007
1244,1,58.8495
1245,1,58.8983
1246,1,58.9471
1247,1,58.9958
1248,1,59.0446
1249,1,59.0934
1250,1,59.1421
1251,1,59.1909
1252,1,59.2397
1253,1,59.2884
1254,1,59.3372
1255,1,59.386
1256,1,59.4347
1257,1,59.4835
1258,1,59.5323
1259,1,59.581
1260,1,59.6298
