E,T,R0,R1,R2,R,N_R0,N_R1,N_R2,E/V0
0.0606554,0.0868375,0.894181,0,0,0.894181,0.911482,0,0,0.000606554
0.0613648,0.0846927,0.894785,0,0,0.894785,0.913533,0,0,0.000613648
0.0620783,0.0826007,0.89468,0,0,0.89468,0.915479,0,0,0.000620783
0.062796,0.0805604,0.893878,0,0,0.893878,0.917326,0,0,0.00062796
0.0635178,0.0785705,0.892389,0,0,0.892389,0.919079,0,0,0.000635178
0.0642437,0.0766299,0.890226,0,0,0.890226,0.920743,0,0,0.000642437
0.0649737,0.0747373,0.887403,0,0,0.887403,0.922322,0,0,0.000649737
0.0657079,0.0728916,0.883937,0,0,0.883937,0.92382,0,0,0.000657079
0.0664462,0.0710916,0.879846,0,0,0.879846,0.925241,0,0,0.000664462
0.0671886,0.0693363,0.87515,0,0,0.87515,0.926588,0,0,0.000671886
0.0679351,0.0676246,0.869868,0,0,0.869868,0.927867,0,0,0.000679351
0.0686858,0.0659554,0.864025,0,0,0.864025,0.929079,0,0,0.000686858
0.0694406,0.0643278,0.857643,0,0,0.857643,0.930228,0,0,0.000694406
0.0701995,0.0627406,0.850749,0,0,0.850749,0.931318,0,0,0.000701995
0.0709625,0.0611929,0.843368,0,0,0.843368,0.932351,0,0,0.000709625
0.0717297,0.0596837,0.835528,0,0,0.835528,0.93333,0,0,0.000717297
0.0725009,0.0582122,0.82726,0,0,0.82726,0.934259,0,0,0.000725009
0.0732763,0.0567773,0.818593,0,0,0.818593,0.935139,0,0,0.000732763
0.0740559,0.0553782,0.809558,0,0,0.809558,0.935974,0,0,0.000740559
0.0748395,0.0540141,0.800189,0,0,0.800189,0.936767,0,0,0.000748395
0.0756273,0.052684,0.790517,0,0,0.790517,0.937519,0,0,0.000756273
0.0764192,0.0513871,0.780577,0,0,0.780577,0.938234,0,0,0.000764192
0.0772152,0.0501225,0.770404,0,0,0.770404,0.938914,0,0,0.000772152
0.0780154,0.0488896,0.760033,0,0,0.760033,0.939562,0,0,0.000780154
0.0788197,0.0476875,0.749501,0,0,0.749501,0.94018,0,0,0.000788197
0.0796281,0.0465155,0.738843,0,0,0.738843,0.940772,0,0,0.000796281
0.0804406,0.0453727,0.728097,0,0,0.728097,0.941339,0,0,0.000804406
0.0812572,0.0442586,0.717299,0,0,0.717299,0.941884,0,0,0.000812572
0.082078,0.0431723,0.706486,0,0,0.706486,0.942411,0,0,0.00082078
0.0829029,0.0421132,0.695697,0,0,0.695697,0.942921,0,0,0.000829029
0.0837319,0.0410806,0.684968,0,0,0.684968,0.943419,0,0,0.000837319
0.0845651,0.0400739,0.674336,0,0,0.674336,0.943906,0,0,0.000845651
0.0854024,0.0390924,0.663838,0,0,0.663838,0.944387,0,0,0.000854024
0.0862438,0.0381354,0.653511,0,0,0.653511,0.944863,0,0,0.000862438
0.0870893,0.0372024,0.643391,0,0,0.643391,0.945338,0,0,0.000870893
0.0879389,0.0362927,0.633514,0,0,0.633514,0.945816,0,0,0.000879389
0.0887927,0.0354059,0.623913,0,0,0.623913,0.946299,0,0,0.000887927
0.0896506,0.0345412,0.614625,0,0,0.614625,0.946791,0,0,0.000896506
0.0905126,0.0336982,0.605681,0,0,0.605681,0.947295,0,0,0.000905126
0.0913788,0.0328763,0.597115,0,0,0.597115,0.947815,0,0,0.000913788
0.092249,0.032075,0.588957,0,0,0.588957,0.948352,0,0,0.00092249
0.0931234,0.0312937,0.581239,0,0,0.581239,0.948911,0,0,0.000931234
0.0940019,0.030532,0.573989,0,0,0.573989,0.949494,0,0,0.000940019
0.0948846,0.0297893,0.567235,0,0,0.567235,0.950104,0,0,0.000948846
0.0957714,0.0290653,0.561004,0,0,0.561004,0.950743,0,0,0.000957714
0.0966622,0.0283593,0.55532,0,0,0.55532,0.951413,0,0,0.000966622
0.0975573,0.0276711,0.550208,0,0,0.550208,0.952116,0,0,0.000975573
0.0984564,0.027,0.545688,0,0,0.545688,0.952854,0,0,0.000984564
0.0993597,0.0263457,0.541781,0,0,0.541781,0.953627,0,0,0.000993597
0.100267,0.0257078,0.538507,0,0,0.538507,0.954436,0,0,0.00100267
0.101179,0.0250858,0.535881,0,0,0.535881,0.955281,0,0,0.00101179
0.102094,0.0244793,0.533918,0,0,0.533918,0.956161,0,0,0.00102094
0.103014,0.023888,0.532632,0,0,0.532632,0.957076,0,0,0.00103014
0.103938,0.0233115,0.532034,0,0,0.532034,0.958023,0,0,0.00103938
0.104866,0.0227493,0.532132,0,0,0.532132,0.959001,0,0,0.00104866
0.105798,0.0222012,0.532935,0,0,0.532935,0.960008,0,0,0.00105798
0.106734,0.0216668,0.534446,0,0,0.534446,0.961039,0,0,0.00106734
0.107675,0.0211457,0.536671,0,0,0.536671,0.962092,0,0,0.00107675
0.108619,0.0206375,0.539609,0,0,0.539609,0.963163,0,0,0.00108619
0.109568,0.0201421,0.543259,0,0,0.543259,0.964249,0,0,0.00109568
0.110521,0.019659,0.54762,0,0,0.54762,0.965345,0,0,0.00110521
0.111477,0.0191879,0.552685,0,0,0.552685,0.966447,0,0,0.00111477
0.112438,0.0187285,0.558448,0,0,0.558448,0.967552,0,0,0.00112438
0.113404,0.0182805,0.5649,0,0,0.5649,0.968654,0,0,0.00113404
0.114373,0.0178437,0.57203,0,0,0.57203,0.96975,0,0,0.00114373
0.115346,0.0174177,0.579824,0,0,0.579824,0.970836,0,0,0.00115346
