t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
88,0.961492,8.44172e-28,6.14733e-29,2.78359e-28,2.37224e-28,6.55101e-30,5.82924e-29,1.89268e-32,2.15583e-30
89,0.960379,8.01019e-28,2.10369e-29,3.02945e-28,2.49168e-28,9.63167e-30,4.42839e-29,2.78174e-33,1.58557e-30
90,0.959429,8.51048e-28,3.64962e-29,3.25021e-28,2.53702e-28,1.12991e-29,5.43476e-29,4.75801e-32,1.81629e-30
91,0.958651,8.40829e-28,3.51418e-29,3.39945e-28,2.55769e-28,1.05496e-29,5.8466e-29,9.6e-33,1.30592e-30
92,0.958055,8.19341e-28,4.0438e-29,3.32561e-28,2.56093e-28,1.15361e-29,5.75466e-29,6.12929e-32,9.94936e-31
93,0.957652,8.43769e-28,5.40664e-29,3.65831e-28,2.61117e-28,1.02328e-29,6.18038e-29,1.34483e-32,1.24211e-30
94,0.957446,7.90275e-28,7.08477e-29,3.72832e-28,2.56889e-28,7.8574e-30,5.6433e-29,4.84394e-32,4.79222e-31
95,0.957439,6.88777e-28,9.65555e-29,3.32886e-28,2.82968e-28,1.05274e-29,5.5884e-29,2.29047e-32,9.96924e-31
96,0.957629,7.07378e-28,1.46412e-28,3.12292e-28,3.08158e-28,1.0003e-29,6.05144e-29,2.94704e-32,2.11817e-30
97,0.958007,6.5435e-28,1.75344e-28,2.77507e-28,3.24809e-28,1.16424e-29,6.73848e-29,4.76177e-32,3.09098e-30
98,0.958563,6.83783e-28,1.95986e-28,2.53059e-28,3.43444e-28,1.13244e-29,6.59255e-29,4.21304e-32,5.58503e-30
99,0.959284,7.45506e-28,2.62723e-28,2.0547e-28,3.50188e-28,8.07906e-30,6.05545e-29,2.81156e-32,4.39812e-30
100,0.960152,5.48867e-28,2.69411e-28,1.90499e-28,3.77835e-28,7.52864e-30,6.93089e-29,3.4133e-32,8.40832e-30
101,0.96115,5.74125e-28,4.00636e-28,1.40333e-28,3.64691e-28,5.70609e-30,7.21956e-29,3.275e-32,9.8251e-30
102,0.962254,5.65112e-28,3.87274e-28,1.1296e-28,3.70228e-28,7.49137e-30,8.09843e-29,6.55823e-33,1.08724e-29
103,0.963437,5.81189e-28,4.14008e-28,9.51603e-29,3.49866e-28,5.0291e-30,7.59325e-29,2.11125e-32,1.01392e-29
104,0.964673,4.87646e-28,4.48109e-28,1.08665e-28,3.29827e-28,5.42337e-30,7.7803e-29,3.07553e-32,1.32304e-29
105,0.965933,3.88601e-28,5.0765e-28,1.31416e-28,2.88867e-28,5.49478e-30,7.4515e-29,1.38331e-32,1.54393e-29
106,0.967193,4.10907e-28,4.71457e-28,1.73129e-28,2.3538e-28,4.67854e-30,6.48223e-29,6.1076e-32,1.92446e-29
107,0.968434,3.69729e-28,5.16572e-28,1.87013e-28,2.05193e-28,3.57054e-30,6.581e-29,1.87839e-33,2.34987e-29
108,0.969646,3.77905e-28,4.49891e-28,2.46383e-28,1.55268e-28,2.08571e-30,5.87543e-29,9.2105e-32,2.1808e-29
109,0.970823,2.94695e-28,4.88094e-28,2.90639e-28,1.09206e-28,3.68208e-30,5.00669e-29,1.7407e-32,2.34361e-29
110,0.971966,2.61908e-28,4.51199e-28,3.28754e-28,5.18103e-29,2.94337e-30,5.03647e-29,1.4146e-31,2.15921e-29
111,0.973081,2.76026e-28,4.59504e-28,3.73662e-28,2.8407e-29,3.10366e-30,3.22523e-29,2.6009e-33,2.31274e-29
112,0.974171,2.4594e-28,3.66572e-28,3.89431e-28,1.49755e-29,4.4309e-30,2.36478e-29,3.70267e-32,1.88306e-29
113,0.97524,1.80287e-28,3.06132e-28,4.34386e-28,1.21224e-29,4.1314e-30,1.52333e-29,2.81371e-32,2.23983e-29
114,0.976287,1.66489e-28,2.4842e-28,4.40692e-28,1.89141e-29,4.84262e-30,1.75036e-29,1.62612e-32,1.96776e-29
115,0.97731,1.54191e-28,2.34153e-28,3.97456e-28,4.85596e-29,3.07592e-30,5.30284e-30,1.88229e-32,2.05502e-29
116,0.978307,1.44329e-28,1.51495e-28,4.15158e-28,8.41111e-29,3.26725e-30,5.19553e-30,7.27698e-33,1.75782e-29
117,0.979275,9.26537e-29,6.93584e-29,4.03419e-28,1.21936e-28,4.45946e-30,4.2354e-30,5.3324e-32,1.56891e-29
118,0.980215,9.95598e-29,6.48227e-29,4.08746e-28,1.84284e-28,4.15218e-30,3.72751e-30,2.86458e-32,1.47773e-29
119,0.981127,7.65053e-29,7.7838e-29,3.54453e-28,2.38239e-28,3.63015e-30,1.37486e-29,-8.12573e-34,1.00115e-29
120,0.98201,9.57295e-29,4.06991e-29,3.06516e-28,3.15336e-28,3.87937e-30,1.60479e-29,9.36727e-32,9.91448e-30
121,0.98286,7.5898e-29,-2.4332e-29,2.77851e-28,3.5622e-28,4.03906e-30,3.65927e-29,1.14074e-32,7.74267e-30
122,0.983668,4.62789e-29,-2.51281e-29,3.25466e-28,4.02809e-28,3.34186e-30,3.92539e-29,3.58393e-32,6.63833e-30
123,0.984421,4.85442e-29,-5.60852e-29,3.4016e-28,4.61493e-28,4.74947e-30,5.97269e-29,4.6289e-32,6.54244e-30
124,0.985108,4.2909e-29,3.62059e-30,3.59794e-28,4.7275e-28,4.68732e-30,6.28479e-29,1.9749e-32,7.38764e-30
125,0.985716,4.27338e-29,-4.4608e-29,3.76653e-28,5.02874e-28,6.14705e-30,7.80138e-29,2.4857e-33,7.32324e-30
126,0.986236,3.54856e-29,-1.47267e-29,3.96699e-28,5.05515e-28,7.38766e-30,9.97716e-29,3.37464e-32,6.0387e-30
127,0.986666,2.66201e-29,3.65115e-29,3.84929e-28,5.02873e-28,7.91073e-30,1.07166e-28,2.84474e-32,5.90048e-30
128,0.987002,2.44041e-29,5.5276e-29,4.85709e-28,4.98194e-28,8.99044e-30,1.41907e-28,3.32113e-32,5.91092e-30
129,0.987242,3.11655e-29,7.61357e-29,4.95744e-28,4.52515e-28,9.20816e-30,1.60621e-28,5.3079e-32,5.44201e-30
130,0.987379,5.52043e-29,8.39409e-29,4.9644e-28,4.16967e-28,1.2512e-29,1.75215e-28,3.92783e-32,5.01856e-30
131,0.9874,5.81004e-29,1.81188e-28,5.11541e-28,3.98916e-28,1.06516e-29,1.88821e-28,1.23289e-32,4.36274e-30
132,0.987286,6.23307e-29,2.28005e-28,5.46605e-28,3.49333e-28,1.29151e-29,2.14512e-28,3.90775e-32,3.30671e-30
133,0.987014,5.22591e-29,2.6814e-28,5.3915e-28,3.31935e-28,1.4665e-29,2.29736e-28,1.2575e-33,5.08269e-30
134,0.986555,9.82068e-29,3.34691e-28,4.76624e-28,2.81012e-28,1.28875e-29,2.39729e-28,7.87071e-32,5.3154e-30
135,0.985876,1.52288e-28,4.21555e-28,4.75902e-28,2.42227e-28,1.29782e-29,2.58193e-28,1.67237e-33,4.27015e-30
136,0.984938,1.53174e-28,4.32886e-28,4.71806e-28,2.43345e-28,9.31316e-30,2.78179e-28,6.94585e-32,5.99276e-30
137,0.983701,1.93822e-28,4.95851e-28,4.1757e-28,2.14255e-28,9.12075e-30,2.94138e-28,1.7763e-32,1.01704e-29
138,0.982117,2.16235e-28,5.40166e-28,4.10978e-28,1.71807e-28,6.87992e-30,2.78275e-28,7.31101e-33,8.3607e-30
139,0.980143,2.54928e-28,3.76376e-28,3.61609e-28,1.57473e-28,7.2128e-30,2.97595e-28,-4.78725e-34,6.01277e-30
140,0.97774,3.01415e-28,6.01153e-28,3.66959e-28,1.29661e-28,9.70975e-30,2.89381e-28,3.4726e-32,7.59836e-30
141,0.974878,3.34898e-28,6.01955e-28,3.20424e-28,1.11691e-28,1.02521e-29,2.7568e-28,3.84928e-32,9.58793e-30
142,0.971539,3.39769e-28,4.89533e-28,2.78144e-28,9.81054e-29,1.50169e-29,2.97255e-28,5.25118e-32,8.97776e-30
143,0.967718,3.70039e-28,3.20268e-28,2.67719e-28,8.22685e-29,1.28961e-29,2.44472e-28,5.49808e-32,7.15809e-30
144,0.96342,3.93041e-28,3.22081e-28,2.77199e-28,5.66961e-29,1.12273e-29,2.38708e-28,3.42985e-32,1.11841e-29
145,0.958657,4.40556e-28,3.11326e-28,2.80954e-28,5.84397e-29,1.21671e-29,2.21995e-28,-2.96704e-33,1.55786e-29
146,0.953451,4.64773e-28,2.61858e-28,2.25385e-28,4.3106e-29,1.12671e-29,2.23911e-28,4.72898e-32,1.44395e-29
147,0.947833,4.82878e-28,7.25612e-29,2.15052e-28,3.71702e-29,1.2533e-29,1.74032e-28,7.2237e-32,1.27962e-29
148,0.941844,5.21858e-28,7.07172e-29,2.04718e-28,5.17091e-29,9.17608e-30,1.24102e-28,1.78891e-32,1.22905e-29
149,0.93554,6.01405e-28,5.05463e-29,1.87209e-28,5.14401e-29,1.29366e-29,1.18121e-28,6.01411e-32,8.82273e-30
150,0.92899,6.45377e-28,-1.19798e-29,1.64444e-28,6.9185e-29,1.17402e-29,8.42692e-29,1.18856e-31,1.18644e-29
151,0.922271,6.18789e-28,-3.29768e-29,1.66252e-28,9.41097e-29,1.10648e-29,6.36501e-29,1.42403e-32,9.50252e-30
152,0.915462,6.93118e-28,-4.81623e-29,1.30046e-28,1.29422e-28,9.48311e-30,3.50686e-29,1.93757e-31,6.61949e-30
153,0.908638,6.95922e-28,-3.70279e-29,1.31798e-28,1.59034e-28,8.60136e-30,2.20656e-29,-5.41665e-34,8.2944e-30
154,0.901862,7.51129e-28,-2.42451e-29,1.12417e-28,1.98899e-28,6.52366e-30,9.19767e-30,1.16067e-31,5.69536e-30
155,0.895189,8.43589e-28,7.71168e-30,9.98632e-29,2.5499e-28,7.74288e-30,-8.26443e-32,5.79198e-33,5.18678e-30
156,0.888659,8.04653e-28,4.2036e-29,8.5235e-29,2.8632e-28,9.69099e-30,-6.89806e-31,6.4333e-32,3.30776e-30
157,0.882305,9.33263e-28,8.31826e-29,7.1379e-29,3.34348e-28,6.74276e-30,5.49401e-30,4.34897e-32,1.52103e-30
158,0.876154,1.04615e-27,1.27767e-28,7.14347e-29,3.45655e-28,4.99577e-30,1.50585e-29,2.37503e-32,8.91185e-31
159,0.870226,1.13562e-27,1.56577e-28,8.26585e-29,3.80978e-28,5.0028e-30,3.63245e-29,6.67129e-32,2.48071e-31
160,0.864538,1.12726e-27,2.04661e-28,1.07552e-28,4.14611e-28,4.96134e-30,4.45589e-29,4.85975e-32,6.26316e-31
161,0.859099,1.2234e-27,2.51163e-28,1.26555e-28,4.0244e-28,3.53645e-30,7.04616e-29,3.5039e-32,5.90039e-31
162,0.85391,1.27636e-27,2.77657e-28,1.03208e-28,3.83736e-28,8.13561e-30,6.66635e-29,3.35101e-33,7.12783e-31
163,0.848969,1.41316e-27,3.53274e-28,1.27298e-28,3.66052e-28,7.15495e-30,8.83394e-29,3.11187e-32,3.1968e-30
164,0.844268,1.40761e-27,3.22229e-28,1.35834e-28,3.4521e-28,7.52966e-30,1.09492e-28,1.66395e-31,4.66072e-30
165,0.839795,1.35729e-27,3.70126e-28,1.68428e-28,3.29481e-28,9.97009e-30,9.59947e-29,-1.46293e-33,3.95281e-30
166,0.83554,1.54836e-27,4.30036e-28,1.72176e-28,2.58551e-28,6.82994e-30,1.31767e-28,9.35675e-32,6.0302e-30
167,0.831494,1.39302e-27,4.00348e-28,1.63937e-28,2.39061e-28,4.21468e-30,1.43343e-28,6.41146e-33,6.24556e-30
168,0.827648,1.60808e-27,3.7179e-28,1.70697e-28,2.03613e-28,9.8919e-30,1.36767e-28,2.37269e-32,6.86124e-30
169,0.823997,1.74587e-27,3.70758e-28,1.85694e-28,1.61174e-28,9.98874e-30,1.3987e-28,1.4158e-32,8.10356e-30
170,0.820536,1.61761e-27,3.81723e-28,1.84541e-28,1.24082e-28,8.6064e-30,1.19344e-28,2.57647e-32,6.24011e-30
171,0.817263,1.67185e-27,3.25278e-28,1.73568e-28,8.48676e-29,8.09432e-30,1.2312e-28,6.52211e-32,5.85411e-30
172,0.814173,1.60327e-27,3.20207e-28,1.78945e-28,6.50589e-29,4.54709e-30,8.83361e-29,1.12486e-31,5.86502e-30
173,0.811263,1.79258e-27,2.44457e-28,2.01273e-28,4.89876e-29,1.73514e-30,9.89464e-29,5.49707e-32,6.67609e-30
174,0.808529,1.53566e-27,2.11908e-28,1.91695e-28,3.09648e-29,5.0827e-30,7.72795e-29,8.10897e-33,4.17928e-30
175,0.805964,1.46955e-27,1.30623e-28,1.94148e-28,1.77259e-29,2.62347e-30,5.7899e-29,1.91436e-32,5.92206e-30
176,0.803566,1.73703e-27,1.17861e-28,2.35612e-28,1.40775e-29,1.57716e-30,6.56051e-29,6.2525e-33,3.96273e-30
177,0.801332,1.63095e-27,7.01103e-29,2.2713e-28,2.20133e-29,3.75143e-30,4.84875e-29,-1.6529e-34,3.30983e-30
178,0.799266,1.3916e-27,3.92292e-29,2.24155e-28,3.21659e-29,3.71074e-30,3.34011e-29,-3.04806e-33,4.61503e-30
179,0.797375,1.56526e-27,2.2575e-29,2.28627e-28,4.29486e-29,2.85647e-30,3.56179e-29,1.11576e-32,5.72125e-30
180,0.795672,1.62102e-27,-6.25304e-30,2.26159e-28,5.6249e-29,3.48431e-30,3.79858e-29,1.10343e-31,6.14785e-30
181,0.794172,1.23715e-27,-1.36559e-30,2.24023e-28,8.47874e-29,3.96015e-30,2.91497e-29,7.62052e-33,1.07665e-29
182,0.792894,1.27902e-27,1.60818e-29,2.28463e-28,1.06146e-28,5.23758e-30,3.45682e-29,1.4224e-32,7.43153e-30
183,0.791858,1.17582e-27,4.43025e-29,2.36799e-28,1.32763e-28,4.92259e-30,3.6408e-29,1.58111e-32,1.03406e-29
184,0.791088,1.12952e-27,5.64227e-29,2.00738e-28,1.77695e-28,7.72454e-30,5.22809e-29,1.78445e-32,1.02262e-29
185,0.790608,9.29805e-28,1.40447e-28,1.91537e-28,1.91542e-28,8.0892e-30,5.95306e-29,3.91271e-32,9.73648e-30
186,0.790441,9.96244e-28,1.95832e-28,1.58097e-28,2.27547e-28,6.84378e-30,6.9622e-29,1.13589e-31,1.39134e-29
187,0.790607,8.7315e-28,3.20099e-28,1.57806e-28,2.72075e-28,6.31706e-30,7.6429e-29,8.93242e-32,1.41335e-29
188,0.791119,9.36844e-28,2.63605e-28,1.26442e-28,3.08166e-28,8.31819e-30,1.1135e-28,3.49783e-32,1.61588e-29
189,0.791975,7.24749e-28,2.64568e-28,1.43293e-28,3.45043e-28,6.55075e-30,1.02888e-28,8.17242e-32,1.28136e-29
190,0.793161,3.10559e-28,2.89745e-28,1.62354e-28,4.07083e-28,7.4849e-30,8.82813e-29,5.3029e-33,9.11651e-30
191,0.794646,4.58107e-28,6.18678e-28,1.27539e-28,4.17314e-28,6.94651e-30,1.16335e-28,1.34819e-31,1.29142e-29
192,0.796389,4.24044e-28,8.65029e-28,8.10522e-29,4.20111e-28,4.01136e-30,1.10466e-28,2.04512e-31,1.16157e-29
193,0.798342,4.86728e-28,8.35565e-28,6.02824e-29,4.51607e-28,8.86859e-30,1.70443e-28,1.15181e-31,1.22898e-29
194,0.800445,4.20725e-28,3.6349e-28,8.19616e-29,5.00666e-28,4.79401e-30,1.83944e-28,2.57508e-31,1.45001e-29
