t,T+R,N_0,N_1,N_2,N_3
103,1.04514,2.38371e-26,9.29312e-27,6.12239e-28,2.92482e-27
104,1.03656,2.42339e-26,1.13682e-26,5.17061e-28,3.07569e-27
105,1.02762,2.18025e-26,1.30109e-26,3.26312e-28,3.67148e-27
106,1.01839,2.00527e-26,1.36191e-26,5.5582e-28,3.71109e-27
107,1.00894,1.69482e-26,1.40424e-26,2.67805e-28,3.90279e-27
108,0.999333,1.5871e-26,1.67999e-26,2.0239e-28,4.51688e-27
109,0.989659,1.63871e-26,1.93508e-26,2.27863e-28,4.90175e-27
110,0.979986,1.41115e-26,2.0491e-26,5.29485e-29,5.45527e-27
111,0.970388,1.27559e-26,2.25563e-26,9.26736e-30,5.34574e-27
112,0.96093,1.12157e-26,2.1168e-26,9.77399e-29,5.84868e-27
113,0.951677,8.14479e-27,2.39125e-26,1.90485e-28,5.93243e-27
114,0.942684,1.07846e-26,2.39208e-26,3.01338e-28,5.64108e-27
115,0.934006,7.92167e-27,2.43267e-26,5.72415e-28,6.25417e-27
116,0.925697,7.96752e-27,2.68706e-26,8.76809e-28,5.9687e-27
117,0.917812,6.58593e-27,2.66335e-26,1.07724e-27,5.10745e-27
118,0.910414,6.18829e-27,2.6916e-26,1.33966e-27,5.53443e-27
119,0.903573,6.2647e-27,2.56317e-26,1.63081e-27,5.62684e-27
120,0.897369,4.85613e-27,3.08282e-26,1.85767e-27,5.86933e-27
121,0.891895,3.59936e-27,2.95557e-26,2.1264e-27,4.82246e-27
122,0.887256,2.98124e-27,2.56494e-26,1.6634e-27,5.06293e-27
123,0.883563,2.3306e-27,2.52739e-26,1.77429e-27,5.80648e-27
124,0.880933,2.13762e-27,2.45021e-26,1.76709e-27,6.24674e-27
125,0.879482,1.69341e-27,2.31807e-26,1.32913e-27,6.27554e-27
126,0.879321,1.28263e-27,2.38717e-26,1.09665e-27,5.34124e-27
127,0.880546,8.26847e-28,2.12923e-26,6.97512e-28,5.43286e-27
128,0.883235,1.31924e-27,2.12252e-26,5.95011e-28,5.23534e-27
129,0.887441,1.02875e-27,2.18532e-26,3.53218e-28,5.29805e-27
130,0.893188,1.66532e-27,1.84137e-26,1.6482e-28,4.69479e-27
131,0.900468,1.39561e-27,2.08532e-26,1.00859e-28,5.23707e-27
132,0.909242,1.22105e-27,1.90105e-26,3.21429e-29,4.4767e-27
133,0.919442,1.29818e-27,1.92037e-26,-5.54294e-31,4.95806e-27
134,0.930973,1.42784e-27,1.50791e-26,6.8795e-29,4.96885e-27
135,0.943716,2.4953e-27,1.37388e-26,3.91462e-29,5.08255e-27
136,0.957539,2.28978e-27,1.55361e-26,1.35126e-28,4.58904e-27
137,0.9723,2.5303e-27,1.19949e-26,7.73105e-29,4.50845e-27
138,0.987852,3.36167e-27,1.06449e-26,4.34391e-28,4.96064e-27
139,1.00405,6.12275e-27,9.99433e-27,3.69206e-28,4.48553e-27
140,1.02076,5.51436e-27,1.39811e-26,4.51964e-28,5.06503e-27
141,1.03786,5.96295e-27,1.32249e-26,4.295e-28,3.77189e-27
142,1.05523,9.08823e-27,1.78944e-26,7.25214e-28,4.20728e-27
143,1.07277,8.39429e-27,2.20454e-26,4.52607e-28,4.28519e-27
144,1.0904,1.02713e-26,1.978e-26,6.05183e-28,3.96643e-27
145,1.10804,1.15954e-26,2.43022e-26,3.10113e-28,4.21238e-27
146,1.12563,1.2224e-26,2.44704e-26,6.41179e-28,4.23514e-27
147,1.14312,1.38935e-26,2.3194e-26,4.35293e-28,4.18329e-27
148,1.16046,1.4161e-26,2.2312e-26,3.05807e-28,3.93443e-27
149,1.17763,1.74107e-26,2.50028e-26,5.85714e-28,4.00258e-27
150,1.19459,1.61031e-26,2.01758e-26,6.63063e-28,4.25402e-27
151,1.21133,2.28437e-26,2.02932e-26,5.56003e-28,3.76644e-27
152,1.22784,1.92013e-26,2.20931e-26,8.93014e-28,3.48019e-27
153,1.24412,2.35377e-26,1.93363e-26,1.00407e-27,3.77359e-27
154,1.26019,2.52399e-26,1.74862e-26,1.05769e-27,4.22149e-27
155,1.27604,2.27586e-26,1.33047e-26,1.48855e-27,3.99334e-27
156,1.29171,2.88217e-26,1.2225e-26,1.40391e-27,4.52345e-27
157,1.30721,2.73136e-26,1.20218e-26,1.45701e-27,4.18996e-27
158,1.32257,2.60186e-26,9.44175e-27,1.34593e-27,4.2811e-27
159,1.33778,2.26073e-26,8.33457e-27,1.30715e-27,4.95417e-27
160,1.35286,2.86204e-26,5.76324e-27,1.4042e-27,4.30068e-27
161,1.36778,3.03825e-26,6.79855e-27,1.26803e-27,4.15201e-27
162,1.38249,2.84233e-26,5.03091e-27,1.02318e-27,3.48736e-27
163,1.39695,2.78326e-26,4.07589e-27,7.96787e-28,3.513e-27
164,1.41107,2.92764e-26,2.87115e-27,5.93774e-28,3.20206e-27
165,1.42475,3.23014e-26,2.25879e-27,4.03961e-28,2.13244e-27
166,1.43786,2.93871e-26,1.72525e-27,2.41515e-28,1.47571e-27
167,1.45027,3.16014e-26,1.32858e-27,8.44357e-29,8.69291e-28
168,1.46186,3.169e-26,6.68542e-28,-9.16673e-31,5.94448e-28
169,1.47249,3.19812e-26,6.8034e-28,1.83175e-29,3.25423e-28
170,1.48206,3.33774e-26,5.16108e-28,-1.2502e-29,2.05368e-28
171,1.49048,3.24267e-26,4.96109e-28,9.73655e-29,2.29485e-28
172,1.49767,3.02286e-26,2.1077e-28,2.43093e-28,4.83209e-28
173,1.50363,2.80181e-26,4.72438e-28,3.0666e-28,6.09775e-28
