t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
69,0.999326,7.62356e-28,1.29258e-28,1.53295e-29,7.01587e-29,4.68982e-31,5.33715e-29,-2.3028e-33,5.07195e-30
70,0.999889,6.65617e-28,1.3564e-28,1.63512e-29,6.40417e-29,5.48843e-31,4.79012e-29,7.00664e-33,3.82499e-30
71,1.00046,7.49276e-28,1.11767e-28,8.20223e-30,5.51596e-29,7.12187e-31,4.77355e-29,4.03742e-33,2.56959e-30
72,1.00105,8.1716e-28,1.10881e-28,5.73137e-30,6.87297e-29,4.59161e-31,4.80231e-29,-2.24426e-34,2.22561e-30
73,1.00162,9.14013e-28,9.69731e-29,9.15034e-30,6.15899e-29,6.31325e-31,4.4116e-29,3.86193e-32,1.51999e-30
74,1.00218,9.27226e-28,8.48456e-29,1.32969e-29,6.79333e-29,1.22997e-30,3.85097e-29,1.15842e-32,4.44145e-31
75,1.00271,8.86191e-28,1.16363e-28,1.56882e-29,7.19019e-29,1.41524e-30,3.5962e-29,1.61578e-32,2.51496e-31
76,1.0032,9.9886e-28,1.00623e-28,1.21652e-29,6.44599e-29,1.49043e-30,3.2909e-29,-2.10319e-33,1.2784e-32
77,1.00364,9.92027e-28,7.60043e-29,8.38443e-30,7.49984e-29,2.18871e-30,3.03007e-29,1.64602e-32,1.43782e-31
78,1.00403,1.07523e-27,8.13203e-29,1.90423e-29,6.54876e-29,1.15657e-30,2.56737e-29,-1.24971e-32,3.87543e-32
79,1.00437,1.11154e-27,8.26338e-29,2.32903e-29,6.88477e-29,1.83463e-30,2.51054e-29,-1.07729e-32,1.01092e-30
80,1.00466,1.15527e-27,7.9778e-29,2.72494e-29,6.13937e-29,1.47192e-30,2.02193e-29,-5.6689e-33,9.07577e-31
81,1.00491,1.03294e-27,7.87021e-29,2.03806e-29,6.89443e-29,1.18411e-30,1.72209e-29,1.13668e-32,1.41513e-30
82,1.00512,1.156e-27,5.65132e-29,3.23753e-29,7.59774e-29,1.55993e-30,1.54357e-29,3.12406e-33,1.78578e-30
83,1.00532,1.15984e-27,9.0594e-29,2.4693e-29,5.91673e-29,2.14217e-30,1.0847e-29,1.75403e-32,2.80986e-30
84,1.00549,1.09521e-27,9.15947e-29,3.09554e-29,7.81376e-29,2.1158e-30,9.69851e-30,-1.0518e-32,2.60514e-30
85,1.00564,1.10153e-27,9.95492e-29,2.95932e-29,7.84682e-29,2.18359e-30,9.21371e-30,3.03976e-33,3.48272e-30
86,1.00579,1.0694e-27,1.18113e-28,2.24608e-29,8.34759e-29,1.56171e-30,7.02031e-30,8.36022e-32,2.91282e-30
87,1.00592,1.1829e-27,1.322e-28,2.24158e-29,8.93989e-29,1.94579e-30,7.32688e-30,-3.18878e-33,3.43121e-30
88,1.00606,1.23584e-27,1.37061e-28,1.71829e-29,8.68506e-29,1.03606e-30,6.51025e-30,-9.08766e-33,2.62369e-30
89,1.00619,1.18298e-27,1.73149e-28,1.20377e-29,8.8684e-29,8.74537e-31,7.01872e-30,7.44157e-33,2.02798e-30
