E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
3.45844,1851.78,2.05356e-16,4.806e-12,0,0,4.80621e-12,1.10897e-19,2.59534e-15,0,0,0.0345844
3.51206,1922.83,1.15847e-16,3.30781e-12,0,0,3.30793e-12,6.02484e-20,1.72028e-15,0,0,0.0351206
3.56609,1995.99,6.58526e-17,2.178e-12,0,0,2.17806e-12,3.29924e-20,1.09119e-15,0,0,0.0356609
3.62054,2071.24,5.12351e-17,1.51921e-12,0,0,1.51926e-12,2.47364e-20,7.33479e-16,0,0,0.0362054
3.67539,2148.67,5.37035e-17,1.0106e-12,0,0,1.01066e-12,2.49938e-20,4.70338e-16,0,0,0.0367539
3.73066,2228.25,5.08638e-17,6.97583e-13,0,0,6.97634e-13,2.28268e-20,3.13063e-16,0,0,0.0373066
3.78634,2310.09,3.17277e-17,4.65483e-13,0,0,4.65514e-13,1.37344e-20,2.015e-16,0,0,0.0378634
3.84243,2394.1,1.60295e-17,3.29259e-13,0,0,3.29276e-13,6.69541e-21,1.3753e-16,0,0,0.0384243
3.89894,2480.48,1.76628e-17,2.212e-13,0,0,2.21217e-13,7.12071e-21,8.9176e-17,0,0,0.0389894
3.95586,2569.08,2.32602e-17,1.44667e-13,0,0,1.4469e-13,9.05391e-21,5.6311e-17,0,0,0.0395586
4.01319,2660.07,1.34343e-17,1.03885e-13,1.00126e-07,0,1.00126e-07,5.05036e-21,3.90536e-17,3.76404e-11,0,0.0401319
4.07093,2753.39,4.26837e-18,7.05434e-14,1.47104e-08,0,1.47104e-08,1.55022e-21,2.56206e-17,5.34264e-12,0,0.0407093
4.12909,2849.05,1.50956e-18,4.9173e-14,4.21056e-09,0,4.21061e-09,5.29846e-22,1.72594e-17,1.47788e-12,0,0.0412909
4.18765,2947.22,2.57107e-18,3.3042e-14,1.51981e-09,0,1.51985e-09,8.72373e-22,1.12113e-17,5.15678e-13,0,0.0418765
4.24663,3047.69,3.15319e-18,2.27277e-14,6.37745e-10,0,6.37768e-10,1.03461e-21,7.45736e-18,2.09255e-13,0,0.0424663
4.30603,3150.71,2.10606e-18,1.62296e-14,2.84747e-10,0,2.84763e-10,6.68442e-22,5.15108e-18,9.03756e-14,0,0.0430603
4.36583,3256.18,1.27116e-18,1.07319e-14,1.31843e-10,0,1.31854e-10,3.90383e-22,3.29586e-18,4.04901e-14,0,0.0436583
4.42605,3364.01,7.32107e-19,7.11048e-15,6.37774e-11,0,6.37845e-11,2.17629e-22,2.11369e-18,1.89588e-14,0,0.0442605
4.48668,3474.54,3.39996e-19,5.46781e-15,3.39466e-11,0,3.39521e-11,9.78533e-23,1.57368e-18,9.77009e-15,0,0.0448668
4.54772,3587.5,2.48939e-19,3.62625e-15,1.78772e-11,0,1.78808e-11,6.93907e-23,1.0108e-18,4.98318e-15,0,0.0454772
4.60918,3702.84,3.39191e-19,2.28139e-15,9.30224e-12,0,9.30452e-12,9.16027e-23,6.16117e-19,2.51219e-15,0,0.0460918
4.67105,3821,3.90347e-19,1.77427e-15,5.20443e-12,0,5.2062e-12,1.02159e-22,4.64347e-19,1.36206e-15,0,0.0467105
4.73333,3941.57,3.95913e-19,1.24375e-15,2.95913e-12,0,2.96038e-12,1.00445e-22,3.15547e-19,7.50749e-16,0,0.0473333
4.79602,4064.55,1.34566e-19,8.31449e-16,1.6466e-12,0,1.64743e-12,3.31074e-23,2.04561e-19,4.05112e-16,0,0.0479602
4.85912,4190.33,5.39755e-20,5.88032e-16,9.70415e-13,0,9.71003e-13,1.2881e-23,1.40331e-19,2.31584e-16,0,0.0485912
4.92264,4318.62,1.08901e-19,4.18146e-16,5.59002e-13,0,5.59421e-13,2.52165e-23,9.6824e-20,1.2944e-16,0,0.0492264
4.98657,4449.29,2.13298e-19,2.70498e-16,3.24135e-13,0,3.24406e-13,4.79397e-23,6.07957e-20,7.28509e-17,0,0.0498657
5.05091,4582.61,1.23235e-19,1.92278e-16,1.90256e-13,0,1.90448e-13,2.68918e-23,4.19582e-20,4.15169e-17,0,0.0505091
5.11567,4718.65,1.52134e-20,1.37068e-16,1.18915e-13,0,1.19052e-13,3.22411e-24,2.90483e-20,2.52011e-17,0,0.0511567
5.18083,4857.04,2.29117e-20,9.89244e-17,7.15791e-14,0,7.1678e-14,4.71722e-24,2.03672e-20,1.47372e-17,0,0.0518083
5.24641,4997.76,1.74948e-20,5.92607e-17,4.34162e-14,0,4.34754e-14,3.50053e-24,1.18575e-20,8.68712e-18,0,0.0524641
5.3124,5141.43,1.22975e-19,4.76408e-17,2.66413e-14,0,2.66891e-14,2.39184e-23,9.26605e-21,5.18169e-18,0,0.053124
5.37881,5287.5,1.69775e-19,3.76035e-17,1.64946e-14,0,1.65324e-14,3.21089e-23,7.11178e-21,3.11956e-18,0,0.0537881
5.44563,5435.83,1.09083e-19,2.73465e-17,1.0182e-14,0,1.02095e-14,2.00675e-23,5.03078e-21,1.87313e-18,0,0.0544563
5.51286,5586.46,4.33581e-20,1.52949e-17,6.40128e-15,0,6.41662e-15,7.76129e-24,2.73785e-21,1.14586e-18,0,0.0551286
5.5805,5740.08,1.613e-19,8.85132e-18,4.03386e-15,0,4.04288e-15,2.81006e-23,1.54202e-21,7.02753e-19,0,0.055805
5.64855,5895.9,9.73024e-20,6.0331e-18,2.39285e-15,0,2.39898e-15,1.65034e-23,1.02327e-21,4.0585e-19,0,0.0564855
5.71702,6053.86,1.53038e-20,4.79939e-18,1.53802e-15,0,1.54283e-15,2.52795e-24,7.92781e-22,2.54056e-19,0,0.0571702
5.7859,6213.92,1.50011e-20,2.39443e-18,1.00555e-15,0,1.00796e-15,2.41412e-24,3.85334e-22,1.61823e-19,0,0.057859
5.85519,6376.97,6.16126e-20,3.88537e-18,6.41078e-16,0,6.45025e-16,9.66174e-24,6.09282e-22,1.0053e-19,0,0.0585519
5.92489,6542.07,8.8794e-20,4.03673e-18,4.10557e-16,0,4.14683e-16,1.35728e-23,6.17042e-22,6.27565e-20,0,0.0592489
5.99501,6709.14,4.78473e-20,1.08743e-18,2.59444e-16,0,2.60579e-16,7.13166e-24,1.62081e-22,3.86702e-20,0,0.0599501
6.06554,6878.11,1.58377e-21,-1.64965e-19,1.67478e-16,5.68253e-08,5.68253e-08,2.30263e-25,-2.39841e-23,2.43494e-20,8.26176e-12,0.0606554
6.13648,7049.57,3.79457e-20,1.22314e-18,1.07533e-16,1.28323e-08,1.28323e-08,5.3827e-24,1.73506e-22,1.52539e-20,1.8203e-12,0.0613648
6.20783,7223.3,4.55494e-20,6.1131e-19,6.93699e-17,3.97279e-09,3.97279e-09,6.30589e-24,8.46303e-23,9.60362e-21,5.49996e-13,0.0620783
6.2796,7398.77,1.72337e-20,-1.32759e-19,4.53946e-17,1.44123e-09,1.44123e-09,2.32926e-24,-1.79434e-23,6.13543e-21,1.94794e-13,0.062796
6.35178,7575.88,7.52677e-21,-8.92507e-20,2.86852e-17,5.66843e-10,5.66844e-10,9.93517e-25,-1.17809e-23,3.78638e-21,7.48221e-14,0.0635178
6.42437,7754.57,4.10851e-21,4.20222e-19,1.98903e-17,2.43597e-10,2.43597e-10,5.29818e-25,5.41902e-23,2.56498e-21,3.14133e-14,0.0642437
6.49737,7935.88,8.8994e-21,2.28327e-19,1.28758e-17,1.12489e-10,1.12489e-10,1.12141e-24,2.87715e-23,1.62248e-21,1.41748e-14,0.0649737
6.57079,8118.8,1.44953e-20,-1.25317e-20,7.34967e-18,5.44021e-11,5.44021e-11,1.7854e-24,-1.54354e-24,9.05265e-22,6.70075e-15,0.0657079
6.64462,8303.08,1.73293e-20,4.24462e-20,5.17918e-18,2.64437e-11,2.64437e-11,2.08709e-24,5.1121e-24,6.23766e-22,3.1848e-15,0.0664462
