t,T+R,N_0,N_1,N_2,N_3
106,1.00901,8.16467e-28,9.08703e-28,4.59051e-30,1.64903e-28
107,1.00922,7.87575e-28,9.57224e-28,1.11737e-29,1.65011e-28
108,1.00945,8.10488e-28,1.05897e-27,1.42749e-29,2.27942e-28
109,1.00968,6.62508e-28,9.40189e-28,1.61256e-29,2.48398e-28
110,1.00993,5.66644e-28,9.59149e-28,9.76429e-30,2.6621e-28
111,1.01019,5.29956e-28,1.20121e-27,6.31601e-30,3.24693e-28
112,1.01046,3.95369e-28,1.20082e-27,1.35428e-29,3.3554e-28
113,1.01074,4.67254e-28,1.01073e-27,1.55877e-29,3.92646e-28
114,1.01103,3.42692e-28,1.02491e-27,9.47567e-30,4.19676e-28
115,1.01133,2.94071e-28,1.11037e-27,1.39851e-29,4.2775e-28
116,1.01163,2.3055e-28,1.10105e-27,8.11826e-30,4.72181e-28
117,1.01194,2.39483e-28,1.16561e-27,1.35823e-29,4.90178e-28
118,1.01224,1.82332e-28,9.54364e-28,1.63593e-29,4.99691e-28
119,1.01255,1.76885e-28,8.166e-28,2.88753e-30,4.82464e-28
120,1.01285,1.57127e-28,9.41124e-28,1.03854e-29,4.99119e-28
121,1.01314,1.05121e-28,8.63419e-28,5.93675e-30,4.73364e-28
122,1.01343,1.09734e-28,7.83733e-28,8.16231e-30,4.81705e-28
123,1.01372,7.61658e-29,5.05273e-28,5.09704e-30,5.21714e-28
124,1.014,8.37757e-29,6.95121e-28,4.00523e-30,3.74418e-28
125,1.01427,5.03524e-29,6.13354e-28,3.70749e-30,3.87791e-28
126,1.01454,7.02491e-29,6.93366e-28,4.19138e-30,3.63397e-28
127,1.0148,7.87516e-29,5.52344e-28,4.89062e-30,3.30131e-28
128,1.01506,7.43894e-29,5.59151e-28,3.56082e-30,3.13211e-28
129,1.0153,1.30353e-28,5.0513e-28,7.19114e-30,2.42167e-28
130,1.01553,1.03794e-28,6.83945e-28,1.89197e-29,2.3559e-28
131,1.01575,1.08836e-28,6.35797e-28,1.61375e-29,2.097e-28
132,1.01594,2.16242e-28,7.02306e-28,2.86615e-29,1.81962e-28
133,1.01611,2.36373e-28,5.63527e-28,4.02739e-29,1.45919e-28
134,1.01625,3.06236e-28,6.37798e-28,4.67106e-29,1.3658e-28
