t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
206,0.137557,12.9487,0.426325,40.1315,0.292088,27.4952,0.14403,13.558
207,0.136592,12.9184,0.4339,41.0365,0.2861,27.0582,0.143408,13.563
208,0.135682,12.8923,0.441832,41.9822,0.279832,26.5893,0.142654,13.5548
209,0.134852,12.8731,0.450076,42.9646,0.273304,26.0898,0.141767,13.5332
210,0.134131,12.8636,0.458588,43.9799,0.266534,25.5614,0.140747,13.498
211,0.133546,12.8665,0.467318,45.0236,0.259542,25.0055,0.139593,13.4491
212,0.133125,12.8847,0.47622,46.0916,0.25235,24.424,0.138306,13.3861
213,0.132894,12.921,0.485244,47.1792,0.244976,23.8185,0.136885,13.3091
214,0.132881,12.9783,0.494342,48.2818,0.237445,23.191,0.135333,13.2178
215,0.133112,13.0597,0.503462,49.3947,0.229776,22.5433,0.133649,13.1123
216,0.133615,13.1679,0.512557,50.5129,0.221991,21.8774,0.131836,12.9926
217,0.134414,13.3059,0.521576,51.6316,0.214114,21.1955,0.129895,12.8585
218,0.135535,13.4765,0.530471,52.7456,0.206166,20.4994,0.127828,12.7102
219,0.137001,13.6826,0.539192,53.8501,0.198169,19.7915,0.125638,12.5477
220,0.138836,13.9269,0.547691,54.94,0.190145,19.0738,0.123327,12.3712
221,0.141061,14.2121,0.555923,56.0101,0.182117,18.3485,0.120899,12.1808
222,0.143697,14.5409,0.563841,57.0557,0.174105,17.6179,0.118357,11.9767
223,0.146763,14.9156,0.5714,58.0716,0.166131,16.884,0.115705,11.7592
224,0.150277,15.3387,0.578558,59.0532,0.158217,16.1491,0.112948,11.5285
225,0.154254,15.8124,0.585274,59.9955,0.150382,15.4155,0.110089,11.2851
226,0.15871,16.3387,0.591508,60.894,0.142647,14.6851,0.107135,11.0292
227,0.163657,16.9197,0.597222,61.7441,0.135031,13.9603,0.10409,10.7614
228,0.169105,17.5571,0.602382,62.5415,0.127553,13.243,0.10096,10.482
229,0.175063,18.2524,0.606955,63.2822,0.12023,12.5354,0.0977513,10.1917
230,0.181539,19.007,0.610911,63.962,0.11308,11.8394,0.0944703,9.89099
231,0.188537,19.8222,0.61422,64.5772,0.106119,11.157,0.0911239,9.58049
232,0.196059,20.6988,0.616859,65.1244,0.0993628,10.4902,0.0877192,9.26089
233,0.204107,21.6377,0.618804,65.6002,0.0928256,9.84056,0.0842636,8.93289
234,0.212679,22.6393,0.620035,66.0016,0.0865209,9.20999,0.0807648,8.59726
235,0.22177,23.7039,0.620537,66.326,0.0804614,8.6001,0.0772309,8.25481
236,0.231376,24.8315,0.620295,66.5708,0.0746585,8.01244,0.0736703,7.90638
237,0.241487,26.022,0.619299,66.734,0.0691226,7.44847,0.0700915,7.55287
238,0.252094,27.2749,0.61754,66.8136,0.063863,6.90954,0.0665034,7.19521
239,0.263184,28.5894,0.615014,66.8083,0.0588878,6.39691,0.0629149,6.83438
240,0.274742,29.9645,0.611719,66.7167,0.054204,5.91173,0.0593354,6.47138
241,0.286751,31.3992,0.607657,66.5382,0.0498176,5.45501,0.0557742,6.10726
242,0.299194,32.8918,0.602832,66.2721,0.0457333,5.02767,0.052241,5.74309
243,0.312049,34.4406,0.597251,65.9183,0.0419546,4.6305,0.0487453,5.37999
244,0.325293,36.0437,0.590926,65.4769,0.0384839,4.26417,0.0452971,5.01909
245,0.338902,37.6989,0.583869,64.9485,0.0353226,3.92922,0.0419061,4.66156
246,0.35285,39.4036,0.576096,64.334,0.0324708,3.62609,0.0385823,4.30858
247,0.367109,41.1552,0.567627,63.6345,0.0299275,3.35505,0.0353357,3.96134
248,0.38165,42.9507,0.558483,62.8515,0.0276907,3.1163,0.032176,3.62107
249,0.396441,44.7871,0.548689,61.987,0.0257572,2.90986,0.0291132,3.289
250,0.41145,46.6609,0.53827,61.043,0.0241229,2.73568,0.026157,2.96636
251,0.426645,48.5687,0.527256,60.0221,0.0227826,2.59354,0.0233172,2.6544
252,0.441989,50.5068,0.515677,58.9272,0.0217302,2.48314,0.0206033,2.35437
253,0.457449,52.4711,0.503568,57.7611,0.0209587,2.40404,0.0180246,2.06749
254,0.472987,54.4578,0.490962,56.5274,0.0204601,2.35569,0.0155903,1.795
255,0.488567,56.4626,0.477898,55.2296,0.0202257,2.33744,0.0133093,1.53813
256,0.504151,58.4812,0.464412,53.8715,0.0202459,2.34851,0.0111904,1.29807
257,0.519702,60.5092,0.450546,52.4574,0.0205105,2.38805,0.00924176,1.07602
258,0.53518,62.5421,0.43634,50.9914,0.0210085,2.45509,0.00747156,0.873139
259,0.550549,64.5754,0.421835,49.4781,0.0217284,2.54858,0.00588743,0.690552
260,0.56577,66.6043,0.407075,47.9222,0.022658,2.66737,0.00449666,0.529361
261,0.580805,68.6242,0.392104,46.3285,0.0237847,2.81025,0.00330612,0.39063
262,0.595617,70.6304,0.376966,44.702,0.0250954,2.97591,0.00232223,0.275379
263,0.610168,72.6183,0.361704,43.0477,0.0265768,3.163,0.00155094,0.184583
264,0.624423,74.5831,0.346364,41.3708,0.0282151,3.3701,0.000997685,0.119167
265,0.638347,76.5202,0.33099,39.6765,0.0299962,3.59572,0.000667397,0.0800025
266,0.651904,78.4251,0.315625,37.9702,0.0319061,3.83835,0.000564446,0.0679037
267,0.665062,80.2932,0.300315,36.2571,0.0339304,4.09643,0.000692636,0.0836221
268,0.677789,82.1202,0.285101,34.5425,0.0360548,4.36836,0.00105518,0.127844
269,0.690054,83.9017,0.270026,32.8317,0.0382649,4.65252,0.00165467,0.201187
270,0.701829,85.6337,0.255132,31.13,0.0405464,4.94728,0.0024931,0.304196
271,0.713085,87.3122,0.240458,29.4424,0.0428853,5.251,0.00357178,0.43734
272,0.723797,88.9333,0.226044,27.7741,0.0452675,5.56204,0.00489141,0.601009
273,0.733943,90.4934,0.211926,26.13,0.0476794,5.87875,0.00645198,0.795514
274,0.743499,91.9891,0.198141,24.5149,0.0501074,6.19952,0.00825284,1.02108
275,0.752446,93.4172,0.184723,22.9336,0.0525386,6.52274,0.0102926,1.27784
276,0.760767,94.7748,0.171703,21.3904,0.0549603,6.84684,0.0125693,1.56586
277,0.768448,96.059,0.159112,19.8896,0.0573603,7.17027,0.0150802,1.88508
278,0.775473,97.2676,0.146978,18.4354,0.0597269,7.49154,0.0178217,2.23538
279,0.781835,98.3982,0.135327,17.0316,0.0620488,7.80919,0.02079,2.61653
280,0.787523,99.4491,0.124181,15.6818,0.0643155,8.12183,0.02398,3.02822
281,0.792533,100.419,0.113564,14.3892,0.066517,8.42811,0.0273864,3.47002
282,0.796861,101.306,0.103492,13.157,0.068644,8.72677,0.031003,3.94143
283,0.800507,102.109,0.0939819,11.9879,0.0706878,9.01661,0.0348229,4.44186
284,0.803473,102.828,0.0850478,10.8844,0.0726403,9.29649,0.0388388,4.97058
285,0.805763,103.463,0.0767004,9.84861,0.0744944,9.56536,0.0430426,5.52682
286,0.807383,104.013,0.0689481,8.8824,0.0762436,9.82227,0.0474254,6.10969
287,0.808343,104.479,0.0617966,7.98727,0.077882,10.0663,0.051978,6.71821
288,0.808656,104.862,0.0552492,7.16438,0.0794047,10.2967,0.0566906,7.35131
289,0.808334,105.162,0.0493063,6.4146,0.0808074,10.5128,0.0615528,8.00783
290,0.807394,105.381,0.0439659,5.73841,0.0820866,10.7139,0.0665534,8.68653
291,0.805856,105.52,0.0392235,5.136,0.0832397,10.8996,0.0716812,9.38608
292,0.803739,105.582,0.035072,4.6072,0.0842647,11.0693,0.0769242,10.1051
293,0.801067,105.569,0.0315019,4.15151,0.0851605,11.2229,0.0822701,10.842
294,0.797866,105.484,0.0285014,3.76809,0.0859265,11.3601,0.0877062,11.5954
295,0.794161,105.328,0.0260564,3.45581,0.086563,11.4807,0.0932192,12.3635
296,0.789983,105.107,0.0241505,3.2132,0.0870711,11.5848,0.0987958,13.1447
297,0.78536,104.822,0.0227653,3.03849,0.0874524,11.6723,0.104422,13.9373
298,0.780325,104.478,0.0218807,2.92961,0.0877092,11.7434,0.110085,14.7393
299,0.774912,104.079,0.0214742,2.88421,0.0878445,11.7984,0.115769,15.549
300,0.769156,103.628,0.0215221,2.89968,0.0878618,11.8376,0.12146,16.3644
301,0.763091,103.132,0.0219989,2.97314,0.0877653,11.8614,0.127145,17.1836
302,0.756756,102.592,0.0228775,3.10148,0.0875595,11.8703,0.132807,18.0046
303,0.750187,102.016,0.0241298,3.28136,0.0872497,11.8649,0.138434,18.8253
304,0.743423,101.408,0.0257264,3.50925,0.0868413,11.8457,0.144009,19.6438
305,0.736503,100.772,0.027637,3.78142,0.0863404,11.8135,0.149519,20.4579
306,0.729467,100.114,0.0298302,4.09398,0.0857534,11.769,0.154949,21.2657
307,0.722354,99.4395,0.0322744,4.44291,0.0850868,11.7131,0.160285,22.0649
308,0.715203,98.7537,0.0349371,4.82404,0.0843476,11.6465,0.165513,22.8536
309,0.708054,98.0619,0.0377857,5.23314,0.083543,11.5703,0.170618,23.6297
310,0.700946,97.3697,0.0407875,5.66586,0.0826803,11.4853,0.175587,24.3911
311,0.693917,96.6824,0.0439095,6.11784,0.0817669,11.3925,0.180406,25.1357
312,0.687007,96.0055,0.0471192,6.58466,0.0808105,11.2928,0.185064,25.8617
313,0.680251,95.3444,0.0503844,7.06191,0.0798185,11.1874,0.189546,26.5669
314,0.673687,94.7044,0.0536732,7.54518,0.0787986,11.0772,0.193841,27.2494
315,0.66735,94.0907,0.0569547,8.03014,0.0777582,10.9633,0.197937,27.9075
316,0.661273,93.5085,0.0601986,8.51248,0.0767048,10.8466,0.201823,28.5391
317,0.65549,92.9625,0.0633756,8.98801,0.0756455,10.7282,0.205488,29.1427
318,0.650032,92.4578,0.0664576,9.45265,0.0745875,10.609,0.208923,29.7163
319,0.644928,91.9989,0.0694178,9.90245,0.0735376,10.4901,0.212117,30.2585
