t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
95,0.336302,14.784,0.534017,23.4756,0.0439491,1.93202,0.0697924,3.06811,0.0159397,0.700718
96,0.320698,14.2453,0.547534,24.3213,0.0401309,1.7826,0.0732538,3.25391,0.0183831,0.816571
97,0.305583,13.7142,0.560467,25.1531,0.0364219,1.63457,0.0766308,3.4391,0.0208973,0.937847
98,0.291058,13.1959,0.572747,25.9671,0.0328385,1.48883,0.0799041,3.62268,0.0234525,1.06328
99,0.277217,12.6956,0.584312,26.7596,0.0293965,1.34627,0.0830553,3.80366,0.0260193,1.1916
100,0.264154,12.2186,0.595099,27.5266,0.0261111,1.20779,0.0860665,3.98105,0.0285694,1.3215
101,0.251954,11.7698,0.605053,28.2646,0.0229969,1.07428,0.0889203,4.15385,0.0310757,1.45168
102,0.240698,11.3544,0.614122,28.9699,0.0200676,0.946645,0.0916007,4.32107,0.0335124,1.58088
103,0.23046,10.9771,0.622257,29.639,0.0173361,0.825743,0.0940922,4.48174,0.0358552,1.70783
104,0.221308,10.6426,0.629415,30.2685,0.0148146,0.71243,0.0963806,4.63493,0.0380817,1.83134
105,0.213301,10.3554,0.635561,30.8553,0.0125141,0.607536,0.0984529,4.77971,0.0401716,1.95026
106,0.206491,10.1194,0.64066,31.3964,0.0104448,0.51186,0.100297,4.91521,0.0421063,2.06348
107,0.200923,9.93854,0.644688,31.8892,0.00861565,0.426169,0.101903,5.0406,0.0438699,2.17
108,0.196631,9.81629,0.647624,32.331,0.00703467,0.351188,0.103262,5.15509,0.0454487,2.26891
109,0.193641,9.75571,0.649454,32.7197,0.00570862,0.287603,0.104365,5.25796,0.0468314,2.35938
110,0.191971,9.75946,0.650169,33.0534,0.00464314,0.236049,0.105207,5.34855,0.0480094,2.44071
111,0.191629,9.82978,0.649768,33.3304,0.00384262,0.19711,0.105783,5.42625,0.0489766,2.5123
112,0.192614,9.96842,0.648256,33.5495,0.00331026,0.171317,0.10609,5.49054,0.0497297,2.57368
113,0.194915,10.1767,0.645643,33.7096,0.00304799,0.159138,0.106127,5.54097,0.050268,2.62453
114,0.198512,10.4553,0.641945,33.8101,0.0030565,0.160981,0.105892,5.57717,0.0505934,2.66466
115,0.203378,10.8046,0.637187,33.8508,0.00333525,0.177187,0.105389,5.59884,0.0507105,2.69402
116,0.209476,11.2242,0.631396,33.8318,0.00388241,0.20803,0.10462,5.6058,0.0506265,2.7127
117,0.216758,11.7135,0.624607,33.7535,0.00469495,0.253713,0.103589,5.59791,0.0503511,2.72095
118,0.225172,12.2711,0.61686,33.6167,0.00576859,0.314368,0.102303,5.57515,0.0498962,2.71917
