t,T+R,N_0,N_1,N_2,N_3,N_4
95,1.00649,1.89472e-28,9.58817e-28,9.54147e-29,8.07523e-29,1.63474e-29
96,1.00637,1.81649e-28,9.22288e-28,9.59808e-29,9.74322e-29,1.48156e-29
97,1.00627,1.47567e-28,9.98791e-28,1.06152e-28,8.61878e-29,1.82569e-29
98,1.0062,1.56563e-28,9.66006e-28,1.04126e-28,9.69135e-29,1.92572e-29
99,1.00616,9.76699e-29,1.07416e-27,1.03312e-28,9.15587e-29,2.05805e-29
100,1.00617,1.09225e-28,1.10972e-27,1.05443e-28,8.45974e-29,1.90582e-29
101,1.00623,9.98798e-29,1.17398e-27,1.02366e-28,1.06476e-28,2.29596e-29
102,1.00634,7.05675e-29,1.07516e-27,1.08284e-28,8.54317e-29,2.23622e-29
103,1.00652,4.23394e-29,1.12032e-27,1.07369e-28,1.00378e-28,1.94024e-29
104,1.00676,5.43614e-29,1.26644e-27,9.96841e-29,1.09367e-28,1.96077e-29
105,1.00708,4.37804e-29,1.33282e-27,1.00476e-28,9.62186e-29,2.27468e-29
106,1.00747,3.00876e-29,1.39126e-27,9.96697e-29,8.78081e-29,2.98171e-29
107,1.00793,2.47219e-29,1.18677e-27,1.13317e-28,9.05974e-29,2.99936e-29
108,1.00848,2.41037e-29,1.31492e-27,1.17636e-28,1.07375e-28,3.23382e-29
109,1.00912,2.62477e-29,1.48371e-27,1.15362e-28,9.00799e-29,3.91499e-29
110,1.00983,2.35806e-29,1.53384e-27,1.05716e-28,8.39297e-29,4.61235e-29
111,1.01064,1.77215e-29,1.45665e-27,1.04211e-28,7.51055e-29,5.54856e-29
112,1.01152,2.3299e-29,1.52347e-27,1.07062e-28,7.81687e-29,5.13957e-29
113,1.0125,2.24948e-29,1.48326e-27,1.16276e-28,7.57663e-29,6.23545e-29
114,1.01355,2.82667e-29,1.48701e-27,1.13649e-28,6.1887e-29,5.63743e-29
115,1.01468,2.84641e-29,1.38917e-27,1.0925e-28,4.43099e-29,6.05099e-29
116,1.01589,3.75133e-29,1.42647e-27,1.06323e-28,3.48152e-29,6.87166e-29
117,1.01718,3.13416e-29,1.49176e-27,1.01822e-28,4.28911e-29,7.35338e-29
118,1.01853,3.51385e-29,1.59908e-27,1.06582e-28,4.1733e-29,6.40916e-29
119,1.01995,4.661e-29,1.43633e-27,9.29132e-29,2.0515e-29,5.68291e-29
120,1.02142,3.47643e-29,1.44293e-27,9.08114e-29,1.90261e-29,6.62958e-29
121,1.02295,2.94566e-29,1.59863e-27,8.51556e-29,1.65493e-29,8.18387e-29
122,1.02453,3.65199e-29,1.5166e-27,7.15668e-29,1.01133e-29,7.48821e-29
123,1.02615,4.41309e-29,1.6835e-27,7.12009e-29,7.77374e-30,6.80087e-29
124,1.0278,2.63607e-29,1.79405e-27,6.05657e-29,4.54598e-30,7.42295e-29
125,1.02948,2.82556e-29,1.69521e-27,5.84953e-29,5.78585e-30,8.31459e-29
126,1.03118,3.31049e-29,1.66134e-27,4.40732e-29,8.37186e-30,7.87969e-29
127,1.0329,2.63995e-29,1.8196e-27,4.45184e-29,6.46605e-30,7.08616e-29
128,1.03461,3.12042e-29,1.82774e-27,2.92008e-29,6.0421e-30,6.55498e-29
129,1.03633,2.22365e-29,1.75386e-27,3.62327e-29,4.60006e-30,7.99417e-29
130,1.03804,1.37311e-29,1.65018e-27,2.3576e-29,6.71854e-30,7.20263e-29
131,1.03974,7.56501e-30,1.81961e-27,2.05251e-29,1.05135e-29,7.20725e-29
132,1.04141,1.87939e-29,1.68715e-27,1.30733e-29,9.01914e-30,6.96718e-29
133,1.04305,1.56987e-29,1.79036e-27,1.1309e-29,4.26135e-30,6.38177e-29
134,1.04465,1.50917e-29,1.49011e-27,4.64605e-30,9.52223e-30,6.90953e-29
135,1.04622,2.10233e-29,1.43721e-27,3.57918e-30,1.16426e-29,7.87154e-29
136,1.04774,3.58844e-29,1.48934e-27,-9.57153e-31,1.34709e-29,6.02294e-29
137,1.0492,5.79088e-29,1.35138e-27,-1.32569e-30,8.39835e-30,7.31304e-29
138,1.05061,4.2265e-29,1.38672e-27,-8.92675e-31,1.37163e-29,7.15202e-29
139,1.05196,5.00744e-29,1.20862e-27,-1.90225e-30,1.61782e-29,6.78877e-29
140,1.05324,6.54873e-29,1.16565e-27,-1.75583e-30,1.86551e-29,7.16861e-29
141,1.05446,7.31261e-29,1.07216e-27,9.6513e-32,1.73889e-29,7.15598e-29
142,1.05561,9.7027e-29,1.03728e-27,-1.07888e-30,1.45538e-29,6.8871e-29
143,1.05669,8.8941e-29,8.84332e-28,-1.0698e-31,2.4149e-29,7.83489e-29
144,1.05769,7.79167e-29,9.79776e-28,4.23198e-30,2.46895e-29,8.11749e-29
145,1.05863,6.01572e-29,8.94576e-28,7.45567e-30,3.01282e-29,7.35882e-29
146,1.05949,7.32683e-29,7.90013e-28,1.16673e-29,3.7765e-29,7.90102e-29
147,1.06028,7.67166e-29,7.8823e-28,1.48372e-29,4.55093e-29,8.11622e-29
148,1.061,8.42905e-29,7.86795e-28,3.09515e-29,4.63343e-29,8.95433e-29
149,1.06166,9.43773e-29,9.60807e-28,3.04228e-29,5.12389e-29,8.80503e-29
150,1.06225,6.76841e-29,8.24044e-28,5.10673e-29,5.94456e-29,9.41101e-29
151,1.06279,1.16309e-28,7.67663e-28,6.09883e-29,5.7935e-29,8.87584e-29
152,1.06326,1.20941e-28,8.25413e-28,5.52537e-29,7.67567e-29,8.77325e-29
153,1.06369,1.52987e-28,8.87058e-28,6.61875e-29,8.29191e-29,8.37938e-29
154,1.06407,1.55667e-28,8.23608e-28,8.46168e-29,6.65406e-29,9.13651e-29
155,1.06441,1.89972e-28,8.35957e-28,9.538e-29,1.01504e-28,9.57027e-29
156,1.06471,2.06828e-28,7.87697e-28,9.07593e-29,1.34159e-28,1.0707e-28
157,1.06498,2.2981e-28,7.25291e-28,8.79031e-29,1.32896e-28,9.57028e-29
158,1.06524,2.44335e-28,6.51304e-28,9.98131e-29,1.46109e-28,1.03685e-28
159,1.06547,2.67408e-28,7.49651e-28,9.70502e-29,1.3367e-28,1.0964e-28
160,1.0657,2.25833e-28,6.41924e-28,1.24109e-28,1.83964e-28,1.02041e-28
161,1.06593,2.13644e-28,5.95956e-28,1.11368e-28,1.84669e-28,9.62508e-29
162,1.06616,2.74084e-28,6.10181e-28,1.09966e-28,1.74765e-28,9.24844e-29
163,1.06641,2.49615e-28,6.10651e-28,1.21461e-28,2.0187e-28,1.01992e-28
164,1.06667,2.17989e-28,5.54923e-28,1.20862e-28,2.0803e-28,9.27789e-29
165,1.06696,2.0573e-28,6.11908e-28,1.39883e-28,1.87589e-28,8.96358e-29
166,1.06729,2.49932e-28,4.99728e-28,1.36727e-28,2.08782e-28,9.43541e-29
167,1.06765,1.91297e-28,4.77219e-28,1.50206e-28,1.98588e-28,1.0214e-28
168,1.06806,1.65773e-28,4.66049e-28,1.88068e-28,1.98494e-28,9.59806e-29
