t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
1100,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
1200,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
1300,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
1400,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
1500,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
1600,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
1700,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
1800,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
1900,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2000,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2100,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2200,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2300,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2400,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2500,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2600,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2700,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2800,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
2900,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3000,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3100,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3200,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3300,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3400,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3500,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3600,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3700,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3800,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
3900,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
4000,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
4100,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
4200,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
4300,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
4400,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
4500,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
4600,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
