t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
1200,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
1300,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
1400,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
1500,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
1600,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
1700,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
1800,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
1900,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2000,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2100,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2200,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2300,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2400,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2500,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2600,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2700,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2800,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
2900,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3000,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3100,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3200,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3300,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3400,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3500,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3600,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3700,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3800,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
3900,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4000,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4100,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4200,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4300,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4400,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4500,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4600,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4700,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4800,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
4900,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5000,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5100,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5200,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5300,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5400,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5500,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5600,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5700,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5800,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
5900,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6000,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6100,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6200,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6300,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6400,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6500,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6600,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6700,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6800,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
6900,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7000,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7100,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7200,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7300,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7400,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7500,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7600,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7700,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7800,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
7900,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
8000,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
8100,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
8200,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
8300,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
8400,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
