t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
1900,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2000,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2100,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2200,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2300,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2400,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2500,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2600,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2700,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2800,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
2900,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3000,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3100,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3200,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3300,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3400,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3500,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3600,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3700,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3800,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
3900,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4000,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4100,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4200,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4300,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4400,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4500,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4600,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4700,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4800,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
4900,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
5000,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
5100,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
5200,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
5300,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
5400,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
5500,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
5600,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
5700,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
