t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
152,0.725822,50.7745,0.0086346,0.60403,0.2064,14.4386,0.00102194,0.0714895,0.0581209,4.06582
153,0.731547,51.5058,0.00636336,0.448023,0.203745,14.345,0.000723615,0.0509474,0.0576216,4.05695
154,0.735909,52.1457,0.00713579,0.505634,0.199995,14.1714,0.000487765,0.0345625,0.0564716,4.00151
155,0.738971,52.6965,0.010747,0.766378,0.195274,13.9252,0.000362961,0.025883,0.0546447,3.89675
156,0.74081,53.1623,0.0169335,1.21519,0.189698,13.6132,0.000366577,0.0263065,0.0521919,3.74541
157,0.741521,53.5482,0.0253813,1.83288,0.183376,13.2423,0.000479058,0.0345947,0.0492427,3.55601
158,0.741214,53.8607,0.035732,2.59648,0.176414,12.8192,0.000651391,0.0473336,0.0459879,3.34173
159,0.74001,54.1071,0.0475881,3.47949,0.168932,12.3518,0.000822656,0.0601499,0.0426473,3.11823
160,0.738037,54.2958,0.0605172,4.45212,0.161072,11.8497,0.000940471,0.0691885,0.0394329,2.901
161,0.735432,54.4358,0.0740576,5.48166,0.153019,11.3263,0.000976352,0.0722685,0.0365155,2.70284
162,0.732331,54.5364,0.0877267,6.53298,0.145006,10.7986,0.000930703,0.0693091,0.0340053,2.53236
163,0.728873,54.6074,0.101032,7.56937,0.13732,10.288,0.000827015,0.0619602,0.0319477,2.39353
164,0.725193,54.6584,0.113487,8.55364,0.130285,9.81972,0.000699429,0.0527165,0.0303344,2.28633
165,0.721417,54.6987,0.12463,9.44957,0.12425,9.42081,0.000580052,0.0439802,0.0291225,2.2081
166,0.717661,54.737,0.134041,10.2235,0.11955,9.11826,0.000491368,0.0374773,0.0282564,2.15515
167,0.714026,54.781,0.141367,10.8458,0.116475,8.93613,0.000445597,0.0341868,0.0276868,2.12417
168,0.710595,54.8374,0.146336,11.2929,0.115236,8.89286,0.000448823,0.0346362,0.0273848,2.11332
169,0.707431,54.9114,0.148774,11.548,0.115939,8.99931,0.000505396,0.0392293,0.0273504,2.12296
170,0.704576,55.0065,0.148608,11.6019,0.118582,9.25771,0.000618554,0.0482907,0.0276156,2.15596
171,0.702048,55.1246,0.145872,11.4538,0.123051,9.66189,0.000786146,0.0617279,0.0282432,2.21765
172,0.699845,55.2659,0.140695,11.1105,0.129148,10.1987,0.000994019,0.0784965,0.0293181,2.31521
173,0.697939,55.4288,0.133298,10.5863,0.136619,10.85,0.00121192,0.0962483,0.0309318,2.45654
174,0.696286,55.61,0.123973,9.90131,0.145185,11.5955,0.00139628,0.111516,0.0331597,2.64836
175,0.694821,55.8048,0.113069,9.08117,0.154574,12.4147,0.00150103,0.120556,0.0360347,2.89414
176,0.693466,56.007,0.100977,8.15532,0.16454,13.2889,0.00149329,0.120604,0.0395233,3.19205
177,0.692129,56.2093,0.0881185,7.15629,0.174872,14.2017,0.00136753,0.11106,0.043513,3.53379
178,0.690708,56.4034,0.0749293,6.11874,0.185396,15.1395,0.00115148,0.0940303,0.0478159,3.90466
179,0.689094,56.5803,0.0618565,5.07893,0.195959,16.0899,0.000900065,0.0739028,0.0521904,4.28526
