t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
66,0.520921,15.9435,0.295902,9.05647,0.0119938,0.367084,0.135682,4.15271,0.000222129,0.00679855,0.0352789,1.07976
67,0.551457,17.1326,0.270983,8.41886,0.0168738,0.524233,0.127259,3.95365,0.000277759,0.00862936,0.0331491,1.02987
68,0.58162,18.3381,0.247249,7.79558,0.0223497,0.704672,0.117785,3.71367,0.000339088,0.0106912,0.0306573,0.966603
69,0.611309,19.5562,0.224727,7.18916,0.0281508,0.900565,0.107504,3.43913,0.000404721,0.0129473,0.0279055,0.892716
70,0.640424,20.7831,0.203435,6.60188,0.0339528,1.10184,0.0966946,3.13794,0.000471143,0.0152895,0.0250232,0.812054
71,0.668869,22.0147,0.183383,6.03573,0.0394064,1.297,0.0856685,2.81963,0.00053364,0.0175639,0.0221402,0.728707
72,0.696548,23.247,0.164569,5.4924,0.0441695,1.47414,0.0747653,2.49526,0.000587341,0.0196022,0.0193613,0.646175
73,0.723365,24.4755,0.14698,4.97317,0.0479396,1.62207,0.0643328,2.17674,0.000628398,0.0212623,0.0167546,0.566905
74,0.749221,25.6958,0.130593,4.4789,0.0504841,1.73144,0.0546916,1.87574,0.000655052,0.0224661,0.0143556,0.492352
75,0.774018,26.9031,0.115371,4.01004,0.051665,1.79576,0.0460951,1.60216,0.000667263,0.0231926,0.0121837,0.423479
76,0.797654,28.0923,0.10127,3.5666,0.0514545,1.81216,0.0386962,1.36283,0.000664751,0.0234116,0.0102601,0.361348
77,0.820028,29.2582,0.0882376,3.14827,0.0499386,1.78178,0.0325354,1.16085,0.000645769,0.0230407,0.00861457,0.307363
78,0.841036,30.3952,0.0762159,2.75446,0.0473089,1.70976,0.0275539,0.995805,0.000608806,0.0220024,0.00727597,0.262955
79,0.860576,31.4979,0.0651477,2.38446,0.0438434,1.60471,0.0236235,0.864643,0.000555896,0.0203463,0.0062533,0.228876
80,0.878545,32.5602,0.0549805,2.03766,0.0398792,1.47798,0.020581,0.762765,0.000494067,0.0183109,0.00552049,0.204598
81,0.894841,33.5763,0.0456739,1.71378,0.0357809,1.34257,0.0182546,0.684948,0.000433432,0.0162632,0.00501624,0.18822
82,0.909367,34.54,0.0372054,1.41315,0.0319086,1.21197,0.016476,0.625799,0.000383548,0.0145681,0.0046596,0.176983
83,0.922028,35.4454,0.0295777,1.13705,0.0285858,1.09892,0.0150852,0.579918,0.000350143,0.0134605,0.00437345,0.168128
84,0.932734,36.2863,0.0228224,0.887863,0.0260705,1.01422,0.0139354,0.542132,0.000333264,0.012965,0.00410441,0.159674
85,0.941403,37.0567,0.0170021,0.66926,0.02453,0.965582,0.0129068,0.508054,0.000327711,0.0128998,0.00383017,0.150768
86,0.947961,37.7511,0.012209,0.486206,0.0240245,0.956737,0.0119263,0.474946,0.000326465,0.013001,0.00355274,0.141482
87,0.952343,38.3637,0.00856083,0.34486,0.0245006,0.986967,0.0109853,0.442524,0.000325493,0.013112,0.00328479,0.132323
88,0.954497,38.8894,0.00619427,0.252376,0.0257985,1.05112,0.0101439,0.413295,0.00032616,0.0132889,0.0030404,0.123876
89,0.954382,39.3236,0.00525697,0.216604,0.0276724,1.14019,0.00951869,0.392201,0.000333094,0.0137246,0.00283646,0.116871
90,0.951974,39.6621,0.00589818,0.245736,0.0298204,1.24241,0.00925691,0.385671,0.000349659,0.0145678,0.00270109,0.112535
91,0.947259,39.9011,0.00825903,0.347892,0.0319199,1.34455,0.00950764,0.400487,0.000374927,0.0157929,0.00267916,0.112853
92,0.940243,40.0377,0.0124628,0.530693,0.0336622,1.43341,0.0104007,0.442885,0.000403661,0.0171888,0.0028278,0.120414
93,0.930943,40.0694,0.0186058,0.800828,0.0347834,1.49714,0.0120374,0.518111,0.000428177,0.0184295,0.00320186,0.137814
94,0.919395,39.9947,0.0267504,1.16367,0.0350888,1.5264,0.0144893,0.630303,0.000440939,0.0191813,0.00383579,0.166861
95,0.905647,39.8126,0.0369196,1.623,0.0344681,1.51524,0.0177969,0.782362,0.00043735,0.0192261,0.0047311,0.207981
96,0.889763,39.523,0.0490963,2.18084,0.0329047,1.46161,0.0219621,0.975547,0.000417405,0.018541,0.00585622,0.260131
97,0.871822,39.1263,0.0632249,2.83746,0.0304735,1.36761,0.0269354,1.20883,0.000384756,0.0172674,0.00715977,0.321322
98,0.851911,38.6238,0.079217,3.59152,0.0273319,1.23917,0.0326062,1.47829,0.000343957,0.0155942,0.00858961,0.389434
99,0.830133,38.0174,0.0969579,4.44036,0.023701,1.08543,0.038803,1.77705,0.000298601,0.013675,0.0101066,0.462847
100,0.806596,37.3095,0.116316,5.38025,0.0198407,0.917743,0.0453102,2.09585,0.000251571,0.0116366,0.0116858,0.540534
101,0.781418,36.5034,0.137148,6.40678,0.0160212,0.748421,0.0518992,2.42444,0.000205742,0.00961107,0.0133076,0.621653
102,0.754724,35.6025,0.15931,7.51512,0.0124937,0.589362,0.0583647,2.75323,0.000163505,0.00771302,0.0149445,0.704973
103,0.726643,34.6111,0.182658,8.70027,0.00946385,0.450777,0.0645543,3.07482,0.00012596,0.00599964,0.0165542,0.788502
104,0.697314,33.5337,0.207056,9.95728,0.00707208,0.340095,0.0703828,3.3847,9.32735e-05,0.00448551,0.0180822,0.86957
105,0.666876,32.3756,0.232375,11.2814,0.00538074,0.261225,0.0758275,3.68128,6.5781e-05,0.00319355,0.0194747,0.945462
106,0.635477,31.1424,0.258497,12.668,0.00437203,0.214257,0.0809107,3.96514,4.42796e-05,0.00216998,0.0206988,1.01437
107,0.603268,29.8403,0.28531,14.1127,0.00395596,0.19568,0.0856787,4.23805,2.9472e-05,0.00145782,0.0217583,1.07626
108,0.570405,28.476,0.312702,15.6108,0.00398788,0.199085,0.0901858,4.5023,2.16232e-05,0.00107948,0.0226976,1.13312
109,0.537053,27.0569,0.340554,17.1572,0.00429237,0.216251,0.0944912,4.7605,2.04462e-05,0.00103009,0.0235893,1.18844
110,0.503377,25.5908,0.368733,18.7457,0.00468986,0.238424,0.0986647,5.01593,2.44393e-05,0.00124245,0.0245103,1.24606
111,0.469554,24.0862,0.39708,20.3686,0.00502186,0.257601,0.102797,5.27304,3.03082e-05,0.00155468,0.0255163,1.30888
