t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6,Norm_7,AvgX_7
44,0.0445391,0.910261,0.723769,14.7919,0.0240235,0.490976,0.157418,3.21721,0.000688756,0.0140763,0.0396317,0.809967,1.04479e-05,0.000213528,0.00991907,0.202719
45,0.0457122,0.95539,0.733962,15.3399,0.0195157,0.407881,0.152447,3.18617,0.000559152,0.0116863,0.0382295,0.799,8.75463e-06,0.000182973,0.00956565,0.199923
46,0.0494735,1.05689,0.740407,15.8172,0.0151031,0.322646,0.148294,3.16798,0.000438187,0.00936091,0.0370176,0.7908,7.15647e-06,0.000152883,0.00925966,0.197813
47,0.0558268,1.21845,0.742875,16.2136,0.0110349,0.240842,0.144921,3.16297,0.000336903,0.00735309,0.0359982,0.785679,5.8023e-06,0.000126638,0.0090017,0.196467
48,0.0647478,1.44311,0.741235,16.5208,0.00751157,0.167419,0.142263,3.17078,0.000258129,0.0057532,0.0351836,0.784176,4.7359e-06,0.000105554,0.00879553,0.196036
49,0.0761832,1.73322,0.735465,16.7323,0.00466742,0.106187,0.140249,3.19076,0.000198821,0.00452331,0.0345882,0.786907,3.92181e-06,8.9224e-05,0.00864491,0.196678
50,0.0900524,2.09041,0.725644,16.8446,0.00255926,0.0594087,0.13882,3.22247,0.000153336,0.00355942,0.034216,0.794264,3.2823e-06,7.61927e-05,0.00855135,0.198505
51,0.106249,2.51551,0.711955,16.8561,0.00116508,0.0275841,0.137949,3.26604,0.000116148,0.00274989,0.0340527,0.806222,2.73485e-06,6.47495e-05,0.00851076,0.201499
52,0.124641,3.00861,0.694671,16.7681,0.000393356,0.00949488,0.137629,3.3221,8.3948e-05,0.00202635,0.0340651,0.822269,2.22767e-06,5.37719e-05,0.00851478,0.205531
53,0.14508,3.56905,0.674138,16.5842,0.000101864,0.0025059,0.137858,3.39139,5.65613e-05,0.00139144,0.0342111,0.841612,1.75638e-06,4.32079e-05,0.00855191,0.210381
54,0.167398,4.19547,0.650766,16.31,0.00012248,0.00306971,0.138612,3.47402,3.5813e-05,0.000897576,0.0344518,0.86346,1.35757e-06,3.40246e-05,0.00861236,0.21585
55,0.191414,4.88587,0.625001,15.9532,0.00028767,0.0073428,0.139819,3.56891,2.30651e-05,0.00058874,0.0347637,0.887348,1.07382e-06,2.74095e-05,0.00868997,0.221812
56,0.21694,5.63768,0.597313,15.5226,0.000454886,0.0118213,0.141351,3.67333,1.77799e-05,0.000462052,0.0351397,0.913188,9.30946e-07,2.41928e-05,0.0087836,0.228263
57,0.243781,6.44788,0.568171,15.0278,0.00052631,0.0139206,0.143029,3.78303,1.83844e-05,0.000486259,0.0355803,0.941082,9.31358e-07,2.4634e-05,0.00889391,0.23524
58,0.271743,7.31305,0.538027,14.4792,0.000462423,0.0124446,0.144645,3.89264,2.38793e-05,0.000642631,0.0360774,0.970901,1.06678e-06,2.87088e-05,0.00901949,0.242729
59,0.300635,8.22948,0.507302,13.8867,0.00028855,0.00789867,0.145987,3.99619,3.39536e-05,0.000929433,0.0365996,1.00187,1.3138e-06,3.59634e-05,0.00915279,0.250545
60,0.33027,9.19327,0.476371,13.2601,9.36995e-05,0.00260819,0.146852,4.08771,4.77724e-05,0.00132978,0.0370863,1.03232,1.6307e-06,4.53917e-05,0.00927828,0.258267
61,0.360468,10.2004,0.44556,12.6083,2.13403e-05,0.00060388,0.14706,4.16144,6.37416e-05,0.00180373,0.037451,1.05977,1.96406e-06,5.55781e-05,0.00937392,0.265259
62,0.39106,11.2467,0.415142,11.9393,0.000252457,0.00726052,0.146452,4.21189,8.12421e-05,0.00233648,0.0375951,1.08121,2.28211e-06,6.56321e-05,0.00941398,0.270741
63,0.421888,12.3281,0.385339,11.2601,0.000982389,0.0287066,0.144884,4.23369,0.000102494,0.002995,0.0374264,1.09365,2.60268e-06,7.60535e-05,0.00937503,0.27395
64,0.452802,13.4405,0.356329,10.5769,0.0023942,0.0710671,0.14222,4.22152,0.00013228,0.00392647,0.0368793,1.09469,2.9874e-06,8.8675e-05,0.00923986,0.274266
65,0.483665,14.5799,0.32825,9.89498,0.00463212,0.139634,0.138345,4.17035,0.000175743,0.00529771,0.0359265,1.08299,3.51135e-06,0.000105848,0.00900213,0.271366
66,0.51435,15.7423,0.30121,9.21891,0.00777847,0.23807,0.133174,4.07595,0.000236305,0.00723241,0.0345821,1.05843,4.22659e-06,0.00012936,0.00866548,0.265218
67,0.544737,16.9238,0.275291,8.55269,0.011837,0.36775,0.126683,3.93576,0.000314784,0.00977964,0.0328906,1.02184,5.14336e-06,0.000159793,0.0082421,0.256064
68,0.574715,18.1204,0.250556,7.89985,0.0167241,0.527301,0.11893,3.74978,0.000409057,0.0128973,0.0309123,0.974643,6.22908e-06,0.000196398,0.00774728,0.244266
69,0.604182,19.3282,0.22705,7.26351,0.0222692,0.712409,0.110074,3.52135,0.00051393,0.016441,0.0287068,0.918351,7.40152e-06,0.00023678,0.00719639,0.230218
70,0.633037,20.5434,0.20481,6.64652,0.028224,0.915928,0.100371,3.25725,0.000622075,0.0201876,0.0263251,0.854303,8.56715e-06,0.000278022,0.00660176,0.214241
71,0.661186,21.7618,0.183861,6.05149,0.0342808,1.1283,0.0901522,2.96721,0.000726431,0.0239093,0.0238096,0.783655,9.63072e-06,0.000316979,0.00597358,0.19661
72,0.688537,22.9796,0.164223,5.48086,0.0400982,1.33826,0.0797837,2.66275,0.000822176,0.0274398,0.0212039,0.707671,1.05555e-05,0.000352284,0.00532201,0.17762
73,0.714997,24.1924,0.145907,4.93685,0.0453318,1.53383,0.0696212,2.35568,0.000906182,0.0306613,0.018565,0.62816,1.13138e-05,0.000382811,0.0046609,0.157705
74,0.740477,25.3959,0.128917,4.42145,0.049666,1.70338,0.059971,2.05681,0.000974451,0.0334205,0.0159722,0.547796,1.18973e-05,0.000408038,0.00401019,0.137536
75,0.764886,26.5857,0.113249,3.93628,0.0528442,1.83674,0.0510687,1.77503,0.00102092,0.0354847,0.0135239,0.47006,1.22476e-05,0.0004257,0.00339492,0.118
76,0.788135,27.757,0.0988826,3.48251,0.0546928,1.92621,0.0430762,1.51708,0.00103947,0.0366088,0.0113206,0.398697,1.23192e-05,0.000433867,0.00284121,0.100063
77,0.810133,28.9051,0.0857835,3.06071,0.0551378,1.96729,0.036093,1.28778,0.00102778,0.0366707,0.00944254,0.336905,1.20814e-05,0.000431059,0.00236972,0.0845503
78,0.830793,30.025,0.0739022,2.67084,0.0542125,1.95925,0.0301711,1.09039,0.000989368,0.035756,0.00792946,0.286572,1.15748e-05,0.000418314,0.00199084,0.0719494
79,0.850025,31.1117,0.0631758,2.31229,0.0520562,1.9053,0.0253228,0.926838,0.000932717,0.0341383,0.00677415,0.24794,1.08867e-05,0.000398465,0.00170258,0.0623161
80,0.867741,32.1598,0.0535331,1.98402,0.0489052,1.8125,0.0215192,0.797534,0.000868461,0.0321865,0.00592986,0.21977,1.01302e-05,0.000375441,0.00149276,0.0553238
81,0.883856,33.1641,0.0449006,1.68476,0.0450741,1.69127,0.0186812,0.700957,0.000806143,0.0302481,0.0053285,0.199936,9.41262e-06,0.000353181,0.00134372,0.0504191
82,0.898286,34.1191,0.0372108,1.41336,0.0409293,1.55459,0.0166752,0.633365,0.000751221,0.0285332,0.00490143,0.186168,8.78676e-06,0.000333743,0.00123779,0.0470144
83,0.910948,35.0194,0.030409,1.16901,0.0368547,1.4168,0.0153214,0.588996,0.000703303,0.027037,0.00459407,0.176609,8.25086e-06,0.000317187,0.00116125,0.0446417
84,0.921767,35.8596,0.0244603,0.951584,0.0332145,1.29215,0.0144182,0.560912,0.000657532,0.0255801,0.00436971,0.169995,7.73874e-06,0.000301061,0.00110503,0.042989
85,0.930671,36.6343,0.0193546,0.761859,0.0303158,1.19333,0.0137765,0.542287,0.000609435,0.0239894,0.0042029,0.16544,7.19964e-06,0.000283402,0.00106311,0.0418476
86,0.937594,37.3382,0.0151093,0.601705,0.0283778,1.1301,0.0132519,0.527737,0.000560275,0.0223121,0.0040704,0.162097,6.63978e-06,0.000264419,0.00102984,0.0410119
87,0.94248,37.9663,0.0117716,0.4742,0.0275118,1.10827,0.0127655,0.514239,0.000518419,0.0208837,0.00394775,0.159029,6.15279e-06,0.000247856,0.000999039,0.0402447
88,0.94528,38.5139,0.00941671,0.383669,0.0277148,1.12919,0.0123065,0.501409,0.000495357,0.0201825,0.0038152,0.155444,5.86993e-06,0.000239161,0.000965577,0.0393409
89,0.945956,38.9765,0.00814571,0.33563,0.0288751,1.18975,0.0119205,0.491164,0.000499487,0.0205805,0.00366908,0.151178,5.8868e-06,0.000242555,0.000928291,0.0382486
90,0.94448,39.3499,0.0080799,0.336633,0.0307884,1.28274,0.0116909,0.487077,0.000531952,0.0221627,0.00353026,0.147081,6.22399e-06,0.00025931,0.00089252,0.037185
91,0.940835,39.6305,0.00935347,0.393993,0.0331813,1.39769,0.0117229,0.493799,0.000586194,0.0246921,0.0034444,0.145087,6.80832e-06,0.000286785,0.000869839,0.0366399
92,0.935017,39.8152,0.0121041,0.515422,0.0357377,1.52179,0.0121357,0.516764,0.000650154,0.027685,0.00347161,0.147829,7.51106e-06,0.000319838,0.000875751,0.0372915
93,0.927035,39.9012,0.0164628,0.708587,0.0381284,1.64111,0.0130595,0.562105,0.000709841,0.0305528,0.0036707,0.157993,8.17824e-06,0.000352006,0.00092522,0.0398231
94,0.916911,39.8867,0.0225431,0.98065,0.0400402,1.74179,0.0146314,0.636483,0.000753546,0.0327801,0.0040834,0.177633,8.68276e-06,0.00037771,0.0010288,0.0447542
95,0.904679,39.7701,0.0304327,1.33784,0.0412052,1.8114,0.0169821,0.746539,0.000775227,0.0340793,0.00472602,0.207758,8.96465e-06,0.00039409,0.00119034,0.0523281
96,0.89039,39.5508,0.040187,1.78509,0.0414257,1.84012,0.020214,0.897897,0.000774966,0.0344237,0.00559169,0.248381,9.0202e-06,0.000400674,0.00140765,0.0625273
97,0.874104,39.2287,0.0518256,2.32587,0.0405932,1.82177,0.0243756,1.09395,0.000755995,0.0339281,0.006661,0.298938,8.88989e-06,0.000398967,0.00167546,0.0751928
98,0.855896,38.8044,0.0653321,2.96202,0.0386978,1.75447,0.0294416,1.33482,0.000721078,0.0326921,0.0079142,0.358813,8.58525e-06,0.000389236,0.00198861,0.0901593
99,0.83585,38.2792,0.080657,3.69383,0.0358272,1.64077,0.0353061,1.6169,0.000671416,0.0307487,0.00933676,0.427593,8.11817e-06,0.000371785,0.00234367,0.107332
100,0.81406,37.6548,0.0977214,4.52016,0.0321551,1.48735,0.041794,1.9332,0.000608457,0.0281445,0.010916,0.504928,7.48298e-06,0.000346129,0.00273786,0.126641
101,0.790628,36.9336,0.116422,5.43859,0.027921,1.30431,0.0486874,2.2744,0.000535621,0.0250211,0.012632,0.590094,6.72334e-06,0.000314076,0.00316662,0.147926
102,0.765665,36.1186,0.13664,6.44569,0.0234036,1.10401,0.0557586,2.63029,0.000457929,0.0216018,0.014448,0.681554,5.8889e-06,0.000277796,0.00362112,0.170819
103,0.739287,35.2133,0.158241,7.53725,0.0188919,0.899849,0.0627998,2.99124,0.000380199,0.0181094,0.0163075,0.776751,5.04847e-06,0.000240466,0.00408709,0.194674
104,0.711617,34.2215,0.18109,8.70858,0.0146564,0.704823,0.0696427,3.34911,0.000306072,0.014719,0.0181379,0.872248,4.24388e-06,0.000204088,0.00454616,0.218624
105,0.682781,33.1478,0.20505,9.9548,0.0109223,0.530257,0.0761641,3.69763,0.000238185,0.0115634,0.0198624,0.964285,3.50793e-06,0.000170303,0.00497833,0.241689
106,0.652913,31.9969,0.229993,11.2711,0.00784935,0.384668,0.0822811,4.0323,0.000178393,0.00874241,0.021416,1.04952,2.84973e-06,0.000139655,0.00536699,0.263017
107,0.622149,30.7743,0.255797,12.6529,0.00551905,0.272997,0.0879421,4.35001,0.000127595,0.0063114,0.0227613,1.12588,2.26356e-06,0.000111966,0.00570215,0.282054
108,0.590631,29.4858,0.28235,14.0956,0.0039322,0.196305,0.0931185,4.64871,8.60201e-05,0.00429434,0.0238966,1.19298,1.73809e-06,8.67698e-05,0.00598372,0.298722
109,0.558506,28.1378,0.309545,15.595,0.00301652,0.151974,0.0978015,4.92728,5.42054e-05,0.00273089,0.0248548,1.25219,1.27403e-06,6.41861e-05,0.00622012,0.313372
110,0.525926,26.7371,0.337272,17.1463,0.00264297,0.134364,0.102007,5.18583,3.31922e-05,0.00168743,0.025692,1.30613,8.97059e-07,4.56048e-05,0.00642632,0.326702
111,0.493049,25.2914,0.365407,18.7439,0.00264758,0.13581,0.105782,5.42619,2.30135e-05,0.00118049,0.0264713,1.35787,6.33436e-07,3.24926e-05,0.00661858,0.339505
112,0.460038,23.8086,0.393811,20.3811,0.00285548,0.147781,0.109217,5.65236,2.09847e-05,0.00108603,0.0272456,1.41005,4.8986e-07,2.53519e-05,0.00681082,0.352483
113,0.427064,22.2974,0.422313,22.0493,0.00310409,0.162067,0.112439,5.87055,2.23374e-05,0.00116626,0.0280463,1.46432,4.41405e-07,2.30462e-05,0.00701078,0.366039
114,0.394303,20.7672,0.45071,23.7381,0.00326373,0.171895,0.115601,6.0885,2.32006e-05,0.00122193,0.0288791,1.52101,4.6183e-07,2.43238e-05,0.00721958,0.380243
115,0.361938,19.2281,0.478766,25.4346,0.00325454,0.172899,0.118853,6.3141,2.30556e-05,0.00122484,0.0297321,1.57953,5.392e-07,2.86453e-05,0.00743363,0.394915
116,0.330156,17.6906,0.50621,27.124,0.0030585,0.163882,0.122311,6.55371,2.42607e-05,0.00129995,0.0305917,1.63918,6.81956e-07,3.65409e-05,0.00764874,0.409839
117,0.299147,16.1658,0.532744,28.7893,0.00272508,0.147262,0.126031,6.81064,2.96191e-05,0.0016006,0.0314573,1.69994,8.94979e-07,4.83643e-05,0.00786475,0.425008
118,0.269105,14.6653,0.558049,30.4117,0.00236842,0.129071,0.13,7.08452,4.07308e-05,0.00221969,0.0323492,1.76292,1.17862e-06,6.42308e-05,0.00808667,0.440695
119,0.240221,13.2009,0.581792,31.9713,0.00215481,0.118414,0.134148,7.37186,5.8347e-05,0.00320635,0.0333007,1.82998,1.53588e-06,8.44015e-05,0.0083239,0.457425
120,0.212683,11.7848,0.60364,33.4476,0.00228102,0.126391,0.138381,7.66766,8.35987e-05,0.00463219,0.0343439,1.90299,1.98944e-06,0.000110235,0.00858481,0.475683
121,0.186675,10.4288,0.623277,34.8202,0.00294645,0.164608,0.142617,7.96748,0.000118884,0.00664163,0.0354907,1.98274,2.58402e-06,0.00014436,0.00887326,0.495717
122,0.162368,9.14502,0.640411,36.0698,0.00432402,0.243541,0.146816,8.26909,0.00016829,0.00947855,0.0367244,2.06842,3.37979e-06,0.000190359,0.00918469,0.517308
123,0.139924,7.94478,0.654797,37.1788,0.00653473,0.371036,0.150991,8.57311,0.000237305,0.013474,0.0380028,2.15776,4.44225e-06,0.000252227,0.00950832,0.539874
124,0.11949,6.83906,0.666246,38.1328,0.00962931,0.551136,0.155191,8.8824,0.00033069,0.0189271,0.0392763,2.24799,5.81056e-06,0.000332569,0.00983055,0.562654
125,0.101195,5.83805,0.674636,38.9206,0.013578,0.783332,0.159483,9.20079,0.000448351,0.025866,0.0405104,2.3371,7.4581e-06,0.000430267,0.0101422,0.585119
126,0.0851462,4.95102,0.679922,39.5356,0.0182675,1.0622,0.163927,9.5319,0.000582055,0.0338449,0.0417037,2.42496,9.2622e-06,0.000538571,0.0104425,0.607203
127,0.0714336,4.18623,0.682136,39.9753,0.0235041,1.37741,0.168568,9.87859,0.000716812,0.0420074,0.0428899,2.51348,1.10295e-05,0.000646364,0.0107402,0.629406
128,0.0601229,3.55078,0.68139,40.242,0.0290232,1.71407,0.173442,10.2432,0.000837428,0.0494574,0.0441232,2.60586,1.25834e-05,0.000743161,0.0110493,0.652558
129,0.0512578,3.05057,0.677862,40.3425,0.0345058,2.05358,0.178585,10.6283,0.000935921,0.0557006,0.045456,2.70528,1.38383e-05,0.000823576,0.0113836,0.677484
130,0.0448602,2.69025,0.671797,40.2874,0.0396034,2.375,0.184039,11.0368,0.00101449,0.0608386,0.0469196,2.81375,1.48461e-05,0.000890315,0.0117512,0.704717
131,0.0409306,2.47323,0.663485,40.091,0.0439718,2.657,0.189843,11.4712,0.00108236,0.0654018,0.0485186,2.93173,1.57306e-05,0.00095052,0.0121532,0.734359
132,0.0394499,2.40171,0.653251,39.77,0.0473084,2.88014,0.196004,11.9328,0.00114899,0.0699507,0.0502353,3.05833,1.66246e-05,0.00101211,0.0125853,0.766192
133,0.040381,2.47677,0.64144,39.3428,0.0493874,3.02918,0.202475,12.4188,0.00121734,0.0746654,0.0520417,3.19199,1.75623e-05,0.00107719,0.0130397,0.799793
134,0.0436713,2.69845,0.628399,38.8288,0.050087,3.09488,0.209131,12.9222,0.00128015,0.0791007,0.0539046,3.33077,1.84554e-05,0.00114036,0.0135086,0.834694
135,0.049255,3.06587,0.614461,38.247,0.0494013,3.07498,0.215776,13.4309,0.00132127,0.0822419,0.0557845,3.47229,1.90956e-05,0.0011886,0.0139817,0.870286
136,0.0570561,3.57738,0.59994,37.6159,0.0474382,2.97435,0.222155,13.929,0.00132247,0.0829182,0.0576241,3.613,1.92471e-05,0.00120678,0.014445,0.905694
137,0.0669906,4.23072,0.585113,36.9522,0.0444045,2.80432,0.227983,14.3981,0.00127355,0.0804298,0.0593388,3.74748,1.87744e-05,0.00118568,0.014877,0.939542
138,0.0789695,5.02311,0.570221,36.2708,0.0405853,2.58156,0.232963,14.8183,0.00117944,0.0750224,0.0608157,3.86838,1.77137e-05,0.00112674,0.015249,0.969965
139,0.0929008,5.95146,0.555459,35.5841,0.036319,2.32669,0.236788,15.1692,0.00105929,0.0678606,0.0619291,3.96733,1.62959e-05,0.00104395,0.015529,0.994824
140,0.108692,7.01242,0.540979,34.9021,0.0319725,2.06275,0.239149,15.4291,0.000937742,0.0604999,0.0625664,4.03657,1.48033e-05,0.000955056,0.0156883,1.01215
141,0.12625,8.20255,0.52689,34.2323,0.0279131,1.81353,0.239738,15.5759,0.000834365,0.0542091,0.0626524,4.07056,1.34928e-05,0.000876631,0.0157083,1.02058
142,0.145487,9.51836,0.513257,33.5795,0.0244794,1.60155,0.238267,15.5885,0.000757593,0.049565,0.0621573,4.0666,1.24602e-05,0.000815203,0.0155822,1.01945
143,0.166314,10.9564,0.500107,32.946,0.021949,1.44596,0.234514,15.4493,0.000705206,0.0464575,0.0610871,4.0243,1.16962e-05,0.00077052,0.0153123,1.00875
144,0.188649,12.5134,0.487429,32.3319,0.0205094,1.36042,0.228365,15.1478,0.000669278,0.0443942,0.0594626,3.94424,1.10848e-05,0.000735269,0.0149046,0.988643
