t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
88,0.826717,33.6833,0.10072,4.10368,0.0548069,2.23302,0.0010747,0.0437868,0.0133481,0.543849,6.97131e-06,0.000284035,0.00332595,0.13551
89,0.807804,33.2841,0.115723,4.76817,0.0590494,2.43303,0.00129654,0.0534215,0.0129206,0.53237,8.82508e-06,0.000363622,0.00319796,0.131766
90,0.788007,32.8307,0.129797,5.40772,0.0646957,2.69542,0.00149566,0.0623137,0.0128367,0.534817,1.03947e-05,0.000433074,0.00315755,0.131553
91,0.767565,32.3319,0.142518,6.00325,0.0717322,3.02155,0.00168681,0.0710531,0.0132428,0.55782,1.19587e-05,0.000503733,0.00324291,0.1366
92,0.746706,31.7964,0.153516,6.53707,0.0801094,3.41124,0.00189898,0.0808628,0.014268,0.607565,1.41921e-05,0.000604332,0.00348665,0.14847
93,0.725647,31.2331,0.162483,6.99354,0.0897565,3.86328,0.00216287,0.0930935,0.016017,0.689398,1.74854e-05,0.000752603,0.00391693,0.168592
94,0.704584,30.6502,0.16918,7.35951,0.100597,4.37609,0.00249477,0.108525,0.0185672,0.807696,2.17562e-05,0.000946419,0.00455549,0.198169
95,0.683697,30.0556,0.173445,7.62474,0.112564,4.94836,0.00288332,0.126752,0.0219694,0.965785,2.6835e-05,0.00117968,0.0054141,0.238006
96,0.663141,29.4565,0.175196,7.78214,0.125611,5.57958,0.00328602,0.145964,0.0262392,1.16554,3.24518e-05,0.0014415,0.00649513,0.288512
97,0.643046,28.8591,0.174425,7.82798,0.139715,6.27024,0.00363773,0.163257,0.0313458,1.40676,3.78684e-05,0.00169949,0.00779263,0.349724
98,0.623519,28.269,0.1712,7.76185,0.154878,7.02182,0.00386803,0.175368,0.0372051,1.6868,4.20655e-05,0.00190716,0.00928741,0.421071
99,0.604643,27.6907,0.16566,7.5867,0.17111,7.8363,0.00392149,0.179592,0.0436791,2.00036,4.42989e-05,0.00202874,0.0109416,0.501089
100,0.586477,27.1278,0.158006,7.30867,0.188421,8.71551,0.00377448,0.174591,0.0505754,2.33939,4.42683e-05,0.00204765,0.0127014,0.58751
101,0.569061,26.5833,0.148499,6.93702,0.206795,9.66027,0.00344282,0.160829,0.0576551,2.69332,4.20435e-05,0.00196403,0.014505,0.67759
102,0.552417,26.0591,0.137449,6.48387,0.226175,10.6693,0.00297741,0.140453,0.0646563,3.05002,3.81626e-05,0.00180024,0.0162866,0.768288
103,0.53655,25.5567,0.125214,5.9641,0.246444,11.7385,0.00244985,0.11669,0.0713287,3.39749,3.35143e-05,0.00159633,0.0179798,0.856404
104,0.521455,25.0767,0.112187,5.39506,0.267405,12.8595,0.001934,0.093006,0.0774632,3.72519,2.88896e-05,0.0013893,0.0195264,0.939023
105,0.507115,24.6195,0.0987971,4.79642,0.288773,14.0194,0.00148988,0.0723309,0.0829117,4.02521,2.48162e-05,0.00120478,0.0208883,1.01409
106,0.493507,24.185,0.0854944,4.18977,0.31017,15.2003,0.00115468,0.0565869,0.0876014,4.29303,2.18141e-05,0.00106903,0.0220509,1.08063
107,0.480601,23.7727,0.0727451,3.5983,0.33113,16.3792,0.000942961,0.0466431,0.091541,4.52803,2.03872e-05,0.00100844,0.0230196,1.13865
108,0.468366,23.382,0.0610198,3.04626,0.351113,17.5284,0.000853758,0.0426217,0.0948107,4.73318,2.06383e-05,0.00103032,0.0238159,1.18895
109,0.456768,23.0121,0.0507797,2.5583,0.369537,18.6174,0.000879957,0.0443326,0.0975389,4.91405,2.22489e-05,0.00112091,0.0244745,1.23303
110,0.445775,22.6624,0.0424624,2.15871,0.385809,19.6138,0.00101466,0.0515833,0.0998755,5.07749,2.50483e-05,0.00127341,0.0250381,1.27289
111,0.435357,22.332,0.0364653,1.87052,0.39938,20.4865,0.00125208,0.0642265,0.101968,5.23053,2.93087e-05,0.00150341,0.0255484,1.31052
112,0.425486,22.0204,0.0331292,1.71455,0.409786,21.2078,0.0015838,0.0819669,0.10394,5.37926,3.51535e-05,0.00181932,0.0260389,1.3476
113,0.416144,21.7272,0.0327228,1.70849,0.416695,21.756,0.00199313,0.104063,0.105873,5.52771,4.19772e-05,0.00219167,0.0265308,1.3852
114,0.407314,21.4525,0.0354305,1.86606,0.419937,22.1173,0.00245138,0.12911,0.107789,5.67704,4.89563e-05,0.00257844,0.0270295,1.42359
115,0.398994,21.1967,0.0413428,2.19635,0.419521,22.2872,0.00291988,0.15512,0.109644,5.82489,5.5877e-05,0.00296849,0.0275229,1.46216
116,0.391186,20.9607,0.0504527,2.70338,0.415632,22.2706,0.00335946,0.180008,0.111325,5.9651,6.27353e-05,0.00336152,0.0279821,1.49935
117,0.383906,20.7461,0.0626562,3.38591,0.408605,22.0808,0.00374415,0.202332,0.112658,6.08796,6.88701e-05,0.00372171,0.0283623,1.53269
118,0.377182,20.5551,0.0777583,4.23755,0.398888,21.738,0.00407218,0.221919,0.113423,6.18115,7.3522e-05,0.00400669,0.0286031,1.55877
119,0.37105,20.3904,0.0954823,5.24706,0.386996,21.2667,0.00436917,0.2401,0.113388,6.23105,7.70967e-05,0.00423671,0.0286368,1.57368
120,0.365561,20.2557,0.115482,6.39886,0.373459,20.6933,0.00468231,0.259446,0.112331,6.22423,8.07993e-05,0.00447708,0.0284037,1.57384
121,0.360776,20.1552,0.137356,7.67361,0.358777,20.0436,0.00506574,0.283005,0.110078,6.14965,8.52008e-05,0.00475986,0.0278625,1.55658
122,0.356763,20.0939,0.160661,9.04887,0.343384,19.3404,0.00556008,0.313159,0.106551,6.00126,9.01589e-05,0.005078,0.0269908,1.5202
123,0.353601,20.0771,0.184922,10.4997,0.327627,18.6024,0.00617347,0.350524,0.101791,5.77962,9.5778e-05,0.00543819,0.02579,1.46433
124,0.351372,20.1109,0.209645,11.9991,0.311756,17.8434,0.00687267,0.393359,0.0959537,5.49193,0.000102278,0.0058539,0.0242982,1.39071
125,0.350163,20.2014,0.234327,13.5186,0.29593,17.0726,0.00758769,0.437744,0.0892914,5.15134,0.000109079,0.00629289,0.0225909,1.3033
126,0.350061,20.355,0.258459,15.0287,0.280238,16.2951,0.00822794,0.478432,0.0821387,4.77614,0.000114926,0.00668263,0.0207608,1.20718
127,0.351146,20.5782,0.281533,16.4987,0.264722,15.5135,0.00870496,0.510137,0.0748756,4.38793,0.000118783,0.00696106,0.0188999,1.10759
128,0.353495,20.877,0.303049,17.8977,0.249412,14.7299,0.00895515,0.52888,0.0678697,4.00829,0.000120142,0.00709542,0.0170988,1.00983
129,0.357174,21.2569,0.322522,19.1946,0.234358,13.9476,0.00895518,0.532961,0.061427,3.65578,0.000118845,0.00707298,0.0154455,0.919227
130,0.362233,21.723,0.339487,20.3589,0.219658,13.1728,0.0087253,0.523253,0.0557739,3.34474,0.000115128,0.00690418,0.0140074,0.840018
131,0.368707,22.2791,0.353516,21.3612,0.205474,12.4158,0.00832118,0.502807,0.0510559,3.08505,0.000109622,0.00662389,0.0128161,0.774412
132,0.376608,22.9279,0.364229,22.1743,0.192036,11.6912,0.00781818,0.475972,0.0473299,2.88145,0.00010312,0.00627796,0.0118761,0.723017
133,0.385928,23.671,0.371307,22.7742,0.17963,11.0176,0.00729383,0.447368,0.0445631,2.73328,9.64291e-05,0.00591449,0.011181,0.685789
134,0.396635,24.5081,0.374515,23.1413,0.168573,10.4162,0.00681437,0.42106,0.0426576,2.63582,9.03775e-05,0.00558443,0.0107143,0.662035
135,0.408669,25.4375,0.373711,23.2616,0.159178,9.908,0.00642846,0.400138,0.0414871,2.58235,8.567e-05,0.00533251,0.010441,0.649898
136,0.421947,26.4558,0.368861,23.1274,0.15171,9.51212,0.00616754,0.386701,0.0409163,2.56543,8.26535e-05,0.00518233,0.0103154,0.646773
137,0.436363,27.558,0.360047,22.7384,0.146353,9.24279,0.00604885,0.382009,0.040807,2.57712,8.13385e-05,0.00513684,0.0102995,0.650457
138,0.451787,28.7374,0.347466,22.1017,0.143186,9.10783,0.00607748,0.386578,0.041033,2.61004,8.17278e-05,0.00519857,0.0103687,0.659533
139,0.468071,29.9858,0.331427,21.232,0.142166,9.10751,0.00624493,0.400066,0.0415047,2.6589,8.39918e-05,0.00538072,0.0105024,0.672808
140,0.485051,31.2938,0.312337,20.1509,0.143136,9.23465,0.00652498,0.420969,0.0421811,2.72138,8.80089e-05,0.00567803,0.0106823,0.689187
141,0.50255,32.6509,0.290683,18.8858,0.145845,9.47564,0.00686921,0.446296,0.0430569,2.79743,9.28589e-05,0.00603309,0.0109032,0.708389
142,0.520385,34.0458,0.26701,17.4689,0.149977,9.81217,0.00720588,0.47144,0.044149,2.88842,9.72883e-05,0.00636502,0.0111758,0.73117
