t,Norm_0,AvgX_0,Norm_1,AvgX_1
315,0.908633,128.11,0.0913667,12.8819
316,0.883974,125,0.116026,16.4069
317,0.856802,121.513,0.143198,20.3085
318,0.8273,117.672,0.1727,24.5641
319,0.795665,113.501,0.204335,29.1484
320,0.762107,109.03,0.237893,34.0339
321,0.726851,104.287,0.273149,39.1907
322,0.690131,99.3033,0.309869,44.5871
323,0.652194,94.1138,0.347806,50.1895
324,0.613293,88.7533,0.386707,55.9627
325,0.573686,83.2581,0.426314,61.8701
326,0.533639,77.666,0.466361,67.8742
327,0.493419,72.0154,0.506581,73.9364
328,0.453294,66.3456,0.546706,80.0176
329,0.413532,60.6959,0.586468,86.0783
330,0.374399,55.1059,0.625601,92.079
331,0.336156,49.615,0.663844,97.9803
332,0.299057,44.262,0.700943,103.743
333,0.263351,39.0853,0.736649,109.33
334,0.229277,34.122,0.770723,114.703
335,0.197061,29.4081,0.802939,119.826
336,0.166918,24.978,0.833082,124.664
337,0.13905,20.8647,0.86095,129.186
338,0.113644,17.0987,0.886356,133.36
339,0.0908672,13.7089,0.909133,137.158
340,0.0708732,10.7213,0.929127,140.553
341,0.0537952,8.15974,0.946205,143.522
342,0.0397471,6.04508,0.960253,146.043
343,0.0288228,4.39533,0.971177,148.1
344,0.0210951,3.22547,0.978905,149.676
345,0.0166156,2.5473,0.983384,150.76
346,0.0154143,2.36937,0.984586,151.343
347,0.0174991,2.69693,0.982501,151.421
348,0.0228562,3.5318,0.977144,150.991
349,0.0314497,4.87242,0.96855,150.055
350,0.0432224,6.71379,0.956778,148.618
351,0.0580955,9.04753,0.941904,146.688
352,0.07597,11.8619,0.92403,144.277
353,0.0967263,15.1417,0.903274,141.4
354,0.120226,18.8689,0.879774,138.076
355,0.146312,23.0219,0.853688,134.326
356,0.174811,27.5763,0.825189,130.173
357,0.205531,32.5051,0.794469,125.646
358,0.238269,37.7783,0.761731,120.775
359,0.272805,43.3636,0.727195,115.591
360,0.308909,49.2263,0.691091,110.129
361,0.346341,55.3299,0.653659,104.426
362,0.384849,61.6358,0.615151,98.52
363,0.424177,68.104,0.575823,92.4516
364,0.464063,74.6933,0.535937,86.2618
365,0.50424,81.3612,0.49576,79.993
366,0.54444,88.0648,0.45556,73.6882
367,0.584395,94.7604,0.415605,67.391
368,0.623837,101.404,0.376163,61.1451
369,0.662505,107.953,0.337495,54.9939
370,0.700139,114.364,0.299861,48.9807
371,0.736488,120.594,0.263512,43.1479
372,0.77131,126.602,0.22869,37.5368
373,0.804372,132.347,0.195628,32.1875
374,0.835454,137.792,0.164546,27.1387
375,0.864348,142.899,0.135652,22.4269
376,0.890861,147.635,0.109139,18.0867
377,0.914816,151.966,0.0851838,14.1504
378,0.936054,155.863,0.0639463,10.6478
379,0.954432,159.3,0.0455683,7.60559
380,0.969828,162.251,0.0301724,5.04782
381,0.982138,164.697,0.0178615,2.99524
382,0.991282,166.62,0.0087177,1.46532
383,0.997198,168.006,0.00280206,0.472086
384,0.999846,168.845,0.000154055,0.0260153
385,0.999209,169.129,0.000791377,0.133951
386,0.99529,168.855,0.00470977,0.799033
387,0.988117,168.025,0.0118831,2.02067
388,0.977737,166.642,0.0222634,3.7945
389,0.964219,164.715,0.0357815,6.11245
390,0.947653,162.255,0.052347,8.96273
391,0.92815,159.277,0.0718495,12.3299
392,0.905841,155.802,0.0941587,16.195
393,0.880874,151.85,0.119126,20.5356
394,0.853416,147.449,0.146584,25.326
395,0.82365,142.626,0.17635,30.5373
396,0.791775,137.413,0.208225,36.1377
397,0.758003,131.846,0.241997,42.0925
398,0.722561,125.961,0.277439,48.3648
399,0.685684,119.798,0.314316,54.915
400,0.647619,113.398,0.352381,61.7016
401,0.60862,106.804,0.39138,68.6814
402,0.568948,100.061,0.431052,75.8097
403,0.528866,93.216,0.471134,83.0404
404,0.488643,86.3146,0.511357,90.3268
405,0.448547,79.4045,0.551453,97.6215
406,0.408846,72.5335,0.591154,104.877
407,0.369805,65.7491,0.630195,112.045
408,0.331684,59.0987,0.668316,119.079
409,0.294738,52.6287,0.705262,125.932
410,0.259214,46.3847,0.740786,132.559
411,0.225349,40.4108,0.774651,138.915
412,0.193368,34.7497,0.806632,144.958
413,0.163485,29.4419,0.836515,150.647
414,0.1359,24.526,0.8641,155.944
415,0.110798,20.0378,0.889202,160.813
416,0.088344,16.0107,0.911656,165.221
