E,T,R0,R1,R,E/V0,N_R0,N_R1
0.00681831,1.2334,0.885403,0,0.885403,6.81831E-05,0.4178788684,0
0.00705753,1.20968,0.850436,0,0.850436,7.05753E-05,0.4128097641,0
0.00730088,1.18627,0.815922,0,0.815922,7.30088E-05,0.4075143643,0
0.00754835,1.16318,0.781888,0,0.781888,7.54835E-05,0.4019849178,0
0.00779994,1.14041,0.748357,0,0.748357,7.79994E-05,0.3962145675,0
0.00805566,1.11796,0.715353,0,0.715353,8.05566E-05,0.3901968731,0
0.0083155,1.09583,0.682902,0,0.682902,0.000083155,0.3839263026,0
0.00857947,1.07402,0.651026,0,0.651026,8.57947E-05,0.3773963129,0
0.00884756,1.05254,0.619748,0,0.619748,8.84756E-05,0.3705988442,0
0.00911978,1.03137,0.589093,0,0.589093,9.11978E-05,0.3635337555,0
0.00939612,1.01053,0.559081,0,0.559081,9.39612E-05,0.3561908014,0
0.00967659,0.990004,0.529736,0,0.529736,9.67659E-05,0.3485701502,0
0.00996118,0.969799,0.501079,0,0.501079,9.96118E-05,0.3406665951,0
0.0102499,0.949912,0.47313,0,0.47313,0.000102499,0.3324778889,0
0.0105427,0.930343,0.445911,0,0.445911,0.000105427,0.324003418,0
0.0108397,0.911088,0.419441,0,0.419441,0.000108397,0.3152437865,0
0.0111408,0.892148,0.393739,0,0.393739,0.000111408,0.3062003115,0
0.011446,0.87352,0.368825,0,0.368825,0.00011446,0.2968780814,0
0.0117553,0.855203,0.344715,0,0.344715,0.000117553,0.2872821309,0
0.0120688,0.837194,0.321427,0,0.321427,0.000120688,0.2774220388,0
0.0123864,0.819491,0.298977,0,0.298977,0.000123864,0.2673093911,0
0.0127081,0.802092,0.277381,0,0.277381,0.000127081,0.256959646,0
0.0130339,0.784995,0.256654,0,0.256654,0.000130339,0.2463920188,0
0.0133639,0.768197,0.236809,0,0.236809,0.000133639,0.235629439,0
0.013698,0.751697,0.217861,0,0.217861,0.00013698,0.2247013588,0
0.0140362,0.73549,0.199819,0,0.199819,0.000140362,0.2136395566,0
0.0143785,0.719574,0.182697,0,0.182697,0.000143785,0.2024857277,0
0.014725,0.703947,0.166504,0,0.166504,0.00014725,0.1912847478,0
0.0150756,0.688605,0.151249,0,0.151249,0.000150756,0.1800896346,0
0.0154303,0.673546,0.136941,0,0.136941,0.000154303,0.1689613775,0
0.0157891,0.658767,0.123587,0,0.123587,0.000157891,0.1579681321,0
0.016152,0.644263,0.111192,0,0.111192,0.00016152,0.147185471,0
0.0165191,0.630033,0.0997622,0,0.0997622,0.000165191,0.1366988985,0
0.0168903,0.616074,0.0893012,0,0.0893012,0.000168903,0.1266009919,0
0.0172657,0.60238,0.0798117,0,0.0798117,0.000172657,0.1169930681,0
0.0176451,0.588951,0.0712954,0,0.0712954,0.000176451,0.1079830197,0
0.0180287,0.575781,0.0637527,0,0.0637527,0.000180287,0.0996862245,0
0.0184164,0.562868,0.057183,0,0.057183,0.000184164,0.0922230591,0
0.0188082,0.550209,0.0515845,0,0.0515845,0.000188082,0.0857179415,0
0.0192042,0.537799,0.046954,0,0.046954,0.000192042,0.0802971511,0
0.0196043,0.525636,0.0432873,0,0.0432873,0.000196043,0.0760863547,0
0.0200085,0.513716,0.0405788,0,0.0405788,0.000200085,0.0732079753,0
0.0204168,0.502035,0.038822,0,0.038822,0.000204168,0.0717786772,0
0.0208292,0.490591,0.0380089,0,0.0380089,0.000208292,0.0719048566,0
0.0212458,0.479379,0.0381304,0,0.0381304,0.000212458,0.073680594,0
0.0216665,0.468396,0.039176,0,0.039176,0.000216665,0.0771831385,0
