E,T,R0,R,E/V0,N_R0
0.0492264,0.132743,0.774941,0.774941,0.000492264,0.8537563734
0.0498657,0.129478,0.787337,0.787337,0.000498657,0.8587741256
0.0505091,0.126291,0.799129,0.799129,0.000505091,0.8635311534
0.0511567,0.123182,0.810297,0.810297,0.000511567,0.8680398809
0.0518083,0.120148,0.820824,0.820824,0.000518083,0.8723150104
0.0524641,0.117188,0.830694,0.830694,0.000524641,0.8763685775
0.053124,0.114299,0.839893,0.839893,0.00053124,0.8802138354
0.0537881,0.111481,0.848406,0.848406,0.000537881,0.8838602877
0.0544563,0.108732,0.856224,0.856224,0.000544563,0.8873192146
0.0551286,0.10605,0.863336,0.863336,0.000551286,0.8906008546
0.055805,0.103433,0.869734,0.869734,0.00055805,0.8937150561
0.0564855,0.10088,0.875412,0.875412,0.000564855,0.8966702585
0.0571702,0.0983899,0.880365,0.880365,0.000571702,0.8994744241
0.057859,0.0959608,0.884591,0.884591,0.00057859,0.9021359198
0.0585519,0.0935913,0.888088,0.888088,0.000585519,0.9046620419
0.0592489,0.0912801,0.890858,0.890858,0.000592489,0.9070598116
0.0599501,0.0890257,0.892902,0.892902,0.000599501,0.9093357892
0.0606554,0.0868268,0.894224,0.894224,0.000606554,0.9114961223
0.0613648,0.0846822,0.894831,0.894831,0.000613648,0.9135466475
0.0620783,0.0825904,0.894731,0.894731,0.000620783,0.9154931019
0.062796,0.0805503,0.893932,0.893932,0.00062796,0.9173404176
0.0635178,0.0785606,0.892447,0.892447,0.000635178,0.9190937331
0.0642437,0.0766202,0.890287,0.890287,0.000642437,0.9207574419
0.0649737,0.0747278,0.887468,0.887468,0.000649737,0.9223361815
0.0657079,0.0728822,0.884006,0.884006,0.000657079,0.9238341532
0.0664462,0.0710824,0.879919,0.879919,0.000664462,0.9252552099
0.0671886,0.0693273,0.875225,0.875225,0.000671886,0.9266030055
0.0679351,0.0676158,0.869947,0.869947,0.000679351,0.927881311
0.0686858,0.0659468,0.864107,0.864107,0.000686858,0.9290935643
0.0694406,0.0643193,0.857728,0.857728,0.000694406,0.9302429496
0.0701995,0.0627322,0.850836,0.850836,0.000701995,0.9313327675
0.0709625,0.0611847,0.843458,0.843458,0.000709625,0.9323658943
0.0717297,0.0596757,0.835622,0.835622,0.000717297,0.9333454113
0.0725009,0.0582043,0.827356,0.827356,0.000725009,0.934274041
0.0732763,0.0567696,0.818691,0.818691,0.000732763,0.9351545918
0.0740559,0.0553707,0.809659,0.809659,0.000740559,0.9359898279
0.0748395,0.0540067,0.800291,0.800291,0.000748395,0.9367823418
0.0756273,0.0526767,0.790621,0.790621,0.000756273,0.9375348705
0.0764192,0.0513799,0.780683,0.780683,0.000764192,0.9382499809
0.0772152,0.0501155,0.770511,0.770511,0.000772152,0.9389301954
0.0780154,0.0488828,0.760142,0.760142,0.000780154,0.9395781192
0.0788197,0.0476808,0.749611,0.749611,0.000788197,0.9401965504
0.0796281,0.0465089,0.738954,0.738954,0.000796281,0.9407879099
0.0804406,0.0453663,0.728208,0.728208,0.000804406,0.9413549545
0.0812572,0.0442522,0.71741,0.71741,0.000812572,0.9419004908
0.082078,0.0431661,0.706598,0.706598,0.00082078,0.9424270914
0.0829029,0.0421071,0.695809,0.695809,0.000829029,0.9429378218
0.0837319,0.0410746,0.68508,0.68508,0.000837319,0.9434354613
0.0845651,0.040068,0.674448,0.674448,0.000845651,0.9439228793
0.0854024,0.0390866,0.66395,0.66395,0.000854024,0.944403179
0.0862438,0.0381297,0.653622,0.653622,0.000862438,0.9448794994
0.0870893,0.0371968,0.643501,0.643501,0.000870893,0.945354899
0.0879389,0.0362873,0.633622,0.633622,0.000879389,0.9458325179
0.0887927,0.0354005,0.624021,0.624021,0.000887927,0.9463158238
0.0896506,0.034536,0.614731,0.614731,0.000896506,0.9468077078
0.0905126,0.0336931,0.605785,0.605785,0.000905126,0.9473115655
0.0913788,0.0328713,0.597217,0.597217,0.000913788,0.9478306453
