t,T+R,N_0,N_1,N_2,N_3
116,0.743724,6.03462e-26,7.90646e-26,2.14736e-27,4.07491e-26
117,0.733376,6.20201e-26,8.23719e-26,3.29605e-27,4.43515e-26
118,0.723075,5.92074e-26,8.80761e-26,2.44372e-27,3.80263e-26
119,0.712829,6.62683e-26,8.27062e-26,1.73463e-27,3.64854e-26
120,0.702643,7.11388e-26,7.82769e-26,1.70273e-27,3.6687e-26
121,0.692525,7.60853e-26,7.92021e-26,1.39427e-27,3.76251e-26
122,0.68248,6.8408e-26,8.32914e-26,2.81277e-27,3.8886e-26
123,0.672515,7.2962e-26,7.00987e-26,2.18982e-27,3.28121e-26
124,0.662635,7.86276e-26,7.38369e-26,2.91101e-27,3.27183e-26
125,0.652844,7.50254e-26,7.98229e-26,2.93122e-27,2.91331e-26
126,0.643148,7.83215e-26,6.69046e-26,2.1025e-27,2.80721e-26
127,0.63355,7.72896e-26,6.9539e-26,2.07472e-27,2.85897e-26
128,0.624054,7.735e-26,6.8446e-26,2.92643e-27,2.74377e-26
129,0.614664,7.88556e-26,7.16051e-26,2.30585e-27,2.68821e-26
130,0.605381,8.64048e-26,6.17403e-26,2.90513e-27,2.77539e-26
131,0.596208,8.3456e-26,5.9879e-26,3.01836e-27,2.61428e-26
132,0.587148,9.49007e-26,6.31593e-26,2.20061e-27,2.50343e-26
133,0.5782,9.61275e-26,5.80274e-26,2.41226e-27,2.28157e-26
134,0.569367,1.14605e-25,5.80004e-26,2.53484e-27,2.08656e-26
135,0.56065,1.16394e-25,5.86873e-26,2.82424e-27,1.92327e-26
136,0.552048,1.13767e-25,5.18515e-26,2.13428e-27,1.35717e-26
137,0.543562,1.06029e-25,5.63885e-26,2.02823e-27,1.55604e-26
138,0.535192,1.14667e-25,5.25006e-26,3.12587e-27,1.46961e-26
139,0.526939,1.01933e-25,4.8788e-26,2.72454e-27,1.86884e-26
140,0.5188,1.148e-25,4.7047e-26,2.51876e-27,1.98279e-26
141,0.510778,1.07481e-25,3.90402e-26,2.40869e-27,1.42783e-26
142,0.50287,1.14227e-25,3.78904e-26,1.97046e-27,1.4001e-26
143,0.495077,1.1533e-25,3.46637e-26,3.44634e-27,1.57775e-26
144,0.487398,1.24006e-25,3.51298e-26,1.71159e-27,1.31014e-26
145,0.479833,1.21984e-25,3.38219e-26,2.2722e-27,1.33588e-26
146,0.472382,1.2418e-25,2.76152e-26,1.95713e-27,1.32738e-26
147,0.465044,1.26173e-25,2.63155e-26,2.45024e-27,1.19806e-26
148,0.457819,1.26215e-25,2.72869e-26,4.8279e-28,1.06579e-26
149,0.450708,1.21283e-25,2.25342e-26,2.08254e-27,1.01038e-26
150,0.44371,1.15211e-25,1.69156e-26,1.65842e-27,1.2593e-26
151,0.436824,1.36748e-25,1.90381e-26,2.76701e-27,9.17829e-27
152,0.430052,1.23541e-25,1.76665e-26,3.47344e-27,7.45684e-27
153,0.423393,1.33866e-25,1.6723e-26,3.00287e-27,6.94523e-27
154,0.416847,1.31993e-25,1.43118e-26,3.00557e-27,6.29602e-27
155,0.410414,1.52472e-25,1.21423e-26,3.78157e-27,5.58233e-27
156,0.404095,1.36257e-25,1.12053e-26,4.22988e-27,6.82585e-27
157,0.397888,1.52541e-25,1.08497e-26,3.03486e-27,4.52063e-27
158,0.391794,1.38173e-25,7.01332e-27,5.09853e-27,6.36098e-27
159,0.385813,1.42827e-25,5.77334e-27,3.07148e-27,4.94592e-27
160,0.379944,1.3574e-25,6.35834e-27,4.63668e-27,4.10762e-27
161,0.374187,1.46871e-25,2.64975e-27,3.51247e-27,2.57354e-27
162,0.368541,1.49643e-25,3.54548e-27,3.48555e-27,5.07335e-27
163,0.363005,1.40545e-25,1.4603e-27,5.35525e-27,3.73998e-27
164,0.357578,1.55721e-25,2.25465e-27,3.77989e-27,2.93669e-27
165,0.352259,1.40605e-25,1.05536e-27,5.09408e-27,2.49275e-27
166,0.347046,1.43213e-25,9.53932e-28,6.04106e-27,1.66295e-27
167,0.341939,1.25434e-25,1.38019e-27,4.78089e-27,2.65128e-27
168,0.336935,1.51935e-25,5.40606e-28,4.80744e-27,2.10698e-27
169,0.332033,1.54553e-25,4.01446e-28,6.44159e-27,1.46373e-27
170,0.32723,1.42347e-25,4.78272e-28,4.51347e-27,8.45378e-28
171,0.322526,1.36666e-25,4.06964e-28,6.50961e-27,1.631e-27
172,0.317917,1.62832e-25,7.29067e-28,6.48434e-27,1.41785e-27
173,0.313403,1.43721e-25,2.09712e-27,5.90306e-27,9.40243e-28
174,0.30898,1.52719e-25,1.48906e-27,6.12404e-27,1.92427e-27
175,0.304647,1.31579e-25,9.13246e-28,6.27381e-27,7.1254e-28
176,0.300401,1.57762e-25,2.31715e-27,5.82872e-27,8.97162e-28
177,0.296241,1.47906e-25,2.68417e-27,7.561e-27,1.38142e-27
178,0.292166,1.3049e-25,2.37834e-27,7.72375e-27,1.48064e-27
179,0.288172,1.2554e-25,4.91116e-27,7.67098e-27,1.17794e-27
180,0.284258,1.24218e-25,7.75534e-27,9.01654e-27,5.7477e-28
181,0.280424,1.14726e-25,8.4202e-27,7.00058e-27,6.52406e-28
182,0.276667,1.4522e-25,9.79435e-27,6.62561e-27,1.61827e-27
183,0.272986,1.42959e-25,7.46923e-27,7.29394e-27,1.64301e-27
184,0.26938,1.4386e-25,7.71269e-27,7.8487e-27,2.24396e-27
185,0.265848,1.37567e-25,7.98827e-27,9.83728e-27,9.29091e-28
186,0.262389,1.39303e-25,6.51315e-27,1.00163e-26,2.741e-27
187,0.259002,1.27372e-25,6.12489e-27,1.06257e-26,1.1314e-27
188,0.255687,9.80058e-26,9.32219e-27,1.32011e-26,3.28187e-27
189,0.252441,8.83414e-26,1.04856e-26,1.6433e-26,4.1969e-27
