E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
0.590267,61.2136,9.41391e-07,0,0,0,9.41391e-07,1.53788e-08,0,0,0,0.00590267
0.612539,65.2904,7.1507e-07,0,0,0,7.1507e-07,1.09521e-08,0,0,0,0.00612539
0.635224,69.6136,5.42959e-07,0,0,0,5.42959e-07,7.79961e-09,0,0,0,0.00635224
0.658321,74.1962,4.12132e-07,0,0,0,4.12132e-07,5.55462e-09,0,0,0,0.00658321
0.681831,79.0519,3.12719e-07,0,0,0,3.12719e-07,3.95587e-09,0,0,0,0.00681831
0.705753,84.195,2.37201e-07,0,0,0,2.37201e-07,2.81728e-09,0,0,0,0.00705753
0.730088,89.6402,1.79853e-07,0,0,0,1.79853e-07,2.00639e-09,0,0,0,0.00730088
0.754835,95.4031,1.36322e-07,0,0,0,1.36322e-07,1.4289e-09,0,0,0,0.00754835
0.779994,101.5,1.03287e-07,0,0,0,1.03287e-07,1.0176e-09,0,0,0,0.00779994
0.805566,107.947,7.8231e-08,0,0,0,7.8231e-08,7.24716e-10,0,0,0,0.00805566
0.83155,114.762,5.92326e-08,0,0,0,5.92326e-08,5.16132e-10,0,0,0,0.0083155
0.857947,121.964,4.48312e-08,0,0,0,4.48312e-08,3.67577e-10,0,0,0,0.00857947
0.884756,129.571,3.39174e-08,0,0,0,3.39174e-08,2.61768e-10,0,0,0,0.00884756
0.911978,137.602,2.56506e-08,0,0,0,2.56506e-08,1.86412e-10,0,0,0,0.00911978
0.939612,146.078,1.93923e-08,0,0,0,1.93923e-08,1.32753e-10,0,0,0,0.00939612
0.967659,155.02,1.46573e-08,0,0,0,1.46573e-08,9.45506e-11,0,0,0,0.00967659
0.996118,164.451,1.10742e-08,0,0,0,1.10742e-08,6.73408e-11,0,0,0,0.00996118
1.02499,174.392,8.36337e-09,0,0,0,8.36337e-09,4.79574e-11,0,0,0,0.0102499
1.05427,184.867,6.31352e-09,0,0,0,6.31352e-09,3.41518e-11,0,0,0,0.0105427
1.08397,195.9,4.7648e-09,0,0,0,4.7648e-09,2.43226e-11,0,0,0,0.0108397
1.11408,207.517,3.59502e-09,0,0,0,3.59502e-09,1.7324e-11,0,0,0,0.0111408
1.1446,219.743,2.71109e-09,0,0,0,2.71109e-09,1.23376e-11,0,0,0,0.011446
1.17553,232.605,2.04348e-09,0,0,0,2.04348e-09,8.7852e-12,0,0,0,0.0117553
1.20688,246.132,1.53944e-09,0,0,0,1.53944e-09,6.25452e-12,0,0,0,0.0120688
1.23864,260.351,1.15959e-09,0,0,0,1.15959e-09,4.45395e-12,0,0,0,0.0123864
1.27081,275.291,8.73467e-10,0,0,0,8.73467e-10,3.17288e-12,0,0,0,0.0127081
1.30339,290.984,6.57823e-10,0,0,0,6.57823e-10,2.26068e-12,0,0,0,0.0130339
1.33639,307.46,4.95091e-10,0,0,0,4.95091e-10,1.61026e-12,0,0,0,0.0133639
1.3698,324.752,3.72253e-10,0,0,0,3.72253e-10,1.14627e-12,0,0,0,0.013698
1.40362,342.892,2.79738e-10,0,0,0,2.79738e-10,8.1582e-13,0,0,0,0.0140362
