t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
71,1.49539,3.36249e-26,3.40829e-26,3.10401e-26,1.79343e-26,2.65352e-26,2.50029e-26,1.02443e-26,3.26468e-26
72,1.50476,3.95684e-26,3.21033e-26,2.97207e-26,1.81519e-26,2.8749e-26,2.37968e-26,1.09802e-26,3.45472e-26
73,1.51334,3.89327e-26,3.16337e-26,3.33152e-26,1.94228e-26,2.7184e-26,2.4942e-26,1.19154e-26,3.70339e-26
74,1.52108,3.80924e-26,3.01165e-26,3.29302e-26,1.62194e-26,2.8929e-26,2.75323e-26,1.2876e-26,3.80155e-26
75,1.52796,3.32057e-26,2.86904e-26,3.46772e-26,1.72435e-26,2.87999e-26,2.69154e-26,1.3183e-26,4.27733e-26
76,1.53393,3.47714e-26,2.65159e-26,3.36138e-26,1.65429e-26,2.848e-26,2.52909e-26,1.38109e-26,4.35931e-26
77,1.53898,3.1469e-26,2.51852e-26,3.31111e-26,1.74171e-26,2.80226e-26,2.70981e-26,1.35851e-26,4.54893e-26
78,1.54308,2.5859e-26,2.49384e-26,3.33796e-26,1.60482e-26,2.93012e-26,2.86963e-26,1.42866e-26,4.68102e-26
79,1.54621,2.84712e-26,2.19245e-26,3.49712e-26,1.52796e-26,2.90466e-26,2.91343e-26,1.34288e-26,4.70517e-26
80,1.54836,2.69169e-26,1.82543e-26,3.38532e-26,1.44142e-26,3.01827e-26,2.87252e-26,1.33966e-26,4.86605e-26
81,1.54953,2.82515e-26,1.96406e-26,3.23737e-26,1.82866e-26,3.2079e-26,2.88049e-26,1.38786e-26,4.81665e-26
82,1.5497,2.98272e-26,1.76082e-26,3.39462e-26,1.40883e-26,2.83309e-26,3.20499e-26,1.36345e-26,4.69751e-26
83,1.54887,2.91658e-26,1.77704e-26,3.7606e-26,1.10621e-26,2.91514e-26,3.05255e-26,1.31621e-26,4.77021e-26
84,1.54704,3.25723e-26,1.58587e-26,3.84516e-26,1.05898e-26,3.11121e-26,3.02019e-26,1.3603e-26,5.02453e-26
85,1.54423,2.96418e-26,1.37027e-26,4.04867e-26,9.105e-27,3.24573e-26,2.97823e-26,1.32258e-26,5.05886e-26
86,1.54043,2.76478e-26,1.36329e-26,4.22731e-26,8.76616e-27,3.3026e-26,2.99933e-26,1.44088e-26,5.18976e-26
87,1.53566,2.4705e-26,1.30164e-26,4.94866e-26,6.41206e-27,3.38108e-26,3.03125e-26,1.32528e-26,5.22206e-26
88,1.52994,2.40575e-26,1.09649e-26,4.82223e-26,7.04942e-27,3.17428e-26,2.95751e-26,1.359e-26,5.27744e-26
89,1.52328,2.52723e-26,8.75476e-27,4.90411e-26,7.50546e-27,3.80868e-26,2.9409e-26,1.28986e-26,5.31423e-26
90,1.5157,2.41984e-26,8.87244e-27,5.1546e-26,8.75825e-27,3.58518e-26,2.96507e-26,1.32597e-26,5.16824e-26
91,1.50723,2.18911e-26,6.29225e-27,5.44128e-26,8.51199e-27,3.66379e-26,3.22131e-26,1.31501e-26,5.16736e-26
92,1.4979,2.26672e-26,5.73831e-27,5.4866e-26,7.3309e-27,3.55499e-26,3.1561e-26,1.26187e-26,5.36661e-26
93,1.48773,2.19444e-26,3.72168e-27,5.68133e-26,9.26388e-27,3.51094e-26,3.18962e-26,1.18895e-26,5.48095e-26
94,1.47676,2.31095e-26,5.30532e-27,6.04897e-26,7.08844e-27,3.40537e-26,2.74438e-26,1.27488e-26,4.95135e-26
95,1.46503,2.0982e-26,3.27419e-27,6.26873e-26,6.71462e-27,3.12074e-26,3.00234e-26,1.11177e-26,4.60743e-26
96,1.45256,1.87864e-26,2.35502e-27,6.17965e-26,6.35486e-27,3.51706e-26,3.08581e-26,1.15682e-26,4.90738e-26
97,1.43941,1.96603e-26,1.99868e-27,6.67434e-26,6.32814e-27,3.57968e-26,2.56629e-26,1.13329e-26,4.18967e-26
98,1.42562,1.94181e-26,1.16778e-27,6.40443e-26,6.87054e-27,4.16473e-26,2.55302e-26,1.19751e-26,4.76139e-26
99,1.41123,1.92288e-26,4.03067e-28,7.24318e-26,7.52551e-27,3.69989e-26,2.76067e-26,1.05839e-26,4.30212e-26
100,1.39628,2.07298e-26,3.31837e-28,6.91518e-26,8.82703e-27,3.91089e-26,2.86971e-26,1.15036e-26,4.52206e-26
101,1.38083,1.9935e-26,1.82316e-29,7.37979e-26,9.40711e-27,3.7779e-26,2.6588e-26,9.36331e-27,4.56797e-26
102,1.36492,2.23708e-26,5.03514e-29,7.47603e-26,1.03866e-26,3.62989e-26,2.5906e-26,9.85161e-27,4.42099e-26
103,1.34861,2.10391e-26,1.50344e-28,7.49634e-26,1.1139e-26,3.77397e-26,2.93458e-26,1.08403e-26,4.62394e-26
104,1.33193,2.01415e-26,7.38942e-28,7.60253e-26,9.22699e-27,3.40885e-26,2.74936e-26,9.93805e-27,4.84943e-26
105,1.31494,2.28075e-26,1.00658e-27,7.64437e-26,8.42113e-27,3.86688e-26,2.38227e-26,9.6021e-27,5.18225e-26
106,1.29769,1.95337e-26,2.21366e-27,7.97e-26,1.00913e-26,3.41017e-26,2.44548e-26,8.20837e-27,4.37798e-26
107,1.28022,2.02389e-26,2.56215e-27,8.27769e-26,9.94903e-27,3.47567e-26,2.29192e-26,8.47146e-27,4.09364e-26
108,1.26258,1.98623e-26,4.35386e-27,8.78231e-26,8.93632e-27,3.9624e-26,2.24569e-26,8.49175e-27,3.73973e-26
109,1.24481,2.16443e-26,4.09851e-27,8.24133e-26,8.27578e-27,3.81173e-26,2.35919e-26,7.91504e-27,3.57939e-26
110,1.22694,1.8979e-26,5.8651e-27,8.71252e-26,9.19222e-27,3.93549e-26,2.47274e-26,8.55527e-27,3.40122e-26
111,1.20902,1.99502e-26,6.11369e-27,8.61761e-26,1.11531e-26,3.77517e-26,2.6454e-26,8.89739e-27,3.38015e-26
112,1.19108,2.2585e-26,6.98271e-27,8.53989e-26,1.23089e-26,3.83393e-26,2.49005e-26,8.76294e-27,2.92678e-26
113,1.17315,2.28072e-26,8.5181e-27,8.40466e-26,1.28779e-26,3.7433e-26,2.31274e-26,8.8498e-27,2.58723e-26
114,1.15527,2.29102e-26,1.09285e-26,8.0699e-26,1.50084e-26,3.41306e-26,2.25871e-26,8.18225e-27,3.23901e-26
