t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
59,0.929514,3.76254e-28,1.38823e-28,1.64384e-28,1.13728e-28,8.25302e-29,8.67749e-29,2.13514e-29,1.90737e-28
60,0.926564,3.9525e-28,1.44965e-28,1.75862e-28,1.32906e-28,8.50996e-29,7.95697e-29,2.03759e-29,1.9623e-28
61,0.92361,3.40208e-28,1.73819e-28,1.73413e-28,1.36606e-28,8.88053e-29,7.55168e-29,1.9618e-29,2.01552e-28
62,0.920663,3.36429e-28,1.72713e-28,1.81164e-28,1.37465e-28,9.54077e-29,7.47669e-29,1.80991e-29,1.97333e-28
63,0.917733,3.26637e-28,1.72532e-28,1.66093e-28,1.23247e-28,9.68317e-29,7.51937e-29,1.91855e-29,2.05787e-28
64,0.914831,3.4863e-28,2.02817e-28,1.80659e-28,1.33857e-28,1.02453e-28,7.49184e-29,1.6165e-29,1.97358e-28
65,0.911966,3.45256e-28,1.76263e-28,1.96498e-28,1.31467e-28,9.83185e-29,7.35022e-29,1.71712e-29,1.9919e-28
66,0.909151,3.21918e-28,1.75046e-28,1.82438e-28,1.18496e-28,1.00745e-28,7.3715e-29,2.02864e-29,1.80164e-28
67,0.906395,3.23347e-28,2.06718e-28,1.81064e-28,1.11504e-28,1.08853e-28,7.12997e-29,2.14929e-29,1.68853e-28
68,0.903709,3.03435e-28,2.08673e-28,1.7568e-28,1.0868e-28,1.14176e-28,8.748e-29,2.37324e-29,1.68495e-28
69,0.901103,2.87305e-28,1.93114e-28,1.89443e-28,1.09349e-28,1.11578e-28,8.50853e-29,2.9303e-29,1.53386e-28
70,0.898587,2.94806e-28,1.84882e-28,1.85379e-28,1.11144e-28,1.16611e-28,9.69762e-29,3.82108e-29,1.45793e-28
71,0.89617,2.78445e-28,2.0082e-28,1.82422e-28,9.02274e-29,1.16785e-28,1.05222e-28,4.51668e-29,1.3519e-28
72,0.893861,2.40905e-28,1.56403e-28,1.64941e-28,9.649e-29,1.2779e-28,1.22147e-28,5.6162e-29,1.35892e-28
73,0.891669,2.40848e-28,1.77556e-28,1.7829e-28,9.01543e-29,1.34848e-28,1.31812e-28,6.31238e-29,1.35529e-28
74,0.889601,2.45776e-28,1.70834e-28,1.85157e-28,1.02673e-28,1.35177e-28,1.4299e-28,7.36172e-29,1.41146e-28
75,0.887666,2.47108e-28,1.70202e-28,1.71066e-28,1.01464e-28,1.45763e-28,1.54085e-28,8.95891e-29,1.43539e-28
76,0.88587,2.38768e-28,1.7049e-28,1.78125e-28,1.00334e-28,1.56816e-28,1.76296e-28,9.94864e-29,1.44716e-28
77,0.884218,2.43986e-28,1.62927e-28,1.91125e-28,8.61605e-29,1.59093e-28,1.9022e-28,1.05939e-28,1.60664e-28
78,0.882717,2.46964e-28,1.74954e-28,1.82878e-28,9.11815e-29,1.69814e-28,2.14179e-28,1.10778e-28,1.85629e-28
79,0.881372,2.58841e-28,1.6533e-28,1.91911e-28,8.63435e-29,1.74976e-28,2.34022e-28,1.08797e-28,2.03826e-28
80,0.880187,2.51723e-28,1.70047e-28,1.84825e-28,6.89623e-29,1.69188e-28,2.49261e-28,1.06522e-28,2.2495e-28
81,0.879165,2.39673e-28,1.84237e-28,1.79907e-28,6.37697e-29,1.84856e-28,2.58518e-28,1.1211e-28,2.30752e-28
82,0.87831,2.50878e-28,1.61521e-28,1.91165e-28,5.58499e-29,1.90261e-28,2.86446e-28,1.04341e-28,2.6316e-28
83,0.877625,2.60958e-28,1.66473e-28,1.86012e-28,5.50262e-29,1.93279e-28,3.19873e-28,9.08131e-29,2.69369e-28
