t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
90,0.974249,1.41238e-28,9.35027e-29,8.19758e-29,1.21527e-28,1.0414e-28,5.14552e-28,4.77946e-28
91,0.975977,1.50288e-28,9.90449e-29,6.89438e-29,1.34785e-28,1.03295e-28,5.38121e-28,5.29208e-28
92,0.977756,1.69776e-28,1.27244e-28,6.25542e-29,1.05115e-28,7.98165e-29,5.48332e-28,5.04948e-28
93,0.979584,1.81104e-28,9.86577e-29,7.04871e-29,1.20788e-28,8.43614e-29,5.39081e-28,5.26885e-28
94,0.981457,1.97446e-28,1.18636e-28,6.45134e-29,1.10901e-28,8.75161e-29,5.44273e-28,5.24366e-28
95,0.983373,1.93162e-28,1.41436e-28,7.07694e-29,1.13476e-28,8.29301e-29,5.15291e-28,5.5862e-28
96,0.98533,2.04452e-28,1.7236e-28,9.47952e-29,1.0753e-28,7.07297e-29,5.21494e-28,5.2708e-28
97,0.987325,2.27621e-28,1.61757e-28,9.21798e-29,1.11938e-28,7.59774e-29,5.1141e-28,5.60702e-28
98,0.989355,2.45727e-28,2.03822e-28,1.1075e-28,1.06521e-28,6.21927e-29,4.82253e-28,5.45969e-28
99,0.991418,2.6283e-28,1.82625e-28,1.22859e-28,1.16522e-28,6.6384e-29,4.93549e-28,5.38565e-28
100,0.993511,2.64987e-28,2.12613e-28,1.50542e-28,1.02163e-28,5.74491e-29,4.32461e-28,5.20037e-28
101,0.99563,3.03258e-28,2.03352e-28,1.51202e-28,9.57828e-29,5.48679e-29,4.57205e-28,4.87194e-28
102,0.997775,3.05128e-28,2.32999e-28,1.65213e-28,9.5793e-29,5.28055e-29,4.16728e-28,4.99113e-28
103,0.99994,3.33736e-28,2.20172e-28,1.82439e-28,9.99116e-29,6.18869e-29,4.13499e-28,4.97915e-28
104,1.00212,3.57792e-28,2.18036e-28,1.71612e-28,9.50289e-29,5.41509e-29,3.67127e-28,4.91168e-28
105,1.00432,3.63131e-28,2.40587e-28,1.99383e-28,8.27884e-29,4.4618e-29,3.6633e-28,4.7482e-28
106,1.00654,3.7142e-28,2.58224e-28,2.09969e-28,9.11845e-29,5.79718e-29,3.56412e-28,4.83233e-28
107,1.00876,4.16086e-28,2.4269e-28,2.30227e-28,9.28084e-29,4.68818e-29,3.40459e-28,4.78075e-28
108,1.01099,4.3474e-28,2.65421e-28,2.06136e-28,1.05371e-28,4.43654e-29,3.07686e-28,4.78204e-28
109,1.01323,4.51086e-28,2.45106e-28,2.26089e-28,8.86635e-29,4.08121e-29,2.91017e-28,4.57344e-28
110,1.01546,4.6241e-28,2.92817e-28,2.27149e-28,1.02701e-28,3.86039e-29,2.73428e-28,4.57577e-28
111,1.0177,4.87906e-28,3.00327e-28,2.61784e-28,9.9142e-29,3.39157e-29,2.54361e-28,4.64691e-28
112,1.01993,5.35335e-28,3.23836e-28,2.85981e-28,1.17226e-28,3.70931e-29,2.45252e-28,4.75196e-28
113,1.02216,5.62035e-28,3.17957e-28,2.75371e-28,1.10885e-28,2.24973e-29,2.11301e-28,4.29279e-28
114,1.02437,5.92291e-28,2.78245e-28,2.17448e-28,1.15087e-28,1.7851e-29,2.01109e-28,4.74067e-28
115,1.02658,6.4702e-28,2.90772e-28,2.62381e-28,1.23068e-28,1.6975e-29,1.92511e-28,4.21987e-28
116,1.02877,6.70715e-28,3.67857e-28,3.65313e-28,1.30932e-28,7.8774e-30,1.75314e-28,4.22277e-28
117,1.03095,7.45994e-28,3.2694e-28,3.14259e-28,1.34803e-28,4.20822e-30,1.76572e-28,4.33519e-28
118,1.03311,7.6063e-28,3.48911e-28,2.94393e-28,1.24375e-28,7.73244e-30,1.74576e-28,4.22373e-28
119,1.03525,7.78713e-28,3.01097e-28,3.09002e-28,1.17291e-28,4.75209e-30,1.60019e-28,4.01991e-28
120,1.03737,8.51153e-28,3.12721e-28,3.59039e-28,1.38469e-28,2.62714e-30,1.6094e-28,3.94818e-28
121,1.03946,8.88612e-28,3.43679e-28,4.18189e-28,1.46391e-28,-9.9923e-31,1.36153e-28,4.07317e-28
122,1.04153,9.24912e-28,3.4419e-28,3.82083e-28,1.21921e-28,4.89679e-31,1.30093e-28,3.81289e-28
123,1.04356,9.29613e-28,3.59874e-28,4.10303e-28,1.37866e-28,1.89317e-30,1.20409e-28,3.59829e-28
124,1.04557,1.00096e-27,3.84018e-28,4.7947e-28,1.45818e-28,3.37554e-30,1.01212e-28,3.49364e-28
125,1.04755,9.78004e-28,3.4393e-28,4.09369e-28,1.32542e-28,9.29194e-31,1.11213e-28,3.38658e-28
126,1.0495,9.8961e-28,3.56488e-28,4.07149e-28,1.5959e-28,1.69222e-30,9.36238e-29,3.15781e-28
127,1.05141,1.00595e-27,3.88932e-28,4.61569e-28,1.50209e-28,2.47558e-30,7.8346e-29,3.11741e-28
128,1.05328,1.00656e-27,3.13862e-28,3.9621e-28,1.37392e-28,2.67465e-30,6.68007e-29,2.91315e-28
129,1.05512,9.97413e-28,3.57473e-28,4.47322e-28,1.61009e-28,6.03758e-30,5.11392e-29,2.9942e-28
130,1.05692,1.01012e-27,3.58026e-28,4.33782e-28,1.43059e-28,2.28448e-30,5.3689e-29,2.93591e-28
131,1.05869,9.58806e-28,3.0169e-28,4.03711e-28,1.84877e-28,3.03672e-30,4.04749e-29,2.88152e-28
132,1.06041,9.38843e-28,3.05952e-28,3.95643e-28,1.66067e-28,3.26692e-30,3.16986e-29,2.81876e-28
133,1.06209,9.97067e-28,2.63038e-28,3.58232e-28,1.69902e-28,5.79329e-30,2.74619e-29,2.67107e-28
134,1.06373,9.19911e-28,2.71858e-28,3.47025e-28,1.7645e-28,5.83303e-30,2.26366e-29,2.83928e-28
135,1.06534,9.0797e-28,2.04751e-28,3.44219e-28,1.83441e-28,5.1702e-30,1.87413e-29,3.0032e-28
136,1.06689,1.00969e-27,2.25542e-28,2.84675e-28,2.14874e-28,4.79793e-30,9.70991e-30,3.08877e-28
137,1.06841,9.65162e-28,1.99097e-28,2.3696e-28,2.00525e-28,5.51821e-30,7.33037e-30,2.91386e-28
138,1.06988,9.55129e-28,1.97194e-28,2.40368e-28,2.24463e-28,5.46013e-30,3.45864e-30,3.16044e-28
139,1.07132,9.40612e-28,1.30854e-28,2.70904e-28,2.24432e-28,7.84399e-30,5.36528e-30,3.33794e-28
140,1.0727,9.76559e-28,1.61187e-28,1.70726e-28,2.24017e-28,7.42261e-30,3.51885e-30,3.44826e-28
141,1.07405,1.00941e-27,1.21614e-28,2.53135e-28,2.38075e-28,4.64817e-30,1.5291e-30,3.36286e-28
142,1.07535,9.56074e-28,1.42751e-28,1.67252e-28,2.1592e-28,4.40683e-30,6.45436e-31,3.41949e-28
143,1.07661,1.00877e-27,1.14671e-28,2.24304e-28,2.06343e-28,6.71878e-30,2.05658e-30,3.6688e-28
144,1.07783,1.04518e-27,1.19491e-28,1.51443e-28,2.2635e-28,4.75994e-30,4.21438e-30,3.75513e-28
145,1.07901,1.01595e-27,1.12401e-28,1.84256e-28,2.47376e-28,5.05548e-30,2.97142e-30,4.0421e-28
146,1.08014,9.19672e-28,1.35457e-28,1.3988e-28,2.11493e-28,5.93626e-30,8.99351e-31,3.50298e-28
147,1.08124,9.44303e-28,1.05806e-28,1.71961e-28,2.2193e-28,7.62097e-30,3.59003e-30,3.95839e-28
148,1.08229,9.11791e-28,8.17827e-29,1.73577e-28,2.18813e-28,7.18412e-30,7.09406e-30,3.94113e-28
149,1.08331,9.30535e-28,9.31987e-29,1.67193e-28,2.28772e-28,6.10338e-30,6.63329e-30,3.99443e-28
150,1.08428,8.19653e-28,1.38692e-28,1.55397e-28,2.27539e-28,5.10038e-30,5.84966e-30,4.29698e-28
151,1.08522,7.91867e-28,1.3447e-28,1.35966e-28,2.18787e-28,1.06557e-29,8.93522e-30,3.98833e-28
152,1.08612,7.27606e-28,1.31734e-28,1.48077e-28,2.07987e-28,1.69861e-29,6.99708e-30,3.94486e-28
153,1.08698,7.66641e-28,1.27296e-28,1.34589e-28,1.88875e-28,1.21023e-29,1.49133e-29,4.01942e-28
154,1.08781,6.33832e-28,1.55755e-28,1.30396e-28,1.85772e-28,1.30929e-29,8.32909e-30,4.11719e-28
155,1.0886,6.42544e-28,1.61517e-28,1.48247e-28,1.71524e-28,1.52438e-29,1.58241e-29,3.92952e-28
156,1.08936,6.06388e-28,1.44762e-28,1.46558e-28,1.74688e-28,2.91152e-29,1.36632e-29,3.65757e-28
