E,T,R0,R,N_R0,E/V0
0.0505091,0.126295,0.799138,0.799138,0.863529,0.000505091
0.0511567,0.123185,0.810305,0.810305,0.868038,0.000511567
0.0518083,0.120151,0.820832,0.820832,0.872313,0.000518083
0.0524641,0.117191,0.8307,0.8307,0.876367,0.000524641
0.053124,0.114302,0.839897,0.839897,0.880211,0.00053124
0.0537881,0.111484,0.84841,0.84841,0.883858,0.000537881
0.0544563,0.108735,0.856226,0.856226,0.887317,0.000544563
0.0551286,0.106052,0.863337,0.863337,0.890599,0.000551286
0.055805,0.103436,0.869734,0.869734,0.893713,0.00055805
0.0564855,0.100883,0.87541,0.87541,0.896668,0.000564855
0.0571702,0.0983925,0.880362,0.880362,0.899472,0.000571702
0.057859,0.0959634,0.884587,0.884587,0.902133,0.00057859
0.0585519,0.0935938,0.888083,0.888083,0.904659,0.000585519
0.0592489,0.0912825,0.890851,0.890851,0.907057,0.000592489
0.0599501,0.089028,0.892894,0.892894,0.909333,0.000599501
0.0606554,0.0868291,0.894215,0.894215,0.911493,0.000606554
0.0613648,0.0846844,0.894821,0.894821,0.913544,0.000613648
0.0620783,0.0825926,0.894719,0.894719,0.91549,0.000620783
0.062796,0.0805524,0.893919,0.893919,0.917337,0.00062796
0.0635178,0.0785627,0.892432,0.892432,0.919091,0.000635178
0.0642437,0.0766222,0.890271,0.890271,0.920754,0.000642437
0.0649737,0.0747297,0.887451,0.887451,0.922333,0.000649737
0.0657079,0.0728841,0.883988,0.883988,0.923831,0.000657079
0.0664462,0.0710843,0.879899,0.879899,0.925252,0.000664462
0.0671886,0.0693291,0.875205,0.875205,0.9266,0.000671886
0.0679351,0.0676175,0.869926,0.869926,0.927878,0.000679351
0.0686858,0.0659485,0.864085,0.864085,0.92909,0.000686858
0.0694406,0.0643209,0.857705,0.857705,0.93024,0.000694406
0.0701995,0.0627338,0.850812,0.850812,0.931329,0.000701995
0.0709625,0.0611863,0.843433,0.843433,0.932362,0.000709625
0.0717297,0.0596772,0.835596,0.835596,0.933342,0.000717297
0.0725009,0.0582058,0.827329,0.827329,0.93427,0.000725009
0.0732763,0.056771,0.818664,0.818664,0.935151,0.000732763
0.0740559,0.0553721,0.809631,0.809631,0.935986,0.000740559
0.0748395,0.054008,0.800262,0.800262,0.936779,0.000748395
0.0756273,0.052678,0.790592,0.790592,0.937531,0.000756273
0.0764192,0.0513812,0.780653,0.780653,0.938246,0.000764192
0.0772152,0.0501168,0.770482,0.770482,0.938926,0.000772152
0.0780154,0.048884,0.760112,0.760112,0.939574,0.000780154
0.0788197,0.047682,0.74958,0.74958,0.940193,0.000788197
0.0796281,0.04651,0.738923,0.738923,0.940784,0.000796281
0.0804406,0.0453674,0.728177,0.728177,0.941351,0.000804406
0.0812572,0.0442533,0.71738,0.71738,0.941897,0.000812572
0.082078,0.0431672,0.706568,0.706568,0.942423,0.00082078
0.0829029,0.0421081,0.695778,0.695778,0.942934,0.000829029
0.0837319,0.0410757,0.685049,0.685049,0.943432,0.000837319
0.0845651,0.040069,0.674417,0.674417,0.943919,0.000845651
0.0854024,0.0390876,0.663919,0.663919,0.944399,0.000854024
0.0862438,0.0381307,0.653592,0.653592,0.944876,0.000862438
0.0870893,0.0371978,0.643471,0.643471,0.945351,0.000870893
0.0879389,0.0362882,0.633593,0.633593,0.945829,0.000879389
0.0887927,0.0354014,0.623992,0.623992,0.946312,0.000887927
0.0896506,0.0345368,0.614703,0.614703,0.946804,0.000896506
0.0905126,0.0336939,0.605758,0.605758,0.947308,0.000905126
0.0913788,0.0328721,0.59719,0.59719,0.947827,0.000913788
0.092249,0.0320708,0.589032,0.589032,0.948365,0.00092249
0.0931234,0.0312896,0.581312,0.581312,0.948923,0.000931234
0.0940019,0.030528,0.57406,0.57406,0.949506,0.000940019
0.0948846,0.0297854,0.567304,0.567304,0.950116,0.000948846
0.0957714,0.0290614,0.561071,0.561071,0.950754,0.000957714
