t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_L0,Norm_L1
108,0.999967,49.9208,1.65001E-05,0.000823726,1.65001E-05,0.000823726,0.999967,3.30002E-05
109,0.998816,50.3207,0.000591988,0.0298246,0.000591988,0.0298246,0.998816,0.001183976
110,0.996025,50.6361,0.00198728,0.10103,0.00198728,0.10103,0.996025,0.00397456
111,0.991605,50.8652,0.00419765,0.215322,0.00419765,0.215322,0.991605,0.0083953
112,0.985569,51.0065,0.0072156,0.373432,0.0072156,0.373432,0.985569,0.0144312
113,0.977938,51.059,0.0110309,0.575933,0.0110309,0.575933,0.977938,0.0220618
114,0.968739,51.0217,0.0156306,0.823238,0.0156306,0.823238,0.968739,0.0312612
115,0.958002,50.8943,0.0209992,1.11559,0.0209992,1.11559,0.958002,0.0419984
116,0.945763,50.6764,0.0271184,1.45307,0.0271184,1.45307,0.945763,0.0542368
117,0.932065,50.3684,0.0339674,1.83558,0.0339674,1.83558,0.932065,0.0679348
118,0.916954,49.9707,0.0415231,2.26286,0.0415231,2.26286,0.916954,0.0830462
119,0.90048,49.4843,0.0497599,2.73447,0.0497599,2.73447,0.90048,0.0995198
120,0.8827,48.9103,0.0586498,3.24978,0.0586498,3.24978,0.8827,0.1172996
121,0.863675,48.2504,0.0681627,3.808,0.0681627,3.808,0.863675,0.1363254
122,0.843467,47.5064,0.0782663,4.40818,0.0782663,4.40818,0.843467,0.1565326
123,0.822147,46.6808,0.0889265,5.04916,0.0889265,5.04916,0.822147,0.177853
124,0.799786,45.776,0.100107,5.72965,0.100107,5.72965,0.799786,0.200214
125,0.77646,44.795,0.11177,6.44815,0.11177,6.44815,0.77646,0.22354
126,0.752249,43.7412,0.123876,7.20303,0.123876,7.20303,0.752249,0.247752
127,0.727233,42.6181,0.136383,7.99248,0.136383,7.99248,0.727233,0.272766
128,0.701499,41.4296,0.149251,8.81455,0.149251,8.81455,0.701499,0.298502
129,0.675133,40.18,0.162434,9.66712,0.162434,9.66712,0.675133,0.324868
130,0.648224,38.8738,0.175888,10.5479,0.175888,10.5479,0.648224,0.351776
131,0.620865,37.5157,0.189568,11.4546,0.189568,11.4546,0.620865,0.379136
132,0.593147,36.1108,0.203427,12.3846,0.203427,12.3846,0.593147,0.406854
133,0.565164,34.6644,0.217418,13.3354,0.217418,13.3354,0.565164,0.434836
134,0.537012,33.182,0.231494,14.304,0.231494,14.304,0.537012,0.462988
135,0.508786,31.6693,0.245607,15.2877,0.245607,15.2877,0.508786,0.491214
136,0.480582,30.1322,0.259709,16.2836,0.259709,16.2836,0.480582,0.519418
137,0.452495,28.5768,0.273753,17.2885,0.273753,17.2885,0.452495,0.547506
138,0.42462,27.0093,0.28769,18.2995,0.28769,18.2995,0.42462,0.57538
139,0.397052,25.4361,0.301474,19.3132,0.301474,19.3132,0.397052,0.602948
140,0.369884,23.8637,0.315058,20.3264,0.315058,20.3264,0.369884,0.630116
141,0.343209,22.2985,0.328395,21.336,0.328395,21.336,0.343209,0.65679
142,0.317117,20.7472,0.341441,22.3386,0.341441,22.3386,0.317117,0.682882
143,0.291696,19.2164,0.354152,23.3308,0.354152,23.3308,0.291696,0.708304
144,0.267033,17.7127,0.366484,24.3094,0.366484,24.3094,0.267033,0.732968
145,0.243211,16.2428,0.378395,25.2711,0.378395,25.2711,0.243211,0.75679
146,0.22031,14.8133,0.389845,26.2124,0.389845,26.2124,0.22031,0.77969
147,0.198409,13.4306,0.400795,27.1303,0.400795,27.1303,0.198409,0.80159
148,0.177582,12.1012,0.411209,28.0215,0.411209,28.0215,0.177582,0.822418
149,0.157899,10.8314,0.42105,28.8828,0.42105,28.8828,0.157899,0.8421
150,0.139428,9.62744,0.430286,29.7111,0.430286,29.7111,0.139428,0.860572
151,0.12223,8.49523,0.438885,30.5035,0.438885,30.5035,0.12223,0.87777
152,0.106364,7.44062,0.446818,31.2569,0.446818,31.2569,0.106364,0.893636
153,0.0918835,6.46921,0.454058,31.9688,0.454058,31.9688,0.0918835,0.908116
154,0.0788381,5.58637,0.460581,32.6362,0.460581,32.6362,0.0788381,0.921162
155,0.0672718,4.7972,0.466364,33.2567,0.466364,33.2567,0.0672718,0.932728
156,0.0572239,4.10652,0.471388,33.828,0.471388,33.828,0.0572239,0.942776
157,0.0487283,3.51886,0.475636,34.3476,0.475636,34.3476,0.0487283,0.951272
158,0.0418138,3.03842,0.479093,34.8135,0.479093,34.8135,0.0418138,0.958186
159,0.036504,2.66905,0.481748,35.2239,0.481748,35.2239,0.036504,0.963496
160,0.0328168,2.41426,0.483592,35.5768,0.483592,35.5768,0.0328168,0.967184
161,0.0307646,2.27716,0.484618,35.8708,0.484618,35.8708,0.0307646,0.969236
162,0.0303546,2.2605,0.484823,36.1046,0.484823,36.1046,0.0303546,0.969646
163,0.031588,2.36658,0.484206,36.2769,0.484206,36.2769,0.031588,0.968412
164,0.0344606,2.59733,0.48277,36.3867,0.48277,36.3867,0.0344606,0.96554
165,0.0389628,2.95421,0.480519,36.4335,0.480519,36.4335,0.0389628,0.961038
166,0.0450793,3.43826,0.47746,36.4165,0.47746,36.4165,0.0450793,0.95492
167,0.0527893,4.05006,0.473605,36.3356,0.473605,36.3356,0.0527893,0.94721
168,0.0620667,4.78976,0.468967,36.1907,0.468967,36.1907,0.0620667,0.937934
169,0.07288,5.65701,0.46356,35.9819,0.46356,35.9819,0.07288,0.92712
170,0.0851927,6.65102,0.457404,35.7097,0.457404,35.7097,0.0851927,0.914808
171,0.0989629,7.77053,0.450519,35.3746,0.450519,35.3746,0.0989629,0.901038
172,0.114144,9.01381,0.442928,34.9775,0.442928,34.9775,0.114144,0.885856
173,0.130684,10.3787,0.434658,34.5196,0.434658,34.5196,0.130684,0.869316
174,0.148528,11.8625,0.425736,34.0021,0.425736,34.0021,0.148528,0.851472
175,0.167615,13.462,0.416193,33.4266,0.416193,33.4266,0.167615,0.832386
176,0.18788,15.1739,0.40606,32.795,0.40606,32.795,0.18788,0.81212
177,0.209254,16.994,0.395373,32.1091,0.395373,32.1091,0.209254,0.790746
178,0.231665,18.9178,0.384167,31.3712,0.384167,31.3712,0.231665,0.768334
179,0.255037,20.9407,0.372481,30.5838,0.372481,30.5838,0.255037,0.744962
180,0.279291,23.0572,0.360354,29.7494,0.360354,29.7494,0.279291,0.720708
181,0.304345,25.2617,0.347828,28.8709,0.347828,28.8709,0.304345,0.695656
182,0.330113,27.5483,0.334943,27.9514,0.334943,27.9514,0.330113,0.669886
183,0.356509,29.9105,0.321746,26.9939,0.321746,26.9939,0.356509,0.643492
184,0.383442,32.3415,0.308279,26.0019,0.308279,26.0019,0.383442,0.616558
185,0.410822,34.8345,0.294589,24.9789,0.294589,24.9789,0.410822,0.589178
186,0.438555,37.382,0.280722,23.9285,0.280722,23.9285,0.438555,0.561444
187,0.466548,39.9764,0.266726,22.8545,0.266726,22.8545,0.466548,0.533452
188,0.494706,42.6099,0.252647,21.761,0.252647,21.761,0.494706,0.505294
189,0.522933,45.2745,0.238533,20.6517,0.238533,20.6517,0.522933,0.477066
190,0.551134,47.9619,0.224433,19.531,0.224433,19.531,0.551134,0.448866
191,0.579213,50.6636,0.210394,18.4031,0.210394,18.4031,0.579213,0.420788
192,0.607074,53.3712,0.196463,17.2721,0.196463,17.2721,0.607074,0.392926
193,0.634625,56.0759,0.182688,16.1424,0.182688,16.1424,0.634625,0.365376
194,0.66177,58.7691,0.169115,15.0184,0.169115,15.0184,0.66177,0.33823
195,0.688418,61.442,0.155791,13.9045,0.155791,13.9045,0.688418,0.311582
196,0.714478,64.0857,0.142761,12.8051,0.142761,12.8051,0.714478,0.285522
197,0.739863,66.6916,0.130068,11.7244,0.130068,11.7244,0.739863,0.260136
198,0.764486,69.2509,0.117757,10.667,0.117757,10.667,0.764486,0.235514
199,0.788264,71.755,0.105868,9.63707,0.105868,9.63707,0.788264,0.211736
200,0.811116,74.1954,0.0944419,8.63891,0.0944419,8.63891,0.811116,0.1888838
201,0.832965,76.5637,0.0835175,7.67669,0.0835175,7.67669,0.832965,0.167035
202,0.853736,78.8517,0.0731318,6.75451,0.0731318,6.75451,0.853736,0.1462636
203,0.87336,81.0515,0.0633201,5.87637,0.0633201,5.87637,0.87336,0.1266402
204,0.891769,83.1552,0.0541154,5.04613,0.0541154,5.04613,0.891769,0.1082308
205,0.908902,85.1555,0.0455492,4.26753,0.0455492,4.26753,0.908902,0.0910984
206,0.924699,87.0451,0.0376503,3.54415,0.0376503,3.54415,0.924699,0.0753006
207,0.939109,88.8172,0.0304456,2.87943,0.0304456,2.87943,0.939109,0.0608912
208,0.952081,90.4653,0.0239596,2.2766,0.0239596,2.2766,0.952081,0.0479192
209,0.963572,91.9833,0.0182141,1.73873,0.0182141,1.73873,0.963572,0.0364282
210,0.973543,93.3655,0.0132287,1.26867,0.0132287,1.26867,0.973543,0.0264574
211,0.98196,94.6066,0.0090202,0.869049,0.0090202,0.869049,0.98196,0.0180404
212,0.988794,95.7018,0.00560299,0.542293,0.00560299,0.542293,0.988794,0.01120598
213,0.994023,96.6466,0.00298859,0.290574,0.00298859,0.290574,0.994023,0.00597718
214,0.997628,97.4374,0.00118588,0.115824,0.00118588,0.115824,0.997628,0.00237176
215,0.999598,98.0706,0.000200958,0.019716,0.000200958,0.019716,0.999598,0.000401916
216,0.999926,98.5435,3.71693E-05,0.00366306,3.71693E-05,0.00366306,0.999926,7.43386E-05
217,0.99861,98.8538,0.000695067,0.0688057,0.000695067,0.0688057,0.99861,0.001390134
218,0.995655,98.9998,0.00217242,0.216008,0.00217242,0.216008,0.995655,0.00434484
219,0.991072,98.9802,0.00446423,0.445851,0.00446423,0.445851,0.991072,0.00892846
220,0.984875,98.7946,0.00756271,0.75863,0.00756271,0.75863,0.984875,0.01512542
221,0.977085,98.4429,0.0114574,1.15435,0.0114574,1.15435,0.977085,0.0229148
222,0.96773,97.9257,0.016135,1.63272,0.016135,1.63272,0.96773,0.03227
223,0.956841,97.2441,0.0215797,2.19316,0.0215797,2.19316,0.956841,0.0431594
224,0.944454,96.3999,0.0277732,2.83479,0.0277732,2.83479,0.944454,0.0555464
225,0.930612,95.3955,0.0346942,3.55645,0.0346942,3.55645,0.930612,0.0693884
226,0.915361,94.2337,0.0423195,4.35667,0.0423195,4.35667,0.915361,0.084639
227,0.898754,92.9181,0.0506231,5.23369,0.0506231,5.23369,0.898754,0.1012462
228,0.880846,91.4527,0.0595769,6.18549,0.0595769,6.18549,0.880846,0.1191538
229,0.861699,89.8421,0.0691506,7.20975,0.0691506,7.20975,0.861699,0.1383012
230,0.841377,88.0916,0.0793117,8.30388,0.0793117,8.30388,0.841377,0.1586234
231,0.819949,86.2069,0.0900257,9.46502,0.0900257,9.46502,0.819949,0.1800514
232,0.797487,84.1941,0.101256,10.6901,0.101256,10.6901,0.797487,0.202512
233,0.774069,82.06,0.112966,11.9756,0.112966,11.9756,0.774069,0.225932
234,0.749773,79.8119,0.125114,13.3181,0.125114,13.3181,0.749773,0.250228
235,0.724681,77.4574,0.137659,14.7137,0.137659,14.7137,0.724681,0.275318
236,0.69888,75.0046,0.15056,16.1583,0.15056,16.1583,0.69888,0.30112
237,0.672455,72.4619,0.163773,17.6477,0.163773,17.6477,0.672455,0.327546
238,0.645497,69.8384,0.177251,19.1774,0.177251,19.1774,0.645497,0.354502
239,0.618097,67.1433,0.190951,20.7428,0.190951,20.7428,0.618097,0.381902
240,0.590349,64.386,0.204826,22.3392,0.204826,22.3392,0.590349,0.409652
241,0.562345,61.5766,0.218828,23.9615,0.218828,23.9615,0.562345,0.437656
242,0.534181,58.725,0.232909,25.6048,0.232909,25.6048,0.534181,0.465818
243,0.505953,55.8417,0.247023,27.2638,0.247023,27.2638,0.505953,0.494046
244,0.477756,52.9373,0.261122,28.9333,0.261122,28.9333,0.477756,0.522244
245,0.449686,50.0223,0.275157,30.608,0.275157,30.608,0.449686,0.550314
246,0.421838,47.1076,0.289081,32.2823,0.289081,32.2823,0.421838,0.578162
247,0.394306,44.2041,0.302847,33.951,0.302847,33.951,0.394306,0.605694
248,0.367184,41.3227,0.316408,35.6084,0.316408,35.6084,0.367184,0.632816
249,0.340563,38.4744,0.329719,37.2493,0.329719,37.2493,0.340563,0.659438
250,0.314534,35.6701,0.342733,38.868,0.342733,38.868,0.314534,0.685466
251,0.289185,32.9205,0.355407,40.4591,0.355407,40.4591,0.289185,0.710814
252,0.264603,30.2365,0.367699,42.0174,0.367699,42.0174,0.264603,0.735398
253,0.240869,27.6286,0.379565,43.5376,0.379565,43.5376,0.240869,0.75913
254,0.218066,25.1072,0.390967,45.0143,0.390967,45.0143,0.218066,0.781934
255,0.196269,22.6824,0.401865,46.4426,0.401865,46.4426,0.196269,0.80373
256,0.175554,20.3641,0.412223,47.8176,0.412223,47.8176,0.175554,0.824446
257,0.15599,18.162,0.422005,49.1343,0.422005,49.1343,0.15599,0.84401
258,0.137643,16.0852,0.431178,50.3883,0.431178,50.3883,0.137643,0.862356
259,0.120576,14.1427,0.439712,51.575,0.439712,51.575,0.120576,0.879424
260,0.104847,12.3429,0.447576,52.6901,0.447576,52.6901,0.104847,0.895152
261,0.0905087,10.6939,0.454746,53.7298,0.454746,53.7298,0.0905087,0.909492
262,0.0776098,9.20326,0.461195,54.6902,0.461195,54.6902,0.0776098,0.92239
263,0.0661943,7.87801,0.466903,55.5677,0.466903,55.5677,0.0661943,0.933806
264,0.0563006,6.72472,0.47185,56.3592,0.47185,56.3592,0.0563006,0.9437
265,0.0479625,5.74938,0.476019,57.0615,0.476019,57.0615,0.0479625,0.952038
266,0.0412082,4.9574,0.479396,57.672,0.479396,57.672,0.0412082,0.958792
267,0.0360604,4.35359,0.48197,58.1884,0.48197,58.1884,0.0360604,0.96394
268,0.0325368,3.94213,0.483732,58.6084,0.483732,58.6084,0.0325368,0.967464
269,0.0306493,3.72656,0.484675,58.9303,0.484675,58.9303,0.0306493,0.96935
270,0.0304042,3.70977,0.484798,59.1527,0.484798,59.1527,0.0304042,0.969596
271,0.0318024,3.89398,0.484099,59.2745,0.484099,59.2745,0.0318024,0.968198
272,0.0348391,4.2807,0.48258,59.2949,0.48258,59.2949,0.0348391,0.96516
273,0.0395041,4.87077,0.480248,59.2135,0.480248,59.2135,0.0395041,0.960496
274,0.0457815,5.66431,0.477109,59.0302,0.477109,59.0302,0.0457815,0.954218
275,0.0536501,6.66073,0.473175,58.7453,0.473175,58.7453,0.0536501,0.94635
276,0.0630832,7.85876,0.468458,58.3595,0.468458,58.3595,0.0630832,0.936916
277,0.0740487,9.25639,0.462976,57.8738,0.462976,57.8738,0.0740487,0.925952
278,0.0865096,10.8509,0.456745,57.2895,0.456745,57.2895,0.0865096,0.91349
279,0.100424,12.6389,0.449788,56.6084,0.449788,56.6084,0.100424,0.899576
280,0.115743,14.6162,0.442128,55.8324,0.442128,55.8324,0.115743,0.884256
281,0.132417,16.7781,0.433791,54.964,0.433791,54.964,0.132417,0.867582
282,0.150389,19.119,0.424806,54.0059,0.424806,54.0059,0.150389,0.849612
283,0.169597,21.633,0.415202,52.9612,0.415202,52.9612,0.169597,0.830404
284,0.189976,24.3131,0.405012,51.8333,0.405012,51.8333,0.189976,0.810024
285,0.211457,27.1519,0.394271,50.6259,0.394271,50.6259,0.211457,0.788542
286,0.233969,30.1416,0.383016,49.3429,0.383016,49.3429,0.233969,0.766032
287,0.257433,33.2734,0.371284,47.9887,0.371284,47.9887,0.257433,0.742568
288,0.281771,36.5384,0.359115,46.5678,0.359115,46.5678,0.281771,0.71823
289,0.3069,39.9268,0.34655,45.0851,0.34655,45.0851,0.3069,0.6931
290,0.332735,43.4285,0.333632,43.5456,0.333632,43.5456,0.332735,0.667264
291,0.359189,47.0329,0.320406,41.9545,0.320406,41.9545,0.359189,0.640812
292,0.386171,50.729,0.306914,40.3175,0.306914,40.3175,0.386171,0.613828
293,0.413591,54.5053,0.293205,38.6402,0.293205,38.6402,0.413591,0.58641
294,0.441354,58.3502,0.279323,36.9285,0.279323,36.9285,0.441354,0.558646
