t,T+R,N_0,N_1,N_2
153,1.06607,4.33547e-28,1.75611e-27,1.45598e-27
154,1.0669,3.93381e-28,1.88711e-27,1.54402e-27
155,1.06777,4.01444e-28,1.74727e-27,1.53276e-27
156,1.06868,3.81362e-28,1.78985e-27,1.64081e-27
157,1.06963,3.59663e-28,1.88409e-27,1.43356e-27
158,1.07062,3.30624e-28,1.80058e-27,1.66455e-27
159,1.07165,3.31137e-28,1.75857e-27,1.49903e-27
160,1.07273,3.25815e-28,1.82145e-27,1.57314e-27
161,1.07384,2.86334e-28,1.81065e-27,1.57334e-27
162,1.07498,2.88528e-28,1.80118e-27,1.32867e-27
163,1.07617,2.82132e-28,1.79773e-27,1.6203e-27
164,1.07739,2.69397e-28,1.50485e-27,1.45108e-27
165,1.07864,2.53788e-28,1.49906e-27,1.24032e-27
166,1.07992,2.68817e-28,1.66767e-27,1.32323e-27
167,1.08124,2.95805e-28,1.41246e-27,1.21694e-27
168,1.08258,2.57627e-28,1.52293e-27,1.16289e-27
169,1.08395,2.69736e-28,1.34436e-27,1.09573e-27
170,1.08534,2.84277e-28,1.27261e-27,9.62829e-28
171,1.08676,3.03977e-28,1.17362e-27,1.04351e-27
172,1.0882,3.36022e-28,1.23554e-27,9.60745e-28
173,1.08965,3.55032e-28,1.25505e-27,1.04633e-27
174,1.09112,3.47179e-28,1.46117e-27,1.05134e-27
175,1.09261,4.29146e-28,1.03143e-27,8.64063e-28
176,1.0941,4.38106e-28,1.30997e-27,1.03478e-27
177,1.09561,4.7394e-28,1.25083e-27,8.9571e-28
178,1.09712,4.53557e-28,1.24883e-27,9.33865e-28
179,1.09863,4.99182e-28,1.30477e-27,8.98004e-28
180,1.10014,5.22993e-28,1.4167e-27,8.8838e-28
181,1.10166,5.76657e-28,1.31365e-27,1.01648e-27
182,1.10317,6.31245e-28,1.32471e-27,8.45347e-28
183,1.10467,5.62341e-28,1.54881e-27,9.24963e-28
184,1.10617,5.18212e-28,1.55781e-27,1.03725e-27
185,1.10765,5.31437e-28,1.68363e-27,1.00051e-27
186,1.10913,5.41772e-28,1.43988e-27,9.73447e-28
187,1.11058,5.78921e-28,1.73533e-27,9.98494e-28
188,1.11203,4.57932e-28,1.75456e-27,9.97568e-28
189,1.11345,4.10886e-28,1.54123e-27,8.33791e-28
190,1.11485,5.7139e-28,1.29816e-27,6.01591e-28
191,1.11623,6.39053e-28,1.43659e-27,7.35588e-28
192,1.11759,5.90649e-28,1.2891e-27,8.61378e-28
193,1.11892,4.37018e-28,1.77926e-27,8.2762e-28
194,1.12022,3.9671e-28,1.49653e-27,7.57152e-28
195,1.12149,5.93658e-28,1.13748e-27,4.55605e-28
196,1.12274,7.49102e-28,9.92141e-28,5.26766e-28
197,1.12395,6.70725e-28,1.31872e-27,6.50898e-28
198,1.12514,3.77909e-28,1.29947e-27,5.67987e-28
199,1.12629,4.85618e-28,9.74667e-28,2.80162e-28
200,1.12741,7.88852e-28,6.96925e-28,2.32844e-28
201,1.12849,7.32773e-28,8.65029e-28,2.92988e-28
202,1.12955,7.13203e-28,7.82943e-28,4.65347e-28
203,1.13057,5.06715e-28,8.42122e-28,2.74558e-28
204,1.13155,5.68051e-28,6.39631e-28,2.99587e-28
205,1.13251,8.44879e-28,5.3985e-28,1.63306e-28
206,1.13343,8.89097e-28,5.97354e-28,2.77632e-28
207,1.13431,9.32804e-28,5.32344e-28,2.54599e-28
208,1.13517,7.36339e-28,5.17925e-28,2.24618e-28
209,1.136,9.13722e-28,4.46431e-28,1.56407e-28
210,1.13679,1.06015e-27,4.27766e-28,1.4445e-28
211,1.13756,1.20403e-27,3.24256e-28,1.05809e-28
212,1.13829,1.07978e-27,3.4814e-28,1.07598e-28
213,1.139,8.61655e-28,3.03088e-28,9.78217e-29
214,1.13968,1.06857e-27,2.98655e-28,4.33346e-29
215,1.14034,1.22639e-27,2.62265e-28,3.57089e-29
216,1.14098,1.0331e-27,2.12697e-28,5.59855e-29
217,1.14159,7.64264e-28,2.28013e-28,3.29549e-29
218,1.14219,8.06976e-28,1.90612e-28,9.58693e-30
219,1.14276,8.59809e-28,1.62127e-28,1.40074e-29
220,1.14332,6.04511e-28,1.35303e-28,8.4735e-30
221,1.14386,3.94614e-28,1.05931e-28,-6.43882e-30
222,1.14439,2.76884e-28,1.04611e-28,-1.70542e-30
223,1.1449,3.91878e-28,7.8044e-29,-1.71097e-30
224,1.14541,4.28746e-28,4.63319e-29,-2.39533e-31
225,1.1459,3.05756e-28,2.12351e-29,2.24993e-29
226,1.14639,1.30638e-28,1.40298e-29,2.2548e-29
227,1.14687,1.65961e-28,2.20433e-29,2.53854e-29
228,1.14735,2.82308e-28,8.70482e-30,3.94151e-29
229,1.14783,3.28449e-28,-1.63432e-29,6.03467e-29
230,1.1483,2.14332e-28,2.61756e-30,1.17532e-28
231,1.14877,2.18493e-28,1.0765e-29,1.14016e-28
232,1.14925,3.43109e-28,-1.28918e-29,1.36855e-28
233,1.14972,3.85769e-28,-2.00555e-29,1.49839e-28
234,1.1502,3.34178e-28,-2.81144e-29,2.05742e-28
235,1.15069,2.65466e-28,-5.18973e-30,2.40247e-28
236,1.15118,3.62598e-28,-8.78353e-30,1.56722e-28
237,1.15167,4.8321e-28,-1.92162e-29,1.99569e-28
238,1.15217,3.58621e-28,-8.20599e-30,2.41144e-28
239,1.15267,3.36326e-28,1.0794e-29,2.29237e-28
240,1.15319,4.77314e-28,5.83893e-30,1.75235e-28
241,1.1537,5.42942e-28,-7.20581e-30,1.85726e-28
