t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
139,0.232289,14.881,0.504426,32.3148,0.263285,16.8667
140,0.232657,15.0102,0.499546,32.229,0.267797,17.2773
141,0.234572,15.2403,0.493634,32.0717,0.271794,17.6586
142,0.238021,15.5723,0.486717,31.8431,0.275262,18.0089
143,0.24298,16.007,0.478827,31.5442,0.278193,18.3268
144,0.24942,16.5444,0.470002,31.176,0.280578,18.6111
145,0.257307,17.1842,0.460283,30.7399,0.28241,18.8607
146,0.266598,17.9255,0.449715,30.238,0.283688,19.0746
147,0.277242,18.7669,0.438348,29.6723,0.284409,19.252
148,0.289187,19.7064,0.426236,29.0455,0.284577,19.3923
149,0.302369,20.7416,0.413436,28.3605,0.284195,19.4949
150,0.316722,21.8696,0.400009,27.6205,0.283269,19.5596
151,0.332174,23.0868,0.386018,26.8291,0.281807,19.5862
152,0.348647,24.3895,0.371531,25.9902,0.279822,19.5748
153,0.36606,25.7731,0.356615,25.1081,0.277325,19.5256
154,0.384325,27.2328,0.341343,24.1872,0.274332,19.4388
155,0.403353,28.7633,0.325788,23.2322,0.270859,19.3152
156,0.423049,30.359,0.310025,22.2481,0.266926,19.1553
157,0.443317,32.0137,0.29413,21.2403,0.262553,18.96
158,0.464058,33.721,0.27818,20.2141,0.257763,18.7304
159,0.48517,35.474,0.262252,19.175,0.252578,18.4677
160,0.50655,37.2658,0.246426,18.129,0.247024,18.1731
161,0.528094,39.0889,0.230778,17.0819,0.241129,17.8481
162,0.549697,40.9357,0.215385,16.0397,0.234918,17.4943
163,0.571254,42.7985,0.200324,15.0084,0.228422,17.1134
164,0.59266,44.6693,0.185671,13.9942,0.221669,16.7074
165,0.613812,46.5399,0.171498,13.0032,0.214689,16.278
166,0.634607,48.4023,0.157878,12.0416,0.207514,15.8274
167,0.654945,50.2482,0.14488,11.1154,0.200175,15.3577
168,0.674726,52.0694,0.132571,10.2307,0.192703,14.8711
169,0.693855,53.8576,0.121015,9.39327,0.18513,14.3699
170,0.71224,55.6048,0.110273,8.60902,0.177487,13.8565
171,0.729792,57.303,0.100402,7.88351,0.169806,13.3331
172,0.746425,58.9443,0.0914561,7.22218,0.162119,12.8023
173,0.762059,60.5211,0.0834853,6.63022,0.154455,12.2665
174,0.776619,62.026,0.076535,6.11259,0.146846,11.7281
175,0.790033,63.4518,0.0706461,5.67397,0.139321,11.1896
176,0.802237,64.7917,0.0658552,5.31872,0.131908,10.6534
177,0.813171,66.0394,0.0621939,5.0509,0.124635,10.1219
178,0.822782,67.1886,0.0596888,4.8742,0.117529,9.59746
179,0.831023,68.2338,0.0583614,4.79195,0.110616,9.08248
180,0.837853,69.1698,0.058228,4.80707,0.10392,8.57918
181,0.843238,69.9918,0.0592995,4.92207,0.0974629,8.08977
182,0.847151,70.6956,0.0615815,5.13904,0.0912675,7.61637
183,0.849573,71.2777,0.0650741,5.45961,0.0853532,7.16099
184,0.850489,71.7349,0.069772,5.88495,0.0797385,6.72557
185,0.849896,72.0646,0.0756645,6.41576,0.0744399,6.31193
186,0.847792,72.2649,0.0827352,7.05227,0.0694724,5.92176
187,0.844188,72.3347,0.0909628,7.79419,0.0648493,5.55665
188,0.839098,72.273,0.10032,8.64077,0.0605819,5.21803
189,0.832544,72.08,0.110776,9.59075,0.0566798,4.90722
190,0.824557,71.7562,0.122292,10.6424,0.0531506,4.62538
191,0.815172,71.3029,0.134828,11.7933,0.0500003,4.37351
192,0.804432,70.7219,0.148336,13.041,0.0472328,4.15249
193,0.792385,70.0158,0.162765,14.382,0.0448503,3.96301
194,0.779088,69.1876,0.178059,15.8127,0.0428531,3.80561
195,0.7646,68.2413,0.19416,17.329,0.0412398,3.68069
196,0.748989,67.1812,0.211004,18.9262,0.040007,3.58846
197,0.732326,66.0123,0.228524,20.5992,0.0391499,3.52899
198,0.714689,64.7401,0.246649,22.3427,0.0386617,3.50216
199,0.696158,63.3707,0.265307,24.1507,0.0385342,3.50773
200,0.67682,61.9109,0.284423,26.0171,0.0387575,3.54528
201,0.656762,60.3677,0.303917,27.9352,0.0393205,3.61423
202,0.636079,58.7488,0.32371,29.8981,0.0402104,3.71386
203,0.614865,57.0621,0.343721,31.8988,0.0414132,3.84332
204,0.593219,55.3162,0.363867,33.9297,0.0429137,4.00159
205,0.571241,53.5199,0.384064,35.9831,0.0446955,4.18755
206,0.549031,51.6822,0.404227,38.0513,0.0467413,4.39992
207,0.526694,49.8126,0.424274,40.1261,0.0490328,4.63733
208,0.504331,47.9208,0.444119,42.1995,0.0515509,4.89829
209,0.482046,46.0165,0.463679,44.2631,0.0542757,5.18121
210,0.459941,44.1097,0.482872,46.3088,0.057187,5.48439
211,0.43812,42.2105,0.501617,48.3281,0.0602637,5.80609
212,0.416681,40.3291,0.519834,50.3128,0.0634848,6.14446
213,0.395725,38.4754,0.537446,52.2547,0.0668287,6.4976
214,0.375347,36.6597,0.55438,54.1457,0.0702737,6.86357
215,0.35564,34.8919,0.570561,55.9778,0.0737984,7.24036
216,0.336696,33.1817,0.585923,57.7431,0.0773812,7.62598
217,0.318601,31.5388,0.600398,59.4342,0.0810007,8.01837
218,0.301438,29.9725,0.613926,61.0437,0.084636,8.41551
219,0.285285,28.492,0.626448,62.5646,0.0882665,8.81535
220,0.270216,27.1059,0.637911,63.9901,0.0918723,9.21588
221,0.256299,25.8226,0.648267,65.3139,0.0954338,9.61511
222,0.243597,24.6499,0.65747,66.5302,0.0989324,10.0111
223,0.232168,23.5953,0.665482,67.6332,0.10235,10.4019
224,0.222062,22.6658,0.672267,68.618,0.10567,10.7857
225,0.213325,21.8676,0.677798,69.48,0.108877,11.1608
226,0.205995,21.2066,0.682051,70.2151,0.111954,11.5254
227,0.200104,20.6878,0.685007,70.8198,0.114889,11.8779
228,0.195677,20.3158,0.686654,71.2909,0.117669,12.2169
229,0.192732,20.0945,0.686986,71.6263,0.120282,12.5408
230,0.19128,20.0269,0.686001,71.8239,0.122719,12.8486
231,0.191327,20.1155,0.683704,71.8825,0.124969,13.1389
232,0.192868,20.3619,0.680106,71.8016,0.127026,13.4107
233,0.195894,20.767,0.675222,71.5812,0.128884,13.6631
234,0.200388,21.331,0.669075,71.2217,0.130537,13.8954
235,0.206327,22.0532,0.661691,70.7247,0.131982,14.1069
236,0.213679,22.9323,0.653103,70.0918,0.133218,14.2971
237,0.222408,23.9661,0.643349,69.3256,0.134242,14.4656
238,0.23247,25.1517,0.632473,68.4293,0.135057,14.6123
239,0.243815,26.4853,0.620521,67.4066,0.135664,14.737
240,0.256387,27.9627,0.607548,66.2618,0.136066,14.8399
241,0.270124,29.5785,0.593609,64.9999,0.136267,14.9212
242,0.28496,31.327,0.578766,63.6264,0.136274,14.9812
243,0.300822,33.2016,0.563085,62.1473,0.136093,15.0205
244,0.317633,35.195,0.546634,60.5692,0.135732,15.0397
245,0.335312,37.2995,0.529487,58.8991,0.135201,15.0395
246,0.353773,39.5066,0.511718,57.1447,0.134509,15.0209
247,0.372927,41.8074,0.493405,55.3137,0.133667,14.9849
248,0.392682,44.1923,0.47463,53.4147,0.132688,14.9326
249,0.412942,46.6513,0.455475,51.4564,0.131582,14.8652
250,0.433611,49.1741,0.436025,49.4478,0.130365,14.7841
251,0.454588,51.7498,0.416364,47.3983,0.129048,14.6907
252,0.475774,54.3674,0.396579,45.3177,0.127647,14.5864
253,0.497066,57.0154,0.376758,43.2156,0.126176,14.4728
254,0.518363,59.6822,0.356988,41.1021,0.124649,14.3516
255,0.539562,62.356,0.337355,38.9873,0.123083,14.2244
256,0.560563,65.0249,0.317946,36.8815,0.121491,14.0929
257,0.581264,67.6769,0.298847,34.7949,0.11989,13.9588
258,0.601566,70.3001,0.280141,32.7377,0.118293,13.8239
259,0.621374,72.8825,0.26191,30.7201,0.116716,13.69
260,0.640591,75.4124,0.244235,28.7521,0.115174,13.5587
261,0.659126,77.8781,0.227193,26.8437,0.11368,13.4318
262,0.676891,80.2682,0.21086,25.0045,0.112249,13.3109
263,0.693801,82.5717,0.195306,23.244,0.110893,13.1977
264,0.709776,84.7778,0.1806,21.5714,0.109624,13.0939
265,0.724738,86.8761,0.166806,19.9955,0.108456,13.0008
266,0.738618,88.8568,0.153985,18.5247,0.107397,12.92
267,0.751347,90.7104,0.142193,17.167,0.106459,12.8529
268,0.762867,92.4281,0.131481,15.9301,0.105651,12.8006
269,0.773123,94.0018,0.121896,14.821,0.104981,12.7643
270,0.782064,95.4237,0.11348,13.8463,0.104456,12.7452
271,0.789649,96.687,0.106269,13.0119,0.104082,12.7441
272,0.795842,97.7855,0.100294,12.3232,0.103864,12.7618
273,0.800613,98.7138,0.0955808,11.7849,0.103806,12.799
274,0.80394,99.4673,0.0921495,11.4012,0.10391,12.8562
275,0.805807,100.042,0.0900145,11.1754,0.104178,12.9339
276,0.806205,100.435,0.0891844,11.1104,0.10461,13.0321
277,0.805133,100.645,0.0896619,11.2081,0.105205,13.1511
278,0.802595,100.669,0.091444,11.4698,0.105961,13.2907
279,0.798604,100.509,0.0945221,11.8961,0.106874,13.4507
280,0.793179,100.163,0.0988815,12.4868,0.107939,13.6307
281,0.786346,99.6348,0.104502,13.241,0.109152,13.8302
282,0.778138,98.9254,0.111358,14.157,0.110504,14.0484
283,0.768595,98.0384,0.119418,15.2324,0.111987,14.2846
284,0.757761,96.978,0.128646,16.464,0.113593,14.5377
285,0.745689,95.7492,0.138999,17.848,0.115312,14.8065
286,0.732436,94.3579,0.150431,19.3797,0.117132,15.0899
287,0.718067,92.8108,0.162891,21.0538,0.119042,15.3863
288,0.702649,91.1154,0.176323,22.8645,0.121028,15.6942
289,0.686257,89.28,0.190665,24.805,0.123078,16.012
290,0.66897,87.3136,0.205854,26.868,0.125176,16.3379
291,0.650869,85.226,0.221823,29.0459,0.127309,16.6701
292,0.632042,83.0275,0.238498,31.33,0.12946,17.0064
293,0.612579,80.7292,0.255806,33.7115,0.131616,17.3451
294,0.592573,78.3425,0.273669,36.181,0.133758,17.6838
295,0.572121,75.8795,0.292007,38.7284,0.135872,18.0205
296,0.55132,73.3528,0.310739,41.3436,0.137941,18.353
297,0.530271,70.7753,0.329781,44.0158,0.139948,18.6789
298,0.509074,68.1601,0.349047,46.7341,0.141878,18.9962
299,0.487832,65.5209,0.368453,49.4871,0.143715,19.3024
300,0.466647,62.8714,0.387911,52.2633,0.145442,19.5954
301,0.44562,60.2254,0.407335,55.0512,0.147044,19.873
302,0.424854,57.597,0.426639,57.8389,0.148507,20.133
303,0.404448,55,0.445736,60.6146,0.149816,20.3732
304,0.384501,52.4484,0.464541,63.3664,0.150958,20.5916
305,0.36511,49.9561,0.482971,66.0824,0.151918,20.7862
306,0.346368,47.5365,0.500945,68.751,0.152687,20.9552
307,0.328367,45.2032,0.518381,71.3606,0.153252,21.0967
308,0.311194,42.969,0.535203,73.8997,0.153603,21.2092
309,0.294933,40.8468,0.551335,76.3572,0.153732,21.2911
310,0.279663,38.8485,0.566707,78.7224,0.15363,21.341
311,0.265459,36.986,0.58125,80.9846,0.153291,21.3578
312,0.252392,35.2704,0.594899,83.1339,0.152709,21.3403
313,0.240525,33.7121,0.607594,85.1607,0.151881,21.2878
314,0.229918,32.321,0.619278,87.0558,0.150804,21.1995
315,0.220624,31.1061,0.6299,88.8106,0.149477,21.0749
316,0.212689,30.0757,0.639412,90.4171,0.147899,20.9139
317,0.206155,29.2373,0.647772,91.8679,0.146073,20.7162
318,0.201056,28.5974,0.654943,93.1563,0.144001,20.4821
319,0.197418,28.1617,0.660893,94.2763,0.141689,20.2119
320,0.195263,27.9351,0.665595,95.2225,0.139142,19.9061
321,0.194604,27.9212,0.669029,95.9904,0.136368,19.5657
322,0.195446,28.1229,0.671178,96.5761,0.133376,19.1915
323,0.197791,28.5419,0.672033,96.9766,0.130176,18.7849
324,0.201629,29.179,0.67159,97.1897,0.126781,18.3473
325,0.206947,30.0338,0.669849,97.214,0.123204,17.8804
326,0.213723,31.1052,0.666819,97.0489,0.119459,17.386
327,0.221927,32.3907,0.662512,96.6948,0.115561,16.8664
328,0.231526,33.8869,0.656945,96.1526,0.111529,16.3237
329,0.242477,35.5893,0.650144,95.4243,0.10738,15.7606
330,0.254732,37.4927,0.642136,94.5127,0.103133,15.1796
331,0.268236,39.5904,0.632956,93.4213,0.0988079,14.5836
332,0.28293,41.8751,0.622643,92.1546,0.0944267,13.9757
333,0.298747,44.3386,0.611242,90.7176,0.0900106,13.3589
