t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
100,0.829895,38.3873,0.0464249,2.14741,0.0310581,1.43661,0.0433757,2.00637,0.0492462,2.27791
101,0.841048,39.2889,0.0482074,2.25197,0.0258583,1.20795,0.0373829,1.74631,0.0475036,2.21909
102,0.849458,40.0714,0.0514251,2.42587,0.0215705,1.01754,0.0316822,1.49454,0.0458637,2.16353
103,0.854992,40.7245,0.0560667,2.67053,0.0182566,0.869588,0.0263338,1.25432,0.0443514,2.11252
104,0.857554,41.2397,0.0621,2.98638,0.0159656,0.767781,0.0213925,1.02876,0.0429877,2.06727
105,0.857097,41.6105,0.0694728,3.37278,0.0147329,0.715256,0.0169068,0.820796,0.0417905,2.02885
106,0.853614,41.8325,0.0781131,3.82804,0.0145803,0.71453,0.0129189,0.633111,0.0407735,1.99816
107,0.847144,41.9036,0.0879302,4.34942,0.0155152,0.767452,0.00946375,0.46812,0.0399464,1.97593
108,0.83777,41.8236,0.0988155,4.93312,0.0175305,0.875168,0.00656883,0.327932,0.0393149,1.9627
109,0.825616,41.5948,0.110644,5.5743,0.0206051,1.03809,0.00425415,0.214326,0.0388803,1.95881
110,0.810847,41.222,0.123277,6.26718,0.0247038,1.2559,0.00253197,0.128721,0.0386401,1.96439
111,0.793666,40.7118,0.136562,7.00506,0.0297778,1.52748,0.00140679,0.0721626,0.0385874,1.97937
112,0.774311,40.0732,0.150336,7.78039,0.0357656,1.85099,0.00087548,0.0453091,0.0387119,2.00347
113,0.753052,39.3175,0.164428,8.5849,0.0425934,2.22384,0.000927442,0.0484225,0.0389993,2.03619
114,0.730186,38.4576,0.17866,9.40969,0.0501766,2.64271,0.00154493,0.0813685,0.0394325,2.07684
115,0.706034,37.5083,0.192852,10.2453,0.0584203,3.10361,0.0027034,0.143619,0.0399911,2.12454
116,0.680933,36.4861,0.206821,11.082,0.0672212,3.60188,0.00437201,0.234264,0.0406524,2.17826
117,0.655238,35.4088,0.220388,11.9097,0.0764683,4.13231,0.00651415,0.352022,0.0413916,2.23679
118,0.629309,34.2951,0.233376,12.7182,0.0860449,4.68914,0.00908805,0.495266,0.0421825,2.2988
119,0.60351,33.1648,0.245615,13.4973,0.0958299,5.26616,0.0120474,0.662045,0.0429975,2.36285
120,0.578204,32.0382,0.256946,14.2373,0.105699,5.85679,0.0153423,0.850112,0.0438088,2.42744
121,0.553745,30.9357,0.267219,14.9286,0.115528,6.45415,0.0189195,1.05696,0.0445883,2.49099
122,0.530476,29.8779,0.276299,15.5619,0.125192,7.05116,0.0227239,1.27987,0.0453088,2.55192
123,0.508723,28.8848,0.284067,16.1291,0.134568,7.64063,0.0266987,1.51593,0.0459438,2.60865
124,0.488788,27.9759,0.29042,16.6223,0.143537,8.21538,0.0307865,1.76207,0.0464686,2.65964
125,0.470947,27.1695,0.295277,17.0349,0.151986,8.76829,0.0349302,2.01517,0.0468603,2.70343
126,0.455446,26.4829,0.298574,17.3612,0.159808,9.29242,0.0390734,2.27201,0.0470986,2.73865
127,0.442497,25.9317,0.30027,17.5968,0.166905,9.78113,0.0431615,2.5294,0.0471662,2.76408
128,0.432275,25.5296,0.300348,17.7381,0.173186,10.2281,0.0471423,2.78416,0.0470489,2.77865
