t,T+R,N_0,N_1,N_2,N_3,N_4
120,1.03451,9.56838e-28,2.12339e-28,1.92024e-29,9.16349e-29,3.96696e-29
121,1.03405,8.91793e-28,2.87069e-28,2.49681e-29,9.93965e-29,4.42203e-29
122,1.03364,9.80122e-28,3.26623e-28,2.10627e-29,1.05935e-28,3.75666e-29
123,1.0333,9.00481e-28,2.87194e-28,2.46256e-29,1.06937e-28,2.39083e-29
124,1.03304,1.1628e-27,3.50631e-28,1.7283e-29,1.2473e-28,3.58352e-29
125,1.03288,1.26292e-27,3.78671e-28,1.8796e-29,1.09977e-28,3.678e-29
126,1.03285,1.31524e-27,4.29477e-28,2.50033e-29,1.54114e-28,2.93965e-29
127,1.03295,1.36951e-27,4.31292e-28,2.12481e-29,1.26506e-28,2.66074e-29
128,1.03319,1.58334e-27,3.32557e-28,2.32555e-29,1.54273e-28,2.41559e-29
129,1.03359,1.50338e-27,3.4894e-28,2.24997e-29,1.6847e-28,2.76348e-29
130,1.03416,1.52828e-27,3.99917e-28,2.29285e-29,1.42882e-28,2.70508e-29
131,1.03489,1.35802e-27,3.66129e-28,3.48848e-29,1.67515e-28,2.31915e-29
132,1.03579,1.35611e-27,2.79817e-28,4.34606e-29,1.66223e-28,2.16436e-29
133,1.03685,1.19691e-27,2.29979e-28,6.25852e-29,1.58418e-28,1.8947e-29
134,1.03809,1.02977e-27,2.62246e-28,6.08994e-29,1.69975e-28,1.58742e-29
135,1.03948,8.75476e-28,2.39197e-28,8.70034e-29,1.38934e-28,1.81223e-29
136,1.04102,7.05331e-28,1.63827e-28,9.05353e-29,1.37009e-28,1.56458e-29
137,1.04271,5.7317e-28,1.4383e-28,1.38661e-28,1.46649e-28,1.49414e-29
138,1.04453,4.15785e-28,9.83342e-29,1.65894e-28,1.38052e-28,1.69996e-29
139,1.04646,3.59213e-28,1.05677e-28,1.73044e-28,1.48231e-28,1.28105e-29
140,1.04849,2.06832e-28,3.50842e-29,2.05102e-28,1.30737e-28,1.41538e-29
141,1.0506,1.46227e-28,1.18483e-29,2.43343e-28,9.48093e-29,1.15211e-29
142,1.05278,1.20946e-28,3.65278e-29,2.73991e-28,1.15458e-28,1.89186e-29
143,1.055,1.25382e-28,4.31032e-29,3.54654e-28,1.05647e-28,2.30286e-29
144,1.05726,1.26015e-28,7.86502e-29,3.47167e-28,9.6667e-29,2.74838e-29
145,1.05952,1.56323e-28,5.21871e-29,4.00755e-28,8.92939e-29,2.59939e-29
146,1.06176,1.42086e-28,1.3179e-28,4.8139e-28,9.20877e-29,3.36602e-29
147,1.06398,2.11046e-28,1.91034e-28,5.16785e-28,9.96438e-29,4.7557e-29
148,1.06615,2.57618e-28,2.29407e-28,5.74867e-28,9.83397e-29,4.81826e-29
149,1.06826,3.62224e-28,3.30095e-28,6.09662e-28,9.12674e-29,5.78542e-29
150,1.07029,2.67878e-28,4.00622e-28,6.53329e-28,1.08458e-28,6.78114e-29
