t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
121,0.69836,39.0149,0.0867221,4.84485,0.112359,6.27707,0.102559,5.72961
122,0.719288,40.5123,0.0791257,4.45658,0.10235,5.76466,0.0992357,5.58923
123,0.739164,41.969,0.0725535,4.11952,0.0924689,5.2503,0.0958139,5.44023
124,0.7578,43.3729,0.0670832,3.83953,0.0827902,4.73852,0.0923262,5.28431
125,0.775024,44.7122,0.0627833,3.62205,0.0733882,4.23386,0.0888042,5.12323
126,0.790674,45.9755,0.0597124,3.47211,0.0643345,3.74087,0.0852791,4.95874
127,0.804602,47.1521,0.0579189,3.39422,0.0556976,3.26405,0.0817811,4.79262
128,0.816678,48.2319,0.0574404,3.39236,0.0475423,2.80779,0.0783394,4.62662
129,0.826786,49.2055,0.0583031,3.46987,0.0399295,2.37637,0.0749814,4.46246
130,0.83483,50.0645,0.0605218,3.62947,0.0329153,1.97392,0.0717329,4.3018
131,0.840732,50.8012,0.0640993,3.8732,0.0265508,1.60433,0.0686179,4.14623
132,0.844433,51.4092,0.0690268,4.20236,0.0208819,1.27129,0.0656583,3.99729
133,0.845894,51.883,0.0752837,4.61753,0.0159486,0.978207,0.0628736,3.85636
134,0.845097,52.2186,0.0828374,5.11852,0.0117848,0.728183,0.0602809,3.72476
135,0.842043,52.4128,0.0916439,5.70436,0.00841835,0.523998,0.0578948,3.60365
136,0.836754,52.464,0.101648,6.37328,0.00587046,0.368074,0.0557272,3.49406
137,0.829273,52.3718,0.112784,7.12276,0.0041558,0.262455,0.0537874,3.39689
138,0.81966,52.1372,0.124976,7.94949,0.00328235,0.208785,0.052082,3.31285
139,0.807997,51.7623,0.138137,8.84939,0.00325138,0.208292,0.0506147,3.24251
140,0.794383,51.2509,0.152173,9.81766,0.00405749,0.261776,0.0493866,3.18626
141,0.778935,50.6078,0.16698,10.8488,0.00568867,0.369596,0.0483961,3.14432
142,0.761786,49.8393,0.182449,11.9366,0.00812645,0.531668,0.0476391,3.11676
143,0.743084,48.9529,0.198461,13.0742,0.0113461,0.747458,0.0471088,3.10343
