t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
136,0.919169,57.6314,0.0808307,5.06804,10.7293,672.721
137,0.929848,58.7235,0.0701525,4.4304,10.7715,680.265
138,0.939826,59.7807,0.0601737,3.82754,10.8102,687.616
139,0.949088,60.801,0.0509117,3.26153,10.8452,694.771
140,0.957617,61.7822,0.0423827,2.73439,10.8768,701.731
141,0.965398,62.7224,0.0346016,2.24809,10.9049,708.495
142,0.972418,63.6198,0.0275821,1.80454,10.9296,715.064
143,0.978664,64.4724,0.0213362,1.40559,10.9511,721.438
144,0.984125,65.2785,0.0158751,1.05302,10.9694,727.62
145,0.988792,66.0364,0.0112081,0.74853,10.9847,733.612
146,0.992657,66.7444,0.00734345,0.49376,10.997,739.417
147,0.995712,67.401,0.00428792,0.290255,11.0064,745.039
148,0.997953,68.0047,0.00204683,0.13948,11.0132,750.483
149,0.999376,68.5542,0.000624096,0.0428111,11.0173,755.755
150,0.999978,69.0481,2.21932e-05,0.00153243,11.019,760.86
151,0.999758,69.4853,0.000242177,0.0168318,11.0184,765.804
152,0.998716,69.8647,0.00128366,0.0897981,11.0157,770.597
153,0.996855,70.1853,0.00314483,0.221418,11.011,775.245
154,0.994178,70.4462,0.00582244,0.412571,11.0044,779.759
155,0.990688,70.6467,0.0093118,0.664031,10.9962,784.147
156,0.986393,70.786,0.0136068,0.976459,10.9865,788.421
157,0.9813,70.8636,0.0187,1.3504,10.9756,792.591
158,0.975418,70.8792,0.0245824,1.7863,10.9635,796.669
159,0.968756,70.8323,0.0312439,2.28445,10.9505,800.668
160,0.961327,70.7228,0.0386727,2.84507,10.9369,804.601
161,0.953144,70.5506,0.0468559,3.46822,10.9227,808.483
162,0.944221,70.3158,0.0557791,4.15385,10.9082,812.327
163,0.934573,70.0185,0.0654269,4.9018,10.8936,816.149
164,0.924218,69.659,0.0757823,5.71177,10.8791,819.966
165,0.913173,69.2378,0.0868273,6.58334,10.8649,823.793
166,0.901457,68.7553,0.0985425,7.51597,10.8514,827.647
167,0.889092,68.2123,0.110908,8.50898,10.8385,831.547
168,0.876099,67.6096,0.123901,9.56157,10.8267,835.511
169,0.8625,66.948,0.1375,10.6728,10.8161,839.557
170,0.84832,66.2286,0.15168,11.8417,10.807,843.705
171,0.833582,65.4526,0.166418,13.0671,10.7995,847.974
172,0.818313,64.6213,0.181687,14.3476,10.7939,852.385
173,0.80254,63.736,0.19746,15.6819,10.7905,856.958
174,0.786289,62.7983,0.213711,17.0684,10.7894,861.714
175,0.76959,61.8099,0.23041,18.5054,10.7909,866.675
176,0.752472,60.7725,0.247528,19.9913,10.7952,871.862
177,0.734963,59.6879,0.265037,21.5242,10.8025,877.297
178,0.717096,58.5583,0.282904,23.102,10.8131,883.002
179,0.698901,57.3855,0.301099,24.7227,10.8272,889
180,0.68041,56.1719,0.31959,26.3841,10.8449,895.313
181,0.661655,54.9198,0.338345,28.0838,10.8665,901.963
182,0.64267,53.6315,0.35733,29.8196,10.8923,908.973
183,0.623486,52.3094,0.376514,31.5889,10.9224,916.367
184,0.604138,50.9562,0.395862,33.3891,10.9569,924.166
