E,T,R0,R1,R,N_R0,N_R1,E/V0
1851.26,1.59365,0.168752,1.30267,1.47142,0.0550566,0.425005,18.5126
1851.39,4.45704,2.19093,-0.434508,1.75642,0.35261,-0.0699301,18.5139
1851.51,10.6065,0.146067,1.23078,1.37684,0.0121892,0.102708,18.5151
1851.63,0.995042,6.97231,-0.0909985,6.88132,0.885221,-0.0115534,18.5163
1851.76,3.44212,6.38007,0.568393,6.94846,0.614024,0.0547028,18.5176
1851.88,4.02646,2.67847,-0.213501,2.46497,0.412616,-0.0328897,18.5188
1852,0.53246,1.25827,0.0495837,1.30785,0.683726,0.0269431,18.52
1852.13,4.47668,1.77365,0.62328,2.39693,0.258038,0.0906772,18.5213
1852.25,10.6479,0.916742,-0.0353151,0.881427,0.0795136,-0.00306305,18.5225
1852.38,1.80031,4.82403,0.616989,5.44101,0.66618,0.0852039,18.5238
1852.5,6.2887,1.55019,0.493296,2.04349,0.186049,0.0592036,18.525
1852.62,24.1931,9.03494,0.532761,9.5677,0.267616,0.0157804,18.5262
1852.75,1.48192,4.19056,0.582255,4.77281,0.669982,0.0930904,18.5275
1852.87,5.04407,1.77473,-0.333555,1.44118,0.273657,-0.0514329,18.5287
1852.99,4.65539,0.782328,0.663868,1.4462,0.128217,0.108803,18.5299
1853.12,2.73385,12.5523,0.278477,12.8308,0.806464,0.0178916,18.5312
1853.24,17.046,9.04007,0.425139,9.46521,0.340991,0.0160362,18.5324
1853.36,3.36116,12.1722,0.690989,12.8631,0.750242,0.0425898,18.5336
1853.49,0.655998,4.67785,-0.388029,4.28982,0.945819,-0.0784558,18.5349
1853.61,3.68032,6.77703,0.31357,7.0906,0.629197,0.0291127,18.5361
1853.74,6.6173,4.03093,0.536496,4.56742,0.360396,0.0479669,18.5374
1853.86,1.89858,2.39308,0.176745,2.56983,0.535556,0.0395542,18.5386
1853.98,10.217,6.12478,-0.153571,5.97121,0.378349,-0.00948662,18.5398
1854.11,2.23277,0.534262,0.400665,0.934927,0.168659,0.126485,18.5411
1854.23,5.84357,11.459,-0.160167,11.2988,0.668459,-0.00934334,18.5423
1854.35,2.15667,2.91628,0.0465683,2.96285,0.56964,0.00909623,18.5435
1854.48,7.66679,4.83309,0.93962,5.77271,0.359618,0.0699148,18.5448
1854.6,16.1726,7.18438,1.46426,8.64865,0.289444,0.0589922,18.546
1854.72,2.33464,4.00993,-0.612532,3.3974,0.699565,-0.106861,18.5472
1854.85,3.60799,3.5828,0.240615,3.82341,0.482116,0.0323781,18.5485
1854.97,6.87843,6.23166,0.0937919,6.32545,0.471957,0.00710336,18.5497
1855.1,1.46445,2.52242,0.460588,2.98301,0.56716,0.103562,18.551
1855.22,0.979552,0.18979,0.16103,0.35082,0.14266,0.121041,18.5522
1855.34,4.09614,3.68713,0.0616591,3.74879,0.470001,0.00785974,18.5534
1855.47,3.48261,4.18379,0.747637,4.93143,0.497239,0.0888558,18.5547
1855.59,7.41656,5.72751,2.38262,8.11013,0.368882,0.153453,18.5559
1855.71,4.4243,3.94398,1.15854,5.10252,0.413987,0.121609,18.5571
1855.84,2.75453,3.0033,-0.998373,2.00492,0.631017,-0.209766,18.5584
1855.96,10.4745,3.84254,0.213528,4.05607,0.264446,0.0146951,18.5596
1856.09,3.03841,6.37394,0.23565,6.60959,0.660649,0.0244248,18.5609
1856.21,0.732439,2.08267,0.857426,2.94009,0.567093,0.23347,18.5621
