E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
0.00805566,1.11795,0.71538,0,0,0,0.71538,0.390208,0,0,0,8.05566e-05
0.0083155,1.09582,0.682928,0,0,0,0.682928,0.383937,0,0,0,8.3155e-05
0.00857947,1.07401,0.651051,0,0,0,0.651051,0.377407,0,0,0,8.57947e-05
0.00884756,1.05253,0.619774,0,0,0,0.619774,0.370611,0,0,0,8.84756e-05
0.00911978,1.03136,0.589118,0,0,0,0.589118,0.363545,0,0,0,9.11978e-05
0.00939612,1.01052,0.559106,0,0,0,0.559106,0.356204,0,0,0,9.39612e-05
0.00967659,0.989995,0.52976,0,0,0,0.52976,0.348583,0,0,0,9.67659e-05
0.00996118,0.96979,0.501102,0,0,0,0.501102,0.340679,0,0,0,9.96118e-05
0.0102499,0.949903,0.473153,0,0,0,0.473153,0.332491,0,0,0,0.000102499
0.0105427,0.930334,0.445934,0,0,0,0.445934,0.324017,0,0,0,0.000105427
0.0108397,0.911079,0.419463,0,0,0,0.419463,0.315257,0,0,0,0.000108397
0.0111408,0.892139,0.393761,0,0,0,0.393761,0.306214,0,0,0,0.000111408
0.011446,0.873511,0.368846,0,0,0,0.368846,0.296892,0,0,0,0.00011446
0.0117553,0.855194,0.344735,0,0,0,0.344735,0.287296,0,0,0,0.000117553
0.0120688,0.837185,0.321447,0,0,0,0.321447,0.277436,0,0,0,0.000120688
0.0123864,0.819482,0.298996,0,0,0,0.298996,0.267324,0,0,0,0.000123864
0.0127081,0.802083,0.2774,0,0,0,0.2774,0.256975,0,0,0,0.000127081
0.0130339,0.784987,0.256672,0,0,0,0.256672,0.246407,0,0,0,0.000130339
0.0133639,0.768189,0.236827,0,0,0,0.236827,0.235645,0,0,0,0.000133639
0.013698,0.751688,0.217877,0,0,0,0.217877,0.224717,0,0,0,0.00013698
0.0140362,0.735481,0.199836,0,0,0,0.199836,0.213655,0,0,0,0.000140362
0.0143785,0.719566,0.182713,0,0,0,0.182713,0.202501,0,0,0,0.000143785
0.014725,0.703939,0.166519,0,0,0,0.166519,0.1913,0,0,0,0.00014725
0.0150756,0.688597,0.151263,0,0,0,0.151263,0.180105,0,0,0,0.000150756
0.0154303,0.673538,0.136955,0,0,0,0.136955,0.168977,0,0,0,0.000154303
0.0157891,0.658759,0.123599,0,0,0,0.123599,0.157983,0,0,0,0.000157891
0.016152,0.644256,0.111204,0,0,0,0.111204,0.147201,0,0,0,0.00016152
0.0165191,0.630026,0.0997736,0,0,0,0.0997736,0.136714,0,0,0,0.000165191
0.0168903,0.616066,0.0893119,0,0,0,0.0893119,0.126616,0,0,0,0.000168903
0.0172657,0.602373,0.0798217,0,0,0,0.0798217,0.117007,0,0,0,0.000172657
0.0176451,0.588943,0.0713046,0,0,0,0.0713046,0.107997,0,0,0,0.000176451
0.0180287,0.575774,0.0637612,0,0,0,0.0637612,0.0996994,0,0,0,0.000180287
0.0184164,0.562861,0.0571909,0,0,0,0.0571909,0.0922356,0,0,0,0.000184164
0.0188082,0.550201,0.0515916,0,0,0,0.0515916,0.0857298,0,0,0,0.000188082
0.0192042,0.537792,0.0469604,0,0,0,0.0469604,0.0803082,0,0,0,0.000192042
0.0196043,0.525629,0.043293,0,0,0,0.043293,0.0760965,0,0,0,0.000196043
0.0200085,0.513709,0.0405838,0,0,0,0.0405838,0.0732173,0,0,0,0.000200085
0.0204168,0.502028,0.0388263,0,0,0,0.0388263,0.071787,0,0,0,0.000204168
0.0208292,0.490584,0.0380125,0,0,0,0.0380125,0.0719122,0,0,0,0.000208292
0.0212458,0.479372,0.0381333,0,0,0,0.0381333,0.0736867,0,0,0,0.000212458
0.0216665,0.46839,0.0391782,0,0,0,0.0391782,0.0771882,0,0,0,0.000216665
0.0220913,0.457632,0.0411358,0,0,0,0.0411358,0.0824748,0,0,0,0.000220913
0.0225203,0.447097,0.0439933,0,0,0,0.0439933,0.0895828,0,0,0,0.000225203
0.0229533,0.436781,0.0477366,0,0,0,0.0477366,0.0985239,0,0,0,0.000229533
0.0233905,0.42668,0.0523505,0,0,0,0.0523505,0.109284,0,0,0,0.000233905
0.0238319,0.41679,0.0578187,0,0,0,0.0578187,0.121824,0,0,0,0.000238319
0.0242773,0.407109,0.0641237,0,0,0,0.0641237,0.136076,0,0,0,0.000242773
0.0247269,0.397632,0.0712467,0,0,0,0.0712467,0.151951,0,0,0,0.000247269
0.0251806,0.388357,0.0791678,0,0,0,0.0791678,0.169334,0,0,0,0.000251806
0.0256384,0.37928,0.0878661,0,0,0,0.0878661,0.188091,0,0,0,0.000256384
0.0261003,0.370397,0.0973196,0,0,0,0.0973196,0.208074,0,0,0,0.000261003
0.0265664,0.361706,0.107505,0,0,0,0.107505,0.229119,0,0,0,0.000265664
0.0270366,0.353203,0.118398,0,0,0,0.118398,0.251056,0,0,0,0.000270366
0.0275109,0.344884,0.129974,0,0,0,0.129974,0.273712,0,0,0,0.000275109
0.0279894,0.336746,0.142207,0,0,0,0.142207,0.296912,0,0,0,0.000279894
0.0284719,0.328786,0.155069,0,0,0,0.155069,0.320486,0,0,0,0.000284719
0.0289586,0.321001,0.168532,0,0,0,0.168532,0.344271,0,0,0,0.000289586
0.0294494,0.313388,0.182567,0,0,0,0.182567,0.368113,0,0,0,0.000294494
0.0299444,0.305943,0.197146,0,0,0,0.197146,0.391871,0,0,0,0.000299444
