E,T,R0,R1,R2,R,N_R0,N_R1,N_R2,E/V0
1209.68,4.94798,1.42862,0.18634,0.0385932,1.65355,0.216407,0.0282268,0.00584609,12.0968
1209.78,12.7794,0.430099,0.48788,0.381832,1.29981,0.0305485,0.0346526,0.0271203,12.0978
1209.88,9.43252,1.72988,-0.0741635,-0.129024,1.5267,0.157847,-0.00676722,-0.0117731,12.0988
1209.98,7.71074,0.597961,0.0878447,-0.0122831,0.673522,0.0713194,0.0104773,-0.00146502,12.0998
1210.08,9.64692,3.28282,0.468095,0.186348,3.93726,0.241665,0.0344588,0.013718,12.1008
1210.18,4.3561,10.0516,0.0340773,0.18942,10.2751,0.686997,0.00232909,0.0129463,12.1018
1210.28,1.81187,15.0577,0.26965,0.841811,16.1691,0.837421,0.0149964,0.0468167,12.1028
1210.38,2.53219,2.41423,1.23574,-0.348031,3.30193,0.413812,0.211812,-0.0596545,12.1038
1210.48,2.17641,1.17054,1.52667,0.412894,3.1101,0.221419,0.288786,0.0781032,12.1048
1210.58,0.872341,3.63671,-0.738678,0.121409,3.01944,0.934459,-0.189804,0.0311962,12.1058
1210.68,2.99602,2.82181,0.0485705,0.00814667,2.87853,0.480345,0.00826795,0.00138677,12.1068
1210.78,2.65042,1.47635,-0.0507414,0.0588756,1.48448,0.357045,-0.0122715,0.0142387,12.1078
1210.88,1.03731,1.31371,0.0644312,0.0150543,1.3932,0.54051,0.0265094,0.00619391,12.1088
1210.98,1.45521,1.04198,0.0453013,0.0411048,1.12839,0.403308,0.0175342,0.0159099,12.1098
1211.08,4.2446,7.58872,0.282933,0.332288,8.20394,0.609607,0.0227282,0.0266929,12.1108
1211.18,0.633925,2.01927,0.0923659,0.156547,2.26818,0.695794,0.0318272,0.0539425,12.1118
1211.28,2.47551,0.465866,0.799208,0.503608,1.76868,0.109766,0.188306,0.118658,12.1128
1211.38,6.17336,3.93309,-0.320104,0.067178,3.68016,0.399156,-0.0324863,0.00681766,12.1138
1211.48,4.56872,8.29853,0.740231,-0.069127,8.96963,0.612964,0.0546766,-0.00510602,12.1148
1211.58,6.56167,4.50812,1.18808,0.168472,5.86467,0.362787,0.0956095,0.0135577,12.1158
1211.68,3.97508,0.302393,-0.671791,-0.0187093,-0.388107,0.0843033,-0.187287,-0.00521591,12.1168
1211.78,4.33538,20.3389,0.612295,0.0313034,20.9824,0.803341,0.0241844,0.00123642,12.1178
1211.88,6.16405,0.412733,0.20495,0.825417,1.4431,0.0542559,0.0269417,0.108505,12.1188
1211.98,0.668319,1.98011,0.00412018,-0.197265,1.78697,0.806469,0.00167808,-0.080343,12.1198
1212.08,1.41203,1.29671,1.80136,0.718448,3.81651,0.248006,0.344524,0.137409,12.1208
1212.18,1.38114,16.2804,-0.538398,-0.0288031,15.7132,0.952386,-0.0314956,-0.00168494,12.1218
1212.28,0.836014,0.514279,0.258526,-0.0944524,0.678353,0.3396,0.170716,-0.0623709,12.1228
1212.38,3.88113,17.4094,0.141358,0.294263,17.845,0.801311,0.00650636,0.0135442,12.1238
1212.48,2.50195,0.2031,0.28051,0.430533,0.914143,0.0594539,0.0821144,0.126031,12.1248
1212.58,6.40582,2.56231,0.452246,-0.0292445,2.98532,0.272844,0.0481567,-0.00311405,12.1258
1212.68,1.69334,7.8336,-0.285812,0.810725,8.35852,0.779319,-0.0284337,0.0806543,12.1268
1212.78,3.73771,7.62283,0.0181835,-0.402575,7.23844,0.694491,0.00165664,-0.0366773,12.1278
1212.88,2.42903,4.26877,0.459287,0.288451,5.01651,0.573333,0.0616862,0.0387415,12.1288
1212.98,3.42139,0.594138,0.600846,0.735333,1.93032,0.111018,0.112272,0.137402,12.1298
1213.08,1.65744,2.29509,1.89708,-0.392294,3.79987,0.420552,0.347622,-0.071884,12.1308
1213.18,0.337121,21.5002,-0.452788,0.713611,21.761,0.972941,-0.0204899,0.0322928,12.1318
1213.28,1.75936,5.37914,0.453026,-0.254161,5.57801,0.733116,0.0617422,-0.0346392,12.1328
1213.38,3.91399,0.614061,0.931155,0.137414,1.68263,0.10972,0.166378,0.0245531,12.1338
1213.48,2.44739,3.17289,0.0639291,0.271708,3.50853,0.532729,0.0107337,0.0456199,12.1348
1213.58,5.96141,6.83871,0.652825,-0.0397147,7.45182,0.509848,0.0486702,-0.00296086,12.1358
1213.68,1.87892,3.15659,0.0284692,0.220348,3.40541,0.59735,0.00538748,0.0416983,12.1368
1213.78,4.26866,9.67252,0.0755749,0.446643,10.1947,0.668759,0.00522525,0.0308809,12.1378
1213.88,4.81814,6.854,0.597493,-0.167721,7.28377,0.566356,0.0493718,-0.013859,12.1388
1213.98,4.7137,5.7048,0.326411,0.916008,6.94722,0.489224,0.0279919,0.0785537,12.1398
1214.08,4.6381,1.55919,0.330245,-0.329076,1.56036,0.251544,0.0532786,-0.05309,12.1408
1214.18,8.32715,5.18233,0.208117,-0.0308068,5.35964,0.378637,0.0152057,-0.00225084,12.1418
1214.28,3.81843,16.6342,0.0157061,0.102181,16.7521,0.808642,0.000763527,0.00496738,12.1428
1214.38,1.0519,1.75675,0.513342,0.109877,2.37997,0.511892,0.149581,0.0320167,12.1438
1214.48,6.41939,4.45377,0.0357228,0.119213,4.6087,0.403856,0.00323925,0.0108099,12.1448
1214.58,6.34326,4.32188,0.996753,0.139614,5.45825,0.366215,0.0844598,0.0118302,12.1458
1214.68,0.385329,22.6924,0.0698932,0.401596,23.1639,0.963616,0.00296796,0.0170534,12.1468
1214.78,2.33546,7.5357,0.101544,0.443134,8.08038,0.723485,0.00974903,0.0425442,12.1478
1214.88,4.94973,12.6238,0.254673,0.0960259,12.9745,0.704287,0.0142083,0.00535731,12.1488
1214.98,2.53644,6.80243,0.44712,0.0141621,7.26371,0.694115,0.0456238,0.00144509,12.1498
1215.08,2.76657,4.56731,0.420946,0.204376,5.19264,0.57384,0.052888,0.025678,12.1508
1215.18,1.49955,17.5689,0.0538995,0.0376341,17.6604,0.916958,0.00281313,0.0019642,12.1518
1215.28,1.72612,2.37389,1.37247,0.100517,3.84687,0.425963,0.246272,0.0180364,12.1528
1215.38,5.07383,4.91378,-0.0108794,0.231768,5.13467,0.481342,-0.00106572,0.0227035,12.1538
1215.48,1.30061,6.65718,0.197977,0.00861245,6.86377,0.815393,0.0242489,0.00105488,12.1548
1215.58,1.20925,10.5095,0.20611,0.0517603,10.7674,0.877502,0.0172093,0.00432177,12.1558
1215.68,9.1769,11.0876,0.236563,0.0635467,11.3877,0.539159,0.0115034,0.0030901,12.1568
1215.78,4.9028,24.0956,0.0601407,0.0160562,24.1717,0.828751,0.0020685,0.000552244,12.1578
1215.88,2.50858,1.01338,0.0557047,0.0909642,1.16005,0.276228,0.0151841,0.0247952,12.1588
1215.98,0.703658,5.27581,0.106464,0.347171,5.72944,0.820103,0.0165494,0.0539664,12.1598
1216.08,1.08172,14.2485,0.24008,0.248605,14.7371,0.900726,0.0151768,0.0157158,12.1608
1216.18,1.83382,3.69477,0.664981,0.15896,4.51871,0.581622,0.10468,0.0250231,12.1618
